"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OFSS","EQ","02-Nov-2020","3,143.60","3,150.00","3,174.15","3,115.00","3,145.10","3,144.75","3,143.02","19,598","6,15,96,953.60","5,798","11,664","59.52"
"OFSS","EQ","03-Nov-2020","3,144.75","3,050.00","3,150.00","3,011.00","3,101.10","3,102.45","3,072.74","72,407","22,24,87,768.60","13,497","28,643","39.56"
"OFSS","EQ","04-Nov-2020","3,102.45","3,120.00","3,148.00","3,062.00","3,073.00","3,079.85","3,093.05","21,033","6,50,56,197.70","2,869","9,822","46.70"
"OFSS","EQ","05-Nov-2020","3,079.85","3,079.85","3,143.35","3,051.00","3,068.00","3,066.35","3,088.33","25,826","7,97,59,089.80","3,543","15,297","59.23"
"OFSS","EQ","06-Nov-2020","3,066.35","3,090.00","3,090.00","3,021.50","3,078.00","3,075.75","3,066.36","25,480","7,81,30,904.90","4,515","12,709","49.88"
"OFSS","EQ","09-Nov-2020","3,075.75","3,075.00","3,141.75","3,075.00","3,102.45","3,097.70","3,110.99","29,413","9,15,03,533.90","4,052","17,465","59.38"
"OFSS","EQ","10-Nov-2020","3,097.70","3,124.80","3,124.80","3,050.00","3,085.00","3,068.30","3,078.51","33,862","10,42,44,567.15","6,010","22,263","65.75"
"OFSS","EQ","11-Nov-2020","3,068.30","3,083.40","3,091.80","3,053.00","3,080.00","3,078.15","3,073.80","19,477","5,98,68,308.35","5,632","11,260","57.81"
"OFSS","EQ","12-Nov-2020","3,078.15","3,080.00","3,107.25","3,070.05","3,090.00","3,088.75","3,089.04","41,556","12,83,68,155.30","6,207","20,971","50.46"
"OFSS","EQ","13-Nov-2020","3,088.75","3,100.00","3,100.00","3,075.00","3,090.00","3,085.05","3,086.76","27,465","8,47,77,954.10","9,128","17,753","64.64"
"OFSS","EQ","14-Nov-2020","3,085.05","3,139.85","3,144.70","3,100.00","3,100.00","3,107.60","3,112.35","3,801","1,18,30,031.55","746","2,456","64.61"
"OFSS","EQ","17-Nov-2020","3,107.60","3,090.00","3,111.90","3,050.00","3,074.00","3,068.65","3,066.64","65,036","19,94,41,766.45","13,007","46,899","72.11"
"OFSS","EQ","18-Nov-2020","3,068.65","3,050.05","3,173.00","3,045.25","3,070.00","3,083.00","3,092.65","71,325","22,05,83,445.70","10,149","35,034","49.12"
"OFSS","EQ","19-Nov-2020","3,083.00","3,060.50","3,089.55","3,045.00","3,053.85","3,052.00","3,059.53","32,609","9,97,68,270.60","5,179","23,166","71.04"
"OFSS","EQ","20-Nov-2020","3,052.00","3,059.00","3,067.15","3,025.00","3,036.00","3,035.00","3,044.83","26,325","8,01,55,100.95","5,524","19,590","74.42"
"OFSS","EQ","23-Nov-2020","3,035.00","3,036.00","3,059.55","3,010.00","3,021.90","3,026.40","3,023.82","36,907","11,15,99,988.60","5,949","23,168","62.77"
"OFSS","EQ","24-Nov-2020","3,026.40","3,060.00","3,060.00","3,001.10","3,019.00","3,017.45","3,017.19","51,732","15,60,85,377.70","8,485","32,370","62.57"
"OFSS","EQ","25-Nov-2020","3,017.45","3,035.00","3,063.55","3,010.00","3,010.75","3,018.50","3,036.94","30,261","9,19,00,693.00","6,145","17,062","56.38"
"OFSS","EQ","26-Nov-2020","3,018.50","3,020.00","3,045.05","3,008.00","3,021.00","3,014.90","3,023.66","17,312","5,23,45,669.65","3,018","8,778","50.70"
"OFSS","EQ","27-Nov-2020","3,014.90","3,030.05","3,065.70","3,010.10","3,010.15","3,040.15","3,043.32","58,187","17,70,81,428.10","5,680","42,655","73.31"
"OFSS","EQ","01-Dec-2020","3,040.15","3,065.00","3,065.00","3,011.05","3,018.00","3,018.00","3,022.38","52,116","15,75,14,151.85","10,613","37,119","71.22"
"OFSS","EQ","02-Dec-2020","3,018.00","3,024.10","3,037.50","2,998.00","3,015.10","3,016.45","3,015.32","50,780","15,31,18,013.75","9,768","24,738","48.72"
"OFSS","EQ","03-Dec-2020","3,016.45","3,025.00","3,073.45","3,018.00","3,050.05","3,052.05","3,053.13","83,946","25,62,97,843.30","7,862","63,643","75.81"
"OFSS","EQ","04-Dec-2020","3,052.05","3,068.00","3,068.00","3,022.25","3,042.00","3,042.30","3,042.13","47,866","14,56,14,800.00","5,928","33,824","70.66"
