"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TCS","EQ","02-Nov-2020","2,664.85","2,660.00","2,664.85","2,600.05","2,608.00","2,604.60","2,618.15","25,71,196","6,73,17,84,552.10","1,17,447","11,37,130","44.23"
"TCS","EQ","03-Nov-2020","2,604.60","2,604.00","2,665.00","2,601.05","2,629.00","2,633.60","2,635.01","28,79,269","7,58,69,13,378.45","1,17,355","10,34,396","35.93"
"TCS","EQ","04-Nov-2020","2,633.60","2,610.00","2,721.85","2,610.00","2,656.00","2,653.15","2,683.56","48,93,928","13,13,31,44,835.10","2,10,543","15,15,071","30.96"
"TCS","EQ","05-Nov-2020","2,653.15","2,685.00","2,710.00","2,667.00","2,688.00","2,685.70","2,688.19","28,16,502","7,57,13,01,989.25","1,19,199","9,40,632","33.40"
"TCS","EQ","06-Nov-2020","2,685.70","2,699.00","2,713.25","2,681.30","2,711.00","2,707.45","2,699.35","38,84,421","10,48,54,27,441.60","1,32,771","20,78,180","53.50"
"TCS","EQ","09-Nov-2020","2,707.45","2,731.10","2,744.00","2,695.10","2,726.00","2,726.60","2,720.53","36,46,592","9,92,06,61,493.20","1,62,134","13,05,417","35.80"
"TCS","EQ","10-Nov-2020","2,726.60","2,697.20","2,713.15","2,638.35","2,653.95","2,649.60","2,663.45","47,60,020","12,67,80,56,831.10","2,40,272","18,71,537","39.32"
"TCS","EQ","11-Nov-2020","2,649.60","2,667.95","2,692.80","2,643.40","2,687.50","2,687.80","2,669.85","32,42,441","8,65,68,31,441.85","1,68,899","12,92,728","39.87"
"TCS","EQ","12-Nov-2020","2,687.80","2,686.00","2,713.00","2,661.75","2,674.75","2,671.05","2,679.78","24,37,505","6,53,19,86,739.75","1,00,997","11,34,593","46.55"
"TCS","EQ","13-Nov-2020","2,671.05","2,655.75","2,664.90","2,636.00","2,661.20","2,656.85","2,650.87","25,48,093","6,75,46,56,102.70","1,11,018","12,18,667","47.83"
"TCS","EQ","14-Nov-2020","2,656.85","2,677.95","2,689.00","2,660.05","2,673.25","2,670.35","2,669.67","2,98,819","79,77,48,788.00","20,530","1,27,612","42.71"
"TCS","EQ","17-Nov-2020","2,670.35","2,695.00","2,695.00","2,650.05","2,661.25","2,666.05","2,670.80","28,27,273","7,55,10,68,267.15","1,34,996","14,60,105","51.64"
"TCS","EQ","18-Nov-2020","2,666.05","2,661.00","2,664.20","2,607.05","2,626.00","2,626.65","2,625.58","28,93,762","7,59,77,89,756.35","1,36,273","14,05,121","48.56"
"TCS","EQ","19-Nov-2020","2,626.65","2,637.00","2,676.15","2,630.85","2,640.25","2,636.90","2,648.32","41,67,501","11,03,68,55,515.70","1,78,640","19,16,634","45.99"
"TCS","EQ","20-Nov-2020","2,636.90","2,655.00","2,676.00","2,627.55","2,657.80","2,660.25","2,657.32","27,11,471","7,20,52,37,904.70","1,18,196","10,60,178","39.10"
"TCS","EQ","23-Nov-2020","2,660.25","2,690.00","2,730.00","2,665.00","2,727.25","2,724.25","2,706.23","37,06,418","10,03,04,30,979.80","1,50,378","15,34,732","41.41"
"TCS","EQ","24-Nov-2020","2,724.25","2,734.40","2,743.00","2,705.00","2,726.00","2,722.05","2,724.87","31,20,516","8,50,29,92,372.30","1,48,092","12,69,435","40.68"
"TCS","EQ","25-Nov-2020","2,722.05","2,729.00","2,732.95","2,688.20","2,700.00","2,701.30","2,707.81","33,02,249","8,94,18,71,533.30","1,63,422","18,04,711","54.65"
"TCS","EQ","26-Nov-2020","2,701.30","2,686.00","2,730.95","2,680.00","2,730.00","2,720.60","2,703.16","23,41,099","6,32,83,69,462.20","1,03,635","10,19,732","43.56"
"TCS","EQ","27-Nov-2020","2,720.60","2,705.00","2,717.70","2,669.05","2,678.00","2,679.65","2,684.61","60,86,808","16,34,06,91,429.60","1,68,842","33,77,042","55.48"
"TCS","EQ","01-Dec-2020","2,679.65","2,679.00","2,735.90","2,624.45","2,729.00","2,726.80","2,695.43","36,05,017","9,71,70,83,002.65","1,53,842","18,76,311","52.05"
"TCS","EQ","02-Dec-2020","2,726.80","2,719.00","2,754.70","2,702.45","2,745.50","2,749.55","2,727.49","25,09,032","6,84,33,51,199.50","1,06,756","11,53,028","45.96"
