"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TITAN","EQ","01-Nov-2021","2,383.55","2,441.45","2,441.45","2,390.35","2,407.80","2,406.30","2,407.82","12,76,469","3,07,35,13,400.30","92,131","6,24,149","48.90"
"TITAN","EQ","02-Nov-2021","2,406.30","2,422.80","2,464.80","2,421.05","2,451.00","2,453.95","2,443.56","15,46,219","3,77,82,78,593.30","84,290","6,91,200","44.70"
"TITAN","EQ","03-Nov-2021","2,453.95","2,462.00","2,471.65","2,406.05","2,421.00","2,417.95","2,432.91","15,54,405","3,78,17,31,974.75","75,985","8,55,694","55.05"
"TITAN","EQ","04-Nov-2021","2,417.95","2,439.00","2,444.80","2,422.00","2,432.15","2,431.75","2,435.38","1,81,506","44,20,35,432.15","17,910","99,390","54.76"
"TITAN","EQ","08-Nov-2021","2,431.75","2,477.90","2,548.70","2,448.30","2,542.00","2,536.75","2,511.91","34,49,086","8,66,37,88,499.90","1,46,176","14,91,669","43.25"
"TITAN","EQ","09-Nov-2021","2,536.75","2,528.95","2,543.80","2,491.15","2,516.50","2,512.10","2,516.34","10,97,405","2,76,14,41,254.40","76,072","4,71,158","42.93"
"TITAN","EQ","10-Nov-2021","2,512.10","2,505.00","2,526.85","2,472.20","2,484.00","2,484.60","2,490.74","9,11,235","2,26,96,50,647.90","64,085","4,07,049","44.67"
"TITAN","EQ","11-Nov-2021","2,484.60","2,484.00","2,542.80","2,476.30","2,526.60","2,528.10","2,523.03","17,26,010","4,35,47,76,070.30","96,076","4,76,883","27.63"
"TITAN","EQ","12-Nov-2021","2,528.10","2,547.85","2,561.75","2,523.00","2,535.10","2,539.50","2,542.65","16,73,817","4,25,59,29,181.10","94,427","7,60,588","45.44"
"TITAN","EQ","15-Nov-2021","2,539.50","2,551.00","2,572.70","2,531.70","2,536.95","2,539.40","2,553.05","8,46,885","2,16,21,36,972.90","62,038","3,50,324","41.37"
