"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","01-Nov-2022","1,537.65","1,553.05","1,575.00","1,547.10","1,572.00","1,573.00","1,561.63","45,42,692","7,09,40,18,928.95","1,58,171","27,15,922","59.79"
"INFY","EQ","02-Nov-2022","1,573.00","1,572.00","1,572.75","1,545.00","1,553.05","1,553.30","1,553.19","29,38,906","4,56,46,65,624.40","1,16,831","16,25,301","55.30"
"INFY","EQ","03-Nov-2022","1,553.30","1,538.75","1,543.90","1,521.65","1,530.80","1,530.75","1,531.83","31,74,027","4,86,20,85,395.75","1,31,708","16,73,434","52.72"
"INFY","EQ","04-Nov-2022","1,530.75","1,520.45","1,520.45","1,501.15","1,516.00","1,514.00","1,509.47","45,09,682","6,80,72,47,315.10","1,55,259","23,56,424","52.25"
"INFY","EQ","07-Nov-2022","1,514.00","1,521.40","1,527.90","1,491.10","1,507.00","1,507.45","1,506.07","48,98,592","7,37,76,30,657.10","1,75,332","29,38,456","59.99"
"INFY","EQ","09-Nov-2022","1,507.45","1,529.00","1,529.00","1,501.10","1,509.60","1,511.20","1,515.75","33,34,755","5,05,46,51,934.85","1,01,945","18,45,609","55.34"
"INFY","EQ","10-Nov-2022","1,511.20","1,485.00","1,512.00","1,485.00","1,503.00","1,501.95","1,501.42","34,35,763","5,15,85,11,137.70","1,14,576","19,95,097","58.07"
"INFY","EQ","11-Nov-2022","1,501.95","1,546.65","1,573.50","1,546.65","1,570.70","1,570.10","1,563.49","72,14,098","11,27,92,01,381.35","2,33,749","42,55,303","58.99"
"INFY","EQ","14-Nov-2022","1,570.10","1,575.15","1,591.40","1,568.45","1,582.00","1,585.30","1,583.45","49,08,813","7,77,28,57,521.60","1,34,054","30,45,948","62.05"
"INFY","EQ","15-Nov-2022","1,585.30","1,577.85","1,597.85","1,572.75","1,596.00","1,594.00","1,585.55","34,97,614","5,54,56,24,935.75","1,22,547","23,90,003","68.33"
"INFY","EQ","16-Nov-2022","1,594.00","1,597.15","1,609.00","1,593.50","1,601.00","1,602.80","1,602.60","44,97,697","7,20,80,07,205.85","1,76,176","29,01,588","64.51"
"INFY","EQ","17-Nov-2022","1,602.80","1,597.20","1,602.80","1,582.95","1,585.60","1,587.40","1,592.58","34,69,515","5,52,54,64,430.50","1,07,072","22,30,119","64.28"
