"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"OFSS","EQ","01-Nov-2022","2,912.85","2,912.10","2,925.00","2,909.50","2,925.00","2,921.35","2,920.26","1,26,806","37,03,06,601.65","8,171","89,300","70.42"
"OFSS","EQ","02-Nov-2022","2,921.35","2,929.90","2,999.00","2,924.25","2,983.90","2,980.20","2,959.27","1,84,041","54,46,26,934.15","16,164","1,09,477","59.49"
"OFSS","EQ","03-Nov-2022","2,980.20","2,970.00","2,993.60","2,969.00","2,975.00","2,975.35","2,976.17","56,876","16,92,72,637.20","7,195","33,931","59.66"
"OFSS","EQ","04-Nov-2022","2,975.35","2,977.00","3,024.00","2,960.25","3,004.25","3,007.10","2,995.70","1,12,898","33,82,08,999.15","12,206","72,581","64.29"
"OFSS","EQ","07-Nov-2022","3,007.10","3,021.65","3,029.00","2,987.25","3,026.50","3,022.55","3,007.53","56,218","16,90,77,585.20","8,244","29,361","52.23"
"OFSS","EQ","09-Nov-2022","3,022.55","3,031.00","3,044.90","3,014.25","3,032.00","3,027.65","3,032.27","58,542","17,75,14,972.65","6,574","37,767","64.51"
"OFSS","EQ","10-Nov-2022","3,027.65","3,011.00","3,049.90","3,011.00","3,036.45","3,036.50","3,036.15","55,235","16,77,01,743.95","10,302","28,319","51.27"
"OFSS","EQ","11-Nov-2022","3,036.50","3,065.35","3,100.65","3,065.35","3,081.00","3,079.65","3,082.65","82,452","25,41,70,564.80","10,437","40,816","49.50"
"OFSS","EQ","14-Nov-2022","3,079.65","3,095.05","3,116.85","3,081.20","3,100.00","3,102.00","3,101.89","49,664","15,40,52,135.95","7,465","21,821","43.94"
"OFSS","EQ","15-Nov-2022","3,102.00","3,114.85","3,118.25","3,067.60","3,101.40","3,100.60","3,089.30","50,639","15,64,39,083.35","6,744","29,676","58.60"
"OFSS","EQ","16-Nov-2022","3,100.60","3,100.00","3,121.65","3,077.25","3,077.25","3,081.90","3,100.13","49,164","15,24,14,934.55","7,925","29,072","59.13"
"OFSS","EQ","17-Nov-2022","3,081.90","3,070.00","3,092.85","3,069.25","3,085.15","3,086.85","3,081.36","17,143","5,28,23,766.90","3,253","6,974","40.68"
"OFSS","EQ","18-Nov-2022","3,086.85","3,098.00","3,098.00","3,065.25","3,072.25","3,075.10","3,074.16","38,611","11,86,96,222.05","4,814","24,848","64.35"
"OFSS","EQ","21-Nov-2022","3,075.10","3,068.00","3,081.70","3,045.25","3,064.90","3,064.35","3,058.88","50,953","15,58,59,041.20","8,084","33,076","64.91"
"OFSS","EQ","22-Nov-2022","3,064.35","3,062.75","3,093.00","3,047.25","3,073.20","3,084.90","3,063.75","27,919","8,55,36,736.50","3,628","14,891","53.34"
"OFSS","EQ","23-Nov-2022","3,084.90","3,087.70","3,100.00","3,053.25","3,060.00","3,055.70","3,062.36","63,300","19,38,47,632.40","7,574","41,856","66.12"
"OFSS","EQ","24-Nov-2022","3,055.70","3,071.00","3,071.00","3,036.25","3,044.00","3,045.75","3,048.78","55,421","16,89,66,445.15","4,959","28,949","52.23"
"OFSS","EQ","25-Nov-2022","3,045.75","3,059.80","3,065.55","3,039.25","3,049.00","3,049.35","3,048.11","81,318","24,78,65,835.90","5,438","57,535","70.75"
"OFSS","EQ","28-Nov-2022","3,049.35","3,065.00","3,139.00","3,050.05","3,100.00","3,093.10","3,108.52","1,33,579","41,52,33,575.90","12,812","63,583","47.60"
"OFSS","EQ","29-Nov-2022","3,093.10","3,100.00","3,130.00","3,085.00","3,088.00","3,094.70","3,111.93","70,957","22,08,13,561.65","8,672","36,922","52.03"
"OFSS","EQ","30-Nov-2022","3,094.70","3,114.70","3,138.00","3,093.50","3,111.00","3,107.85","3,113.80","73,155","22,77,89,683.30","8,639","43,398","59.32"
"OFSS","EQ","01-Dec-2022","3,107.85","3,124.00","3,150.00","3,106.05","3,127.95","3,122.00","3,130.92","2,01,602","63,11,99,048.95","12,172","1,44,367","71.61"
"OFSS","EQ","02-Dec-2022","3,122.00","3,128.95","3,295.00","3,125.05","3,215.00","3,218.80","3,240.20","5,39,699","1,74,87,30,180.40","49,898","1,20,898","22.40"
"OFSS","EQ","05-Dec-2022","3,218.80","3,237.55","3,240.00","3,160.00","3,175.00","3,176.00","3,184.84","1,13,358","36,10,27,030.30","14,547","46,383","40.92"
"OFSS","EQ","06-Dec-2022","3,176.00","3,165.05","3,168.00","3,120.25","3,126.00","3,132.85","3,137.73","89,589","28,11,06,323.55","10,165","46,026","51.37"
"OFSS","EQ","07-Dec-2022","3,132.85","3,135.00","3,148.55","3,095.25","3,102.00","3,108.85","3,109.48","64,361","20,01,29,164.85","7,390","33,262","51.68"
"OFSS","EQ","08-Dec-2022","3,108.85","3,122.05","3,122.05","3,093.00","3,093.35","3,098.00","3,100.37","29,490","9,14,29,781.30","5,491","14,012","47.51"
"OFSS","EQ","09-Dec-2022","3,098.00","3,114.70","3,118.05","3,027.00","3,050.00","3,046.95","3,065.59","1,01,440","31,09,73,221.80","6,700","64,227","63.32"
"OFSS","EQ","12-Dec-2022","3,046.95","3,050.00","3,058.85","3,024.25","3,035.00","3,037.15","3,035.30","38,694","11,74,47,736.55","5,505","19,559","50.55"
"OFSS","EQ","13-Dec-2022","3,037.15","3,061.95","3,103.10","3,040.00","3,085.10","3,094.50","3,074.25","48,387","14,87,53,576.15","8,536","22,371","46.23"
"OFSS","EQ","14-Dec-2022","3,094.50","3,103.90","3,124.95","3,075.00","3,101.15","3,094.25","3,095.73","42,703","13,21,97,112.30","5,642","15,036","35.21"
"OFSS","EQ","15-Dec-2022","3,094.25","3,101.90","3,101.90","3,035.25","3,039.00","3,042.30","3,052.61","45,147","13,78,16,162.60","4,883","26,508","58.71"
"OFSS","EQ","16-Dec-2022","3,042.30","3,030.00","3,050.00","3,015.00","3,028.00","3,018.85","3,024.75","64,718","19,57,55,929.05","8,355","41,212","63.68"
"OFSS","EQ","19-Dec-2022","3,018.85","3,038.95","3,038.95","2,990.25","3,002.00","2,999.70","3,000.31","62,592","18,77,95,095.25","13,369","36,573","58.43"
