"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"M&M","EQ","01-Nov-2023","1,458.60","1,464.90","1,485.00","1,450.00","1,452.50","1,454.60","1,464.95","26,27,536","3,84,92,13,929.40","1,24,446","13,85,854","52.74"
"M&M","EQ","02-Nov-2023","1,454.60","1,465.00","1,477.50","1,452.50","1,475.25","1,469.70","1,461.99","20,91,122","3,05,71,89,957.30","1,14,675","9,48,766","45.37"
"M&M","EQ","03-Nov-2023","1,469.70","1,480.00","1,488.10","1,460.45","1,470.00","1,469.00","1,473.06","24,56,723","3,61,89,07,743.05","1,14,156","14,42,878","58.73"
"M&M","EQ","06-Nov-2023","1,469.00","1,481.80","1,492.20","1,473.55","1,492.05","1,488.30","1,482.59","12,71,868","1,88,56,58,642.35","70,563","8,78,236","69.05"
"M&M","EQ","07-Nov-2023","1,488.30","1,488.25","1,497.00","1,475.00","1,479.60","1,479.75","1,486.39","19,40,908","2,88,49,37,770.10","91,741","12,49,961","64.40"
"M&M","EQ","08-Nov-2023","1,479.75","1,485.05","1,489.40","1,474.00","1,486.00","1,487.40","1,481.64","13,42,202","1,98,86,62,938.30","63,329","8,26,544","61.58"
"M&M","EQ","09-Nov-2023","1,487.40","1,487.40","1,558.70","1,487.40","1,550.00","1,552.05","1,532.62","48,31,782","7,40,53,07,780.85","1,75,935","20,30,967","42.03"
"M&M","EQ","10-Nov-2023","1,552.05","1,550.00","1,551.00","1,515.30","1,523.50","1,524.10","1,528.30","48,72,228","7,44,62,49,607.25","1,56,757","16,20,457","33.26"
"M&M","EQ","12-Nov-2023","1,524.10","1,540.00","1,540.00","1,523.35","1,527.50","1,526.25","1,530.61","3,40,544","52,12,39,526.35","18,133","1,50,536","44.20"
"M&M","EQ","13-Nov-2023","1,526.25","1,526.25","1,543.30","1,513.05","1,537.65","1,540.25","1,532.61","19,68,032","3,01,62,18,939.75","76,313","11,69,534","59.43"
"M&M","EQ","15-Nov-2023","1,540.25","1,549.00","1,550.80","1,533.55","1,541.25","1,544.15","1,541.12","27,82,942","4,28,88,49,627.70","96,931","19,80,064","71.15"
"M&M","EQ","16-Nov-2023","1,544.15","1,544.20","1,583.95","1,538.50","1,571.00","1,569.50","1,560.31","32,24,223","5,03,07,72,372.00","1,31,439","19,00,132","58.93"
"M&M","EQ","17-Nov-2023","1,569.50","1,575.00","1,596.00","1,572.65","1,582.00","1,584.55","1,586.80","20,35,309","3,22,96,34,318.15","96,008","9,79,295","48.12"
"M&M","EQ","20-Nov-2023","1,584.55","1,589.80","1,589.80","1,540.60","1,553.00","1,552.20","1,552.86","29,18,577","4,53,21,42,535.20","1,00,706","16,92,474","57.99"
"M&M","EQ","21-Nov-2023","1,552.20","1,553.00","1,571.40","1,549.15","1,561.25","1,559.75","1,560.72","22,13,144","3,45,40,99,064.10","74,086","14,38,046","64.98"
"M&M","EQ","22-Nov-2023","1,559.75","1,560.00","1,564.65","1,535.00","1,545.50","1,543.45","1,547.17","12,69,475","1,96,40,98,546.80","74,110","6,65,034","52.39"
"M&M","EQ","23-Nov-2023","1,543.45","1,556.60","1,560.95","1,535.10","1,547.50","1,545.85","1,546.53","15,52,635","2,40,11,91,549.55","78,433","6,54,391","42.15"
"M&M","EQ","24-Nov-2023","1,545.85","1,549.00","1,559.50","1,547.50","1,551.95","1,553.20","1,553.16","12,39,270","1,92,47,87,709.00","64,427","7,64,149","61.66"
"M&M","EQ","28-Nov-2023","1,553.20","1,553.20","1,572.00","1,542.15","1,565.50","1,566.05","1,559.99","25,96,766","4,05,09,29,463.50","1,43,836","17,85,527","68.76"
"M&M","EQ","29-Nov-2023","1,566.05","1,576.00","1,623.40","1,567.25","1,614.00","1,619.10","1,606.73","35,81,220","5,75,40,64,065.50","1,46,890","19,29,727","53.88"
"M&M","EQ","30-Nov-2023","1,619.10","1,615.05","1,660.00","1,613.70","1,644.60","1,647.75","1,645.03","52,14,960","8,57,87,68,910.00","1,71,773","28,02,695","53.74"
"M&M","EQ","01-Dec-2023","1,647.75","1,656.00","1,666.00","1,621.20","1,627.00","1,625.50","1,640.08","24,89,755","4,08,33,87,511.45","98,599","13,52,999","54.34"
"M&M","EQ","04-Dec-2023","1,625.50","1,662.85","1,675.00","1,639.45","1,655.00","1,656.85","1,655.66","30,01,010","4,96,86,42,170.20","1,00,100","18,50,073","61.65"
"M&M","EQ","05-Dec-2023","1,656.85","1,660.90","1,708.00","1,640.60","1,684.50","1,686.05","1,687.33","34,23,953","5,77,73,40,535.90","1,30,952","18,41,933","53.80"
"M&M","EQ","06-Dec-2023","1,686.05","1,688.10","1,710.45","1,684.15","1,706.45","1,702.40","1,698.46","22,79,220","3,87,11,69,734.40","1,18,171","15,99,703","70.19"
"M&M","EQ","07-Dec-2023","1,702.40","1,703.00","1,706.00","1,681.65","1,697.95","1,692.65","1,694.46","24,61,051","4,17,01,45,824.70","1,17,808","13,73,108","55.79"
"M&M","EQ","08-Dec-2023","1,692.65","1,699.00","1,708.15","1,662.55","1,668.00","1,668.55","1,676.43","19,42,667","3,25,67,48,653.40","1,04,421","10,16,289","52.31"
"M&M","EQ","11-Dec-2023","1,668.55","1,674.00","1,674.45","1,647.10","1,652.00","1,652.20","1,655.74","20,37,178","3,37,30,31,067.35","87,156","12,86,309","63.14"
"M&M","EQ","12-Dec-2023","1,652.20","1,663.00","1,670.00","1,626.50","1,634.80","1,635.40","1,644.36","20,51,527","3,37,34,56,932.95","98,456","14,29,794","69.69"
"M&M","EQ","13-Dec-2023","1,635.40","1,639.00","1,670.50","1,629.55","1,668.05","1,666.15","1,652.49","22,47,441","3,71,38,78,152.95","83,152","14,09,441","62.71"
"M&M","EQ","14-Dec-2023","1,666.15","1,676.00","1,709.85","1,671.05","1,704.00","1,703.55","1,690.28","33,26,228","5,62,22,69,608.75","1,22,685","20,84,609","62.67"
