"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","01-Nov-2023","3,189.65","3,193.85","3,212.90","3,168.35","3,171.15","3,173.40","3,188.18","7,56,820","2,41,28,78,354.80","71,026","4,17,728","55.20"
"TITAN","EQ","02-Nov-2023","3,173.40","3,200.00","3,228.50","3,180.00","3,208.95","3,201.50","3,200.03","7,74,180","2,47,73,99,163.80","73,593","2,52,176","32.57"
"TITAN","EQ","03-Nov-2023","3,201.50","3,205.15","3,288.00","3,205.05","3,277.00","3,274.50","3,258.61","13,55,614","4,41,74,19,165.55","1,00,540","4,42,076","32.61"
"TITAN","EQ","06-Nov-2023","3,274.50","3,310.00","3,310.00","3,245.30","3,269.80","3,267.05","3,269.60","11,37,606","3,71,95,14,893.95","92,757","6,33,644","55.70"
"TITAN","EQ","07-Nov-2023","3,267.05","3,274.00","3,286.45","3,250.20","3,270.85","3,270.20","3,273.49","4,33,992","1,42,06,66,704.30","47,303","2,27,610","52.45"
"TITAN","EQ","08-Nov-2023","3,270.20","3,289.00","3,323.80","3,272.20","3,311.80","3,311.85","3,305.40","6,32,305","2,09,00,20,924.95","60,075","3,22,868","51.06"
"TITAN","EQ","09-Nov-2023","3,311.85","3,320.95","3,320.95","3,274.65","3,285.00","3,283.75","3,291.41","13,17,398","4,33,60,97,352.30","74,676","8,40,123","63.77"
"TITAN","EQ","10-Nov-2023","3,283.75","3,263.05","3,274.95","3,223.00","3,260.15","3,256.35","3,240.29","11,70,763","3,79,36,10,796.00","60,136","7,07,510","60.43"
"TITAN","EQ","12-Nov-2023","3,256.35","3,300.00","3,320.00","3,265.00","3,281.95","3,280.60","3,282.02","2,04,514","67,12,18,486.40","21,534","89,854","43.94"
"TITAN","EQ","13-Nov-2023","3,280.60","3,275.00","3,278.35","3,250.60","3,265.90","3,264.75","3,263.02","2,75,538","89,90,87,265.25","35,857","1,62,425","58.95"
"TITAN","EQ","15-Nov-2023","3,264.75","3,275.25","3,300.90","3,260.75","3,295.40","3,295.95","3,283.54","7,47,863","2,45,56,41,716.70","58,772","4,66,259","62.35"
"TITAN","EQ","16-Nov-2023","3,295.95","3,295.40","3,358.00","3,259.25","3,335.35","3,335.95","3,319.30","10,55,389","3,50,31,55,748.40","79,457","5,15,329","48.83"
"TITAN","EQ","17-Nov-2023","3,335.95","3,339.00","3,366.00","3,326.70","3,337.50","3,338.85","3,346.39","6,33,405","2,11,96,18,757.05","56,251","2,89,225","45.66"
"TITAN","EQ","20-Nov-2023","3,338.85","3,338.00","3,353.95","3,312.25","3,351.00","3,345.85","3,334.31","4,97,379","1,65,84,15,987.80","48,627","2,46,621","49.58"
"TITAN","EQ","21-Nov-2023","3,345.85","3,365.00","3,401.75","3,355.10","3,388.30","3,394.45","3,387.08","10,38,863","3,51,87,08,164.55","80,091","4,49,101","43.23"
"TITAN","EQ","22-Nov-2023","3,394.45","3,400.00","3,435.00","3,396.05","3,429.95","3,429.85","3,422.08","9,80,779","3,35,63,03,536.60","74,743","5,60,200","57.12"
