"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","01-Nov-2024","1,757.25","1,764.50","1,766.00","1,752.05","1,755.60","1,760.85","1,761.68","3,71,966","65,52,84,656.85","29,613","1,77,843","47.81"
"INFY","EQ","04-Nov-2024","1,760.85","1,724.50","1,767.00","1,718.00","1,763.05","1,763.65","1,742.20","73,36,722","12,78,20,53,575.35","2,37,541","45,46,264","61.97"
"INFY","EQ","05-Nov-2024","1,763.65","1,760.00","1,768.45","1,745.00","1,753.00","1,754.20","1,754.19","31,60,880","5,54,47,81,198.40","1,68,160","18,86,454","59.68"
"INFY","EQ","06-Nov-2024","1,754.20","1,764.00","1,827.20","1,762.65","1,821.00","1,823.70","1,809.14","1,04,21,494","18,85,39,55,667.25","3,05,870","66,33,255","63.65"
"INFY","EQ","07-Nov-2024","1,823.70","1,812.95","1,825.70","1,787.00","1,802.85","1,803.05","1,802.49","45,50,965","8,20,30,53,863.70","2,74,916","29,45,745","64.73"
"INFY","EQ","08-Nov-2024","1,803.05","1,818.00","1,840.60","1,813.15","1,825.95","1,829.95","1,832.23","42,10,960","7,71,54,46,613.70","1,99,379","20,76,350","49.31"
"INFY","EQ","11-Nov-2024","1,829.95","1,829.00","1,868.00","1,822.55","1,859.05","1,860.10","1,855.73","38,04,234","7,05,96,43,882.45","2,40,025","24,40,014","64.14"
"INFY","EQ","12-Nov-2024","1,860.10","1,871.10","1,881.00","1,861.00","1,861.00","1,868.80","1,871.65","50,12,450","9,38,15,50,004.50","1,82,346","33,41,498","66.66"
"INFY","EQ","13-Nov-2024","1,868.80","1,861.10","1,873.20","1,856.30","1,869.00","1,868.40","1,866.77","42,57,495","7,94,77,52,333.85","1,87,205","31,07,684","72.99"
"INFY","EQ","14-Nov-2024","1,868.40","1,865.60","1,876.00","1,856.00","1,865.00","1,864.55","1,865.97","43,11,431","8,04,50,09,313.65","2,06,703","28,41,321","65.90"
"INFY","EQ","18-Nov-2024","1,864.55","1,849.20","1,849.20","1,795.00","1,815.05","1,811.45","1,813.82","48,39,244","8,77,75,30,199.20","2,07,559","29,93,164","61.85"
"INFY","EQ","19-Nov-2024","1,811.45","1,825.50","1,859.70","1,820.55","1,822.50","1,824.75","1,839.98","46,69,769","8,59,22,82,283.60","1,42,990","32,29,861","69.17"
"INFY","EQ","21-Nov-2024","1,824.75","1,842.00","1,867.00","1,820.60","1,834.00","1,834.05","1,836.76","54,36,504","9,98,55,80,026.60","2,32,740","26,00,161","47.83"
"INFY","EQ","22-Nov-2024","1,834.05","1,854.10","1,914.05","1,834.00","1,889.20","1,902.25","1,880.71","63,01,486","11,85,12,97,771.15","1,85,473","37,23,656","59.09"
"INFY","EQ","25-Nov-2024","1,902.25","1,916.00","1,919.30","1,882.00","1,891.00","1,889.70","1,890.66","1,27,64,638","24,13,35,84,391.95","1,96,770","90,70,318","71.06"
"INFY","EQ","26-Nov-2024","1,889.70","1,904.95","1,938.60","1,897.30","1,920.20","1,924.15","1,926.35","68,50,495","13,19,64,71,061.70","3,12,960","42,64,818","62.26"
"INFY","EQ","27-Nov-2024","1,924.15","1,930.10","1,941.40","1,911.75","1,927.00","1,924.50","1,926.81","44,47,143","8,56,87,81,533.80","1,46,524","27,56,729","61.99"
"INFY","EQ","28-Nov-2024","1,924.50","1,914.90","1,914.90","1,851.65","1,860.30","1,856.65","1,869.78","84,68,790","15,83,47,48,613.30","2,84,687","56,57,358","66.80"
"INFY","EQ","29-Nov-2024","1,856.65","1,851.10","1,877.00","1,845.00","1,856.95","1,857.85","1,859.93","52,44,346","9,75,41,22,115.25","2,17,020","29,06,341","55.42"
"INFY","EQ","02-Dec-2024","1,857.85","1,859.00","1,882.80","1,835.20","1,877.45","1,879.80","1,868.92","28,68,263","5,36,05,64,446.55","1,43,774","15,34,907","53.51"
"INFY","EQ","03-Dec-2024","1,879.80","1,887.00","1,899.75","1,871.15","1,890.00","1,892.10","1,891.36","47,15,792","8,91,92,59,125.80","1,65,988","32,06,192","67.99"
