"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&M","EQ","01-Nov-2024","2,728.55","2,780.00","2,840.90","2,780.00","2,826.45","2,817.65","2,807.12","10,61,709","2,98,03,47,418.60","46,914","1,84,024","17.33"
"M&M","EQ","04-Nov-2024","2,817.65","2,804.50","2,971.75","2,804.50","2,878.00","2,883.95","2,876.88","75,59,263","21,74,71,15,179.60","3,62,491","33,15,825","43.86"
"M&M","EQ","05-Nov-2024","2,883.95","2,875.50","2,908.00","2,822.10","2,890.00","2,899.45","2,877.99","35,62,624","10,25,31,95,982.75","1,15,664","21,10,708","59.25"
"M&M","EQ","06-Nov-2024","2,899.45","2,910.00","2,953.80","2,885.40","2,912.40","2,934.55","2,925.64","29,02,347","8,49,12,25,138.90","1,50,639","12,96,929","44.69"
"M&M","EQ","07-Nov-2024","2,934.55","2,971.75","2,972.55","2,857.95","2,900.00","2,891.35","2,910.04","42,51,557","12,37,21,87,568.00","2,04,748","15,23,963","35.84"
"M&M","EQ","08-Nov-2024","2,891.35","2,910.00","2,990.95","2,851.25","2,960.60","2,974.90","2,932.06","44,55,563","13,06,39,61,740.65","2,39,380","20,99,464","47.12"
"M&M","EQ","11-Nov-2024","2,974.90","2,962.35","3,009.60","2,889.05","2,920.00","2,930.60","2,946.34","26,28,672","7,74,49,72,849.00","1,37,708","11,52,991","43.86"
"M&M","EQ","12-Nov-2024","2,930.60","2,931.20","2,945.90","2,880.00","2,884.05","2,898.55","2,912.87","24,14,528","7,03,32,00,332.95","1,24,178","14,42,356","59.74"
"M&M","EQ","13-Nov-2024","2,898.55","2,876.00","2,895.00","2,782.90","2,798.00","2,798.95","2,808.05","39,49,602","11,09,06,61,915.05","2,85,055","22,25,054","56.34"
"M&M","EQ","14-Nov-2024","2,798.95","2,815.00","2,842.40","2,736.25","2,818.25","2,807.20","2,793.03","24,78,112","6,92,14,41,550.45","1,75,000","10,97,492","44.29"
"M&M","EQ","18-Nov-2024","2,807.20","2,844.00","2,874.70","2,800.05","2,846.95","2,846.90","2,833.55","24,05,351","6,81,56,91,926.35","1,27,014","12,55,491","52.20"
"M&M","EQ","19-Nov-2024","2,846.90","2,845.00","2,998.00","2,845.00","2,936.55","2,948.95","2,955.35","52,30,405","15,45,76,91,246.80","2,43,063","28,41,608","54.33"
"M&M","EQ","21-Nov-2024","2,948.95","2,962.50","2,974.00","2,918.00","2,925.05","2,936.25","2,939.66","38,21,808","11,23,48,12,173.15","1,98,573","20,81,492","54.46"
"M&M","EQ","22-Nov-2024","2,936.25","2,944.00","3,063.50","2,896.70","3,005.50","3,012.95","2,977.33","48,27,125","14,37,19,65,141.60","2,28,670","26,99,636","55.93"
"M&M","EQ","25-Nov-2024","3,012.95","3,075.00","3,149.65","3,022.40","3,047.60","3,045.60","3,069.03","62,99,837","19,33,44,14,421.20","2,31,715","39,24,048","62.29"
"M&M","EQ","26-Nov-2024","3,045.60","3,053.50","3,068.10","2,952.50","3,005.00","2,985.20","2,997.87","21,44,702","6,42,95,32,777.85","1,09,018","8,98,568","41.90"
"M&M","EQ","27-Nov-2024","2,985.20","3,025.95","3,070.00","2,986.05","3,000.00","3,004.80","3,021.24","35,93,911","10,85,80,71,838.80","1,60,444","13,91,182","38.71"
