"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABCAPITAL","EQ","07-Mar-2025","159.58","159.97","163.54","158.73","160.80","160.85","161.06","63,86,257","1,02,85,49,340.71","74,458","33,01,426","51.70"
"ABCAPITAL","EQ","10-Mar-2025","160.85","161.05","162.84","156.85","157.53","158.06","159.78","40,72,347","65,06,67,173.20","32,282","22,44,232","55.11"
"ABCAPITAL","EQ","11-Mar-2025","158.06","157.31","158.69","154.92","158.60","157.88","157.17","31,17,970","49,00,64,437.33","25,211","13,59,106","43.59"
"ABCAPITAL","EQ","12-Mar-2025","157.88","159.73","163.60","158.60","162.90","162.80","161.42","69,43,158","1,12,07,52,942.20","46,270","24,96,042","35.95"
"ABCAPITAL","EQ","13-Mar-2025","162.80","163.61","164.71","161.02","162.17","162.19","162.61","28,15,149","45,77,82,359.70","24,451","10,63,069","37.76"
"ABCAPITAL","EQ","17-Mar-2025","162.19","162.19","163.30","160.59","162.00","161.82","161.63","25,87,916","41,82,82,545.70","28,083","14,23,628","55.01"
"ABCAPITAL","EQ","18-Mar-2025","161.82","162.00","166.75","161.83","166.50","166.49","165.14","28,39,881","46,89,78,661.85","40,481","13,18,277","46.42"
"ABCAPITAL","EQ","19-Mar-2025","166.49","166.92","171.49","166.25","170.58","170.79","169.58","47,06,833","79,81,99,675.63","38,562","25,70,645","54.62"
"ABCAPITAL","EQ","20-Mar-2025","170.79","173.00","177.40","171.19","176.60","176.78","175.37","66,93,138","1,17,37,67,914.69","43,982","27,14,939","40.56"
"ABCAPITAL","EQ","21-Mar-2025","176.78","178.70","186.41","177.46","186.00","185.52","183.85","1,36,79,696","2,51,50,80,354.26","83,658","49,52,921","36.21"
"ABCAPITAL","EQ","24-Mar-2025","185.52","186.38","187.60","183.25","184.80","184.59","185.13","41,93,804","77,64,17,718.70","44,675","18,54,248","44.21"
"ABCAPITAL","EQ","25-Mar-2025","184.59","185.50","185.50","181.00","181.70","181.55","182.51","31,12,169","56,80,09,245.33","26,786","14,19,916","45.62"
"ABCAPITAL","EQ","26-Mar-2025","181.55","181.50","185.19","180.00","181.50","181.43","183.08","29,33,935","53,71,37,869.43","28,961","10,96,302","37.37"
"ABCAPITAL","EQ","27-Mar-2025","181.43","180.21","186.50","177.51","186.50","185.21","183.82","45,28,452","83,24,24,368.14","27,490","23,45,109","51.79"
"ABCAPITAL","EQ","28-Mar-2025","185.21","185.21","187.64","183.06","184.99","185.07","185.65","29,19,014","54,19,25,800.71","25,119","14,93,498","51.16"
"ABCAPITAL","EQ","01-Apr-2025","185.07","183.07","185.82","180.51","184.67","184.03","183.28","34,70,386","63,60,46,280.77","32,173","15,52,769","44.74"
"ABCAPITAL","EQ","02-Apr-2025","184.03","184.11","190.80","182.12","190.25","190.16","187.91","42,21,124","79,31,80,061.88","29,909","12,99,048","30.77"
"ABCAPITAL","EQ","03-Apr-2025","190.16","190.00","193.70","187.41","193.04","193.34","191.68","57,91,029","1,11,00,05,930.21","41,434","23,66,921","40.87"
"ABCAPITAL","EQ","04-Apr-2025","193.34","192.75","193.03","185.97","188.95","188.26","189.62","45,01,520","85,35,98,365.16","49,429","18,76,643","41.69"
"ABCAPITAL","EQ","07-Apr-2025","188.26","169.43","181.70","169.43","181.00","179.34","177.59","1,02,19,908","1,81,49,20,942.52","86,078","48,69,094","47.64"
"ABCAPITAL","EQ","08-Apr-2025","179.34","183.78","187.76","181.11","185.00","184.02","184.31","47,34,526","87,26,43,078.79","53,307","19,96,473","42.17"
"ABCAPITAL","EQ","09-Apr-2025","184.02","184.00","185.49","180.40","181.81","181.95","182.68","57,39,540","1,04,84,77,939.56","36,000","28,08,546","48.93"
"ABCAPITAL","EQ","11-Apr-2025","181.95","184.00","188.00","183.90","185.10","185.33","186.26","44,69,518","83,24,75,301.85","46,041","21,21,620","47.47"
"ABCAPITAL","EQ","15-Apr-2025","185.33","188.00","191.00","186.69","190.67","190.64","189.64","32,26,844","61,19,22,798.52","45,986","16,92,425","52.45"
"ABCAPITAL","EQ","16-Apr-2025","190.64","191.00","196.34","190.09","196.00","195.82","194.85","62,96,910","1,22,69,54,051.41","66,677","32,77,749","52.05"
"ABCAPITAL","EQ","17-Apr-2025","195.82","196.00","199.00","195.50","198.13","198.18","197.58","56,30,583","1,11,25,17,597.06","76,720","28,48,019","50.58"
"ABCAPITAL","EQ","21-Apr-2025","198.18","199.90","204.99","197.85","202.58","202.49","202.27","64,04,738","1,29,54,63,393.11","51,343","27,99,831","43.71"
"ABCAPITAL","EQ","22-Apr-2025","202.49","203.00","206.99","202.65","203.98","203.82","204.96","55,09,241","1,12,91,73,373.07","41,474","28,76,593","52.21"
"ABCAPITAL","EQ","23-Apr-2025","203.82","204.95","208.80","200.50","207.50","207.98","205.47","40,82,754","83,88,85,125.15","34,013","16,82,749","41.22"
"ABCAPITAL","EQ","24-Apr-2025","207.98","207.01","208.23","202.02","202.02","203.10","204.08","35,96,167","73,39,21,951.28","32,304","15,61,261","43.41"
"ABCAPITAL","EQ","25-Apr-2025","203.10","202.73","204.20","194.00","195.51","195.94","197.05","57,73,192","1,13,75,80,788.94","36,454","22,72,050","39.36"
"ABCAPITAL","EQ","28-Apr-2025","195.94","195.00","200.95","195.00","199.50","199.42","198.39","30,69,376","60,89,34,720.70","36,939","11,02,294","35.91"
"ABCAPITAL","EQ","29-Apr-2025","199.42","201.00","203.00","199.10","199.75","199.71","201.08","31,38,260","63,10,38,291.86","31,251","13,77,079","43.88"
"ABCAPITAL","EQ","30-Apr-2025","199.71","199.60","199.70","195.22","195.70","196.36","197.28","25,27,340","49,86,04,259.34","42,882","11,71,954","46.37"
"ABCAPITAL","EQ","02-May-2025","196.36","197.00","201.80","195.90","197.59","198.08","198.90","31,73,576","63,12,19,068.24","86,966","12,78,774","40.29"
"ABCAPITAL","EQ","05-May-2025","198.08","198.00","200.94","197.59","199.45","199.32","199.76","24,52,802","48,99,83,559.08","31,062","13,88,028","56.59"
"ABCAPITAL","EQ","06-May-2025","199.32","198.50","200.78","191.42","191.90","191.94","194.89","40,92,349","79,75,65,491.42","1,17,000","21,95,170","53.64"
"ABCAPITAL","EQ","07-May-2025","191.94","188.93","201.65","188.41","200.25","200.75","197.62","72,02,675","1,42,34,28,641.52","1,03,045","33,96,970","47.16"
"ABCAPITAL","EQ","08-May-2025","200.75","200.70","204.50","193.00","193.21","194.62","199.92","47,59,157","95,14,50,901.63","40,523","15,02,487","31.57"
"ABCAPITAL","EQ","09-May-2025","194.62","190.00","194.88","189.81","194.64","193.17","192.71","44,47,930","85,71,47,463.95","44,421","19,61,342","44.10"
"ABCAPITAL","EQ","12-May-2025","193.17","199.40","205.98","199.01","205.00","205.54","204.59","48,82,715","99,89,53,945.79","35,678","21,96,805","44.99"
"ABCAPITAL","EQ","13-May-2025","205.54","205.80","210.10","201.20","202.51","204.89","206.27","55,71,107","1,14,91,35,193.23","42,779","17,41,609","31.26"
"ABCAPITAL","EQ","14-May-2025","204.89","206.00","219.99","206.00","217.00","218.33","216.38","2,54,10,327","5,49,83,78,726.44","1,34,784","70,78,778","27.86"
