"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIGREEN","EQ","07-Mar-2025","845.95","840.00","847.30","823.15","841.90","837.20","834.56","60,78,435","5,07,28,45,493.05","1,16,888","23,59,028","38.81"
"ADANIGREEN","EQ","10-Mar-2025","837.20","840.90","871.00","823.25","825.00","826.05","844.17","65,95,111","5,56,74,15,549.50","1,29,753","19,96,238","30.27"
"ADANIGREEN","EQ","11-Mar-2025","826.05","819.25","834.35","810.60","833.25","824.20","821.32","34,95,317","2,87,07,77,180.80","75,002","10,53,532","30.14"
"ADANIGREEN","EQ","12-Mar-2025","824.20","834.40","858.00","806.35","854.90","853.45","834.59","48,26,264","4,02,79,45,406.35","88,597","14,51,892","30.08"
"ADANIGREEN","EQ","13-Mar-2025","853.45","874.00","896.85","858.00","871.90","873.65","880.11","1,17,79,180","10,36,69,22,595.90","2,14,029","15,57,567","13.22"
"ADANIGREEN","EQ","17-Mar-2025","873.65","873.65","908.45","868.85","896.00","896.45","895.06","59,03,492","5,28,39,95,006.80","1,30,474","10,46,912","17.73"
"ADANIGREEN","EQ","18-Mar-2025","896.45","904.70","911.90","889.10","901.00","900.90","901.65","42,22,109","3,80,68,67,447.15","92,532","7,79,559","18.46"
"ADANIGREEN","EQ","19-Mar-2025","900.90","904.05","918.75","901.40","908.70","911.20","912.49","29,80,425","2,71,96,04,014.05","63,758","5,97,660","20.05"
"ADANIGREEN","EQ","20-Mar-2025","911.20","920.30","927.95","902.05","921.60","923.40","915.92","32,10,117","2,94,02,00,173.90","68,499","10,59,320","33.00"
"ADANIGREEN","EQ","21-Mar-2025","923.40","925.00","983.35","920.55","957.00","954.25","957.76","81,47,557","7,80,34,13,714.15","1,69,547","14,07,287","17.27"
"ADANIGREEN","EQ","24-Mar-2025","954.25","972.00","981.00","949.05","952.00","952.90","961.24","36,32,791","3,49,19,71,910.15","82,594","8,93,002","24.58"
