"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPORTS","EQ","07-Mar-2025","1,136.20","1,136.20","1,156.95","1,134.10","1,143.55","1,144.50","1,148.02","22,11,623","2,53,89,82,403.05","81,854","7,69,167","34.78"
"ADANIPORTS","EQ","10-Mar-2025","1,144.50","1,146.00","1,168.65","1,136.95","1,137.50","1,142.90","1,155.15","24,30,740","2,80,78,59,475.20","85,763","9,98,184","41.07"
"ADANIPORTS","EQ","11-Mar-2025","1,142.90","1,137.30","1,145.90","1,124.40","1,133.90","1,135.00","1,138.35","23,99,428","2,73,13,97,055.55","69,467","11,68,772","48.71"
"ADANIPORTS","EQ","12-Mar-2025","1,135.00","1,139.00","1,155.15","1,105.00","1,123.65","1,128.30","1,131.76","28,42,848","3,21,74,31,486.95","74,501","13,40,883","47.17"
"ADANIPORTS","EQ","13-Mar-2025","1,128.30","1,135.00","1,139.45","1,115.05","1,118.20","1,119.20","1,125.60","13,58,839","1,52,95,11,670.75","66,258","4,37,256","32.18"
"ADANIPORTS","EQ","17-Mar-2025","1,119.20","1,114.80","1,148.55","1,111.20","1,137.80","1,137.15","1,135.18","14,89,541","1,69,09,03,644.85","64,471","4,95,679","33.28"
"ADANIPORTS","EQ","18-Mar-2025","1,137.15","1,149.90","1,161.00","1,137.95","1,158.00","1,158.80","1,151.73","18,65,040","2,14,80,20,706.65","59,885","7,64,904","41.01"
"ADANIPORTS","EQ","19-Mar-2025","1,158.80","1,160.00","1,184.50","1,158.80","1,171.70","1,173.50","1,174.86","24,16,781","2,83,93,83,400.10","70,214","10,03,283","41.51"
"ADANIPORTS","EQ","20-Mar-2025","1,173.50","1,185.00","1,186.95","1,161.20","1,175.00","1,177.45","1,173.77","19,19,013","2,25,24,70,953.00","62,423","9,17,905","47.83"
"ADANIPORTS","EQ","21-Mar-2025","1,177.45","1,182.00","1,202.55","1,172.05","1,189.00","1,188.80","1,189.51","31,27,446","3,72,01,29,318.90","74,993","17,63,184","56.38"
"ADANIPORTS","EQ","24-Mar-2025","1,188.80","1,196.00","1,210.85","1,186.05","1,200.50","1,200.80","1,202.50","21,35,192","2,56,75,73,242.85","65,546","11,88,147","55.65"
"ADANIPORTS","EQ","25-Mar-2025","1,200.80","1,205.00","1,209.10","1,174.55","1,179.70","1,182.45","1,187.91","20,90,037","2,48,27,76,267.80","88,959","8,28,878","39.66"
