"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"ALKEM","EQ","07-Mar-2025","4,746.20","4,730.00","4,782.35","4,675.05","4,715.00","4,738.05","4,741.39","1,86,716","88,52,92,847.30","27,446","1,31,587","70.47"
"ALKEM","EQ","10-Mar-2025","4,738.05","4,738.00","4,757.00","4,608.00","4,628.90","4,632.50","4,685.93","1,02,551","48,05,46,601.45","21,841","58,118","56.67"
"ALKEM","EQ","11-Mar-2025","4,632.50","4,610.00","4,790.00","4,610.00","4,767.80","4,777.75","4,729.04","85,295","40,33,63,752.70","22,676","40,568","47.56"
"ALKEM","EQ","12-Mar-2025","4,777.75","4,775.00","4,805.90","4,696.50","4,726.00","4,749.40","4,741.37","99,185","47,02,72,940.15","21,327","56,352","56.82"
"ALKEM","EQ","13-Mar-2025","4,749.40","4,779.95","4,779.95","4,681.40","4,681.40","4,706.95","4,727.53","72,930","34,47,78,932.85","19,065","39,672","54.40"
"ALKEM","EQ","17-Mar-2025","4,706.95","4,729.50","4,840.00","4,725.00","4,826.00","4,818.15","4,788.83","1,60,256","76,74,38,425.85","32,159","73,856","46.09"
"ALKEM","EQ","18-Mar-2025","4,818.15","4,870.00","4,870.00","4,791.00","4,820.00","4,810.60","4,818.06","83,976","40,46,01,649.45","15,577","42,816","50.99"
"ALKEM","EQ","19-Mar-2025","4,810.60","4,840.00","4,855.00","4,789.00","4,855.00","4,851.80","4,839.98","60,266","29,16,85,974.85","13,873","35,329","58.62"
"ALKEM","EQ","20-Mar-2025","4,851.80","4,880.00","4,944.50","4,842.10","4,904.00","4,906.20","4,889.12","88,230","43,13,67,111.40","13,913","51,907","58.83"
"ALKEM","EQ","21-Mar-2025","4,906.20","4,904.00","5,016.75","4,881.50","4,985.00","4,979.00","4,974.81","1,51,296","75,26,68,617.00","19,200","80,189","53.00"
"ALKEM","EQ","24-Mar-2025","4,979.00","5,015.00","5,092.40","4,960.55","5,060.00","5,052.55","5,052.73","84,099","42,49,29,376.35","18,657","46,551","55.35"
"ALKEM","EQ","25-Mar-2025","5,052.55","5,087.00","5,090.00","4,938.80","5,020.00","5,033.20","5,022.61","84,337","42,35,92,166.85","17,541","43,116","51.12"
"ALKEM","EQ","26-Mar-2025","5,033.20","5,029.00","5,080.00","4,966.60","4,995.00","5,003.20","5,000.36","88,764","44,38,52,327.70","11,316","45,349","51.09"
"ALKEM","EQ","27-Mar-2025","5,003.20","5,003.00","5,003.00","4,905.00","4,936.05","4,960.15","4,946.74","1,28,003","63,31,97,253.80","17,361","71,540","55.89"
"ALKEM","EQ","28-Mar-2025","4,960.15","4,939.15","4,980.65","4,848.00","4,866.80","4,881.70","4,899.38","1,51,360","74,15,69,775.05","29,156","87,410","57.75"
"ALKEM","EQ","01-Apr-2025","4,881.70","4,889.95","4,950.00","4,804.55","4,841.90","4,835.55","4,858.05","32,852","15,95,96,727.15","7,934","13,083","39.82"
"ALKEM","EQ","02-Apr-2025","4,835.55","4,856.65","4,906.25","4,788.00","4,903.00","4,887.70","4,844.10","75,912","36,77,25,566.60","11,419","41,368","54.49"
"ALKEM","EQ","03-Apr-2025","4,887.70","4,929.95","5,012.95","4,911.90","4,930.00","4,971.55","4,967.67","1,92,699","95,72,65,579.90","26,666","84,252","43.72"
