"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"AMBER","EQ","07-Mar-2025","6,174.90","6,200.00","6,418.00","6,200.00","6,325.00","6,339.15","6,322.04","10,33,859","6,53,61,02,839.65","1,04,350","1,38,697","13.42"
"AMBER","EQ","10-Mar-2025","6,339.15","6,340.05","6,649.90","6,310.05","6,375.00","6,431.35","6,498.00","10,69,120","6,94,71,41,006.45","1,34,233","1,40,593","13.15"
"AMBER","EQ","11-Mar-2025","6,431.35","6,277.05","6,458.00","6,160.10","6,410.00","6,414.20","6,329.24","6,58,070","4,16,50,79,738.85","80,144","53,583","8.14"
"AMBER","EQ","12-Mar-2025","6,414.20","6,455.00","6,539.00","6,340.55","6,495.00","6,522.40","6,449.12","4,79,846","3,09,45,85,722.85","61,873","69,649","14.51"
"AMBER","EQ","13-Mar-2025","6,522.40","6,516.95","6,575.00","6,310.10","6,353.45","6,365.50","6,426.49","4,60,862","2,96,17,26,118.15","69,044","90,608","19.66"
"AMBER","EQ","17-Mar-2025","6,365.50","6,396.90","6,655.00","6,347.55","6,499.00","6,489.70","6,533.78","5,86,550","3,83,23,91,258.70","74,853","1,16,493","19.86"
"AMBER","EQ","18-Mar-2025","6,489.70","6,550.00","6,728.95","6,512.05","6,630.00","6,632.85","6,637.25","5,54,155","3,67,80,68,020.90","62,819","1,19,185","21.51"
"AMBER","EQ","19-Mar-2025","6,632.85","6,609.25","6,900.00","6,609.20","6,840.00","6,861.90","6,779.40","4,89,592","3,31,91,39,166.20","55,419","73,652","15.04"
"AMBER","EQ","20-Mar-2025","6,861.90","6,900.00","7,347.40","6,896.15","7,210.00","7,248.50","7,211.45","15,40,246","11,10,74,01,993.85","1,80,668","3,68,663","23.94"
"AMBER","EQ","21-Mar-2025","7,248.50","7,260.00","7,261.25","6,840.00","6,888.00","6,890.55","6,951.64","7,83,413","5,44,60,08,854.20","83,239","1,59,182","20.32"
"AMBER","EQ","24-Mar-2025","6,890.55","6,980.10","7,085.00","6,896.95","7,002.30","7,001.75","6,996.14","4,52,595","3,16,64,18,170.55","59,083","86,427","19.10"
"AMBER","EQ","25-Mar-2025","7,001.75","7,070.45","7,139.80","6,839.80","6,896.60","6,884.90","6,935.56","3,52,793","2,44,68,18,559.60","53,105","80,333","22.77"
"AMBER","EQ","26-Mar-2025","6,884.90","6,900.00","6,992.45","6,741.85","6,860.00","6,857.15","6,870.23","2,95,298","2,02,87,64,851.55","41,280","36,124","12.23"
"AMBER","EQ","27-Mar-2025","6,857.15","6,827.20","7,204.95","6,728.30","7,120.00","7,131.30","6,974.43","5,64,817","3,93,92,74,500.35","66,798","1,60,344","28.39"
"AMBER","EQ","28-Mar-2025","7,131.30","7,181.00","7,299.00","7,180.00","7,180.00","7,210.85","7,243.22","5,11,573","3,70,54,33,945.20","62,614","1,43,941","28.14"
"AMBER","EQ","01-Apr-2025","7,210.85","7,180.00","7,219.00","6,848.20","6,865.00","6,879.55","6,940.62","3,76,900","2,61,59,18,986.80","57,851","99,326","26.35"
"AMBER","EQ","02-Apr-2025","6,879.55","6,900.00","7,009.00","6,801.35","6,982.00","6,996.05","6,947.51","3,12,615","2,17,18,94,969.00","40,227","64,106","20.51"
"AMBER","EQ","03-Apr-2025","6,996.05","6,940.00","7,058.00","6,878.80","6,935.00","6,929.90","6,960.65","2,37,625","1,65,40,23,517.55","33,877","51,821","21.81"
"AMBER","EQ","04-Apr-2025","6,929.90","6,915.00","6,973.20","6,518.25","6,630.00","6,595.15","6,698.71","3,07,246","2,05,81,52,824.35","45,018","74,213","24.15"
"AMBER","EQ","07-Apr-2025","6,595.15","5,700.50","6,294.45","5,675.25","6,150.00","6,151.40","6,125.69","3,87,620","2,37,44,39,255.60","57,197","1,20,352","31.05"
