"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"AMBUJACEM","EQ","07-Mar-2025","498.50","497.50","505.40","491.95","499.00","499.80","499.68","18,51,476","92,51,37,973.40","25,650","6,96,700","37.63"
"AMBUJACEM","EQ","10-Mar-2025","499.80","498.00","508.00","486.90","488.50","489.60","497.89","16,26,327","80,97,31,797.20","29,531","4,83,924","29.76"
"AMBUJACEM","EQ","11-Mar-2025","489.60","485.00","497.05","480.10","495.55","495.55","492.64","19,03,052","93,75,22,865.60","22,096","11,03,970","58.01"
"AMBUJACEM","EQ","12-Mar-2025","495.55","495.55","501.95","485.40","488.00","489.20","490.22","20,04,582","98,26,80,728.70","27,745","11,50,473","57.39"
"AMBUJACEM","EQ","13-Mar-2025","489.20","491.90","493.60","484.40","484.70","485.80","488.30","16,26,551","79,42,41,859.50","23,872","8,69,719","53.47"
"AMBUJACEM","EQ","17-Mar-2025","485.80","488.00","494.75","486.10","491.00","490.55","490.46","27,59,538","1,35,34,39,718.50","39,051","18,03,698","65.36"
"AMBUJACEM","EQ","18-Mar-2025","490.55","493.00","499.80","492.15","497.00","498.15","497.16","22,55,773","1,12,14,77,539.50","27,854","15,66,401","69.44"
"AMBUJACEM","EQ","19-Mar-2025","498.15","498.00","508.75","498.00","505.65","507.05","504.85","12,84,144","64,82,99,431.95","16,822","6,39,835","49.83"
"AMBUJACEM","EQ","20-Mar-2025","507.05","508.00","512.45","503.40","504.60","504.70","506.20","12,39,801","62,75,81,692.00","23,509","6,19,267","49.95"
"AMBUJACEM","EQ","21-Mar-2025","504.70","505.00","517.00","505.00","514.85","514.50","512.18","42,71,244","2,18,76,37,064.75","56,281","25,94,968","60.75"
"AMBUJACEM","EQ","24-Mar-2025","514.50","516.90","522.00","510.55","517.80","519.30","515.89","28,92,707","1,49,23,26,621.15","51,846","18,13,631","62.70"
"AMBUJACEM","EQ","25-Mar-2025","519.30","530.00","538.65","518.15","519.00","520.55","529.02","66,90,237","3,53,92,49,702.70","1,08,067","22,24,066","33.24"
"AMBUJACEM","EQ","26-Mar-2025","520.55","522.00","537.70","519.55","529.00","532.45","532.75","44,09,206","2,34,89,85,973.15","61,414","22,10,681","50.14"
"AMBUJACEM","EQ","27-Mar-2025","532.45","530.05","545.30","526.20","541.70","542.80","538.96","32,50,121","1,75,16,78,447.00","56,546","14,70,105","45.23"
"AMBUJACEM","EQ","28-Mar-2025","542.80","544.90","552.00","536.30","538.10","538.35","543.42","15,57,007","84,61,08,806.90","32,320","6,51,452","41.84"
"AMBUJACEM","EQ","01-Apr-2025","538.35","538.00","542.85","529.20","530.00","529.90","534.92","9,53,159","50,98,65,982.80","22,481","3,94,754","41.42"
"AMBUJACEM","EQ","02-Apr-2025","529.90","527.60","536.55","524.35","535.25","534.05","532.38","13,95,080","74,27,07,451.40","25,986","8,60,926","61.71"
"AMBUJACEM","EQ","03-Apr-2025","534.05","530.65","544.20","530.50","541.15","540.70","540.80","8,57,218","46,35,79,242.40","22,405","3,05,632","35.65"
"AMBUJACEM","EQ","04-Apr-2025","540.70","540.60","543.95","525.60","529.00","528.20","532.90","12,54,580","66,85,70,376.70","28,310","5,48,131","43.69"
"AMBUJACEM","EQ","07-Apr-2025","528.20","495.00","532.00","480.35","532.00","525.20","520.28","30,55,609","1,58,97,67,860.70","60,321","12,58,868","41.20"
"AMBUJACEM","EQ","08-Apr-2025","525.20","535.00","539.10","527.45","537.55","536.80","534.78","18,99,103","1,01,56,04,678.95","32,431","9,75,652","51.37"
"AMBUJACEM","EQ","09-Apr-2025","536.80","536.80","552.30","531.15","542.65","547.80","545.52","42,62,360","2,32,51,94,072.60","59,494","28,52,609","66.93"
"AMBUJACEM","EQ","11-Apr-2025","547.80","553.75","556.80","544.00","547.95","548.65","549.40","35,41,770","1,94,58,63,018.95","54,781","21,84,803","61.69"
"AMBUJACEM","EQ","15-Apr-2025","548.65","555.00","559.20","550.25","559.20","558.05","554.88","29,37,116","1,62,97,39,085.95","36,830","20,03,427","68.21"
"AMBUJACEM","EQ","16-Apr-2025","558.05","559.95","566.50","552.40","565.50","565.75","561.64","30,73,455","1,72,61,71,793.20","39,939","19,92,913","64.84"
"AMBUJACEM","EQ","17-Apr-2025","565.75","565.75","571.10","562.15","568.80","569.80","567.78","24,68,279","1,40,14,33,950.20","25,323","16,67,972","67.58"
"AMBUJACEM","EQ","21-Apr-2025","569.80","572.30","582.30","567.85","579.00","578.90","579.57","34,29,480","1,98,76,30,201.90","58,315","21,87,680","63.79"
"AMBUJACEM","EQ","22-Apr-2025","578.90","580.00","584.80","575.10","581.00","577.90","579.03","42,02,944","2,43,36,10,861.65","48,153","28,53,012","67.88"
"AMBUJACEM","EQ","23-Apr-2025","577.90","582.65","582.90","569.30","573.00","574.35","573.25","26,66,133","1,52,83,48,626.65","42,572","16,91,122","63.43"
"AMBUJACEM","EQ","24-Apr-2025","574.35","574.35","580.00","568.40","572.00","572.00","573.47","40,92,552","2,34,69,38,518.65","47,466","25,52,769","62.38"
"AMBUJACEM","EQ","25-Apr-2025","572.00","572.00","574.20","544.00","548.00","548.70","550.82","34,91,061","1,92,29,35,738.00","52,542","15,84,011","45.37"
"AMBUJACEM","EQ","28-Apr-2025","548.70","548.85","552.85","541.00","545.25","544.95","548.11","26,86,846","1,47,26,99,328.60","45,224","12,58,143","46.83"
"AMBUJACEM","EQ","29-Apr-2025","544.95","549.00","552.10","530.10","535.15","533.95","540.89","75,12,372","4,06,33,58,845.45","88,644","33,26,945","44.29"
"AMBUJACEM","EQ","30-Apr-2025","533.95","540.00","546.20","533.05","537.90","539.70","541.26","58,51,731","3,16,72,85,092.35","62,657","35,30,806","60.34"
"AMBUJACEM","EQ","02-May-2025","539.70","537.55","542.60","527.25","531.55","531.70","531.73","32,25,310","1,71,49,99,336.85","71,108","18,72,972","58.07"
"AMBUJACEM","EQ","05-May-2025","531.70","535.80","549.65","529.60","540.10","541.40","542.80","81,02,588","4,39,80,51,921.40","61,202","46,51,645","57.41"
"AMBUJACEM","EQ","06-May-2025","541.40","542.00","543.70","532.15","532.80","535.15","536.87","31,27,458","1,67,90,44,926.75","35,896","21,13,392","67.58"
"AMBUJACEM","EQ","07-May-2025","535.15","532.80","538.35","526.30","535.00","535.20","534.09","40,47,670","2,16,18,33,593.05","59,031","25,17,258","62.19"
"AMBUJACEM","EQ","08-May-2025","535.20","536.00","538.95","520.05","520.60","524.40","530.77","32,13,287","1,70,55,09,863.55","29,578","23,79,025","74.04"
"AMBUJACEM","EQ","09-May-2025","524.40","516.00","529.30","512.25","527.50","527.45","522.99","18,80,094","98,32,67,064.50","35,317","10,09,728","53.71"
"AMBUJACEM","EQ","12-May-2025","527.45","540.00","544.10","536.00","542.00","541.65","541.32","12,25,957","66,36,34,253.20","28,119","7,23,502","59.02"
"AMBUJACEM","EQ","13-May-2025","541.65","542.20","542.90","534.30","537.85","536.90","539.16","34,38,632","1,85,39,70,692.75","56,606","22,70,658","66.03"
"AMBUJACEM","EQ","14-May-2025","536.90","540.00","545.00","536.05","544.50","543.60","541.57","26,27,027","1,42,27,11,618.25","27,169","15,54,857","59.19"
"AMBUJACEM","EQ","15-May-2025","543.60","543.90","549.00","539.20","548.00","547.55","544.28","36,83,833","2,00,50,42,324.05","29,779","26,58,359","72.16"
"AMBUJACEM","EQ","16-May-2025","547.55","548.20","565.90","547.15","561.00","563.50","561.86","35,60,785","2,00,06,70,330.60","43,423","21,40,366","60.11"
"AMBUJACEM","EQ","19-May-2025","563.50","566.00","569.55","559.35","565.00","565.55","564.32","22,03,178","1,24,32,89,358.30","26,770","12,14,235","55.11"
"AMBUJACEM","EQ","20-May-2025","565.55","565.60","571.65","560.40","563.70","562.05","565.30","17,67,473","99,91,52,734.30","31,899","8,96,676","50.73"
"AMBUJACEM","EQ","21-May-2025","562.05","562.10","570.40","561.00","567.00","567.80","566.87","12,95,557","73,44,11,865.85","21,695","6,13,800","47.38"
"AMBUJACEM","EQ","22-May-2025","567.80","567.45","569.25","561.60","567.15","567.75","565.38","15,59,623","88,17,74,392.95","25,920","9,26,104","59.38"
"AMBUJACEM","EQ","23-May-2025","567.75","567.75","576.00","566.25","571.35","570.90","573.11","13,32,383","76,36,00,688.35","26,236","5,85,560","43.95"
"AMBUJACEM","EQ","26-May-2025","570.90","571.35","576.35","564.40","570.00","567.15","567.43","10,01,361","56,82,03,721.80","20,928","4,42,505","44.19"
"AMBUJACEM","EQ","27-May-2025","567.15","567.15","568.90","558.80","563.00","562.70","562.23","15,15,100","85,18,39,442.60","25,377","7,96,140","52.55"
"AMBUJACEM","EQ","28-May-2025","562.70","562.70","567.00","558.65","559.90","561.65","561.63","10,14,166","56,95,87,945.10","16,910","4,79,648","47.29"
"AMBUJACEM","EQ","29-May-2025","561.65","561.95","563.80","555.70","562.50","561.45","560.03","14,09,636","78,94,35,995.25","22,562","6,58,808","46.74"
"AMBUJACEM","EQ","30-May-2025","561.45","561.45","563.25","551.30","551.60","553.50","556.87","23,13,117","1,28,80,98,177.00","38,166","16,64,440","71.96"
"AMBUJACEM","EQ","02-Jun-2025","553.50","553.55","559.55","549.15","555.05","555.55","555.30","10,40,982","57,80,61,289.45","30,380","5,29,776","50.89"
"AMBUJACEM","EQ","03-Jun-2025","555.55","553.80","557.50","548.10","550.50","552.40","551.19","17,62,430","97,14,37,873.55","20,188","10,69,670","60.69"
"AMBUJACEM","EQ","04-Jun-2025","552.40","550.60","554.80","547.50","551.50","552.45","549.95","34,48,423","1,89,64,54,770.45","36,581","25,20,002","73.08"
"AMBUJACEM","EQ","05-Jun-2025","552.45","552.50","556.50","549.00","550.40","550.15","552.46","10,79,232","59,62,31,741.95","17,289","6,36,583","58.98"
"AMBUJACEM","EQ","06-Jun-2025","550.15","551.25","557.20","549.30","555.10","555.15","553.58","28,21,698","1,56,20,45,612.30","23,393","22,35,401","79.22"
"AMBUJACEM","EQ","09-Jun-2025","555.15","563.00","563.00","554.15","560.00","560.00","557.95","32,68,930","1,82,38,94,289.10","41,343","21,63,442","66.18"
"AMBUJACEM","EQ","10-Jun-2025","560.00","564.00","566.50","558.50","562.70","561.10","563.19","32,39,799","1,82,46,07,327.05","39,698","18,17,084","56.09"
"AMBUJACEM","EQ","11-Jun-2025","561.10","562.55","567.00","556.50","562.00","561.25","563.00","25,53,077","1,43,73,72,762.60","21,707","17,15,460","67.19"
