"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOHOSP","EQ","07-Mar-2025","6,274.10","6,292.25","6,314.75","6,197.30","6,207.80","6,216.10","6,257.88","2,99,433","1,87,38,17,118.45","42,613","1,90,543","63.63"
"APOLLOHOSP","EQ","10-Mar-2025","6,216.10","6,206.40","6,212.00","6,133.90","6,150.00","6,149.60","6,167.89","2,66,044","1,64,09,29,690.20","30,485","1,90,228","71.50"
"APOLLOHOSP","EQ","11-Mar-2025","6,149.60","6,130.00","6,155.70","6,040.00","6,134.10","6,134.80","6,084.71","5,26,709","3,20,48,70,279.30","69,621","3,76,380","71.46"
"APOLLOHOSP","EQ","12-Mar-2025","6,134.80","6,134.10","6,157.95","6,063.75","6,140.00","6,143.75","6,106.33","2,50,139","1,52,74,30,729.65","35,934","1,51,425","60.54"
"APOLLOHOSP","EQ","13-Mar-2025","6,143.75","6,155.10","6,200.00","6,082.10","6,095.20","6,105.65","6,110.26","2,47,628","1,51,30,72,020.55","33,961","1,58,271","63.91"
"APOLLOHOSP","EQ","17-Mar-2025","6,105.65","6,002.00","6,204.20","6,002.00","6,160.00","6,156.65","6,151.09","2,87,639","1,76,92,93,737.20","34,958","2,00,757","69.79"
"APOLLOHOSP","EQ","18-Mar-2025","6,156.65","6,209.90","6,260.95","6,162.50","6,240.35","6,246.80","6,229.94","3,08,477","1,92,17,94,003.55","40,776","2,06,901","67.07"
"APOLLOHOSP","EQ","19-Mar-2025","6,246.80","6,275.25","6,434.90","6,227.10","6,430.00","6,427.55","6,388.76","5,79,880","3,70,47,11,430.65","58,740","3,98,197","68.67"
"APOLLOHOSP","EQ","20-Mar-2025","6,427.55","6,465.00","6,484.65","6,363.75","6,473.30","6,474.35","6,433.74","4,57,285","2,94,20,53,562.50","52,921","3,10,125","67.82"
"APOLLOHOSP","EQ","21-Mar-2025","6,474.35","6,494.00","6,634.10","6,470.05","6,615.00","6,611.55","6,585.02","4,96,635","3,27,03,51,594.65","45,117","3,28,301","66.11"
"APOLLOHOSP","EQ","24-Mar-2025","6,611.55","6,649.40","6,699.95","6,600.45","6,630.00","6,615.80","6,645.96","3,90,002","2,59,19,36,621.35","55,252","2,67,083","68.48"
"APOLLOHOSP","EQ","25-Mar-2025","6,615.80","6,596.50","6,667.15","6,562.05","6,650.00","6,644.70","6,632.05","2,23,679","1,48,34,50,948.20","33,944","1,23,323","55.13"
"APOLLOHOSP","EQ","26-Mar-2025","6,644.70","6,653.80","6,680.00","6,491.05","6,529.10","6,519.80","6,579.39","2,81,646","1,85,30,58,903.15","57,614","1,66,487","59.11"
"APOLLOHOSP","EQ","27-Mar-2025","6,519.80","6,500.05","6,559.95","6,430.25","6,470.00","6,492.05","6,497.94","7,28,926","4,73,65,20,209.25","86,671","5,11,786","70.21"
"APOLLOHOSP","EQ","28-Mar-2025","6,492.05","6,492.05","6,649.75","6,432.95","6,614.00","6,616.20","6,568.44","4,13,873","2,71,84,98,644.80","62,767","2,48,432","60.03"
"APOLLOHOSP","EQ","01-Apr-2025","6,616.20","6,599.00","6,661.90","6,545.65","6,632.25","6,632.30","6,619.95","3,19,668","2,11,61,86,073.10","37,045","2,16,728","67.80"
"APOLLOHOSP","EQ","02-Apr-2025","6,632.30","6,632.30","6,746.40","6,632.30","6,720.35","6,732.15","6,714.59","2,92,940","1,96,69,72,486.35","32,949","1,67,385","57.14"
"APOLLOHOSP","EQ","03-Apr-2025","6,732.15","6,675.05","6,774.95","6,660.05","6,670.05","6,671.35","6,719.10","3,12,519","2,09,98,46,930.15","35,390","1,91,250","61.20"
"APOLLOHOSP","EQ","04-Apr-2025","6,671.35","6,672.00","6,735.00","6,582.00","6,735.00","6,714.55","6,668.51","2,79,897","1,86,64,96,394.45","49,107","1,62,521","58.06"
"APOLLOHOSP","EQ","07-Apr-2025","6,714.55","6,565.00","6,725.70","6,490.85","6,714.50","6,683.30","6,665.36","7,44,140","4,95,99,57,323.80","88,565","4,57,910","61.54"
"APOLLOHOSP","EQ","08-Apr-2025","6,683.30","6,725.00","6,790.00","6,716.25","6,748.05","6,755.60","6,764.38","5,78,124","3,91,06,51,919.40","60,815","3,73,290","64.57"
"APOLLOHOSP","EQ","09-Apr-2025","6,755.60","6,665.00","6,851.45","6,665.00","6,840.85","6,834.10","6,818.76","6,80,834","4,64,24,46,394.50","58,855","4,77,618","70.15"
"APOLLOHOSP","EQ","11-Apr-2025","6,834.10","6,822.70","6,870.95","6,765.50","6,798.00","6,780.95","6,813.29","6,52,003","4,44,22,86,784.60","56,646","4,61,864","70.84"
"APOLLOHOSP","EQ","15-Apr-2025","6,780.95","6,965.00","6,965.00","6,835.00","6,896.50","6,905.00","6,892.78","7,78,401","5,36,53,43,189.00","82,124","6,05,905","77.84"
"APOLLOHOSP","EQ","16-Apr-2025","6,905.00","6,870.00","7,034.50","6,865.00","7,010.00","7,005.50","6,982.48","6,21,996","4,34,30,72,739.00","99,827","4,51,730","72.63"
"APOLLOHOSP","EQ","17-Apr-2025","7,005.50","7,038.00","7,092.00","7,000.00","7,075.00","7,073.50","7,043.56","5,33,349","3,75,66,77,314.00","74,246","3,59,438","67.39"
"APOLLOHOSP","EQ","21-Apr-2025","7,073.50","7,150.00","7,189.00","7,058.00","7,137.00","7,142.50","7,144.13","2,44,570","1,74,72,40,778.00","43,111","1,40,814","57.58"
"APOLLOHOSP","EQ","22-Apr-2025","7,142.50","7,141.50","7,172.50","7,070.00","7,071.50","7,088.50","7,105.63","3,05,540","2,17,10,54,012.50","27,612","2,29,713","75.18"
"APOLLOHOSP","EQ","23-Apr-2025","7,088.50","7,088.50","7,169.00","7,071.50","7,110.50","7,142.00","7,131.71","2,87,593","2,05,10,30,286.00","46,415","1,75,701","61.09"
"APOLLOHOSP","EQ","24-Apr-2025","7,142.00","7,141.50","7,184.50","7,093.50","7,130.00","7,159.50","7,132.37","2,77,769","1,98,11,52,148.50","38,007","1,71,440","61.72"
"APOLLOHOSP","EQ","25-Apr-2025","7,159.50","7,169.50","7,243.00","6,898.00","6,932.00","6,953.00","7,006.62","5,50,158","3,85,47,49,213.50","48,287","3,05,197","55.47"
"APOLLOHOSP","EQ","28-Apr-2025","6,953.00","6,954.50","7,056.00","6,954.50","7,033.00","7,045.00","7,015.79","3,79,519","2,66,26,25,802.00","51,170","2,68,312","70.70"
"APOLLOHOSP","EQ","29-Apr-2025","7,045.00","7,049.00","7,090.00","6,976.00","6,990.00","6,992.50","7,013.69","1,74,253","1,22,21,56,074.00","31,643","1,03,443","59.36"
"APOLLOHOSP","EQ","30-Apr-2025","6,992.50","6,992.00","7,035.50","6,920.00","6,970.00","6,977.00","6,981.86","4,99,567","3,48,79,07,965.00","43,279","3,67,289","73.52"
"APOLLOHOSP","EQ","02-May-2025","6,977.00","6,922.00","7,098.00","6,913.50","6,926.50","6,954.50","6,976.68","2,69,757","1,88,20,09,602.00","40,701","1,62,898","60.39"
"APOLLOHOSP","EQ","05-May-2025","6,954.50","6,960.00","7,031.00","6,950.00","6,970.00","6,974.00","6,990.77","2,59,097","1,81,12,87,436.50","32,443","1,73,359","66.91"
"APOLLOHOSP","EQ","06-May-2025","6,974.00","6,999.50","7,074.00","6,950.00","6,994.50","7,009.00","7,016.28","2,92,595","2,05,29,28,828.50","37,108","1,83,026","62.55"
"APOLLOHOSP","EQ","07-May-2025","7,009.00","6,970.00","7,056.00","6,950.00","6,970.00","6,983.00","7,004.11","3,38,311","2,36,95,68,251.00","36,369","2,17,040","64.15"
"APOLLOHOSP","EQ","08-May-2025","6,983.00","6,950.00","6,979.00","6,806.00","6,815.00","6,851.50","6,876.94","3,83,274","2,63,57,51,037.00","58,211","2,26,079","58.99"
"APOLLOHOSP","EQ","09-May-2025","6,851.50","6,735.50","6,844.00","6,677.50","6,724.00","6,722.00","6,725.29","4,28,193","2,87,97,20,868.50","49,000","2,75,309","64.30"
"APOLLOHOSP","EQ","12-May-2025","6,722.00","6,800.00","6,940.50","6,758.50","6,920.00","6,926.00","6,892.09","2,37,009","1,63,34,86,796.50","37,188","1,33,550","56.35"
"APOLLOHOSP","EQ","13-May-2025","6,926.00","6,908.00","7,013.00","6,900.00","6,926.00","6,917.50","6,944.67","3,23,598","2,24,72,82,790.00","49,744","1,90,980","59.02"
"APOLLOHOSP","EQ","14-May-2025","6,917.50","6,930.00","6,993.00","6,862.50","6,918.00","6,916.50","6,922.17","3,24,593","2,24,68,88,910.00","37,449","2,29,893","70.83"
"APOLLOHOSP","EQ","15-May-2025","6,916.50","6,942.00","7,096.50","6,870.00","7,086.50","7,072.50","6,956.47","6,56,146","4,56,44,60,084.50","81,911","4,16,546","63.48"
"APOLLOHOSP","EQ","16-May-2025","7,072.50","7,080.00","7,105.00","6,993.00","7,000.00","7,015.00","7,038.35","2,70,773","1,90,57,94,168.00","35,087","1,83,653","67.83"
"APOLLOHOSP","EQ","19-May-2025","7,015.00","6,985.00","7,061.00","6,965.50","6,980.00","6,974.50","7,001.73","3,07,173","2,15,07,43,230.00","31,012","2,10,731","68.60"
"APOLLOHOSP","EQ","20-May-2025","6,974.50","6,985.50","7,007.00","6,891.00","6,928.50","6,912.00","6,934.96","3,65,507","2,53,47,75,029.00","43,657","2,43,719","66.68"
"APOLLOHOSP","EQ","21-May-2025","6,912.00","6,928.50","7,043.00","6,928.50","6,988.50","6,984.00","6,992.93","4,49,740","3,14,50,02,348.00","43,398","2,81,626","62.62"
"APOLLOHOSP","EQ","22-May-2025","6,984.00","6,984.00","7,001.00","6,915.00","6,969.00","6,954.50","6,941.57","2,29,993","1,59,65,12,697.50","42,802","1,28,353","55.81"
"APOLLOHOSP","EQ","23-May-2025","6,954.50","6,987.50","7,088.00","6,930.00","7,062.00","7,064.50","7,051.58","3,21,466","2,26,68,41,955.00","33,976","2,00,646","62.42"
"APOLLOHOSP","EQ","26-May-2025","7,064.50","7,095.00","7,120.00","7,080.00","7,099.50","7,096.50","7,096.51","2,28,090","1,61,86,42,557.00","35,709","1,62,200","71.11"
"APOLLOHOSP","EQ","27-May-2025","7,096.50","7,118.50","7,124.50","7,029.50","7,050.00","7,073.50","7,072.96","2,18,088","1,54,25,28,359.00","32,040","1,31,113","60.12"
"APOLLOHOSP","EQ","28-May-2025","7,073.50","7,100.00","7,101.00","6,932.50","6,940.00","6,956.50","6,990.57","2,78,103","1,94,40,99,269.50","42,385","1,51,753","54.57"
"APOLLOHOSP","EQ","29-May-2025","6,956.50","6,965.50","6,981.00","6,886.50","6,935.00","6,923.00","6,918.43","3,08,885","2,13,69,98,670.50","47,528","1,73,053","56.03"
"APOLLOHOSP","EQ","30-May-2025","6,923.00","6,950.00","6,993.00","6,853.50","6,886.00","6,880.50","6,909.99","9,11,209","6,29,64,41,373.50","64,907","6,84,934","75.17"
"APOLLOHOSP","EQ","02-Jun-2025","6,880.50","6,944.00","7,090.00","6,883.50","6,900.00","6,915.50","6,991.90","12,17,905","8,51,54,66,841.50","1,01,125","5,51,719","45.30"
"APOLLOHOSP","EQ","03-Jun-2025","6,915.50","6,950.00","6,950.50","6,799.50","6,805.00","6,812.50","6,832.31","4,89,548","3,34,47,45,898.50","59,106","3,15,743","64.50"
"APOLLOHOSP","EQ","04-Jun-2025","6,812.50","6,812.50","6,868.00","6,772.00","6,860.00","6,855.00","6,818.61","6,29,518","4,29,24,39,267.50","50,391","4,39,817","69.87"
"APOLLOHOSP","EQ","05-Jun-2025","6,855.00","6,868.50","6,919.50","6,842.00","6,893.00","6,876.00","6,886.18","4,88,647","3,36,49,13,087.00","54,095","3,44,244","70.45"
"APOLLOHOSP","EQ","06-Jun-2025","6,876.00","6,867.00","6,955.00","6,808.00","6,940.00","6,942.50","6,893.39","2,69,399","1,85,70,73,066.50","36,547","1,50,679","55.93"
"APOLLOHOSP","EQ","09-Jun-2025","6,942.50","6,976.50","6,976.50","6,886.00","6,935.00","6,932.00","6,918.36","2,39,444","1,65,65,58,825.50","29,939","1,50,837","62.99"
"APOLLOHOSP","EQ","10-Jun-2025","6,932.00","6,951.50","6,992.50","6,911.00","6,916.00","6,918.50","6,949.32","5,59,472","3,88,79,47,337.00","34,519","4,51,354","80.67"
"APOLLOHOSP","EQ","11-Jun-2025","6,918.50","6,918.00","6,947.00","6,863.00","6,932.00","6,927.50","6,897.57","5,26,939","3,63,46,00,015.00","36,312","3,82,633","72.61"
"APOLLOHOSP","EQ","12-Jun-2025","6,927.50","6,932.00","7,055.00","6,930.00","6,994.00","6,996.50","6,996.50","5,52,007","3,86,21,19,496.00","69,815","2,96,976","53.80"
"APOLLOHOSP","EQ","13-Jun-2025","6,996.50","6,979.00","7,037.50","6,923.00","7,000.00","6,994.50","6,994.58","3,67,775","2,57,24,31,680.50","35,766","2,31,073","62.83"
"APOLLOHOSP","EQ","16-Jun-2025","6,994.50","7,010.50","7,138.00","6,982.00","7,104.50","7,114.00","7,081.82","5,89,027","4,17,13,83,863.50","42,280","3,88,257","65.91"
"APOLLOHOSP","EQ","17-Jun-2025","7,114.00","7,120.00","7,134.50","6,999.50","7,019.00","7,006.50","7,051.49","2,64,117","1,86,24,19,005.50","30,509","1,72,026","65.13"
"APOLLOHOSP","EQ","18-Jun-2025","7,006.50","7,006.50","7,030.00","6,917.00","6,943.00","6,933.50","6,974.78","3,94,355","2,75,05,40,332.50","39,382","2,74,922","69.71"
"APOLLOHOSP","EQ","19-Jun-2025","6,933.50","6,937.00","7,035.00","6,912.00","6,992.00","7,009.50","6,996.79","4,62,080","3,23,30,78,278.00","43,733","3,03,158","65.61"
"APOLLOHOSP","EQ","20-Jun-2025","7,009.50","7,005.00","7,077.00","6,974.50","7,055.00","7,063.50","7,043.20","3,78,436","2,66,53,99,608.50","38,718","2,53,804","67.07"
"APOLLOHOSP","EQ","23-Jun-2025","7,063.50","7,000.00","7,049.50","6,995.50","7,003.00","7,007.50","7,019.48","1,37,379","96,43,29,623.00","20,042","71,034","51.71"
"APOLLOHOSP","EQ","24-Jun-2025","7,007.50","7,034.50","7,076.00","6,993.50","7,000.00","7,006.00","7,033.38","2,38,243","1,67,56,53,137.50","28,609","1,51,941","63.78"
"APOLLOHOSP","EQ","25-Jun-2025","7,006.00","6,995.00","7,061.00","6,995.00","7,034.00","7,042.00","7,029.28","3,78,904","2,66,34,21,381.50","41,220","2,76,758","73.04"
"APOLLOHOSP","EQ","26-Jun-2025","7,042.00","7,054.50","7,122.50","7,020.50","7,104.00","7,101.50","7,070.63","4,26,516","3,01,57,36,934.50","58,528","2,94,715","69.10"
"APOLLOHOSP","EQ","27-Jun-2025","7,101.50","7,130.00","7,324.00","7,117.50","7,310.00","7,308.50","7,229.49","5,23,582","3,78,52,30,306.50","45,149","3,43,498","65.61"
"APOLLOHOSP","EQ","30-Jun-2025","7,308.50","7,336.50","7,336.50","7,203.50","7,238.00","7,242.00","7,243.48","3,53,888","2,56,33,79,302.50","58,377","2,22,857","62.97"
"APOLLOHOSP","EQ","01-Jul-2025","7,242.00","7,475.00","7,584.50","7,404.50","7,505.00","7,496.00","7,495.78","18,72,535","14,03,61,06,053.50","1,51,563","6,76,153","36.11"
