"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","07-Mar-2025","2,267.70","2,267.70","2,277.95","2,248.00","2,262.10","2,270.00","2,264.87","9,21,429","2,08,69,15,604.70","53,822","4,66,317","50.61"
"ASIANPAINT","EQ","10-Mar-2025","2,270.00","2,270.00","2,293.00","2,261.85","2,273.60","2,278.60","2,281.33","10,72,395","2,44,64,83,758.80","67,199","6,26,650","58.43"
"ASIANPAINT","EQ","11-Mar-2025","2,278.60","2,274.00","2,290.90","2,257.90","2,286.00","2,287.40","2,281.69","6,01,228","1,37,18,17,056.15","45,071","2,94,875","49.05"
"ASIANPAINT","EQ","12-Mar-2025","2,287.40","2,287.40","2,295.95","2,247.00","2,250.00","2,251.30","2,261.49","7,49,232","1,69,43,79,970.00","43,263","4,39,896","58.71"
"ASIANPAINT","EQ","13-Mar-2025","2,251.30","2,255.25","2,257.20","2,222.50","2,228.00","2,231.30","2,239.46","7,47,500","1,67,39,95,004.85","56,228","3,93,410","52.63"
"ASIANPAINT","EQ","17-Mar-2025","2,231.30","2,205.00","2,239.25","2,196.05","2,222.00","2,219.55","2,211.29","8,38,016","1,85,30,94,353.45","46,143","4,97,193","59.33"
"ASIANPAINT","EQ","18-Mar-2025","2,219.55","2,230.65","2,290.00","2,222.75","2,275.00","2,273.95","2,262.07","8,16,364","1,84,66,73,569.20","59,044","3,68,971","45.20"
"ASIANPAINT","EQ","19-Mar-2025","2,273.95","2,274.00","2,287.95","2,267.85","2,281.00","2,280.70","2,279.37","6,63,342","1,51,20,03,146.95","37,919","4,10,964","61.95"
"ASIANPAINT","EQ","20-Mar-2025","2,280.70","2,290.00","2,307.00","2,268.75","2,282.80","2,287.20","2,289.27","11,66,849","2,67,12,31,103.95","66,693","6,16,539","52.84"
"ASIANPAINT","EQ","21-Mar-2025","2,287.20","2,291.65","2,314.50","2,277.85","2,301.10","2,300.40","2,302.23","16,24,115","3,73,90,93,016.95","72,528","10,93,896","67.35"
"ASIANPAINT","EQ","24-Mar-2025","2,300.40","2,302.40","2,330.25","2,302.10","2,318.50","2,322.50","2,315.43","11,00,353","2,54,77,88,335.30","58,769","7,58,082","68.89"
"ASIANPAINT","EQ","25-Mar-2025","2,322.50","2,325.00","2,344.50","2,308.00","2,324.00","2,330.75","2,325.80","18,28,005","4,25,15,79,023.80","89,092","11,35,096","62.09"
"ASIANPAINT","EQ","26-Mar-2025","2,330.75","2,340.00","2,340.95","2,304.00","2,315.00","2,323.15","2,319.07","19,34,492","4,48,62,25,170.45","91,980","12,74,716","65.89"
"ASIANPAINT","EQ","27-Mar-2025","2,323.15","2,315.00","2,350.10","2,290.50","2,340.00","2,338.10","2,330.53","14,97,869","3,49,08,26,200.35","80,747","9,40,970","62.82"
"ASIANPAINT","EQ","28-Mar-2025","2,338.10","2,343.95","2,364.00","2,325.00","2,326.25","2,340.65","2,343.47","12,81,871","3,00,40,27,398.60","67,780","8,20,690","64.02"
"ASIANPAINT","EQ","01-Apr-2025","2,340.65","2,342.00","2,361.70","2,305.75","2,316.70","2,316.00","2,326.81","9,70,583","2,25,83,65,027.60","60,637","5,32,236","54.84"
"ASIANPAINT","EQ","02-Apr-2025","2,316.00","2,328.00","2,328.40","2,292.15","2,308.95","2,306.65","2,303.78","7,92,695","1,82,61,96,169.70","37,627","4,85,432","61.24"
"ASIANPAINT","EQ","03-Apr-2025","2,306.65","2,295.00","2,354.90","2,289.80","2,347.70","2,349.40","2,339.57","6,08,846","1,42,44,39,299.45","46,641","3,62,821","59.59"
"ASIANPAINT","EQ","04-Apr-2025","2,349.40","2,349.40","2,363.95","2,302.80","2,352.50","2,356.05","2,337.20","11,63,188","2,71,85,99,396.85","59,655","7,20,786","61.97"
"ASIANPAINT","EQ","07-Apr-2025","2,356.05","2,190.00","2,354.00","2,190.00","2,344.00","2,341.35","2,329.16","17,45,827","4,06,63,09,645.10","1,39,328","8,45,829","48.45"
"ASIANPAINT","EQ","08-Apr-2025","2,341.35","2,356.00","2,420.00","2,356.00","2,394.20","2,394.20","2,395.31","18,76,867","4,49,56,81,154.35","1,15,340","7,77,748","41.44"
"ASIANPAINT","EQ","09-Apr-2025","2,394.20","2,400.00","2,429.45","2,390.90","2,409.15","2,411.15","2,415.28","11,86,947","2,86,68,11,898.20","81,370","5,56,285","46.87"
"ASIANPAINT","EQ","11-Apr-2025","2,411.15","2,439.50","2,448.00","2,380.25","2,393.00","2,393.60","2,396.76","9,68,152","2,32,04,26,188.00","67,208","3,99,138","41.23"
"ASIANPAINT","EQ","15-Apr-2025","2,393.60","2,414.90","2,425.00","2,385.00","2,419.00","2,415.70","2,409.09","11,41,279","2,74,94,44,084.70","60,826","8,12,779","71.22"
"ASIANPAINT","EQ","16-Apr-2025","2,415.70","2,405.10","2,468.50","2,403.70","2,456.00","2,459.90","2,451.03","11,66,700","2,85,96,11,268.60","63,155","7,30,159","62.58"
"ASIANPAINT","EQ","17-Apr-2025","2,459.90","2,459.90","2,476.40","2,431.00","2,465.00","2,467.90","2,462.16","8,85,842","2,18,10,85,537.10","76,147","4,77,718","53.93"
"ASIANPAINT","EQ","21-Apr-2025","2,467.90","2,465.90","2,470.90","2,441.00","2,444.80","2,445.00","2,455.74","5,41,913","1,33,07,97,649.80","43,480","2,78,096","51.32"
"ASIANPAINT","EQ","22-Apr-2025","2,445.00","2,445.00","2,450.00","2,413.50","2,428.00","2,432.00","2,434.93","5,43,658","1,32,37,69,901.60","52,528","1,76,589","32.48"
"ASIANPAINT","EQ","23-Apr-2025","2,432.00","2,437.00","2,456.60","2,425.60","2,447.50","2,453.10","2,443.84","7,44,696","1,81,99,20,596.40","53,899","3,96,423","53.23"
"ASIANPAINT","EQ","24-Apr-2025","2,453.10","2,450.00","2,491.00","2,435.90","2,466.40","2,464.40","2,465.69","12,03,452","2,96,73,36,184.40","77,050","5,52,554","45.91"
"ASIANPAINT","EQ","25-Apr-2025","2,464.40","2,464.30","2,468.70","2,413.70","2,425.70","2,431.60","2,432.80","7,02,217","1,70,83,55,787.60","60,107","3,72,761","53.08"
"ASIANPAINT","EQ","28-Apr-2025","2,431.60","2,419.90","2,459.80","2,405.00","2,446.20","2,452.20","2,440.86","5,54,922","1,35,44,85,970.80","52,292","2,93,914","52.96"
"ASIANPAINT","EQ","29-Apr-2025","2,452.20","2,460.00","2,472.00","2,441.60","2,456.10","2,451.10","2,456.45","12,35,066","3,03,38,72,117.50","63,588","7,62,179","61.71"
"ASIANPAINT","EQ","30-Apr-2025","2,451.10","2,450.00","2,462.20","2,401.50","2,416.50","2,425.70","2,432.24","14,79,678","3,59,89,36,957.00","77,845","9,76,688","66.01"
"ASIANPAINT","EQ","02-May-2025","2,425.70","2,425.00","2,444.90","2,398.00","2,406.00","2,409.80","2,421.26","9,28,084","2,24,71,36,438.60","58,084","5,10,935","55.05"
"ASIANPAINT","EQ","05-May-2025","2,409.80","2,423.10","2,475.00","2,423.10","2,441.00","2,436.90","2,454.15","12,29,593","3,01,76,08,685.60","70,327","5,96,320","48.50"
"ASIANPAINT","EQ","06-May-2025","2,436.90","2,442.00","2,449.90","2,391.10","2,414.40","2,418.00","2,413.16","7,02,819","1,69,60,15,229.20","43,489","3,79,436","53.99"
