"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASTRAL","EQ","07-Mar-2025","1,330.70","1,327.35","1,351.45","1,327.25","1,332.60","1,332.65","1,338.86","3,33,456","44,64,49,336.60","27,511","1,58,604","47.56"
"ASTRAL","EQ","10-Mar-2025","1,332.65","1,323.00","1,337.80","1,280.10","1,283.00","1,289.15","1,307.27","4,09,891","53,58,40,062.75","36,334","2,08,597","50.89"
"ASTRAL","EQ","11-Mar-2025","1,289.15","1,267.70","1,297.80","1,265.35","1,286.50","1,287.05","1,283.32","3,52,119","45,18,82,065.30","24,305","1,40,082","39.78"
"ASTRAL","EQ","12-Mar-2025","1,287.05","1,289.00","1,296.90","1,245.05","1,265.05","1,265.10","1,261.15","4,12,080","51,96,93,939.50","31,379","1,63,251","39.62"
"ASTRAL","EQ","13-Mar-2025","1,265.10","1,265.55","1,271.40","1,232.30","1,240.30","1,238.30","1,246.31","5,18,503","64,62,17,267.90","35,898","2,74,774","52.99"
"ASTRAL","EQ","17-Mar-2025","1,238.30","1,234.10","1,256.60","1,234.10","1,239.65","1,238.05","1,243.19","3,45,802","42,98,98,931.40","23,980","1,62,601","47.02"
"ASTRAL","EQ","18-Mar-2025","1,238.05","1,247.70","1,259.75","1,239.50","1,256.00","1,254.25","1,253.55","3,81,662","47,84,32,762.85","23,677","2,33,047","61.06"
"ASTRAL","EQ","19-Mar-2025","1,254.25","1,260.00","1,278.20","1,258.30","1,262.00","1,261.00","1,264.66","5,48,789","69,40,30,021.80","40,056","3,18,315","58.00"
"ASTRAL","EQ","20-Mar-2025","1,261.00","1,270.00","1,284.00","1,252.05","1,273.00","1,274.30","1,269.54","6,98,032","88,61,77,520.35","37,929","3,82,020","54.73"
"ASTRAL","EQ","21-Mar-2025","1,274.30","1,275.00","1,300.00","1,267.35","1,299.85","1,291.55","1,291.21","8,56,583","1,10,60,29,483.15","46,199","4,83,645","56.46"
"ASTRAL","EQ","24-Mar-2025","1,291.55","1,301.55","1,345.90","1,301.00","1,311.00","1,315.40","1,326.62","9,87,825","1,31,04,69,709.05","58,609","4,96,678","50.28"
"ASTRAL","EQ","25-Mar-2025","1,315.40","1,325.00","1,325.50","1,282.00","1,291.00","1,288.85","1,295.25","7,36,220","95,35,92,329.30","52,376","4,20,897","57.17"
"ASTRAL","EQ","26-Mar-2025","1,288.85","1,291.00","1,296.75","1,275.00","1,276.95","1,278.85","1,285.40","4,58,146","58,88,98,583.05","39,176","2,78,027","60.69"
"ASTRAL","EQ","27-Mar-2025","1,278.85","1,276.95","1,301.55","1,267.90","1,290.60","1,294.55","1,285.42","5,51,070","70,83,57,702.65","45,963","2,84,375","51.60"
"ASTRAL","EQ","28-Mar-2025","1,294.55","1,295.10","1,305.55","1,280.80","1,291.00","1,294.25","1,293.78","5,71,535","73,94,40,140.45","43,360","3,54,023","61.94"
"ASTRAL","EQ","01-Apr-2025","1,294.25","1,290.00","1,315.00","1,281.00","1,310.00","1,309.45","1,303.55","5,45,451","71,10,20,504.05","30,210","2,62,913","48.20"
"ASTRAL","EQ","02-Apr-2025","1,309.45","1,309.00","1,345.70","1,297.30","1,341.50","1,340.65","1,331.09","5,41,708","72,10,62,291.80","39,598","2,87,753","53.12"
"ASTRAL","EQ","03-Apr-2025","1,340.65","1,321.00","1,361.20","1,321.00","1,359.00","1,358.35","1,347.61","5,59,179","75,35,57,422.30","31,232","3,14,731","56.28"
"ASTRAL","EQ","04-Apr-2025","1,358.35","1,350.00","1,358.00","1,324.05","1,338.60","1,336.85","1,338.11","8,82,272","1,18,05,73,119.05","37,292","5,55,167","62.92"
"ASTRAL","EQ","07-Apr-2025","1,336.85","1,249.95","1,301.55","1,244.05","1,293.00","1,287.70","1,284.52","7,77,109","99,82,11,868.30","37,778","4,01,099","51.61"
"ASTRAL","EQ","08-Apr-2025","1,287.70","1,294.05","1,319.60","1,257.90","1,271.00","1,269.40","1,273.13","4,49,764","57,26,07,374.70","33,849","1,56,320","34.76"
"ASTRAL","EQ","09-Apr-2025","1,269.40","1,269.40","1,276.80","1,252.40","1,264.55","1,265.90","1,265.49","3,62,116","45,82,55,030.15","27,748","1,78,524","49.30"
"ASTRAL","EQ","11-Apr-2025","1,265.90","1,284.85","1,293.00","1,246.05","1,246.50","1,248.90","1,257.20","4,16,203","52,32,51,574.05","27,004","1,92,909","46.35"
"ASTRAL","EQ","15-Apr-2025","1,248.90","1,260.50","1,298.00","1,245.60","1,296.20","1,294.30","1,275.83","5,48,875","70,02,71,848.70","35,785","2,81,620","51.31"
"ASTRAL","EQ","16-Apr-2025","1,294.30","1,299.00","1,325.00","1,275.70","1,322.00","1,313.80","1,306.86","6,01,613","78,62,25,619.20","36,537","2,38,002","39.56"
"ASTRAL","EQ","17-Apr-2025","1,313.80","1,324.90","1,326.60","1,284.40","1,306.00","1,306.80","1,306.96","6,45,710","84,39,17,349.50","35,883","2,51,803","39.00"
"ASTRAL","EQ","21-Apr-2025","1,306.80","1,310.00","1,346.00","1,306.00","1,338.00","1,336.70","1,329.43","6,10,013","81,09,70,228.30","33,575","2,80,296","45.95"
"ASTRAL","EQ","22-Apr-2025","1,336.70","1,338.00","1,397.70","1,338.00","1,368.50","1,368.60","1,376.48","10,52,588","1,44,88,69,229.50","56,315","3,87,686","36.83"
"ASTRAL","EQ","23-Apr-2025","1,368.60","1,375.40","1,413.60","1,366.10","1,403.40","1,407.60","1,395.85","11,79,224","1,64,60,14,824.90","63,124","6,58,860","55.87"
"ASTRAL","EQ","24-Apr-2025","1,407.60","1,408.00","1,409.60","1,378.60","1,388.00","1,391.30","1,391.45","5,81,544","80,91,91,781.90","28,993","3,13,007","53.82"
"ASTRAL","EQ","25-Apr-2025","1,391.30","1,390.00","1,399.50","1,326.70","1,344.80","1,343.60","1,354.55","6,32,125","85,62,43,953.60","42,408","2,46,883","39.06"
"ASTRAL","EQ","28-Apr-2025","1,343.60","1,335.10","1,377.80","1,335.10","1,370.00","1,370.80","1,364.60","2,91,087","39,72,17,294.80","20,968","96,563","33.17"
"ASTRAL","EQ","29-Apr-2025","1,370.80","1,376.90","1,390.00","1,356.00","1,364.80","1,364.50","1,369.13","2,49,868","34,21,02,010.90","18,479","89,805","35.94"
"ASTRAL","EQ","30-Apr-2025","1,364.50","1,354.60","1,373.80","1,335.00","1,340.00","1,345.10","1,356.93","5,50,825","74,74,31,693.60","37,489","2,67,691","48.60"
"ASTRAL","EQ","02-May-2025","1,345.10","1,335.10","1,349.90","1,309.60","1,313.10","1,316.10","1,330.77","4,06,862","54,14,41,708.00","32,356","1,70,448","41.89"
"ASTRAL","EQ","05-May-2025","1,316.10","1,316.10","1,344.00","1,313.20","1,342.00","1,340.80","1,335.12","2,36,094","31,52,13,008.40","19,742","95,740","40.55"
"ASTRAL","EQ","06-May-2025","1,340.80","1,336.00","1,343.70","1,290.10","1,296.00","1,299.70","1,311.94","3,26,306","42,80,94,577.50","25,123","1,33,210","40.82"
"ASTRAL","EQ","07-May-2025","1,299.70","1,275.00","1,311.00","1,275.00","1,293.00","1,287.40","1,291.20","5,81,821","75,12,44,479.90","32,243","3,50,823","60.30"
"ASTRAL","EQ","08-May-2025","1,287.40","1,299.50","1,319.00","1,270.20","1,274.00","1,282.50","1,299.39","3,54,191","46,02,33,197.10","27,002","1,33,150","37.59"
"ASTRAL","EQ","09-May-2025","1,282.50","1,250.00","1,314.50","1,250.00","1,275.90","1,273.40","1,268.17","4,73,234","60,01,40,740.70","23,622","2,65,322","56.07"
"ASTRAL","EQ","12-May-2025","1,273.40","1,302.70","1,342.70","1,296.70","1,334.00","1,330.30","1,326.54","6,99,720","92,82,06,574.00","27,844","3,97,040","56.74"
"ASTRAL","EQ","13-May-2025","1,330.30","1,339.00","1,357.40","1,329.30","1,346.60","1,344.10","1,345.87","4,06,245","54,67,53,341.20","24,222","1,82,276","44.87"
"ASTRAL","EQ","14-May-2025","1,344.10","1,345.00","1,351.50","1,308.00","1,328.50","1,326.70","1,321.47","7,85,707","1,03,82,89,766.90","40,964","2,28,839","29.13"
"ASTRAL","EQ","15-May-2025","1,326.70","1,330.00","1,351.40","1,330.00","1,346.00","1,344.00","1,342.97","5,81,965","78,15,63,345.30","27,009","2,63,328","45.25"
