"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"AUBANK","EQ","07-Mar-2025","553.20","553.50","554.65","540.20","543.70","544.30","548.29","19,16,647","1,05,08,80,859.60","28,803","13,60,999","71.01"
"AUBANK","EQ","10-Mar-2025","544.30","543.70","551.50","537.00","537.00","538.85","544.02","21,31,103","1,15,93,61,876.50","40,577","11,89,536","55.82"
"AUBANK","EQ","11-Mar-2025","538.85","531.85","531.85","513.65","523.00","522.10","520.15","25,22,700","1,31,21,87,141.15","49,523","9,64,675","38.24"
"AUBANK","EQ","12-Mar-2025","522.10","522.85","523.90","499.50","508.40","507.20","506.93","26,76,145","1,35,66,24,868.00","71,800","15,27,740","57.09"
"AUBANK","EQ","13-Mar-2025","507.20","508.40","514.40","501.00","502.70","502.85","506.05","22,71,528","1,14,95,16,321.60","44,811","16,40,059","72.20"
"AUBANK","EQ","17-Mar-2025","502.85","503.70","505.40","489.45","492.05","491.80","495.12","36,28,157","1,79,63,86,204.50","66,734","21,40,149","58.99"
"AUBANK","EQ","18-Mar-2025","491.80","495.80","507.40","478.35","506.70","504.00","494.14","49,08,953","2,42,57,33,028.50","61,288","22,96,905","46.79"
"AUBANK","EQ","19-Mar-2025","504.00","506.00","530.50","505.50","525.45","525.80","521.44","28,59,237","1,49,09,29,724.45","49,229","13,27,894","46.44"
"AUBANK","EQ","20-Mar-2025","525.80","525.05","534.35","510.10","524.90","525.25","523.15","21,51,278","1,12,54,36,351.50","48,029","5,13,969","23.89"
"AUBANK","EQ","21-Mar-2025","525.25","527.90","545.60","525.65","542.50","542.80","538.48","31,93,144","1,71,94,50,981.90","60,080","17,45,510","54.66"
"AUBANK","EQ","24-Mar-2025","542.80","543.45","555.55","542.15","549.80","550.05","550.45","27,77,258","1,52,87,34,590.65","53,378","14,69,483","52.91"
"AUBANK","EQ","25-Mar-2025","550.05","551.90","561.35","550.00","557.00","557.90","556.09","40,04,101","2,22,66,57,795.25","72,463","21,94,987","54.82"
"AUBANK","EQ","26-Mar-2025","557.90","565.00","580.35","563.55","574.50","573.75","574.36","80,30,660","4,61,24,99,805.15","1,55,093","31,46,406","39.18"
"AUBANK","EQ","27-Mar-2025","573.75","569.55","573.75","544.20","556.00","554.40","554.67","1,07,65,998","5,97,15,22,634.15","1,16,800","60,97,436","56.64"
"AUBANK","EQ","28-Mar-2025","554.40","559.00","562.10","530.75","532.00","534.60","546.29","31,18,677","1,70,37,06,338.80","67,431","13,24,895","42.48"
"AUBANK","EQ","01-Apr-2025","534.60","532.90","543.50","528.05","531.00","529.90","533.90","22,10,272","1,18,00,59,806.00","41,486","9,88,351","44.72"
"AUBANK","EQ","02-Apr-2025","529.90","535.00","540.60","521.65","539.60","539.50","533.32","19,32,324","1,03,05,39,569.10","44,494","8,22,496","42.57"
"AUBANK","EQ","03-Apr-2025","539.50","531.00","565.70","531.00","562.00","563.45","558.22","46,74,160","2,60,91,90,869.95","86,796","12,90,108","27.60"
"AUBANK","EQ","04-Apr-2025","563.45","559.85","559.85","544.70","554.00","552.10","552.64","20,24,869","1,11,90,31,119.50","40,245","8,17,998","40.40"
"AUBANK","EQ","07-Apr-2025","552.10","515.00","552.95","513.50","543.00","541.70","542.92","18,14,337","98,50,32,213.90","54,582","5,76,071","31.75"
"AUBANK","EQ","08-Apr-2025","541.70","550.00","552.50","543.05","548.00","545.60","546.14","14,50,103","79,19,63,212.05","42,330","6,26,673","43.22"
"AUBANK","EQ","09-Apr-2025","545.60","548.00","557.85","540.00","554.00","554.30","549.17","18,62,435","1,02,28,02,480.50","41,601","8,34,218","44.79"
"AUBANK","EQ","11-Apr-2025","554.30","560.00","564.85","550.85","557.10","557.10","555.43","24,54,627","1,36,33,75,239.55","54,034","14,73,656","60.04"
"AUBANK","EQ","15-Apr-2025","557.10","565.00","579.10","553.25","575.90","576.00","568.78","33,21,684","1,88,93,00,723.70","86,507","18,18,153","54.74"
"AUBANK","EQ","16-Apr-2025","576.00","575.95","583.50","566.00","583.50","582.35","578.23","27,41,238","1,58,50,68,317.90","56,263","15,82,524","57.73"
"AUBANK","EQ","17-Apr-2025","582.35","582.35","591.30","576.40","586.00","586.55","583.72","27,59,263","1,61,06,46,830.90","51,296","15,48,117","56.11"
"AUBANK","EQ","21-Apr-2025","586.55","592.80","641.75","592.00","629.50","623.60","617.21","90,59,537","5,59,16,74,501.10","1,45,495","37,48,022","41.37"
"AUBANK","EQ","22-Apr-2025","623.60","623.80","626.80","610.50","616.00","613.80","618.12","43,35,283","2,67,97,25,612.90","81,010","19,50,226","44.98"
"AUBANK","EQ","23-Apr-2025","613.80","620.00","669.90","620.00","662.20","665.45","654.36","2,05,64,151","13,45,63,67,311.25","2,79,766","52,93,931","25.74"
"AUBANK","EQ","24-Apr-2025","665.45","658.50","694.80","655.60","672.50","681.05","680.00","1,19,37,594","8,11,75,58,361.70","1,58,403","46,00,622","38.54"
"AUBANK","EQ","25-Apr-2025","681.05","681.00","681.00","662.40","671.00","675.15","671.48","40,93,320","2,74,85,99,447.70","84,108","13,73,692","33.56"
"AUBANK","EQ","28-Apr-2025","675.15","673.00","690.00","665.05","689.00","688.40","677.51","39,06,817","2,64,69,00,242.35","69,392","17,14,568","43.89"
"AUBANK","EQ","29-Apr-2025","688.40","690.00","713.00","690.00","703.55","706.05","706.44","53,40,417","3,77,26,69,662.65","1,00,038","27,92,611","52.29"
"AUBANK","EQ","30-Apr-2025","706.05","707.00","707.00","675.85","676.00","678.60","686.21","34,36,267","2,35,79,98,328.40","96,526","18,23,913","53.08"
"AUBANK","EQ","02-May-2025","678.60","680.00","688.45","674.25","679.80","676.40","679.01","45,53,653","3,09,19,93,737.80","82,043","27,38,160","60.13"
"AUBANK","EQ","05-May-2025","676.40","666.00","683.45","655.50","679.50","678.60","669.11","1,17,73,963","7,87,80,36,442.10","90,927","40,68,335","34.55"
"AUBANK","EQ","06-May-2025","678.60","679.50","688.00","668.60","670.00","671.75","676.12","23,22,138","1,57,00,48,522.05","47,842","11,57,664","49.85"
"AUBANK","EQ","07-May-2025","671.75","665.05","688.50","663.45","686.60","687.60","683.18","23,98,908","1,63,88,76,653.50","41,217","13,44,788","56.06"
"AUBANK","EQ","08-May-2025","687.60","688.00","711.00","685.90","688.00","689.00","700.08","31,56,954","2,21,01,16,709.30","56,885","10,45,297","33.11"
"AUBANK","EQ","09-May-2025","689.00","675.00","690.85","671.60","689.00","687.00","684.32","30,87,519","2,11,28,37,741.65","52,147","18,32,164","59.34"
"AUBANK","EQ","12-May-2025","687.00","705.00","707.65","696.65","702.60","703.40","701.00","33,81,357","2,37,03,44,924.10","46,012","23,57,942","69.73"
"AUBANK","EQ","13-May-2025","703.40","703.40","706.10","695.90","698.20","699.75","700.08","14,96,327","1,04,75,44,116.70","31,627","9,25,543","61.85"
"AUBANK","EQ","14-May-2025","699.75","700.00","700.75","688.25","694.65","690.50","692.29","19,22,009","1,33,05,86,034.60","41,092","11,62,640","60.49"
"AUBANK","EQ","15-May-2025","690.50","691.00","697.20","688.00","690.00","690.10","691.10","14,52,358","1,00,37,20,725.70","27,651","9,73,653","67.04"
"AUBANK","EQ","16-May-2025","690.10","692.70","693.60","683.05","685.00","684.85","685.48","7,23,860","49,61,92,168.75","26,952","3,75,370","51.86"
"AUBANK","EQ","19-May-2025","684.85","688.00","690.50","683.65","688.00","686.65","687.20","7,70,078","52,92,00,098.90","23,916","4,41,894","57.38"
"AUBANK","EQ","20-May-2025","686.65","689.90","695.10","684.00","686.85","687.50","689.44","16,76,816","1,15,60,63,899.05","32,793","9,65,654","57.59"
"AUBANK","EQ","21-May-2025","687.50","691.50","693.75","680.70","692.95","692.90","687.88","15,72,397","1,08,16,26,349.45","66,794","8,74,425","55.61"
"AUBANK","EQ","22-May-2025","692.90","689.60","693.40","682.55","689.65","689.15","688.41","7,13,271","49,10,20,091.95","29,721","3,36,789","47.22"
"AUBANK","EQ","23-May-2025","689.15","689.15","699.40","687.00","696.70","696.20","695.57","10,98,715","76,42,29,929.60","23,857","4,94,966","45.05"
"AUBANK","EQ","26-May-2025","696.20","699.00","708.55","692.45","697.70","698.90","699.14","11,25,692","78,70,11,817.65","31,834","5,19,035","46.11"
"AUBANK","EQ","27-May-2025","698.90","710.00","715.00","694.30","700.00","701.20","701.53","29,69,182","2,08,29,76,328.20","55,169","18,44,585","62.12"
"AUBANK","EQ","28-May-2025","701.20","701.20","709.50","698.20","705.30","706.45","705.56","28,73,400","2,02,73,43,663.00","61,038","19,39,621","67.50"
"AUBANK","EQ","29-May-2025","706.45","707.00","708.85","695.30","699.00","698.25","698.96","27,42,561","1,91,69,29,342.25","48,158","18,62,881","67.92"
"AUBANK","EQ","30-May-2025","698.25","698.30","703.95","690.30","694.00","693.05","694.39","42,71,143","2,96,58,33,536.00","57,998","30,52,204","71.46"
"AUBANK","EQ","02-Jun-2025","693.05","695.00","721.00","691.90","720.95","718.65","702.46","65,42,677","4,59,59,60,039.25","63,928","46,26,308","70.71"
"AUBANK","EQ","03-Jun-2025","718.65","725.00","731.00","716.10","725.85","728.30","724.08","35,63,158","2,58,00,00,963.60","84,076","17,27,113","48.47"
"AUBANK","EQ","04-Jun-2025","728.30","728.00","738.00","720.00","723.55","725.20","728.05","22,57,807","1,64,37,91,796.20","45,038","12,08,787","53.54"
"AUBANK","EQ","05-Jun-2025","725.20","730.00","730.00","713.20","721.50","720.05","718.56","20,82,775","1,49,66,08,605.70","37,016","12,57,881","60.39"
"AUBANK","EQ","06-Jun-2025","720.05","720.00","755.50","712.30","748.40","749.55","741.20","49,71,098","3,68,45,70,089.50","96,747","22,92,529","46.12"
"AUBANK","EQ","09-Jun-2025","749.55","755.00","782.60","750.25","771.20","772.00","767.79","75,11,827","5,76,75,36,654.15","1,41,255","39,51,856","52.61"
"AUBANK","EQ","10-Jun-2025","772.00","772.50","779.30","760.15","763.75","765.40","769.00","40,63,938","3,12,51,74,157.10","1,01,877","22,47,160","55.30"
"AUBANK","EQ","11-Jun-2025","765.40","766.00","781.75","766.00","775.05","773.95","775.03","34,19,378","2,65,01,33,656.75","71,826","18,52,772","54.18"
"AUBANK","EQ","12-Jun-2025","773.95","775.00","785.00","772.20","776.50","778.70","780.15","29,60,859","2,30,99,14,798.85","63,433","14,48,296","48.91"
"AUBANK","EQ","13-Jun-2025","778.70","769.95","772.75","757.00","768.20","768.60","766.59","17,74,265","1,36,01,32,281.15","43,506","8,14,595","45.91"
"AUBANK","EQ","16-Jun-2025","768.60","768.50","783.50","758.80","781.00","781.45","775.37","15,25,817","1,18,30,71,335.85","37,320","7,55,489","49.51"
"AUBANK","EQ","17-Jun-2025","781.45","781.45","783.95","771.30","771.65","773.15","774.65","13,06,248","1,01,18,84,445.65","31,335","7,70,288","58.97"
"AUBANK","EQ","18-Jun-2025","773.15","773.15","798.50","765.00","794.90","794.50","791.09","37,08,945","2,93,41,22,645.65","1,14,405","16,73,848","45.13"
"AUBANK","EQ","19-Jun-2025","794.50","798.50","808.00","787.75","789.05","790.10","797.29","42,35,907","3,37,72,30,170.70","77,782","15,64,808","36.94"
"AUBANK","EQ","20-Jun-2025","790.10","790.10","798.85","784.60","793.35","795.35","791.06","21,09,976","1,66,91,17,789.45","44,158","10,74,267","50.91"
"AUBANK","EQ","23-Jun-2025","795.35","797.70","802.00","789.35","797.00","796.55","796.05","26,15,512","2,08,20,90,553.45","50,784","10,35,969","39.61"
"AUBANK","EQ","24-Jun-2025","796.55","802.00","805.85","790.65","800.00","800.70","798.29","13,29,371","1,06,12,20,243.00","42,604","6,78,684","51.05"
"AUBANK","EQ","25-Jun-2025","800.70","802.00","810.90","794.25","808.50","807.05","803.96","22,37,498","1,79,88,49,221.70","40,075","11,04,215","49.35"
"AUBANK","EQ","26-Jun-2025","807.05","811.00","824.00","806.15","821.00","819.70","815.11","58,19,183","4,74,32,86,477.60","1,15,878","31,29,581","53.78"
"AUBANK","EQ","27-Jun-2025","819.70","821.00","821.00","803.65","815.00","809.00","808.97","44,59,909","3,60,79,32,438.50","93,223","23,11,162","51.82"
