"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","07-Mar-2025","1,034.10","1,033.70","1,050.35","1,030.70","1,038.00","1,037.65","1,038.93","75,97,321","7,89,31,01,594.15","1,90,760","56,44,256","74.29"
"AXISBANK","EQ","10-Mar-2025","1,037.65","1,036.00","1,050.50","1,032.35","1,035.30","1,035.85","1,041.71","59,95,655","6,24,57,52,164.15","1,34,845","42,75,844","71.32"
"AXISBANK","EQ","11-Mar-2025","1,035.85","1,030.40","1,036.80","1,021.10","1,026.00","1,025.65","1,027.51","47,71,085","4,90,23,20,397.65","2,29,713","30,88,531","64.73"
"AXISBANK","EQ","12-Mar-2025","1,025.65","1,025.20","1,029.80","999.20","1,010.95","1,011.20","1,009.41","75,04,702","7,57,52,92,803.65","2,58,740","47,09,868","62.76"
"AXISBANK","EQ","13-Mar-2025","1,011.20","1,015.00","1,016.00","1,005.10","1,010.30","1,010.20","1,010.80","40,04,140","4,04,73,70,014.45","93,202","23,88,638","59.65"
"AXISBANK","EQ","17-Mar-2025","1,010.20","1,011.10","1,039.00","1,011.10","1,034.00","1,034.15","1,026.93","59,38,668","6,09,85,72,427.60","1,76,948","36,19,040","60.94"
"AXISBANK","EQ","18-Mar-2025","1,034.15","1,044.15","1,054.25","1,033.70","1,045.00","1,045.25","1,042.91","73,65,940","7,68,20,00,219.55","1,44,396","46,72,140","63.43"
"AXISBANK","EQ","19-Mar-2025","1,045.25","1,047.80","1,058.55","1,043.50","1,051.50","1,052.05","1,053.68","48,22,365","5,08,12,50,897.25","1,16,632","34,53,853","71.62"
"AXISBANK","EQ","20-Mar-2025","1,052.05","1,056.25","1,058.90","1,046.90","1,052.00","1,054.35","1,054.32","37,42,644","3,94,59,49,227.15","1,06,266","24,76,461","66.17"
"AXISBANK","EQ","21-Mar-2025","1,054.35","1,054.35","1,075.55","1,050.55","1,075.55","1,070.15","1,066.58","68,48,565","7,30,45,57,912.70","1,04,946","50,07,979","73.12"
