"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","07-Mar-2025","7,462.25","7,462.25","7,624.00","7,451.10","7,551.00","7,574.75","7,576.75","9,42,308","7,13,96,29,358.90","85,264","4,90,626","52.07"
"BAJAJ-AUTO","EQ","10-Mar-2025","7,574.75","7,573.00","7,573.00","7,352.00","7,377.00","7,383.40","7,446.39","4,95,241","3,68,77,59,527.70","53,473","2,64,066","53.32"
"BAJAJ-AUTO","EQ","11-Mar-2025","7,383.40","7,355.50","7,515.95","7,328.00","7,509.85","7,499.95","7,448.20","4,12,703","3,07,38,93,790.75","51,271","2,06,556","50.05"
"BAJAJ-AUTO","EQ","12-Mar-2025","7,499.95","7,499.95","7,569.00","7,429.85","7,504.40","7,515.05","7,509.03","5,29,286","3,97,44,21,847.00","44,311","2,77,847","52.49"
"BAJAJ-AUTO","EQ","13-Mar-2025","7,515.05","7,545.25","7,545.25","7,415.00","7,500.05","7,504.70","7,470.94","4,54,776","3,39,76,06,255.35","56,730","2,50,005","54.97"
"BAJAJ-AUTO","EQ","17-Mar-2025","7,504.70","7,500.00","7,611.00","7,433.00","7,500.00","7,486.05","7,494.36","2,86,388","2,14,62,94,065.55","35,809","1,43,334","50.05"
"BAJAJ-AUTO","EQ","18-Mar-2025","7,486.05","7,523.40","7,642.10","7,512.85","7,625.00","7,613.40","7,579.05","3,54,990","2,69,04,88,374.50","43,762","2,11,839","59.67"
"BAJAJ-AUTO","EQ","19-Mar-2025","7,613.40","7,674.00","7,767.65","7,619.25","7,711.25","7,721.85","7,711.63","4,09,356","3,15,68,00,475.20","43,614","2,08,619","50.96"
"BAJAJ-AUTO","EQ","20-Mar-2025","7,721.85","7,734.95","7,951.95","7,722.00","7,920.00","7,920.00","7,888.88","6,06,109","4,78,15,21,116.30","61,415","3,38,212","55.80"
"BAJAJ-AUTO","EQ","21-Mar-2025","7,920.00","7,969.00","8,151.00","7,938.00","8,080.00","8,067.85","8,069.62","7,03,280","5,67,52,04,857.20","52,058","4,15,632","59.10"
"BAJAJ-AUTO","EQ","24-Mar-2025","8,067.85","8,117.80","8,213.95","8,070.00","8,120.00","8,125.55","8,144.27","4,53,508","3,69,34,89,671.85","47,800","2,69,487","59.42"
"BAJAJ-AUTO","EQ","25-Mar-2025","8,125.55","8,160.00","8,167.95","7,952.00","7,990.00","8,006.00","8,017.58","8,24,076","6,60,70,94,831.80","79,784","4,62,838","56.16"
"BAJAJ-AUTO","EQ","26-Mar-2025","8,006.00","8,014.35","8,047.45","7,910.00","7,969.00","7,977.10","7,983.09","3,91,366","3,12,43,08,277.50","56,441","2,26,640","57.91"
"BAJAJ-AUTO","EQ","27-Mar-2025","7,977.10","7,901.00","8,039.10","7,852.25","7,960.00","7,974.30","7,975.97","6,51,971","5,20,00,98,946.50","70,101","4,11,512","63.12"
"BAJAJ-AUTO","EQ","28-Mar-2025","7,974.30","7,970.40","8,024.90","7,810.75","7,859.95","7,878.85","7,918.42","3,92,400","3,10,71,89,465.85","51,307","1,86,078","47.42"
"BAJAJ-AUTO","EQ","01-Apr-2025","7,878.85","7,631.00","8,048.00","7,631.00","7,975.00","7,993.05","7,958.37","2,83,618","2,25,71,38,042.40","40,125","74,944","26.42"
"BAJAJ-AUTO","EQ","02-Apr-2025","7,993.05","7,962.00","8,083.80","7,945.00","8,075.00","8,072.95","8,022.26","2,37,191","1,90,28,08,158.55","33,808","1,11,769","47.12"
"BAJAJ-AUTO","EQ","03-Apr-2025","8,072.95","7,940.05","7,940.05","7,840.00","7,909.75","7,912.20","7,894.29","4,70,005","3,71,03,56,492.70","52,563","3,00,932","64.03"
"BAJAJ-AUTO","EQ","04-Apr-2025","7,912.20","7,880.00","7,889.85","7,652.25","7,699.80","7,685.10","7,714.02","4,61,228","3,55,79,22,154.90","44,664","2,64,509","57.35"
"BAJAJ-AUTO","EQ","07-Apr-2025","7,685.10","7,300.00","7,357.55","7,089.35","7,322.05","7,306.80","7,266.61","4,69,629","3,41,26,12,643.10","72,993","2,07,909","44.27"
"BAJAJ-AUTO","EQ","08-Apr-2025","7,306.80","7,384.50","7,529.85","7,345.75","7,519.95","7,498.05","7,453.65","2,59,199","1,93,19,77,455.85","43,557","1,11,652","43.08"
