"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","07-Mar-2025","1,845.45","1,845.15","1,865.55","1,836.50","1,839.00","1,845.30","1,849.98","13,32,323","2,46,47,65,772.20","65,579","6,70,339","50.31"
"BAJAJFINSV","EQ","10-Mar-2025","1,845.30","1,844.75","1,888.75","1,835.00","1,837.55","1,840.35","1,860.62","17,03,046","3,16,87,21,160.95","1,02,164","8,15,862","47.91"
"BAJAJFINSV","EQ","11-Mar-2025","1,840.35","1,830.00","1,836.85","1,788.25","1,808.20","1,805.40","1,806.72","22,98,735","4,15,31,60,526.95","96,641","12,46,076","54.21"
"BAJAJFINSV","EQ","12-Mar-2025","1,805.40","1,814.00","1,824.35","1,800.00","1,822.00","1,819.45","1,814.78","11,96,955","2,17,22,08,009.95","59,222","6,07,928","50.79"
"BAJAJFINSV","EQ","13-Mar-2025","1,819.45","1,828.00","1,840.00","1,803.15","1,807.00","1,807.45","1,816.49","13,33,932","2,42,30,68,666.95","72,823","6,50,323","48.75"
"BAJAJFINSV","EQ","17-Mar-2025","1,807.45","1,820.00","1,880.90","1,797.15","1,875.10","1,871.60","1,864.99","69,94,838","13,04,53,04,192.05","1,37,436","47,21,820","67.50"
"BAJAJFINSV","EQ","18-Mar-2025","1,871.60","1,900.00","1,907.85","1,833.25","1,846.50","1,844.65","1,848.89","43,42,446","8,02,86,83,887.05","1,39,248","17,55,030","40.42"
"BAJAJFINSV","EQ","19-Mar-2025","1,844.65","1,855.00","1,864.40","1,840.00","1,841.00","1,842.25","1,851.54","24,11,880","4,46,56,98,374.15","53,144","17,44,557","72.33"
"BAJAJFINSV","EQ","20-Mar-2025","1,842.25","1,842.25","1,855.00","1,814.10","1,852.00","1,851.85","1,839.57","23,06,910","4,24,37,28,885.30","80,931","13,01,045","56.40"
"BAJAJFINSV","EQ","21-Mar-2025","1,851.85","1,878.00","1,880.00","1,825.00","1,842.00","1,847.25","1,844.07","35,37,391","6,52,31,88,403.70","1,00,832","22,98,562","64.98"
"BAJAJFINSV","EQ","24-Mar-2025","1,847.25","1,855.35","1,898.70","1,845.50","1,895.35","1,894.15","1,881.28","18,64,839","3,50,82,82,728.90","88,656","9,65,312","51.76"
"BAJAJFINSV","EQ","25-Mar-2025","1,894.15","1,905.00","1,954.40","1,894.90","1,935.45","1,945.05","1,937.36","35,12,725","6,80,54,04,860.45","1,64,527","15,42,324","43.91"
"BAJAJFINSV","EQ","26-Mar-2025","1,945.05","1,951.00","1,978.00","1,935.00","1,935.00","1,943.40","1,954.40","27,79,682","5,43,26,16,782.70","1,47,190","15,73,380","56.60"
"BAJAJFINSV","EQ","27-Mar-2025","1,943.40","1,940.00","2,011.50","1,932.60","1,999.00","2,005.75","1,992.48","45,06,778","8,97,96,68,689.10","1,70,421","27,32,711","60.64"
"BAJAJFINSV","EQ","28-Mar-2025","2,005.75","1,995.75","2,022.00","1,994.20","2,002.30","2,007.35","2,007.24","19,07,116","3,82,80,40,639.70","98,083","10,60,349","55.60"
"BAJAJFINSV","EQ","01-Apr-2025","2,007.35","1,998.00","2,002.00","1,932.50","1,941.90","1,937.10","1,957.73","21,25,921","4,16,19,84,989.20","1,34,764","9,93,292","46.72"
"BAJAJFINSV","EQ","02-Apr-2025","1,937.10","1,946.30","1,963.50","1,920.95","1,921.35","1,930.95","1,942.20","10,57,344","2,05,35,70,858.65","48,639","4,91,537","46.49"
"BAJAJFINSV","EQ","03-Apr-2025","1,930.95","1,915.00","1,950.00","1,904.95","1,919.00","1,920.45","1,927.12","15,98,430","3,08,03,68,323.65","71,288","7,83,433","49.01"
"BAJAJFINSV","EQ","04-Apr-2025","1,920.45","1,912.00","1,929.95","1,897.00","1,911.85","1,912.30","1,915.68","21,20,708","4,06,26,07,203.45","77,607","12,00,593","56.61"
"BAJAJFINSV","EQ","07-Apr-2025","1,912.30","1,835.00","1,894.00","1,823.50","1,849.70","1,852.65","1,853.13","25,94,074","4,80,71,58,591.35","1,13,616","15,74,465","60.69"
"BAJAJFINSV","EQ","08-Apr-2025","1,852.65","1,890.00","1,934.00","1,873.70","1,903.45","1,903.20","1,904.64","31,82,018","6,06,06,00,685.45","1,12,746","15,93,553","50.08"
"BAJAJFINSV","EQ","09-Apr-2025","1,903.20","1,899.00","1,918.30","1,878.00","1,900.00","1,895.70","1,895.76","13,94,829","2,64,42,57,525.50","87,029","7,12,602","51.09"
"BAJAJFINSV","EQ","11-Apr-2025","1,895.70","1,909.45","1,966.00","1,906.55","1,946.30","1,946.30","1,949.06","18,80,510","3,66,52,23,608.10","97,508","8,88,783","47.26"
"BAJAJFINSV","EQ","15-Apr-2025","1,946.30","1,984.00","1,984.00","1,960.80","1,971.00","1,968.00","1,970.86","12,50,872","2,46,52,98,689.80","70,250","7,47,653","59.77"
"BAJAJFINSV","EQ","16-Apr-2025","1,968.00","1,961.00","1,975.70","1,949.60","1,968.50","1,969.20","1,961.09","10,33,717","2,02,72,08,894.50","75,492","4,74,060","45.86"
"BAJAJFINSV","EQ","17-Apr-2025","1,969.20","1,961.50","2,039.70","1,955.00","2,031.00","2,035.30","2,005.06","21,04,540","4,21,97,24,255.60","1,06,220","9,67,926","45.99"
"BAJAJFINSV","EQ","21-Apr-2025","2,035.30","2,037.10","2,118.70","2,035.70","2,106.00","2,103.50","2,090.40","26,42,028","5,52,28,88,457.30","1,20,077","12,72,942","48.18"
"BAJAJFINSV","EQ","22-Apr-2025","2,103.50","2,104.00","2,110.00","2,070.00","2,074.00","2,077.00","2,086.66","14,47,675","3,02,07,98,804.50","89,910","7,39,009","51.05"
