"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BAJFINANCE","EQ","07-Mar-2025","8,410.85","8,409.90","8,470.00","8,366.45","8,406.00","8,404.50","8,419.84","4,72,946","3,98,21,27,841.45","64,573","2,01,684","42.64"
"BAJFINANCE","EQ","10-Mar-2025","8,404.50","8,437.75","8,637.90","8,326.05","8,330.00","8,342.60","8,474.89","10,16,453","8,61,43,32,254.60","1,15,793","4,13,948","40.72"
"BAJFINANCE","EQ","11-Mar-2025","8,342.60","8,305.00","8,375.00","8,211.25","8,344.90","8,340.45","8,304.82","8,13,567","6,75,65,31,010.55","97,805","4,89,691","60.19"
"BAJFINANCE","EQ","12-Mar-2025","8,340.45","8,341.10","8,524.50","8,272.55","8,515.45","8,484.45","8,393.12","20,88,223","17,52,67,06,410.45","1,00,018","15,78,547","75.59"
"BAJFINANCE","EQ","13-Mar-2025","8,484.45","8,500.00","8,560.00","8,393.00","8,415.00","8,420.45","8,471.30","12,17,351","10,31,25,44,763.65","1,08,914","7,46,110","61.29"
"BAJFINANCE","EQ","17-Mar-2025","8,420.45","8,399.20","8,629.95","8,386.00","8,580.00","8,580.35","8,566.96","11,02,085","9,44,15,19,270.45","1,03,206","6,67,167","60.54"
"BAJFINANCE","EQ","18-Mar-2025","8,580.35","8,615.00","8,699.00","8,494.80","8,694.00","8,682.50","8,606.53","11,03,110","9,49,39,45,717.35","90,493","5,32,782","48.30"
"BAJFINANCE","EQ","19-Mar-2025","8,682.50","8,700.00","8,879.00","8,682.60","8,693.25","8,731.60","8,784.84","12,89,820","11,33,08,61,437.60","1,23,937","6,85,105","53.12"
"BAJFINANCE","EQ","20-Mar-2025","8,731.60","8,725.00","8,768.05","8,541.15","8,680.00","8,679.65","8,649.09","7,92,433","6,85,38,22,658.90","1,00,459","3,33,154","42.04"
"BAJFINANCE","EQ","21-Mar-2025","8,679.65","9,039.95","9,089.00","8,831.00","8,911.10","8,916.10","8,928.93","27,44,801","24,50,81,42,273.20","1,88,335","13,89,985","50.64"
"BAJFINANCE","EQ","24-Mar-2025","8,916.10","9,095.95","9,115.00","8,927.00","9,079.70","9,090.05","9,050.90","14,33,217","12,97,19,03,809.20","1,39,069","8,13,101","56.73"
"BAJFINANCE","EQ","25-Mar-2025","9,090.05","9,125.00","9,260.05","8,977.05","9,040.00","9,067.25","9,099.50","17,48,260","15,90,82,85,700.90","1,68,353","8,70,116","49.77"
"BAJFINANCE","EQ","26-Mar-2025","9,067.25","9,102.05","9,126.90","8,849.95","8,870.00","8,866.05","8,956.50","8,86,211","7,93,73,51,688.05","91,406","5,02,546","56.71"
"BAJFINANCE","EQ","27-Mar-2025","8,866.05","8,861.00","9,055.40","8,822.25","9,004.70","9,003.85","8,982.55","20,92,044","18,79,18,87,533.70","1,30,155","13,75,057","65.73"
"BAJFINANCE","EQ","28-Mar-2025","9,003.85","8,997.60","9,028.90","8,861.00","8,929.90","8,945.60","8,936.02","9,77,099","8,73,13,79,557.85","96,063","5,18,974","53.11"
"BAJFINANCE","EQ","01-Apr-2025","8,945.60","8,783.30","8,925.00","8,671.00","8,719.35","8,698.20","8,761.66","11,83,424","10,36,87,58,175.45","1,26,566","7,30,002","61.69"
"BAJFINANCE","EQ","02-Apr-2025","8,698.20","8,730.00","8,759.85","8,612.00","8,630.00","8,669.25","8,683.17","6,46,495","5,61,36,24,153.90","73,065","3,73,071","57.71"
"BAJFINANCE","EQ","03-Apr-2025","8,669.25","8,650.00","8,765.00","8,460.20","8,570.00","8,594.60","8,597.51","13,96,633","12,00,75,59,992.75","1,48,865","6,63,046","47.47"
"BAJFINANCE","EQ","04-Apr-2025","8,594.60","8,656.00","8,797.00","8,583.80","8,739.90","8,718.85","8,709.85","18,49,658","16,11,02,51,144.45","1,55,607","9,13,091","49.37"
"BAJFINANCE","EQ","07-Apr-2025","8,718.85","8,340.00","8,600.50","8,307.15","8,590.10","8,568.00","8,451.39","13,98,124","11,81,60,96,363.45","1,59,133","6,75,851","48.34"
"BAJFINANCE","EQ","08-Apr-2025","8,568.00","8,650.00","8,873.00","8,650.00","8,825.05","8,822.25","8,790.59","14,77,563","12,98,86,51,758.25","1,40,461","6,68,926","45.27"
"BAJFINANCE","EQ","09-Apr-2025","8,822.25","8,815.00","8,842.00","8,625.00","8,745.00","8,735.80","8,722.67","10,48,774","9,14,81,05,326.60","1,38,514","5,79,324","55.24"
"BAJFINANCE","EQ","11-Apr-2025","8,735.80","8,825.05","8,973.50","8,810.70","8,912.00","8,921.10","8,914.28","10,09,722","9,00,09,39,833.10","1,07,731","4,90,878","48.62"
