"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BANDHANBNK","EQ","07-Mar-2025","149.30","149.25","151.14","148.66","149.69","149.93","149.54","88,64,396","1,32,55,52,533.10","42,535","39,61,689","44.69"
"BANDHANBNK","EQ","10-Mar-2025","149.93","149.29","152.24","146.91","147.50","147.97","150.27","62,56,855","94,02,35,643.96","35,447","26,31,527","42.06"
"BANDHANBNK","EQ","11-Mar-2025","147.97","144.80","145.19","138.27","140.63","140.11","140.92","2,26,51,047","3,19,20,36,054.01","1,06,790","60,31,296","26.63"
"BANDHANBNK","EQ","12-Mar-2025","140.11","140.11","142.93","139.10","141.36","141.55","141.12","58,54,921","82,62,37,096.38","32,456","15,74,419","26.89"
"BANDHANBNK","EQ","13-Mar-2025","141.55","141.92","142.38","139.13","139.65","139.84","140.77","51,18,957","72,06,17,854.56","30,402","27,50,656","53.73"
"BANDHANBNK","EQ","17-Mar-2025","139.84","140.56","143.48","137.61","138.23","138.34","140.24","73,56,893","1,03,17,10,226.22","45,192","26,42,762","35.92"
"BANDHANBNK","EQ","18-Mar-2025","138.34","138.99","140.90","138.76","140.90","140.68","139.97","52,41,413","73,36,25,261.95","28,545","23,72,581","45.27"
"BANDHANBNK","EQ","19-Mar-2025","140.68","140.65","142.25","140.43","141.15","141.27","141.20","1,00,76,310","1,42,27,88,626.52","35,006","59,10,270","58.66"
"BANDHANBNK","EQ","20-Mar-2025","141.27","141.70","143.73","141.11","141.44","141.52","142.04","52,25,373","74,22,27,631.86","26,658","23,06,022","44.13"
"BANDHANBNK","EQ","21-Mar-2025","141.52","141.52","145.28","141.00","144.60","144.96","143.90","82,87,957","1,19,26,42,775.17","35,847","41,87,708","50.53"
"BANDHANBNK","EQ","24-Mar-2025","144.96","145.21","148.24","145.21","147.10","147.37","147.10","70,46,431","1,03,65,42,610.52","39,315","31,75,281","45.06"
"BANDHANBNK","EQ","25-Mar-2025","147.37","150.13","150.76","146.67","147.10","147.78","148.75","1,03,82,565","1,54,43,76,314.31","59,469","31,42,734","30.27"
"BANDHANBNK","EQ","26-Mar-2025","147.78","147.55","152.50","146.96","148.47","148.56","150.14","1,15,38,095","1,73,23,67,732.33","50,680","42,06,446","36.46"
"BANDHANBNK","EQ","27-Mar-2025","148.56","147.00","149.45","146.00","146.85","148.02","147.86","75,78,843","1,12,06,42,535.49","36,610","36,31,931","47.92"
"BANDHANBNK","EQ","28-Mar-2025","148.02","148.25","151.44","145.34","145.90","146.28","147.99","91,99,096","1,36,13,80,278.21","42,980","36,55,165","39.73"
"BANDHANBNK","EQ","01-Apr-2025","146.28","146.10","150.67","144.60","149.55","149.48","149.07","59,40,678","88,55,53,898.12","32,774","24,35,283","40.99"
"BANDHANBNK","EQ","02-Apr-2025","149.48","149.25","151.89","146.95","151.64","151.53","150.30","49,21,586","73,97,31,622.01","26,589","17,00,113","34.54"
"BANDHANBNK","EQ","03-Apr-2025","151.53","150.00","157.60","149.71","156.65","156.60","154.85","89,93,065","1,39,25,31,631.60","50,377","27,50,657","30.59"
"BANDHANBNK","EQ","04-Apr-2025","156.60","157.50","157.89","151.51","153.50","153.05","153.68","1,07,02,221","1,64,47,39,552.62","62,438","40,55,505","37.89"
"BANDHANBNK","EQ","07-Apr-2025","153.05","145.01","146.88","141.50","145.54","144.96","144.18","80,15,769","1,15,56,95,674.45","76,773","25,18,102","31.41"
"BANDHANBNK","EQ","08-Apr-2025","144.96","148.00","150.99","148.00","150.40","150.00","149.45","50,22,455","75,06,14,030.22","36,723","12,72,325","25.33"
"BANDHANBNK","EQ","09-Apr-2025","150.00","153.50","153.50","143.28","146.80","146.86","146.86","87,52,215","1,28,53,18,046.91","39,079","16,20,410","18.51"
