"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BANKBARODA","EQ","07-Mar-2025","207.16","206.85","208.10","204.52","205.66","205.90","206.32","62,53,445","1,29,02,07,958.55","48,107","27,88,265","44.59"
"BANKBARODA","EQ","10-Mar-2025","205.90","206.00","206.84","203.03","204.02","204.03","204.62","97,37,436","1,99,24,25,470.20","46,201","54,01,230","55.47"
"BANKBARODA","EQ","11-Mar-2025","204.03","203.00","204.80","201.40","202.70","202.56","203.13","1,29,00,521","2,62,04,48,173.40","54,774","73,55,624","57.02"
"BANKBARODA","EQ","12-Mar-2025","202.56","203.56","204.80","201.11","202.55","202.40","202.81","1,39,28,062","2,82,47,32,349.59","50,899","69,35,951","49.80"
"BANKBARODA","EQ","13-Mar-2025","202.40","203.70","207.95","202.30","205.20","205.52","205.66","85,76,303","1,76,37,88,180.42","59,427","35,10,038","40.93"
"BANKBARODA","EQ","17-Mar-2025","205.52","206.90","206.99","204.30","205.53","205.74","205.51","60,86,414","1,25,08,00,432.60","40,011","26,83,823","44.10"
"BANKBARODA","EQ","18-Mar-2025","205.74","206.55","209.95","205.75","209.50","209.34","208.35","91,16,780","1,89,94,87,835.63","50,946","52,82,502","57.94"
"BANKBARODA","EQ","19-Mar-2025","209.34","210.00","213.99","209.42","213.69","213.76","212.49","87,86,037","1,86,69,19,621.13","1,15,538","45,16,018","51.40"
"BANKBARODA","EQ","20-Mar-2025","213.76","214.65","217.75","214.65","215.60","215.65","216.18","89,36,273","1,93,18,87,917.79","55,284","46,62,843","52.18"
"BANKBARODA","EQ","21-Mar-2025","215.65","215.60","217.19","214.36","216.49","216.70","216.40","96,14,502","2,08,05,88,879.63","79,523","62,79,363","65.31"
"BANKBARODA","EQ","24-Mar-2025","216.70","218.70","225.14","217.10","225.00","224.47","222.41","1,34,53,091","2,99,21,51,200.39","76,334","70,09,951","52.11"
"BANKBARODA","EQ","25-Mar-2025","224.47","225.90","225.90","220.70","222.94","223.07","222.74","96,83,595","2,15,69,49,689.54","1,14,666","44,02,933","45.47"
"BANKBARODA","EQ","26-Mar-2025","223.07","223.00","225.00","219.53","219.75","220.34","222.65","88,24,925","1,96,48,33,038.63","66,051","39,74,707","45.04"
"BANKBARODA","EQ","27-Mar-2025","220.34","219.50","232.00","219.00","229.90","230.98","229.05","3,85,39,990","8,82,74,97,388.75","1,57,135","2,02,58,714","52.57"
"BANKBARODA","EQ","28-Mar-2025","230.98","230.98","233.75","226.86","229.36","228.53","229.99","1,22,75,939","2,82,33,03,998.50","69,245","60,31,898","49.14"
"BANKBARODA","EQ","01-Apr-2025","228.53","227.92","231.54","226.79","229.48","228.58","229.12","56,86,405","1,30,28,70,268.19","42,065","20,83,831","36.65"
"BANKBARODA","EQ","02-Apr-2025","228.58","230.00","232.67","226.31","231.90","231.52","229.59","1,18,17,603","2,71,32,03,366.74","62,520","60,07,241","50.83"
"BANKBARODA","EQ","03-Apr-2025","231.52","228.25","238.50","228.25","237.50","236.78","234.71","1,05,57,954","2,47,80,18,318.24","65,061","36,44,955","34.52"
"BANKBARODA","EQ","04-Apr-2025","236.78","238.90","242.34","232.83","234.42","234.32","236.44","1,35,78,143","3,21,03,64,526.70","82,519","45,09,662","33.21"
"BANKBARODA","EQ","07-Apr-2025","234.32","220.00","230.34","219.00","229.61","229.36","226.57","1,33,91,046","3,03,39,55,229.18","79,866","54,63,756","40.80"
"BANKBARODA","EQ","08-Apr-2025","229.36","232.00","236.60","231.13","236.50","235.84","234.47","93,29,948","2,18,76,10,558.23","63,948","38,42,543","41.19"
"BANKBARODA","EQ","09-Apr-2025","235.84","235.00","235.88","229.05","230.00","230.21","231.28","90,03,748","2,08,23,48,609.01","67,131","40,74,409","45.25"
"BANKBARODA","EQ","11-Apr-2025","230.21","232.52","234.56","230.56","232.31","232.50","232.71","76,72,071","1,78,53,96,855.29","48,676","37,53,654","48.93"
"BANKBARODA","EQ","15-Apr-2025","232.50","236.00","236.09","231.80","235.00","234.95","233.85","1,13,13,564","2,64,57,17,940.85","68,668","59,88,176","52.93"
"BANKBARODA","EQ","16-Apr-2025","234.95","234.95","241.30","233.38","241.05","240.79","239.28","1,06,50,464","2,54,84,75,604.30","78,163","40,12,129","37.67"
"BANKBARODA","EQ","17-Apr-2025","240.79","241.05","244.67","241.05","242.26","242.81","242.82","1,02,50,305","2,48,89,32,583.33","78,732","36,01,870","35.14"
"BANKBARODA","EQ","21-Apr-2025","242.81","243.00","250.65","243.00","249.39","249.42","247.80","1,30,25,589","3,22,76,81,933.85","1,22,732","57,92,776","44.47"
"BANKBARODA","EQ","22-Apr-2025","249.42","251.01","257.28","249.79","251.90","252.45","253.76","1,58,02,728","4,01,00,33,565.88","83,815","63,76,577","40.35"
"BANKBARODA","EQ","23-Apr-2025","252.45","253.80","253.80","247.56","251.82","251.47","249.69","1,21,17,005","3,02,55,05,998.61","1,04,045","69,09,915","57.03"
"BANKBARODA","EQ","24-Apr-2025","251.47","250.50","255.79","250.50","251.55","252.01","253.01","1,05,18,406","2,66,12,34,904.57","81,849","44,26,212","42.08"
"BANKBARODA","EQ","25-Apr-2025","252.01","251.55","253.76","245.01","246.10","246.79","247.45","1,28,40,481","3,17,73,92,555.31","1,36,731","66,64,450","51.90"
"BANKBARODA","EQ","28-Apr-2025","246.79","246.79","253.45","246.60","252.41","252.55","251.21","56,75,324","1,42,56,93,919.53","68,166","20,50,685","36.13"
"BANKBARODA","EQ","29-Apr-2025","252.55","254.00","259.44","251.73","252.09","253.22","255.34","1,34,32,236","3,42,97,94,519.95","1,04,819","60,52,071","45.06"
"BANKBARODA","EQ","30-Apr-2025","253.22","252.00","252.69","249.05","249.60","249.93","250.60","82,86,634","2,07,66,05,467.46","56,535","44,92,483","54.21"
"BANKBARODA","EQ","02-May-2025","249.93","249.50","252.09","246.32","248.50","248.61","249.29","56,37,699","1,40,53,99,454.15","50,940","26,30,015","46.65"
"BANKBARODA","EQ","05-May-2025","248.61","248.60","250.79","247.51","249.50","249.13","249.24","59,21,479","1,47,58,62,715.80","70,658","27,85,015","47.03"
"BANKBARODA","EQ","06-May-2025","249.13","250.00","251.60","221.60","221.95","223.91","230.09","5,35,89,794","12,33,02,92,852.23","2,05,209","1,94,00,384","36.20"
