"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BEL","EQ","07-Mar-2025","272.95","275.80","279.73","274.00","276.20","276.99","277.54","2,55,42,382","7,08,89,98,466.40","1,83,737","92,39,642","36.17"
"BEL","EQ","10-Mar-2025","276.99","278.60","283.47","271.55","272.29","272.33","278.05","2,09,86,855","5,83,54,87,724.85","1,62,153","80,84,178","38.52"
"BEL","EQ","11-Mar-2025","272.33","271.95","278.50","269.05","277.58","277.18","274.90","2,09,80,143","5,76,74,26,862.60","1,50,205","53,41,509","25.46"
"BEL","EQ","12-Mar-2025","277.18","278.78","280.40","274.12","276.50","276.83","277.22","1,53,08,721","4,24,38,76,446.08","1,37,876","63,09,769","41.22"
"BEL","EQ","13-Mar-2025","276.83","283.00","285.80","279.42","280.10","280.07","282.52","3,80,15,489","10,74,00,37,748.40","2,42,972","1,16,58,617","30.67"
"BEL","EQ","17-Mar-2025","280.07","281.00","283.38","276.72","279.90","279.93","279.54","1,38,83,682","3,88,11,05,749.10","1,31,397","60,04,071","43.25"
"BEL","EQ","18-Mar-2025","279.93","282.00","286.00","280.31","285.60","285.31","283.20","1,52,90,505","4,33,03,26,861.58","1,12,138","79,93,024","52.27"
"BEL","EQ","19-Mar-2025","285.31","286.00","292.99","284.76","289.98","290.00","289.20","2,10,98,065","6,10,16,45,603.61","1,88,934","1,00,42,764","47.60"
"BEL","EQ","20-Mar-2025","290.00","294.81","297.78","291.10","296.70","297.05","295.04","2,78,89,890","8,22,85,24,940.25","1,67,953","1,60,53,111","57.56"
"BEL","EQ","21-Mar-2025","297.05","301.00","301.00","292.75","296.00","295.74","296.44","4,17,51,586","12,37,70,14,011.18","2,20,702","2,52,60,399","60.50"
"BEL","EQ","24-Mar-2025","295.74","296.90","304.90","296.35","302.95","302.10","302.22","2,99,35,092","9,04,69,34,210.70","1,65,187","1,85,35,752","61.92"
"BEL","EQ","25-Mar-2025","302.10","304.00","304.50","298.65","299.30","300.03","300.90","1,93,64,944","5,82,69,22,223.89","1,69,170","98,69,786","50.97"
"BEL","EQ","26-Mar-2025","300.03","301.07","305.50","298.49","299.25","299.54","301.83","2,38,69,923","7,20,46,46,106.26","1,62,602","1,15,73,970","48.49"
"BEL","EQ","27-Mar-2025","299.54","297.00","302.00","296.63","301.80","300.65","300.35","1,44,53,677","4,34,11,64,419.93","1,20,151","80,81,174","55.91"
"BEL","EQ","28-Mar-2025","300.65","304.00","306.58","299.07","301.33","301.32","303.02","2,08,50,848","6,31,82,05,524.72","1,39,398","81,68,144","39.17"
"BEL","EQ","01-Apr-2025","301.32","302.00","305.80","290.00","290.90","292.00","298.17","3,31,71,384","9,89,06,02,879.20","2,66,366","1,79,75,135","54.19"
"BEL","EQ","02-Apr-2025","292.00","289.90","290.75","274.45","282.45","282.40","279.81","5,26,53,587","14,73,27,49,736.95","3,88,113","2,09,29,315","39.75"
"BEL","EQ","03-Apr-2025","282.40","283.00","288.25","282.60","287.50","287.50","286.00","2,09,68,721","5,99,71,06,682.00","1,79,031","81,30,692","38.78"
"BEL","EQ","04-Apr-2025","287.50","287.10","288.00","278.30","280.50","280.00","282.03","1,96,99,594","5,55,59,08,347.00","1,60,549","1,11,81,160","56.76"
"BEL","EQ","07-Apr-2025","280.00","257.00","274.50","256.20","274.00","272.10","268.89","2,49,54,083","6,70,97,83,111.10","2,08,401","1,17,62,288","47.14"
"BEL","EQ","08-Apr-2025","272.10","282.45","288.00","276.60","282.15","281.45","281.62","2,67,87,606","7,54,40,49,255.15","2,14,793","78,87,985","29.45"
"BEL","EQ","09-Apr-2025","281.45","281.00","282.80","276.60","281.00","280.15","279.80","1,13,89,916","3,18,69,21,679.85","1,02,082","47,02,726","41.29"
"BEL","EQ","11-Apr-2025","280.15","283.00","287.00","282.65","285.30","285.00","285.23","1,38,83,110","3,95,99,22,286.15","1,21,027","72,55,773","52.26"
"BEL","EQ","15-Apr-2025","285.00","289.90","294.15","287.55","293.60","293.70","292.21","1,95,12,440","5,70,17,92,560.45","1,73,583","1,15,71,649","59.30"
"BEL","EQ","16-Apr-2025","293.70","293.50","295.35","291.30","294.10","293.60","293.25","1,24,79,078","3,65,94,36,169.30","1,15,326","65,44,749","52.45"
"BEL","EQ","17-Apr-2025","293.60","293.00","296.60","291.15","294.55","295.15","294.53","1,36,09,937","4,00,85,39,165.10","1,20,621","61,68,047","45.32"
"BEL","EQ","21-Apr-2025","295.15","297.50","301.60","295.15","300.20","299.95","299.62","1,40,64,356","4,21,39,16,215.10","1,21,862","67,07,067","47.69"
"BEL","EQ","22-Apr-2025","299.95","301.00","304.75","299.75","303.50","303.35","303.19","1,19,62,358","3,62,68,78,810.90","1,03,710","61,70,214","51.58"
"BEL","EQ","23-Apr-2025","303.35","305.60","310.30","301.80","305.60","305.85","306.09","2,19,18,666","6,70,91,56,902.35","1,69,771","1,05,70,437","48.23"
"BEL","EQ","24-Apr-2025","305.85","305.00","308.60","303.45","305.45","305.70","305.61","1,72,41,517","5,26,91,13,310.70","1,08,129","80,71,004","46.81"
"BEL","EQ","25-Apr-2025","305.70","306.80","307.80","293.70","297.00","297.60","298.57","2,03,07,004","6,06,31,17,613.60","1,45,183","88,25,901","43.46"
"BEL","EQ","28-Apr-2025","297.60","296.00","307.85","295.85","305.30","305.05","305.13","2,99,13,417","9,12,73,48,948.05","1,85,562","1,68,53,797","56.34"
"BEL","EQ","29-Apr-2025","305.05","306.55","319.45","305.80","317.15","317.10","315.97","5,78,83,471","18,28,95,31,907.85","3,75,574","2,76,04,719","47.69"
"BEL","EQ","30-Apr-2025","317.10","319.00","320.45","312.60","312.95","314.10","315.35","2,48,63,436","7,84,07,13,500.85","2,08,936","1,18,24,899","47.56"
"BEL","EQ","02-May-2025","314.10","310.80","317.75","310.60","311.00","311.35","313.95","1,89,79,609","5,95,85,58,208.15","1,47,507","91,02,286","47.96"
"BEL","EQ","05-May-2025","311.35","313.95","316.90","313.20","315.65","315.30","315.16","1,09,55,763","3,45,28,52,218.60","85,400","53,55,281","48.88"
"BEL","EQ","06-May-2025","315.30","315.65","319.30","309.20","309.50","310.50","313.42","1,70,29,890","5,33,74,49,948.05","1,23,408","68,00,245","39.93"
"BEL","EQ","07-May-2025","310.50","305.00","315.20","305.00","310.10","309.95","310.40","1,92,74,367","5,98,27,20,437.50","1,26,765","87,22,445","45.25"
"BEL","EQ","08-May-2025","309.95","310.50","313.70","304.80","304.90","307.15","309.63","1,71,10,997","5,29,79,95,118.10","1,16,453","79,38,018","46.39"
"BEL","EQ","09-May-2025","307.15","305.00","321.80","305.00","316.15","315.85","316.25","4,42,44,945","13,99,25,22,066.45","4,43,942","1,55,47,838","35.14"
"BEL","EQ","12-May-2025","315.85","325.00","325.00","316.20","322.20","322.80","320.63","3,99,27,141","12,80,18,17,273.75","5,02,870","1,97,22,471","49.40"
"BEL","EQ","13-May-2025","322.80","323.70","337.75","322.80","335.90","335.75","334.18","5,79,85,762","19,37,75,55,971.65","6,28,573","2,44,32,959","42.14"
"BEL","EQ","14-May-2025","335.75","339.00","346.00","334.50","344.50","344.35","341.89","4,36,84,324","14,93,54,11,262.75","3,12,261","1,39,38,587","31.91"
"BEL","EQ","15-May-2025","344.35","346.50","351.00","340.80","350.00","350.40","346.74","3,59,59,338","12,46,84,71,429.75","2,59,856","1,30,62,564","36.33"
"BEL","EQ","16-May-2025","350.40","351.60","371.15","349.60","363.80","363.90","362.87","6,88,55,818","24,98,54,16,033.65","6,73,858","2,38,09,707","34.58"
"BEL","EQ","19-May-2025","363.90","372.90","373.50","362.55","363.00","363.75","367.27","5,20,03,735","19,09,93,86,167.75","3,99,788","2,07,65,990","39.93"
"BEL","EQ","20-May-2025","363.75","369.40","371.00","358.50","364.50","363.80","365.31","6,70,88,831","24,50,80,64,596.50","3,92,538","2,02,70,720","30.21"
"BEL","EQ","21-May-2025","363.80","366.90","383.90","364.00","382.95","383.00","377.06","8,86,88,170","33,44,05,78,483.65","7,10,668","3,00,90,428","33.93"
"BEL","EQ","22-May-2025","383.00","383.00","386.75","379.00","383.50","383.40","383.03","4,34,86,783","16,65,67,83,211.45","3,45,063","1,54,17,214","35.45"
"BEL","EQ","23-May-2025","383.40","389.15","389.90","381.10","383.35","383.80","385.36","3,76,66,187","14,51,49,65,709.75","3,20,280","1,36,74,918","36.31"
"BEL","EQ","26-May-2025","383.80","384.90","385.80","378.50","384.70","384.55","383.24","2,67,22,908","10,24,12,76,808.35","2,22,619","1,14,30,506","42.77"
"BEL","EQ","27-May-2025","384.55","384.50","388.80","383.45","385.45","385.40","386.36","1,68,59,142","6,51,37,21,839.00","1,41,877","58,43,716","34.66"
"BEL","EQ","28-May-2025","385.40","385.45","393.50","384.10","390.30","390.45","389.84","2,75,49,144","10,73,97,34,614.80","1,81,884","1,26,88,340","46.06"
"BEL","EQ","29-May-2025","390.45","391.55","392.10","385.55","387.30","386.80","387.49","1,85,62,683","7,19,28,01,127.70","1,50,963","99,05,497","53.36"
"BEL","EQ","30-May-2025","386.80","386.80","390.00","383.65","385.20","384.60","385.88","2,31,44,580","8,93,10,65,659.95","1,23,088","1,47,01,101","63.52"
"BEL","EQ","02-Jun-2025","384.60","385.00","389.25","383.75","387.80","387.50","387.09","1,19,43,152","4,62,30,19,230.60","1,13,485","66,14,782","55.39"
"BEL","EQ","03-Jun-2025","387.50","387.50","391.80","385.50","385.90","386.00","387.70","1,86,30,318","7,22,28,95,017.30","1,29,954","1,03,21,034","55.40"
"BEL","EQ","04-Jun-2025","386.00","387.00","391.30","384.10","390.95","390.60","387.93","2,06,48,850","8,01,02,78,419.10","1,48,244","92,07,530","44.59"
"BEL","EQ","05-Jun-2025","390.60","393.70","394.70","389.50","394.10","393.50","391.88","2,07,46,844","8,13,02,66,022.85","1,44,121","85,31,386","41.12"
"BEL","EQ","06-Jun-2025","393.50","394.85","396.85","389.20","390.90","390.70","391.49","1,73,66,507","6,79,87,78,816.55","1,23,148","81,08,618","46.69"
"BEL","EQ","09-Jun-2025","390.70","394.00","395.30","391.80","392.15","392.45","393.17","1,37,44,521","5,40,39,93,993.15","1,24,733","75,16,970","54.69"
"BEL","EQ","10-Jun-2025","392.45","396.50","401.85","394.70","397.30","397.40","398.23","2,64,56,073","10,53,56,39,375.20","1,85,870","1,01,74,801","38.46"
"BEL","EQ","11-Jun-2025","397.40","398.25","398.25","390.60","392.25","392.90","394.61","1,80,42,738","7,11,99,22,517.65","1,39,374","95,63,228","53.00"
"BEL","EQ","12-Jun-2025","392.90","392.80","395.75","385.60","386.50","387.40","390.32","1,55,55,771","6,07,17,93,986.00","1,39,672","65,35,530","42.01"
"BEL","EQ","13-Jun-2025","387.40","379.65","397.75","379.50","395.15","394.20","393.17","3,55,64,550","13,98,29,59,482.15","2,34,385","1,32,43,473","37.24"
"BEL","EQ","16-Jun-2025","394.20","396.15","404.50","394.20","404.00","403.85","400.07","3,20,61,745","12,82,69,04,443.30","2,37,809","1,22,16,653","38.10"
"BEL","EQ","17-Jun-2025","403.85","405.80","407.50","400.50","401.65","401.75","403.80","2,43,71,681","9,84,12,25,762.25","1,82,268","1,03,70,759","42.55"
"BEL","EQ","18-Jun-2025","401.75","401.65","405.00","398.50","400.30","400.50","401.53","1,88,79,759","7,58,08,04,011.65","1,48,087","1,01,78,467","53.91"
"BEL","EQ","19-Jun-2025","400.50","401.00","403.80","393.45","397.50","398.55","399.11","1,82,20,823","7,27,20,72,740.70","1,75,815","62,43,979","34.27"
"BEL","EQ","20-Jun-2025","398.55","399.00","410.00","397.75","407.05","408.25","407.51","12,25,52,435","49,94,13,67,255.35","2,58,048","9,67,67,818","78.96"
"BEL","EQ","23-Jun-2025","408.25","411.00","422.40","409.05","421.40","420.90","417.43","4,30,17,721","17,95,70,40,650.90","3,43,393","1,30,32,991","30.30"
"BEL","EQ","24-Jun-2025","420.90","426.40","426.50","415.00","419.00","418.50","418.70","3,38,07,025","14,15,49,74,438.20","2,81,931","1,36,60,105","40.41"
"BEL","EQ","25-Jun-2025","418.50","420.30","420.40","405.00","406.30","406.05","410.49","2,90,28,317","11,91,58,02,211.60","2,71,254","1,38,19,305","47.61"
