"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","07-Mar-2025","1,626.90","1,629.00","1,642.40","1,615.60","1,637.95","1,630.70","1,628.92","30,35,558","4,94,46,83,610.65","1,43,747","19,71,038","64.93"
"BHARTIARTL","EQ","10-Mar-2025","1,630.70","1,640.00","1,654.90","1,626.60","1,628.00","1,630.95","1,639.56","37,78,450","6,19,50,12,671.45","1,62,065","22,73,266","60.16"
"BHARTIARTL","EQ","11-Mar-2025","1,630.95","1,630.00","1,676.40","1,624.05","1,664.00","1,662.95","1,655.87","60,78,564","10,06,52,96,628.05","3,56,280","43,42,066","71.43"
"BHARTIARTL","EQ","12-Mar-2025","1,662.95","1,690.00","1,716.65","1,634.00","1,647.70","1,642.85","1,661.25","99,07,628","16,45,90,05,626.85","3,00,458","42,38,854","42.78"
"BHARTIARTL","EQ","13-Mar-2025","1,642.85","1,650.80","1,656.90","1,629.60","1,632.90","1,632.50","1,639.89","83,17,331","13,63,95,34,755.50","1,74,903","65,68,537","78.97"
"BHARTIARTL","EQ","17-Mar-2025","1,632.50","1,612.20","1,648.40","1,612.20","1,641.30","1,639.15","1,638.30","64,05,525","10,49,41,87,865.95","2,12,442","42,39,201","66.18"
"BHARTIARTL","EQ","18-Mar-2025","1,639.15","1,649.50","1,655.00","1,622.10","1,632.00","1,627.30","1,634.46","65,39,954","10,68,92,80,328.15","1,82,821","44,51,282","68.06"
"BHARTIARTL","EQ","19-Mar-2025","1,627.30","1,635.00","1,642.05","1,627.50","1,635.00","1,637.15","1,634.61","62,83,464","10,27,10,09,720.55","1,99,602","45,76,579","72.84"
"BHARTIARTL","EQ","20-Mar-2025","1,637.15","1,660.00","1,709.65","1,646.10","1,704.00","1,705.25","1,686.32","1,20,74,465","20,36,14,09,533.45","2,40,074","86,42,555","71.58"
"BHARTIARTL","EQ","21-Mar-2025","1,705.25","1,709.65","1,731.40","1,692.00","1,721.85","1,725.80","1,716.34","1,47,15,349","25,25,66,04,396.50","2,01,573","1,02,67,019","69.77"
"BHARTIARTL","EQ","24-Mar-2025","1,725.80","1,740.00","1,740.00","1,714.85","1,716.95","1,718.80","1,724.91","41,20,999","7,10,83,64,278.00","1,65,902","28,95,453","70.26"
"BHARTIARTL","EQ","25-Mar-2025","1,718.80","1,725.00","1,740.50","1,706.10","1,727.50","1,730.50","1,726.12","48,57,399","8,38,44,66,695.50","1,67,951","27,13,132","55.86"
"BHARTIARTL","EQ","26-Mar-2025","1,730.50","1,739.15","1,765.00","1,726.15","1,733.10","1,738.55","1,742.16","71,42,394","12,44,31,61,155.45","2,18,179","46,89,199","65.65"
"BHARTIARTL","EQ","27-Mar-2025","1,738.55","1,739.95","1,746.40","1,713.25","1,726.00","1,724.70","1,729.91","62,22,339","10,76,40,94,794.10","1,93,040","42,66,250","68.56"
"BHARTIARTL","EQ","28-Mar-2025","1,724.70","1,733.30","1,745.75","1,660.00","1,727.40","1,733.40","1,730.81","41,33,264","7,15,39,14,205.55","1,79,997","28,03,079","67.82"
"BHARTIARTL","EQ","01-Apr-2025","1,733.40","1,715.00","1,765.00","1,708.45","1,723.60","1,724.15","1,732.43","67,73,056","11,73,38,78,299.80","1,71,800","39,68,461","58.59"
"BHARTIARTL","EQ","02-Apr-2025","1,724.15","1,720.00","1,760.40","1,716.95","1,751.15","1,754.60","1,747.29","64,31,226","11,23,72,22,453.50","1,37,465","48,47,560","75.38"
"BHARTIARTL","EQ","03-Apr-2025","1,754.60","1,748.00","1,754.95","1,735.45","1,742.50","1,746.00","1,746.33","23,41,989","4,08,98,93,735.20","91,775","16,58,298","70.81"
"BHARTIARTL","EQ","04-Apr-2025","1,746.00","1,754.50","1,770.80","1,740.00","1,740.50","1,743.45","1,753.12","78,17,334","13,70,47,22,222.15","2,58,867","60,61,460","77.54"
"BHARTIARTL","EQ","07-Apr-2025","1,743.45","1,730.00","1,774.75","1,669.40","1,693.00","1,686.65","1,708.22","1,48,70,388","25,40,19,30,206.30","4,03,223","92,48,010","62.19"
"BHARTIARTL","EQ","08-Apr-2025","1,686.65","1,720.70","1,742.30","1,706.80","1,721.35","1,720.40","1,723.59","72,06,935","12,42,17,75,636.65","2,51,891","38,17,127","52.96"
"BHARTIARTL","EQ","09-Apr-2025","1,720.40","1,719.65","1,726.85","1,711.60","1,715.10","1,715.55","1,717.91","56,00,666","9,62,14,35,360.40","1,66,612","41,84,106","74.71"
"BHARTIARTL","EQ","11-Apr-2025","1,715.55","1,760.00","1,767.00","1,732.35","1,760.60","1,756.60","1,756.34","83,40,002","14,64,78,37,496.05","2,40,119","63,29,913","75.90"
"BHARTIARTL","EQ","15-Apr-2025","1,756.60","1,808.20","1,820.00","1,781.10","1,798.00","1,798.80","1,799.90","1,03,13,411","18,56,31,02,108.70","2,25,430","76,66,037","74.33"
"BHARTIARTL","EQ","16-Apr-2025","1,798.80","1,802.40","1,826.50","1,794.10","1,821.00","1,822.60","1,810.55","61,80,958","11,19,09,47,200.50","1,69,343","49,51,060","80.10"
"BHARTIARTL","EQ","17-Apr-2025","1,822.60","1,834.00","1,897.70","1,825.70","1,882.90","1,889.10","1,866.68","1,08,94,325","20,33,61,74,780.80","2,85,724","68,89,377","63.24"
"BHARTIARTL","EQ","21-Apr-2025","1,889.10","1,898.40","1,904.30","1,868.60","1,884.00","1,883.40","1,881.04","35,01,123","6,58,57,58,282.30","1,54,074","21,75,496","62.14"
"BHARTIARTL","EQ","22-Apr-2025","1,883.40","1,888.00","1,888.00","1,836.80","1,848.20","1,852.20","1,856.49","61,55,127","11,42,69,50,907.90","1,96,921","39,39,967","64.01"
"BHARTIARTL","EQ","23-Apr-2025","1,852.20","1,867.00","1,885.90","1,836.10","1,869.90","1,881.60","1,861.63","68,55,027","12,76,15,37,178.80","1,49,770","47,38,396","69.12"
"BHARTIARTL","EQ","24-Apr-2025","1,881.60","1,874.50","1,877.80","1,839.50","1,846.10","1,845.60","1,849.47","51,80,688","9,58,15,34,808.10","1,36,668","35,76,556","69.04"
"BHARTIARTL","EQ","25-Apr-2025","1,845.60","1,846.70","1,861.70","1,806.00","1,815.00","1,817.20","1,822.78","45,70,083","8,33,02,54,030.30","1,23,799","28,77,731","62.97"
"BHARTIARTL","EQ","28-Apr-2025","1,817.20","1,836.00","1,838.90","1,813.40","1,820.30","1,821.80","1,822.30","33,01,891","6,01,70,36,292.30","1,00,779","20,37,521","61.71"
"BHARTIARTL","EQ","29-Apr-2025","1,821.80","1,823.70","1,847.80","1,817.60","1,827.20","1,823.80","1,829.51","46,84,155","8,56,96,95,123.70","1,53,385","28,33,135","60.48"
"BHARTIARTL","EQ","30-Apr-2025","1,823.80","1,837.00","1,876.90","1,827.00","1,854.80","1,864.50","1,854.65","91,39,821","16,95,11,67,803.70","1,52,336","63,81,889","69.83"
"BHARTIARTL","EQ","02-May-2025","1,864.50","1,852.00","1,883.60","1,832.10","1,849.00","1,851.90","1,854.96","55,28,529","10,25,52,09,665.90","1,81,226","40,70,823","73.63"
"BHARTIARTL","EQ","05-May-2025","1,851.90","1,868.00","1,873.50","1,849.20","1,866.00","1,866.00","1,864.43","35,48,839","6,61,65,47,877.00","1,03,413","25,70,612","72.44"
"BHARTIARTL","EQ","06-May-2025","1,866.00","1,888.30","1,912.00","1,882.60","1,896.00","1,901.00","1,899.53","85,97,920","16,33,19,96,371.70","2,00,749","59,94,795","69.72"
"BHARTIARTL","EQ","07-May-2025","1,901.00","1,901.00","1,917.00","1,885.50","1,892.70","1,896.80","1,899.09","55,54,616","10,54,87,24,277.00","1,84,822","40,32,853","72.60"
"BHARTIARTL","EQ","08-May-2025","1,896.80","1,897.00","1,905.80","1,862.40","1,864.50","1,874.90","1,880.32","55,00,724","10,34,31,02,911.10","1,88,110","32,96,712","59.93"
"BHARTIARTL","EQ","09-May-2025","1,874.90","1,855.00","1,871.10","1,836.50","1,850.00","1,848.40","1,848.90","36,86,209","6,81,54,20,471.70","1,42,316","23,76,198","64.46"
"BHARTIARTL","EQ","12-May-2025","1,848.40","1,868.90","1,883.40","1,854.00","1,873.00","1,870.80","1,869.65","39,36,019","7,35,89,80,437.00","1,34,363","25,42,322","64.59"
"BHARTIARTL","EQ","13-May-2025","1,870.80","1,870.00","1,883.70","1,816.60","1,824.50","1,820.60","1,834.02","88,17,763","16,17,19,33,283.30","2,82,085","59,38,236","67.34"
