"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BHEL","EQ","07-Mar-2025","198.40","198.40","201.20","196.20","196.80","196.95","198.69","82,40,367","1,63,72,76,917.00","51,368","18,01,147","21.86"
"BHEL","EQ","10-Mar-2025","196.95","197.25","200.38","191.36","191.59","192.11","195.47","78,93,304","1,54,29,32,851.25","54,966","19,58,517","24.81"
"BHEL","EQ","11-Mar-2025","192.11","190.00","195.20","188.00","194.99","194.12","192.40","90,57,560","1,74,26,47,245.35","57,205","18,14,410","20.03"
"BHEL","EQ","12-Mar-2025","194.12","195.40","196.47","188.75","193.60","193.63","192.13","78,55,326","1,50,92,67,317.44","61,131","16,61,222","21.15"
"BHEL","EQ","13-Mar-2025","193.63","195.00","197.37","192.90","193.50","193.33","194.88","64,39,500","1,25,49,47,327.86","48,174","14,03,400","21.79"
"BHEL","EQ","17-Mar-2025","193.33","195.00","197.20","192.98","195.24","195.43","195.16","66,27,152","1,29,33,60,389.06","41,858","20,67,171","31.19"
"BHEL","EQ","18-Mar-2025","195.43","196.90","204.59","196.16","204.19","203.88","201.06","1,14,04,736","2,29,30,09,140.91","72,147","41,69,257","36.56"
"BHEL","EQ","19-Mar-2025","203.88","206.00","207.75","204.11","204.53","205.69","205.99","87,63,675","1,80,52,40,811.36","55,453","23,64,072","26.98"
"BHEL","EQ","20-Mar-2025","205.69","206.94","207.95","202.48","206.30","206.54","205.72","70,90,259","1,45,85,94,609.48","49,826","20,77,502","29.30"
"BHEL","EQ","21-Mar-2025","206.54","206.54","213.67","206.30","211.88","211.95","211.52","1,45,67,468","3,08,12,40,683.91","1,15,293","54,68,459","37.54"
"BHEL","EQ","24-Mar-2025","211.95","214.00","220.50","212.79","219.00","217.54","217.53","1,71,62,186","3,73,33,02,737.70","95,051","69,52,855","40.51"
"BHEL","EQ","25-Mar-2025","217.54","219.70","221.90","212.85","213.20","213.60","217.81","1,36,41,191","2,97,11,51,208.58","94,955","39,06,855","28.64"
"BHEL","EQ","26-Mar-2025","213.60","214.65","216.04","210.00","210.40","210.52","212.45","1,17,68,733","2,50,02,44,672.37","73,723","34,56,449","29.37"
"BHEL","EQ","27-Mar-2025","210.52","210.52","216.90","208.76","215.99","213.98","213.52","3,72,80,559","7,96,01,44,248.81","1,13,202","2,33,65,014","62.67"
