"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BIOCON","EQ","07-Mar-2025","333.00","335.80","338.90","331.90","332.40","333.70","335.44","38,89,175","1,30,45,77,707.10","36,704","10,70,295","27.52"
"BIOCON","EQ","10-Mar-2025","333.70","335.00","337.10","326.50","327.35","328.15","330.87","19,55,824","64,71,29,413.05","21,373","7,47,612","38.22"
"BIOCON","EQ","11-Mar-2025","328.15","325.20","331.20","322.95","330.00","328.90","327.20","15,17,485","49,65,24,054.35","22,550","4,01,699","26.47"
"BIOCON","EQ","12-Mar-2025","328.90","328.15","330.90","323.40","325.00","325.10","325.30","17,82,978","58,00,04,137.50","19,760","7,72,496","43.33"
"BIOCON","EQ","13-Mar-2025","325.10","326.00","326.50","321.50","323.05","323.05","323.27","14,39,684","46,54,06,972.70","23,068","6,79,699","47.21"
"BIOCON","EQ","17-Mar-2025","323.05","324.80","333.90","323.55","333.50","333.25","331.18","24,40,747","80,83,22,775.95","27,289","10,23,120","41.92"
"BIOCON","EQ","18-Mar-2025","333.25","334.90","338.00","333.70","337.00","336.35","335.91","16,52,922","55,52,24,904.40","20,136","5,48,583","33.19"
"BIOCON","EQ","19-Mar-2025","336.35","338.70","343.20","334.05","341.20","341.90","340.01","16,81,648","57,17,71,068.20","23,738","5,86,731","34.89"
"BIOCON","EQ","20-Mar-2025","341.90","344.60","344.60","338.35","341.10","341.10","341.54","10,06,613","34,37,97,303.85","17,041","3,90,688","38.81"
"BIOCON","EQ","21-Mar-2025","341.10","341.10","346.40","340.20","344.95","344.10","344.22","14,52,797","50,00,74,678.35","16,896","6,73,963","46.39"
"BIOCON","EQ","24-Mar-2025","344.10","348.00","351.80","345.05","349.50","349.30","348.85","11,56,746","40,35,29,700.45","21,141","3,70,848","32.06"
"BIOCON","EQ","25-Mar-2025","349.30","350.00","354.75","345.10","347.50","348.15","349.45","15,85,833","55,41,63,602.10","27,340","4,24,337","26.76"
"BIOCON","EQ","26-Mar-2025","348.15","348.00","352.60","345.80","349.00","348.30","349.90","14,26,825","49,92,50,332.85","17,019","6,29,416","44.11"
"BIOCON","EQ","27-Mar-2025","348.30","348.50","350.25","342.50","343.75","345.55","345.66","13,67,034","47,25,31,250.20","19,727","4,64,184","33.96"
"BIOCON","EQ","28-Mar-2025","345.55","344.95","349.30","339.35","340.90","341.70","342.07","23,40,187","80,05,05,997.15","29,771","9,11,518","38.95"
"BIOCON","EQ","01-Apr-2025","341.70","338.50","348.55","338.20","338.55","339.10","342.83","10,68,942","36,64,60,096.80","20,654","3,07,115","28.73"
"BIOCON","EQ","02-Apr-2025","339.10","337.85","344.50","334.85","342.30","342.05","339.92","9,37,244","31,85,92,506.20","17,574","2,46,389","26.29"
"BIOCON","EQ","03-Apr-2025","342.05","349.00","357.40","344.20","345.90","345.75","350.33","35,67,999","1,24,99,73,087.95","35,875","8,10,635","22.72"
"BIOCON","EQ","04-Apr-2025","345.75","342.55","343.20","321.30","328.00","327.80","329.18","37,16,291","1,22,33,38,321.65","39,152","14,44,109","38.86"
"BIOCON","EQ","07-Apr-2025","327.80","299.10","311.75","299.00","308.15","307.50","306.38","26,47,332","81,10,92,236.85","49,056","7,02,897","26.55"
"BIOCON","EQ","08-Apr-2025","307.50","312.05","327.40","308.50","322.15","322.30","320.18","40,84,647","1,30,78,01,956.80","50,045","9,40,278","23.02"
"BIOCON","EQ","09-Apr-2025","322.30","315.65","316.10","305.00","305.60","306.30","308.64","34,81,679","1,07,45,90,956.95","39,330","9,57,883","27.51"
"BIOCON","EQ","11-Apr-2025","306.30","320.00","323.00","313.60","317.00","316.55","316.56","30,64,653","97,01,51,420.70","28,283","6,51,014","21.24"
"BIOCON","EQ","15-Apr-2025","316.55","321.00","330.65","319.70","329.45","328.85","327.88","32,08,011","1,05,18,40,257.95","31,776","15,99,476","49.86"
"BIOCON","EQ","16-Apr-2025","328.85","329.05","331.70","327.45","329.25","329.15","329.28","12,51,281","41,20,27,883.55","25,620","4,22,995","33.80"
"BIOCON","EQ","17-Apr-2025","329.15","329.10","333.00","327.55","330.35","331.30","331.14","9,58,981","31,75,52,946.85","11,543","2,61,123","27.23"
"BIOCON","EQ","21-Apr-2025","331.30","335.80","335.80","329.20","331.70","331.90","332.27","18,61,695","61,85,88,949.60","45,398","8,29,958","44.58"
"BIOCON","EQ","22-Apr-2025","331.90","332.45","337.25","327.70","333.80","333.80","333.03","23,56,750","78,48,72,518.75","36,580","8,80,837","37.38"
"BIOCON","EQ","23-Apr-2025","333.80","336.15","339.50","333.10","335.50","335.70","336.05","26,87,947","90,32,83,985.85","32,658","12,07,469","44.92"
"BIOCON","EQ","24-Apr-2025","335.70","334.00","335.00","325.05","325.75","326.75","328.12","47,13,095","1,54,64,74,413.20","43,463","14,43,613","30.63"
"BIOCON","EQ","25-Apr-2025","326.75","326.75","328.40","308.45","312.00","311.85","314.34","43,26,450","1,35,99,59,206.55","51,483","15,19,342","35.12"
"BIOCON","EQ","28-Apr-2025","311.85","314.85","322.45","313.00","320.90","320.85","319.33","24,27,466","77,51,56,868.50","32,462","8,11,371","33.42"
"BIOCON","EQ","29-Apr-2025","320.85","321.00","323.85","316.70","320.30","318.85","319.49","12,14,417","38,79,98,848.90","17,821","2,84,120","23.40"
"BIOCON","EQ","30-Apr-2025","318.85","319.45","325.20","317.00","320.00","321.80","322.84","26,32,538","84,98,89,374.35","24,252","11,77,965","44.75"
"BIOCON","EQ","02-May-2025","321.80","321.80","324.50","317.80","318.40","318.90","321.29","13,73,678","44,13,47,549.20","21,134","5,73,338","41.74"
"BIOCON","EQ","05-May-2025","318.90","322.00","336.80","322.00","336.15","335.90","332.82","46,79,123","1,55,72,99,416.95","40,706","14,37,733","30.73"
"BIOCON","EQ","06-May-2025","335.90","334.80","345.50","332.05","341.00","341.45","341.11","70,13,338","2,39,23,06,235.30","60,038","20,20,391","28.81"
"BIOCON","EQ","07-May-2025","341.45","336.10","348.85","336.10","346.10","346.50","344.11","52,99,681","1,82,36,73,286.55","56,059","21,04,901","39.72"
"BIOCON","EQ","08-May-2025","346.50","346.00","350.00","332.35","333.50","334.60","341.34","25,52,004","87,10,99,150.90","30,016","6,43,018","25.20"
"BIOCON","EQ","09-May-2025","334.60","333.50","340.80","328.00","330.90","329.90","333.07","61,31,597","2,04,22,46,528.70","46,864","10,14,207","16.54"
"BIOCON","EQ","12-May-2025","329.90","335.00","336.30","317.90","328.20","328.15","325.95","75,77,972","2,47,00,24,807.80","71,179","18,19,650","24.01"
"BIOCON","EQ","13-May-2025","328.15","330.80","337.50","328.80","330.20","329.85","332.61","44,88,167","1,49,27,90,301.25","40,285","18,28,199","40.73"
