"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BOSCHLTD","EQ","07-Mar-2025","27,070.05","27,070.05","27,391.90","26,850.00","26,950.00","27,033.40","27,069.53","18,774","50,82,03,378.65","7,437","9,068","48.30"
"BOSCHLTD","EQ","10-Mar-2025","27,033.40","27,005.00","27,250.00","26,610.15","26,700.00","26,799.35","26,938.20","17,291","46,57,88,392.65","5,832","8,929","51.64"
"BOSCHLTD","EQ","11-Mar-2025","26,799.35","26,650.00","27,030.15","26,400.00","26,999.00","26,982.55","26,777.09","18,143","48,58,16,673.35","7,507","10,377","57.20"
"BOSCHLTD","EQ","12-Mar-2025","26,982.55","26,900.00","27,125.00","26,540.00","26,800.00","26,807.10","26,755.79","17,579","47,03,40,110.10","6,320","9,933","56.50"
"BOSCHLTD","EQ","13-Mar-2025","26,807.10","26,750.00","26,807.10","26,282.45","26,356.95","26,378.35","26,504.09","8,806","23,33,94,980.40","4,331","3,867","43.91"
"BOSCHLTD","EQ","17-Mar-2025","26,378.35","26,379.05","26,759.65","26,210.95","26,421.20","26,345.85","26,405.72","16,075","42,44,71,989.45","5,893","7,723","48.04"
"BOSCHLTD","EQ","18-Mar-2025","26,345.85","26,550.00","27,430.00","26,532.05","27,385.00","27,343.65","27,060.02","31,416","85,01,17,470.80","9,775","15,273","48.62"
"BOSCHLTD","EQ","19-Mar-2025","27,343.65","27,337.00","27,671.85","27,310.00","27,550.00","27,557.30","27,544.76","20,377","56,12,79,665.60","8,028","9,046","44.39"
"BOSCHLTD","EQ","20-Mar-2025","27,557.30","27,560.05","27,875.00","27,503.05","27,657.00","27,623.85","27,723.05","17,337","48,06,34,472.50","6,433","5,253","30.30"
"BOSCHLTD","EQ","21-Mar-2025","27,623.85","27,675.00","27,839.95","27,358.95","27,574.30","27,432.25","27,559.78","76,189","2,09,97,52,285.40","17,215","55,446","72.77"
"BOSCHLTD","EQ","24-Mar-2025","27,432.25","27,528.35","28,356.95","27,528.35","28,294.00","28,276.80","28,100.69","18,555","52,14,08,366.00","7,482","8,871","47.81"
"BOSCHLTD","EQ","25-Mar-2025","28,276.80","28,500.00","28,500.00","27,366.55","27,425.00","27,448.10","27,799.36","31,106","86,47,26,995.85","13,155","15,579","50.08"
"BOSCHLTD","EQ","26-Mar-2025","27,448.10","27,629.00","28,180.00","27,390.30","28,020.00","28,072.05","28,007.99","35,123","98,37,24,742.35","14,449","15,116","43.04"
"BOSCHLTD","EQ","27-Mar-2025","28,072.05","27,999.00","28,459.90","27,600.00","28,330.00","28,355.50","28,246.41","45,542","1,28,63,98,066.35","16,227","26,846","58.95"
"BOSCHLTD","EQ","28-Mar-2025","28,355.50","28,170.00","28,560.00","28,116.00","28,200.05","28,358.45","28,369.51","21,915","62,17,17,867.40","9,951","11,135","50.81"
"BOSCHLTD","EQ","01-Apr-2025","28,358.45","28,100.15","28,349.95","27,650.60","27,852.00","27,884.10","27,831.05","46,358","1,29,01,92,010.40","18,167","31,788","68.57"
"BOSCHLTD","EQ","02-Apr-2025","27,884.10","27,884.10","28,205.95","27,738.00","28,109.00","28,024.10","28,033.00","18,267","51,20,78,742.65","8,798","10,817","59.22"
"BOSCHLTD","EQ","03-Apr-2025","28,024.10","27,588.00","28,098.85","27,588.00","27,860.50","28,013.90","27,903.70","15,941","44,48,12,874.25","7,884","7,501","47.05"
"BOSCHLTD","EQ","04-Apr-2025","28,013.90","27,750.00","27,780.55","27,124.60","27,334.00","27,289.10","27,387.15","21,549","59,01,65,665.70","8,324","12,575","58.36"
"BOSCHLTD","EQ","07-Apr-2025","27,289.10","26,409.50","26,800.00","25,921.60","26,769.90","26,588.25","26,401.64","40,276","1,06,33,52,400.15","10,580","24,806","61.59"
"BOSCHLTD","EQ","08-Apr-2025","26,588.25","26,800.00","27,089.95","26,350.00","26,528.00","26,516.30","26,607.36","11,659","31,02,15,189.65","6,661","4,532","38.87"
"BOSCHLTD","EQ","09-Apr-2025","26,516.30","26,500.00","26,596.45","26,077.35","26,156.00","26,182.70","26,248.63","10,681","28,03,61,619.90","5,901","4,791","44.86"
"BOSCHLTD","EQ","11-Apr-2025","26,182.70","26,684.20","26,849.80","26,300.00","26,399.90","26,359.25","26,504.00","21,080","55,87,04,265.55","8,198","11,313","53.67"
"BOSCHLTD","EQ","15-Apr-2025","26,359.25","27,090.00","27,165.00","26,580.00","27,120.00","27,090.00","26,889.44","18,573","49,94,17,650.00","8,810","10,463","56.33"
"BOSCHLTD","EQ","16-Apr-2025","27,090.00","27,090.00","27,485.00","27,030.00","27,400.00","27,370.00","27,311.42","13,059","35,66,59,780.00","6,009","4,820","36.91"
"BOSCHLTD","EQ","17-Apr-2025","27,370.00","27,485.00","27,580.00","27,025.00","27,490.00","27,505.00","27,394.18","10,197","27,93,38,415.00","5,517","3,755","36.82"
"BOSCHLTD","EQ","21-Apr-2025","27,505.00","27,600.00","27,930.00","27,515.00","27,860.00","27,800.00","27,775.90","13,857","38,48,90,680.00","5,935","6,188","44.66"
"BOSCHLTD","EQ","22-Apr-2025","27,800.00","27,900.00","28,350.00","27,655.00","27,960.00","28,020.00","27,920.19","20,011","55,87,11,010.00","7,383","7,896","39.46"
"BOSCHLTD","EQ","23-Apr-2025","28,020.00","28,200.00","28,600.00","27,915.00","28,300.00","28,415.00","28,186.41","18,101","51,02,02,280.00","8,224","8,020","44.31"
"BOSCHLTD","EQ","24-Apr-2025","28,415.00","28,415.00","28,600.00","28,200.00","28,420.00","28,430.00","28,378.34","19,139","54,31,33,075.00","8,485","8,168","42.68"
"BOSCHLTD","EQ","25-Apr-2025","28,430.00","28,355.00","28,625.00","27,850.00","28,050.00","27,995.00","28,040.73","29,555","82,87,43,915.00","12,066","15,988","54.10"
"BOSCHLTD","EQ","28-Apr-2025","27,995.00","27,860.00","28,395.00","27,860.00","28,340.00","28,315.00","28,198.69","12,875","36,30,58,070.00","6,964","6,125","47.57"
"BOSCHLTD","EQ","29-Apr-2025","28,315.00","28,465.00","29,250.00","28,395.00","29,250.00","29,165.00","29,017.97","34,323","99,59,83,955.00","15,629","10,413","30.34"
"BOSCHLTD","EQ","30-Apr-2025","29,165.00","29,195.00","29,685.00","29,065.00","29,230.00","29,455.00","29,447.60","30,652","90,26,27,840.00","10,747","13,482","43.98"
"BOSCHLTD","EQ","02-May-2025","29,455.00","29,595.00","29,940.00","29,340.00","29,450.00","29,580.00","29,606.67","14,871","44,02,80,840.00","7,941","5,474","36.81"
"BOSCHLTD","EQ","05-May-2025","29,580.00","29,750.00","30,570.00","29,595.00","30,390.00","30,365.00","30,079.31","21,026","63,24,47,600.00","10,354","5,049","24.01"
"BOSCHLTD","EQ","06-May-2025","30,365.00","30,475.00","30,600.00","29,800.00","29,835.00","29,915.00","30,156.23","15,039","45,35,19,530.00","7,420","5,221","34.72"
"BOSCHLTD","EQ","07-May-2025","29,915.00","29,585.00","30,850.00","29,425.00","30,360.00","30,475.00","30,473.27","26,296","80,13,25,035.00","12,860","7,752","29.48"
"BOSCHLTD","EQ","08-May-2025","30,475.00","30,510.00","30,755.00","29,780.00","29,915.00","30,010.00","30,360.28","17,004","51,62,46,140.00","8,748","5,849","34.40"
"BOSCHLTD","EQ","09-May-2025","30,010.00","29,865.00","30,235.00","29,560.00","30,045.00","30,000.00","29,929.77","19,095","57,15,08,990.00","9,091","4,636","24.28"
"BOSCHLTD","EQ","12-May-2025","30,000.00","30,680.00","31,085.00","30,420.00","30,890.00","31,005.00","30,857.46","14,375","44,35,76,055.00","6,038","4,785","33.29"
"BOSCHLTD","EQ","13-May-2025","31,005.00","31,115.00","31,325.00","31,005.00","31,165.00","31,145.00","31,145.30","18,815","58,59,98,880.00","6,983","10,457","55.58"
"BOSCHLTD","EQ","14-May-2025","31,145.00","31,045.00","31,755.00","31,045.00","31,755.00","31,420.00","31,456.60","19,016","59,81,78,795.00","8,325","9,765","51.35"
"BOSCHLTD","EQ","15-May-2025","31,420.00","31,590.00","31,820.00","31,305.00","31,680.00","31,730.00","31,590.56","24,393","77,05,88,630.00","7,267","13,659","56.00"
"BOSCHLTD","EQ","16-May-2025","31,730.00","31,730.00","31,885.00","31,470.00","31,670.00","31,655.00","31,658.35","18,391","58,22,28,725.00","7,495","10,428","56.70"
"BOSCHLTD","EQ","19-May-2025","31,655.00","31,635.00","32,080.00","31,450.00","31,625.00","31,560.00","31,710.44","19,249","61,03,94,210.00","6,438","9,558","49.65"
"BOSCHLTD","EQ","20-May-2025","31,560.00","31,800.00","32,000.00","31,455.00","31,460.00","31,515.00","31,670.02","25,442","80,57,48,740.00","7,053","16,883","66.36"
"BOSCHLTD","EQ","21-May-2025","31,515.00","31,515.00","31,850.00","31,250.00","31,625.00","31,655.00","31,654.72","14,371","45,49,09,935.00","6,265","7,943","55.27"
"BOSCHLTD","EQ","22-May-2025","31,655.00","31,655.00","31,895.00","31,305.00","31,840.00","31,740.00","31,577.69","10,408","32,86,60,560.00","4,481","5,248","50.42"
"BOSCHLTD","EQ","23-May-2025","31,740.00","31,845.00","32,195.00","31,610.00","32,095.00","32,130.00","32,005.98","10,400","33,28,62,140.00","4,998","4,845","46.59"
"BOSCHLTD","EQ","26-May-2025","32,130.00","32,130.00","32,705.00","31,870.00","32,450.00","32,485.00","32,324.45","22,230","71,85,72,590.00","10,025","9,295","41.81"
"BOSCHLTD","EQ","27-May-2025","32,485.00","32,510.00","32,610.00","32,315.00","32,610.00","32,485.00","32,466.37","21,918","71,15,97,850.00","9,270","10,045","45.83"
"BOSCHLTD","EQ","28-May-2025","32,485.00","32,440.00","32,440.00","31,200.00","31,605.00","31,630.00","31,515.89","79,649","2,51,02,09,485.00","29,067","26,567","33.36"
"BOSCHLTD","EQ","29-May-2025","31,630.00","31,640.00","31,885.00","31,165.00","31,250.00","31,255.00","31,457.60","17,502","55,05,70,905.00","8,304","4,940","28.23"
"BOSCHLTD","EQ","30-May-2025","31,255.00","31,450.00","32,015.00","31,010.00","31,385.00","31,415.00","31,393.53","51,998","1,63,24,00,600.00","19,704","24,152","46.45"
"BOSCHLTD","EQ","02-Jun-2025","31,415.00","31,450.00","31,520.00","31,080.00","31,210.00","31,230.00","31,287.45","14,075","44,03,70,865.00","7,445","7,431","52.80"
"BOSCHLTD","EQ","03-Jun-2025","31,230.00","31,360.00","31,560.00","31,195.00","31,300.00","31,355.00","31,346.06","10,737","33,65,62,595.00","5,800","5,213","48.55"
"BOSCHLTD","EQ","04-Jun-2025","31,355.00","31,550.00","31,840.00","31,300.00","31,330.00","31,415.00","31,553.24","55,704","1,75,76,41,855.00","17,128","32,884","59.03"
"BOSCHLTD","EQ","05-Jun-2025","31,415.00","31,680.00","31,680.00","31,250.00","31,400.00","31,455.00","31,490.63","62,802","1,97,76,74,610.00","5,083","55,622","88.57"
"BOSCHLTD","EQ","06-Jun-2025","31,455.00","31,625.00","31,730.00","31,320.00","31,550.00","31,595.00","31,556.40","29,686","93,67,83,155.00","4,261","23,870","80.41"
"BOSCHLTD","EQ","09-Jun-2025","31,595.00","31,605.00","31,880.00","31,605.00","31,650.00","31,690.00","31,709.26","18,145","57,53,64,605.00","6,500","10,140","55.88"
"BOSCHLTD","EQ","10-Jun-2025","31,690.00","31,690.00","31,970.00","31,450.00","31,470.00","31,545.00","31,679.18","21,674","68,66,14,530.00","6,362","10,798","49.82"
"BOSCHLTD","EQ","11-Jun-2025","31,545.00","31,550.00","31,945.00","31,520.00","31,880.00","31,895.00","31,804.48","9,731","30,94,89,415.00","4,889","4,695","48.25"
"BOSCHLTD","EQ","12-Jun-2025","31,895.00","31,800.00","31,940.00","31,440.00","31,500.00","31,520.00","31,735.32","9,072","28,79,02,810.00","4,218","4,231","46.64"
"BOSCHLTD","EQ","13-Jun-2025","31,520.00","31,100.00","31,730.00","30,945.00","31,600.00","31,585.00","31,405.83","12,905","40,52,92,225.00","6,512","6,209","48.11"
"BOSCHLTD","EQ","16-Jun-2025","31,585.00","31,695.00","32,375.00","31,405.00","32,290.00","32,280.00","32,065.66","21,513","68,98,28,490.00","8,387","10,188","47.36"
"BOSCHLTD","EQ","17-Jun-2025","32,280.00","32,370.00","32,395.00","32,000.00","32,105.00","32,215.00","32,202.61","10,902","35,10,72,875.00","5,608","4,715","43.25"
"BOSCHLTD","EQ","18-Jun-2025","32,215.00","32,105.00","32,585.00","32,105.00","32,400.00","32,390.00","32,388.13","15,987","51,77,89,080.00","8,468","6,090","38.09"
"BOSCHLTD","EQ","19-Jun-2025","32,390.00","32,480.00","32,795.00","32,205.00","32,400.00","32,375.00","32,506.15","20,928","68,02,88,780.00","7,970","10,674","51.00"
"BOSCHLTD","EQ","20-Jun-2025","32,375.00","32,375.00","32,620.00","32,150.00","32,200.00","32,290.00","32,345.51","23,579","76,26,74,700.00","7,188","13,388","56.78"
"BOSCHLTD","EQ","23-Jun-2025","32,290.00","32,250.00","32,290.00","31,480.00","31,540.00","31,575.00","31,708.77","13,460","42,68,00,045.00","5,662","4,180","31.05"
"BOSCHLTD","EQ","24-Jun-2025","31,575.00","32,000.00","32,000.00","31,435.00","31,520.00","31,500.00","31,655.45","15,696","49,68,63,900.00","6,201","6,497","41.39"
"BOSCHLTD","EQ","25-Jun-2025","31,500.00","31,705.00","32,085.00","31,470.00","31,780.00","31,755.00","31,792.07","28,913","91,92,03,985.00","12,990","13,880","48.01"
"BOSCHLTD","EQ","26-Jun-2025","31,755.00","31,895.00","32,400.00","31,525.00","32,100.00","32,215.00","31,761.05","40,409","1,28,34,32,185.00","15,420","26,287","65.05"
"BOSCHLTD","EQ","27-Jun-2025","32,215.00","32,490.00","32,495.00","32,020.00","32,315.00","32,260.00","32,264.76","83,020","2,67,86,20,125.00","23,017","63,849","76.91"
"BOSCHLTD","EQ","30-Jun-2025","32,260.00","32,660.00","32,895.00","32,440.00","32,600.00","32,680.00","32,676.80","32,831","1,07,28,12,030.00","12,156","13,811","42.07"
"BOSCHLTD","EQ","01-Jul-2025","32,680.00","32,660.00","32,670.00","32,120.00","32,350.00","32,315.00","32,343.86","13,798","44,62,80,595.00","7,656","7,356","53.31"
"BOSCHLTD","EQ","02-Jul-2025","32,315.00","32,400.00","32,545.00","32,215.00","32,475.00","32,445.00","32,356.78","18,343","59,35,20,425.00","6,092","10,215","55.69"
"BOSCHLTD","EQ","03-Jul-2025","32,445.00","32,545.00","34,875.00","32,450.00","34,400.00","34,405.00","33,967.75","1,20,903","4,10,68,02,455.00","43,106","24,894","20.59"
"BOSCHLTD","EQ","04-Jul-2025","34,405.00","34,380.00","36,020.00","34,330.00","35,815.00","35,930.00","35,517.70","1,73,114","6,14,86,11,865.00","60,348","41,650","24.06"
"BOSCHLTD","EQ","07-Jul-2025","35,930.00","35,760.00","36,340.00","35,375.00","36,155.00","36,045.00","35,977.58","90,278","3,24,79,83,860.00","33,132","33,791","37.43"
"BOSCHLTD","EQ","08-Jul-2025","36,045.00","35,990.00","36,335.00","35,380.00","35,485.00","35,490.00","35,804.82","83,073","2,97,44,13,950.00","27,732","30,367","36.55"
"BOSCHLTD","EQ","09-Jul-2025","35,490.00","35,500.00","36,095.00","35,265.00","35,700.00","35,800.00","35,754.52","40,693","1,45,49,58,790.00","17,561","9,139","22.46"
"BOSCHLTD","EQ","10-Jul-2025","35,800.00","35,725.00","36,300.00","35,620.00","36,280.00","36,195.00","35,979.48","40,853","1,46,98,69,625.00","14,649","16,157","39.55"
"BOSCHLTD","EQ","11-Jul-2025","36,195.00","36,200.00","37,410.00","36,155.00","36,500.00","36,525.00","36,798.17","81,825","3,01,10,09,875.00","33,168","19,544","23.89"
"BOSCHLTD","EQ","14-Jul-2025","36,525.00","36,785.00","37,985.00","36,525.00","37,900.00","37,845.00","37,394.45","75,464","2,82,19,35,045.00","28,602","20,381","27.01"
"BOSCHLTD","EQ","15-Jul-2025","37,845.00","37,990.00","38,850.00","37,885.00","38,265.00","38,320.00","38,412.16","69,592","2,67,31,79,020.00","27,490","17,921","25.75"
"BOSCHLTD","EQ","16-Jul-2025","38,320.00","38,570.00","38,570.00","37,845.00","38,455.00","38,475.00","38,276.98","42,632","1,63,18,24,165.00","17,907","11,925","27.97"
"BOSCHLTD","EQ","17-Jul-2025","38,475.00","38,600.00","38,855.00","38,275.00","38,570.00","38,645.00","38,558.52","40,326","1,55,49,10,745.00","14,896","13,817","34.26"
"BOSCHLTD","EQ","18-Jul-2025","38,645.00","38,645.00","39,055.00","38,150.00","38,310.00","38,250.00","38,607.55","32,786","1,26,57,87,225.00","12,672","7,606","23.20"
"BOSCHLTD","EQ","21-Jul-2025","38,250.00","38,495.00","38,565.00","38,010.00","38,365.00","38,320.00","38,294.11","24,276","92,96,27,785.00","10,150","7,649","31.51"
"BOSCHLTD","EQ","22-Jul-2025","38,320.00","38,500.00","38,515.00","37,425.00","37,750.00","37,755.00","37,824.90","26,390","99,81,99,190.00","12,628","7,542","28.58"
"BOSCHLTD","EQ","23-Jul-2025","37,755.00","37,800.00","38,060.00","37,515.00","37,980.00","37,980.00","37,785.68","20,844","78,76,04,665.00","9,542","5,392","25.87"
