"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BPCL","EQ","07-Mar-2025","265.04","264.96","265.79","260.00","260.49","261.26","262.12","70,57,204","1,84,98,30,185.12","91,428","33,44,300","47.39"
"BPCL","EQ","10-Mar-2025","261.26","261.26","265.96","256.06","256.69","256.93","260.89","84,87,911","2,21,43,90,409.63","87,326","42,10,726","49.61"
"BPCL","EQ","11-Mar-2025","256.93","255.99","264.97","254.35","264.70","264.58","261.76","1,23,06,539","3,22,13,82,308.90","96,526","42,68,231","34.68"
"BPCL","EQ","12-Mar-2025","264.58","266.50","272.00","263.40","265.93","266.32","266.76","1,06,48,004","2,84,04,28,970.09","1,06,619","42,57,149","39.98"
"BPCL","EQ","13-Mar-2025","266.32","266.32","266.67","262.01","263.80","264.41","264.34","45,45,159","1,20,14,86,152.06","59,062","21,38,112","47.04"
"BPCL","EQ","17-Mar-2025","264.41","261.11","263.69","258.31","261.41","261.42","260.77","64,82,585","1,69,04,94,521.45","83,243","22,31,010","34.42"
"BPCL","EQ","18-Mar-2025","261.42","262.15","263.30","259.51","262.20","262.18","261.33","55,48,862","1,45,00,84,692.79","56,335","25,62,808","46.19"
"BPCL","EQ","19-Mar-2025","262.18","263.51","266.49","263.01","265.60","265.26","265.35","49,55,027","1,31,47,95,841.55","62,849","22,13,189","44.67"
"BPCL","EQ","20-Mar-2025","265.26","266.60","272.93","264.75","271.80","272.13","270.05","1,07,89,615","2,91,36,90,599.83","1,17,562","51,22,155","47.47"
"BPCL","EQ","21-Mar-2025","272.13","272.20","285.85","271.06","279.11","279.66","279.09","2,61,73,451","7,30,46,27,173.01","1,85,524","1,60,79,180","61.43"
"BPCL","EQ","24-Mar-2025","279.66","282.00","285.30","280.00","280.69","280.44","282.02","1,13,76,607","3,20,84,15,757.58","96,555","62,55,049","54.98"
"BPCL","EQ","25-Mar-2025","280.44","280.57","283.96","277.18","278.60","279.11","280.12","1,21,43,699","3,40,16,78,639.71","1,15,276","63,53,381","52.32"
"BPCL","EQ","26-Mar-2025","279.11","278.00","283.33","272.13","273.50","273.01","278.25","94,75,308","2,63,64,89,344.95","92,614","46,67,721","49.26"
"BPCL","EQ","27-Mar-2025","273.01","273.39","279.85","272.18","279.00","276.06","276.01","10,75,24,873","29,67,78,92,706.66","1,87,408","8,63,53,904","80.31"
"BPCL","EQ","28-Mar-2025","276.06","276.99","284.33","276.30","278.35","278.47","280.73","1,26,87,883","3,56,18,76,794.83","90,537","61,50,119","48.47"
"BPCL","EQ","01-Apr-2025","278.47","275.00","287.00","275.00","285.70","284.60","282.87","2,07,80,255","5,87,80,97,764.25","1,25,934","1,08,15,469","52.05"
"BPCL","EQ","02-Apr-2025","284.60","283.05","288.05","277.70","286.60","286.80","283.72","1,20,58,406","3,42,12,34,739.80","78,397","65,16,733","54.04"
"BPCL","EQ","03-Apr-2025","286.80","283.00","291.40","283.00","286.00","286.80","286.98","66,63,148","1,91,22,20,575.60","51,867","29,60,914","44.44"
"BPCL","EQ","04-Apr-2025","286.80","292.15","295.70","277.05","279.00","279.45","284.94","1,88,52,567","5,37,19,25,884.90","1,39,313","73,93,164","39.22"
"BPCL","EQ","07-Apr-2025","279.45","262.00","279.10","262.00","275.50","273.70","273.51","1,50,10,047","4,10,54,26,960.20","1,27,768","58,17,368","38.76"
"BPCL","EQ","08-Apr-2025","273.70","279.50","287.50","275.10","285.15","285.90","283.18","1,89,94,276","5,37,87,99,889.75","1,27,287","1,06,21,216","55.92"
"BPCL","EQ","09-Apr-2025","285.90","288.70","290.65","279.60","287.95","287.95","286.72","1,45,19,066","4,16,28,85,821.80","87,996","75,01,864","51.67"
"BPCL","EQ","11-Apr-2025","287.95","296.45","296.45","286.50","292.75","293.20","292.30","1,49,55,235","4,37,14,55,315.20","74,578","92,90,558","62.12"
"BPCL","EQ","15-Apr-2025","293.20","296.80","296.80","291.10","294.35","294.40","293.17","85,16,322","2,49,67,27,453.55","59,151","49,86,430","58.55"
