"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"BSE","EQ","07-Mar-2025","4,253.45","4,229.90","4,324.80","4,162.05","4,183.00","4,178.30","4,240.77","36,80,483","15,60,80,68,589.85","2,17,793","6,14,336","16.69"
"BSE","EQ","10-Mar-2025","4,178.30","4,170.00","4,233.80","3,976.05","3,982.90","3,998.95","4,059.06","41,72,387","16,93,59,66,671.35","2,48,429","9,01,690","21.61"
"BSE","EQ","11-Mar-2025","3,998.95","3,920.00","3,978.95","3,682.00","3,830.00","3,809.75","3,826.06","72,62,591","27,78,70,77,099.35","3,84,134","13,76,616","18.95"
"BSE","EQ","12-Mar-2025","3,809.75","3,865.00","4,068.90","3,865.00","4,005.00","4,014.40","3,984.80","63,27,755","25,21,48,63,018.05","3,08,378","5,52,254","8.73"
"BSE","EQ","13-Mar-2025","4,014.40","4,014.40","4,059.35","3,900.00","3,907.00","3,926.25","3,974.45","37,70,603","14,98,60,54,742.60","1,81,522","5,82,092","15.44"
"BSE","EQ","17-Mar-2025","3,926.25","3,969.60","4,025.00","3,901.00","3,969.05","3,962.35","3,967.91","29,09,132","11,54,31,74,963.95","1,56,841","3,62,637","12.47"
"BSE","EQ","18-Mar-2025","3,962.35","4,008.00","4,167.95","3,980.00","4,150.00","4,146.70","4,067.24","33,20,085","13,50,35,98,723.95","1,59,425","6,80,131","20.49"
"BSE","EQ","19-Mar-2025","4,146.70","4,164.00","4,413.25","4,155.50","4,388.00","4,392.45","4,319.15","51,70,862","22,33,37,13,638.20","2,72,098","11,35,824","21.97"
"BSE","EQ","20-Mar-2025","4,392.45","4,434.00","4,553.00","4,355.00","4,472.60","4,478.10","4,462.26","53,69,538","23,96,02,68,873.95","2,86,393","7,02,190","13.08"
"BSE","EQ","21-Mar-2025","4,478.10","4,489.00","4,850.00","4,455.10","4,802.05","4,779.75","4,674.36","70,34,374","32,88,12,10,462.80","3,11,839","14,53,954","20.67"
"BSE","EQ","24-Mar-2025","4,779.75","4,840.00","4,908.90","4,621.70","4,675.00","4,655.05","4,773.18","58,12,477","27,74,40,17,125.40","3,17,147","10,05,856","17.31"
"BSE","EQ","25-Mar-2025","4,655.05","4,684.00","4,777.30","4,615.80","4,636.50","4,651.65","4,679.36","41,39,649","19,37,08,93,398.25","2,39,413","5,48,942","13.26"
"BSE","EQ","26-Mar-2025","4,651.65","4,670.00","4,687.00","4,453.00","4,484.00","4,474.70","4,553.28","29,59,945","13,47,74,43,623.60","1,79,298","6,01,403","20.32"
"BSE","EQ","27-Mar-2025","4,474.70","4,650.00","4,735.00","4,578.20","4,694.00","4,684.35","4,673.27","69,33,992","32,40,43,97,028.85","3,77,784","10,33,059","14.90"
"BSE","EQ","28-Mar-2025","4,684.35","5,000.00","5,534.40","5,000.00","5,438.00","5,479.80","5,349.98","1,87,73,111","1,00,43,57,94,762.60","9,66,795","23,68,727","12.62"
"BSE","EQ","01-Apr-2025","5,479.80","5,544.00","5,575.50","5,430.00","5,468.00","5,466.00","5,489.85","46,49,115","25,52,29,36,301.90","2,80,365","7,30,387","15.71"
"BSE","EQ","02-Apr-2025","5,466.00","5,469.00","5,680.00","5,430.00","5,662.00","5,654.85","5,584.92","48,53,044","27,10,38,55,735.70","2,99,118","6,26,678","12.91"
"BSE","EQ","03-Apr-2025","5,654.85","5,576.00","5,787.20","5,561.50","5,620.00","5,620.85","5,656.54","45,00,120","25,45,50,96,168.50","2,76,702","8,63,586","19.19"
"BSE","EQ","04-Apr-2025","5,620.85","5,623.45","5,659.65","5,462.80","5,524.95","5,517.45","5,548.44","38,01,665","21,09,33,15,400.35","2,38,856","6,11,127","16.08"
"BSE","EQ","07-Apr-2025","5,517.45","5,000.05","5,250.00","4,978.35","5,227.00","5,182.45","5,117.53","42,14,367","21,56,71,37,616.50","2,74,433","10,16,930","24.13"
"BSE","EQ","08-Apr-2025","5,182.45","5,400.00","5,558.85","5,352.55","5,500.20","5,538.20","5,448.77","34,74,022","18,92,91,44,395.45","2,38,670","5,53,143","15.92"
"BSE","EQ","09-Apr-2025","5,538.20","5,500.20","5,610.00","5,407.60","5,546.00","5,548.35","5,518.14","31,61,970","17,44,82,02,135.95","1,98,493","6,26,018","19.80"
"BSE","EQ","11-Apr-2025","5,548.35","5,697.40","5,724.00","5,582.00","5,639.10","5,644.75","5,653.46","26,43,655","14,94,57,88,332.35","1,69,984","5,22,086","19.75"
"BSE","EQ","15-Apr-2025","5,644.75","5,751.00","5,975.00","5,721.00","5,964.00","5,958.00","5,890.00","26,38,031","15,53,79,89,980.00","1,88,420","7,27,637","27.58"
"BSE","EQ","16-Apr-2025","5,958.00","5,987.00","5,998.00","5,860.00","5,927.00","5,930.50","5,926.02","22,21,360","13,16,38,15,262.00","1,60,469","5,15,065","23.19"
"BSE","EQ","17-Apr-2025","5,930.50","5,909.00","6,040.00","5,865.50","5,931.00","5,931.00","5,941.59","25,84,490","15,35,59,79,473.50","1,65,628","4,75,062","18.38"
"BSE","EQ","21-Apr-2025","5,931.00","5,981.00","6,313.00","5,970.00","6,304.00","6,285.00","6,181.02","40,85,227","25,25,08,66,243.00","2,65,158","7,59,949","18.60"
"BSE","EQ","22-Apr-2025","6,285.00","6,348.00","6,408.00","6,225.00","6,239.00","6,241.50","6,317.22","33,64,800","21,25,61,79,287.50","2,23,921","6,42,814","19.10"
"BSE","EQ","23-Apr-2025","6,241.50","6,299.00","6,459.00","6,225.00","6,446.00","6,439.00","6,362.60","36,71,456","23,36,00,02,026.00","2,51,491","8,73,550","23.79"
"BSE","EQ","24-Apr-2025","6,439.00","6,450.00","6,564.00","6,420.00","6,485.00","6,493.50","6,508.28","27,68,070","18,01,53,69,655.50","1,83,398","5,51,472","19.92"
"BSE","EQ","25-Apr-2025","6,493.50","6,525.00","6,595.00","6,172.50","6,296.00","6,303.50","6,349.41","42,81,653","27,18,59,73,280.50","3,08,436","7,55,811","17.65"
"BSE","EQ","28-Apr-2025","6,303.50","6,300.00","6,597.50","6,272.00","6,540.00","6,564.50","6,466.75","29,07,978","18,80,51,67,607.00","2,02,587","6,78,078","23.32"
"BSE","EQ","29-Apr-2025","6,564.50","6,601.00","6,808.00","6,561.50","6,660.00","6,641.50","6,700.51","36,80,234","24,65,94,55,023.00","2,61,940","6,32,852","17.20"
"BSE","EQ","30-Apr-2025","6,641.50","6,670.00","6,670.00","6,322.50","6,339.50","6,359.00","6,445.02","24,62,279","15,86,94,33,699.50","2,16,669","6,77,645","27.52"
"BSE","EQ","02-May-2025","6,359.00","6,361.00","6,509.00","6,286.00","6,315.00","6,306.50","6,379.71","25,67,773","16,38,16,43,300.00","1,81,499","4,51,163","17.57"
"BSE","EQ","05-May-2025","6,306.50","6,350.00","6,477.50","6,270.00","6,465.00","6,453.50","6,384.25","21,98,212","14,03,39,35,713.50","1,62,634","3,89,193","17.70"
"BSE","EQ","06-May-2025","6,453.50","6,475.00","6,529.50","6,220.00","6,250.00","6,245.00","6,383.78","25,11,339","16,03,18,41,546.50","1,89,834","4,56,730","18.19"
"BSE","EQ","07-May-2025","6,245.00","6,370.00","6,847.50","6,352.50","6,670.00","6,652.50","6,685.49","1,08,72,465","72,68,77,53,194.00","6,70,982","13,91,476","12.80"
"BSE","EQ","08-May-2025","6,652.50","6,729.00","6,894.00","6,631.00","6,644.50","6,690.00","6,809.11","52,71,948","35,89,72,74,081.50","3,55,026","7,33,017","13.90"
"BSE","EQ","09-May-2025","6,690.00","6,500.00","6,650.00","6,482.00","6,600.00","6,572.00","6,549.33","35,19,848","23,05,26,52,709.50","2,31,410","4,60,295","13.08"
"BSE","EQ","12-May-2025","6,572.00","6,900.00","7,047.00","6,865.00","6,965.00","6,955.50","6,959.68","39,61,228","27,56,88,90,713.50","2,46,007","6,45,324","16.29"
"BSE","EQ","13-May-2025","6,955.50","7,000.00","7,346.00","6,981.50","7,305.00","7,315.50","7,202.68","53,85,278","38,78,84,39,522.50","3,35,132","9,64,056","17.90"
