"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CANBK","EQ","07-Mar-2025","85.35","85.50","85.95","84.45","84.88","85.02","85.15","1,29,88,687","1,10,60,46,506.78","47,695","50,46,234","38.85"
"CANBK","EQ","10-Mar-2025","85.02","85.00","85.43","82.21","82.35","82.49","83.71","1,46,34,696","1,22,50,68,244.30","58,179","63,48,834","43.38"
"CANBK","EQ","11-Mar-2025","82.49","81.40","83.65","81.40","83.40","83.28","82.98","2,17,42,642","1,80,41,14,148.11","61,852","1,04,06,096","47.86"
"CANBK","EQ","12-Mar-2025","83.28","83.30","84.10","81.55","82.45","82.46","82.68","1,47,26,763","1,21,76,59,703.39","44,150","62,02,744","42.12"
"CANBK","EQ","13-Mar-2025","82.46","82.72","83.48","82.16","82.85","82.90","82.88","2,56,85,980","2,12,87,95,346.96","57,284","1,04,72,951","40.77"
"CANBK","EQ","17-Mar-2025","82.90","83.30","83.46","82.17","82.55","82.49","82.64","1,31,15,654","1,08,38,14,115.50","51,106","56,08,703","42.76"
"CANBK","EQ","18-Mar-2025","82.49","82.86","84.10","82.61","83.95","83.92","83.47","2,07,10,941","1,72,88,25,766.76","58,720","1,21,42,882","58.63"
"CANBK","EQ","19-Mar-2025","83.92","84.02","85.85","84.02","85.72","85.57","85.17","2,21,16,696","1,88,37,24,070.77","62,541","1,05,19,633","47.56"
"CANBK","EQ","20-Mar-2025","85.57","85.99","86.68","85.35","85.78","85.84","86.01","1,73,59,824","1,49,32,00,644.20","65,572","82,24,870","47.38"
"CANBK","EQ","21-Mar-2025","85.84","86.00","88.25","85.50","87.65","87.54","87.43","2,66,91,971","2,33,36,23,688.87","70,770","1,38,16,018","51.76"
"CANBK","EQ","24-Mar-2025","87.54","88.50","91.60","88.20","91.35","91.32","90.55","3,67,71,697","3,32,95,85,681.78","91,897","2,04,61,678","55.65"
"CANBK","EQ","25-Mar-2025","91.32","92.20","92.25","88.05","88.16","88.46","89.63","2,34,78,508","2,10,43,36,120.94","85,058","1,09,86,478","46.79"
"CANBK","EQ","26-Mar-2025","88.46","88.30","89.32","87.00","87.42","87.24","88.13","2,14,55,219","1,89,08,33,181.98","74,818","97,71,936","45.55"
"CANBK","EQ","27-Mar-2025","87.24","87.10","90.00","86.80","89.62","89.65","89.02","5,83,99,584","5,19,89,26,736.13","1,15,342","3,21,13,661","54.99"
"CANBK","EQ","28-Mar-2025","89.65","89.65","91.18","88.66","89.11","89.00","89.76","3,01,88,247","2,70,98,08,883.59","82,021","1,37,31,540","45.49"
"CANBK","EQ","01-Apr-2025","89.00","88.53","90.68","88.10","90.15","90.00","89.75","1,45,96,862","1,31,00,38,046.87","52,078","51,55,303","35.32"
"CANBK","EQ","02-Apr-2025","90.00","90.50","91.33","88.50","91.11","91.10","90.35","1,84,79,410","1,66,96,39,178.25","63,890","84,59,788","45.78"
"CANBK","EQ","03-Apr-2025","91.10","90.00","95.19","89.75","94.25","94.38","93.30","3,85,14,763","3,59,35,51,902.53","1,03,040","1,39,82,563","36.30"
"CANBK","EQ","04-Apr-2025","94.38","94.41","94.80","89.70","90.60","90.39","91.70","3,35,52,098","3,07,66,89,101.25","96,386","1,42,62,402","42.51"
"CANBK","EQ","07-Apr-2025","90.39","83.70","87.92","83.70","87.30","87.10","86.61","2,93,26,338","2,53,99,77,935.28","1,16,388","1,18,12,983","40.28"
"CANBK","EQ","08-Apr-2025","87.10","89.00","89.84","87.60","89.81","89.43","88.87","2,15,16,232","1,91,22,50,725.97","81,552","81,49,201","37.87"
"CANBK","EQ","09-Apr-2025","89.43","89.66","90.20","87.15","88.35","88.42","88.55","2,18,29,542","1,93,29,37,720.43","73,857","76,44,809","35.02"
"CANBK","EQ","11-Apr-2025","88.42","89.95","91.40","88.86","90.53","90.54","90.34","2,20,91,340","1,99,58,12,398.97","86,065","83,87,266","37.97"
"CANBK","EQ","15-Apr-2025","90.54","92.83","92.94","91.28","92.79","92.69","92.22","3,19,90,152","2,95,02,85,139.55","95,961","1,26,68,927","39.60"
"CANBK","EQ","16-Apr-2025","92.69","92.97","94.94","92.50","94.70","94.70","94.34","2,72,15,945","2,56,75,32,418.11","89,160","1,11,98,970","41.15"
"CANBK","EQ","17-Apr-2025","94.70","94.98","96.60","94.60","96.00","96.02","95.76","3,17,63,625","3,04,17,35,133.36","80,747","1,35,59,095","42.69"
"CANBK","EQ","21-Apr-2025","96.02","96.80","99.49","96.50","99.00","99.00","98.42","2,77,99,862","2,73,59,27,965.19","1,16,518","1,13,73,307","40.91"
"CANBK","EQ","22-Apr-2025","99.00","100.11","102.63","99.30","100.69","100.66","101.27","4,92,76,193","4,99,03,98,245.67","1,32,013","1,66,45,118","33.78"
"CANBK","EQ","23-Apr-2025","100.66","101.15","101.30","97.54","99.30","99.45","99.24","4,14,77,808","4,11,61,72,768.41","95,144","1,93,00,818","46.53"
"CANBK","EQ","24-Apr-2025","99.45","99.50","100.30","99.00","99.18","99.39","99.68","2,77,47,894","2,76,58,42,885.51","75,097","1,22,79,301","44.25"
"CANBK","EQ","25-Apr-2025","99.39","99.40","99.71","96.02","96.26","96.53","97.26","4,14,13,435","4,02,77,31,028.22","95,026","2,05,80,544","49.70"
"CANBK","EQ","28-Apr-2025","96.53","96.26","99.00","95.87","98.59","98.45","98.05","2,83,01,422","2,77,50,08,511.79","90,293","1,23,91,411","43.78"
"CANBK","EQ","29-Apr-2025","98.45","99.25","101.39","98.80","99.10","99.33","99.98","4,70,26,479","4,70,16,22,749.29","1,27,991","2,22,41,963","47.30"
"CANBK","EQ","30-Apr-2025","99.33","99.00","99.00","96.95","97.20","97.45","97.68","2,37,57,351","2,32,05,27,704.39","67,602","1,22,93,142","51.74"
"CANBK","EQ","02-May-2025","97.45","97.50","98.97","96.45","97.00","96.85","97.60","1,52,28,120","1,48,63,38,189.52","54,859","52,33,607","34.37"
"CANBK","EQ","05-May-2025","96.85","97.00","97.74","96.65","97.35","97.16","97.13","1,37,89,187","1,33,92,93,602.88","42,933","56,48,955","40.97"
"CANBK","EQ","06-May-2025","97.16","97.50","97.94","91.89","92.09","92.38","94.14","2,73,73,024","2,57,69,29,539.47","90,427","1,27,50,805","46.58"
"CANBK","EQ","07-May-2025","92.38","91.00","94.33","90.95","93.89","93.67","93.39","2,51,92,657","2,35,26,87,769.96","75,441","90,67,453","35.99"
"CANBK","EQ","08-May-2025","93.67","94.39","98.17","92.93","95.13","95.37","95.94","7,84,81,304","7,52,95,65,296.08","1,73,626","2,41,40,747","30.76"
"CANBK","EQ","09-May-2025","95.37","94.01","98.44","93.87","97.83","97.64","96.98","4,10,29,403","3,97,91,50,678.32","1,13,289","1,21,81,147","29.69"
"CANBK","EQ","12-May-2025","97.64","100.50","101.45","99.85","100.81","100.86","100.63","4,93,91,352","4,97,02,68,366.54","96,530","2,65,33,712","53.72"
"CANBK","EQ","13-May-2025","100.86","101.20","105.57","100.82","104.78","104.78","104.03","5,95,18,073","6,19,14,31,506.87","1,56,181","2,60,89,813","43.84"
"CANBK","EQ","14-May-2025","104.78","105.60","106.57","104.54","105.85","105.67","105.57","4,67,44,208","4,93,45,93,283.76","1,09,918","2,33,22,630","49.89"
