"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"CDSL","EQ","07-Mar-2025","1,175.90","1,179.00","1,184.80","1,147.95","1,152.80","1,152.90","1,166.02","38,11,591","4,44,43,78,450.20","1,61,179","14,04,007","36.84"
"CDSL","EQ","10-Mar-2025","1,152.90","1,150.05","1,167.55","1,102.00","1,105.45","1,107.30","1,127.07","29,36,448","3,30,95,68,013.60","1,19,940","10,54,461","35.91"
"CDSL","EQ","11-Mar-2025","1,107.30","1,088.00","1,113.90","1,072.20","1,112.55","1,104.45","1,092.92","37,79,264","4,13,04,18,677.00","1,41,731","11,09,052","29.35"
"CDSL","EQ","12-Mar-2025","1,104.45","1,111.80","1,118.45","1,080.00","1,090.80","1,089.85","1,093.42","35,39,335","3,86,99,74,860.30","1,33,144","11,79,094","33.31"
"CDSL","EQ","13-Mar-2025","1,089.85","1,100.00","1,101.25","1,070.00","1,070.40","1,071.00","1,079.30","31,98,756","3,45,24,18,879.65","1,28,135","12,49,118","39.05"
"CDSL","EQ","17-Mar-2025","1,071.00","1,071.00","1,074.45","1,047.45","1,059.00","1,058.20","1,058.42","54,64,185","5,78,33,84,063.55","1,84,905","22,89,872","41.91"
"CDSL","EQ","18-Mar-2025","1,058.20","1,062.00","1,125.00","1,062.00","1,124.00","1,119.75","1,104.42","73,04,235","8,06,69,74,501.10","2,10,694","23,10,421","31.63"
"CDSL","EQ","19-Mar-2025","1,119.75","1,131.00","1,179.95","1,129.05","1,172.95","1,173.25","1,155.28","76,99,060","8,89,45,77,430.70","2,49,813","18,00,361","23.38"
"CDSL","EQ","20-Mar-2025","1,173.25","1,196.00","1,202.65","1,152.00","1,169.40","1,170.30","1,173.90","58,18,751","6,83,06,53,044.50","1,60,367","19,06,113","32.76"
"CDSL","EQ","21-Mar-2025","1,170.30","1,177.70","1,220.10","1,169.00","1,219.50","1,216.30","1,207.17","82,70,787","9,98,42,11,690.40","1,87,156","26,09,187","31.55"
"CDSL","EQ","24-Mar-2025","1,216.30","1,236.00","1,249.50","1,228.30","1,237.00","1,235.55","1,238.81","49,63,411","6,14,87,18,331.20","1,43,663","18,84,662","37.97"
"CDSL","EQ","25-Mar-2025","1,235.55","1,248.00","1,253.60","1,204.00","1,208.50","1,210.40","1,219.84","47,19,219","5,75,66,68,946.70","1,45,645","17,88,405","37.90"
"CDSL","EQ","26-Mar-2025","1,210.40","1,215.00","1,222.00","1,175.00","1,176.10","1,181.20","1,199.49","32,53,652","3,90,27,12,014.80","1,04,188","11,07,408","34.04"
"CDSL","EQ","27-Mar-2025","1,181.20","1,175.00","1,198.50","1,170.00","1,190.00","1,187.70","1,184.85","39,13,181","4,63,65,28,277.30","1,22,086","10,42,083","26.63"
"CDSL","EQ","28-Mar-2025","1,187.70","1,206.40","1,259.80","1,206.40","1,220.00","1,220.05","1,235.87","1,16,46,090","14,39,30,84,303.15","2,83,272","20,59,969","17.69"
"CDSL","EQ","01-Apr-2025","1,220.05","1,219.00","1,222.25","1,194.00","1,198.00","1,197.80","1,206.84","30,60,117","3,69,30,76,239.40","1,13,385","10,78,428","35.24"
"CDSL","EQ","02-Apr-2025","1,197.80","1,201.90","1,225.90","1,192.55","1,223.25","1,221.45","1,214.16","30,07,043","3,65,10,21,673.85","92,862","7,10,303","23.62"
"CDSL","EQ","03-Apr-2025","1,221.45","1,208.00","1,240.00","1,203.00","1,239.95","1,238.30","1,230.27","34,25,692","4,21,45,32,430.95","98,221","10,40,871","30.38"
"CDSL","EQ","04-Apr-2025","1,238.30","1,240.00","1,242.00","1,185.00","1,204.50","1,199.85","1,204.62","44,43,755","5,35,30,18,402.40","1,47,865","15,34,263","34.53"
"CDSL","EQ","07-Apr-2025","1,199.85","1,079.90","1,169.00","1,079.90","1,152.35","1,143.80","1,128.04","51,95,672","5,86,09,11,177.75","2,39,721","15,29,842","29.44"
"CDSL","EQ","08-Apr-2025","1,143.80","1,190.00","1,206.40","1,160.05","1,173.60","1,171.95","1,175.94","39,02,247","4,58,87,91,712.25","1,57,040","8,91,751","22.85"
"CDSL","EQ","09-Apr-2025","1,171.95","1,169.00","1,173.55","1,140.60","1,147.00","1,146.65","1,155.07","22,30,395","2,57,62,69,122.55","1,02,420","7,66,671","34.37"
"CDSL","EQ","11-Apr-2025","1,146.65","1,190.00","1,190.00","1,162.00","1,171.00","1,168.00","1,171.19","25,44,305","2,97,98,59,342.15","1,05,081","7,70,007","30.26"
"CDSL","EQ","15-Apr-2025","1,168.00","1,190.00","1,231.00","1,180.00","1,230.90","1,227.40","1,214.35","37,79,299","4,58,93,76,957.60","1,08,019","13,03,052","34.48"
"CDSL","EQ","16-Apr-2025","1,227.40","1,239.00","1,239.00","1,221.30","1,232.00","1,232.20","1,230.38","27,90,449","3,43,33,21,188.40","86,811","8,34,213","29.90"
"CDSL","EQ","17-Apr-2025","1,232.20","1,230.00","1,249.80","1,218.00","1,242.00","1,241.90","1,239.00","40,32,112","4,99,57,98,245.30","1,05,436","11,21,828","27.82"
"CDSL","EQ","21-Apr-2025","1,241.90","1,251.00","1,315.00","1,248.40","1,313.80","1,306.80","1,287.50","84,58,914","10,89,08,24,403.90","2,19,537","23,05,321","27.25"
"CDSL","EQ","22-Apr-2025","1,306.80","1,322.50","1,334.70","1,305.00","1,310.50","1,312.60","1,320.61","64,73,593","8,54,91,13,055.60","1,64,953","22,08,035","34.11"
