"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CGPOWER","EQ","07-Mar-2025","628.10","628.20","632.75","620.10","630.95","630.05","627.49","23,50,526","1,47,49,30,696.40","53,054","11,58,584","49.29"
"CGPOWER","EQ","10-Mar-2025","630.05","635.00","645.00","590.00","593.00","596.80","612.65","38,89,248","2,38,27,55,433.25","1,15,046","17,88,352","45.98"
"CGPOWER","EQ","11-Mar-2025","596.80","590.00","613.00","583.05","612.50","608.15","598.61","20,92,189","1,25,24,07,826.35","51,654","7,15,702","34.21"
"CGPOWER","EQ","12-Mar-2025","608.15","612.50","620.50","594.55","604.40","608.40","606.99","23,90,745","1,45,11,58,416.75","90,961","8,61,774","36.05"
"CGPOWER","EQ","13-Mar-2025","608.40","610.10","614.95","595.00","597.95","599.10","606.16","13,90,950","84,31,43,742.40","75,422","6,10,531","43.89"
"CGPOWER","EQ","17-Mar-2025","599.10","601.00","618.15","594.10","613.55","610.10","605.63","36,60,246","2,21,67,36,629.90","88,503","24,51,193","66.97"
"CGPOWER","EQ","18-Mar-2025","610.10","618.85","639.70","613.45","636.10","635.15","627.97","26,86,557","1,68,70,78,741.30","55,793","14,68,744","54.67"
"CGPOWER","EQ","19-Mar-2025","635.15","639.45","666.25","633.30","659.75","663.30","652.92","33,45,438","2,18,42,97,853.05","81,483","15,86,584","47.43"
"CGPOWER","EQ","20-Mar-2025","663.30","669.00","669.80","647.65","655.00","654.60","655.01","23,09,340","1,51,26,31,127.40","57,492","10,24,471","44.36"
"CGPOWER","EQ","21-Mar-2025","654.60","658.95","658.95","631.65","642.00","641.25","643.38","38,85,409","2,49,98,00,425.05","71,491","20,25,711","52.14"
"CGPOWER","EQ","24-Mar-2025","641.25","644.05","653.00","631.20","633.60","632.90","639.99","42,41,713","2,71,46,51,230.95","76,102","27,95,842","65.91"
"CGPOWER","EQ","25-Mar-2025","632.90","640.00","652.55","625.05","625.50","626.90","640.29","36,52,822","2,33,88,60,518.90","98,811","16,31,113","44.65"
"CGPOWER","EQ","26-Mar-2025","626.90","626.90","648.00","626.05","634.00","635.80","639.32","42,73,715","2,73,22,61,038.75","88,976","23,56,101","55.13"
