"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"CIPLA","EQ","07-Mar-2025","1,461.75","1,465.95","1,471.10","1,451.55","1,459.00","1,458.45","1,459.35","6,78,497","99,01,63,473.30","41,555","3,22,761","47.57"
"CIPLA","EQ","10-Mar-2025","1,458.45","1,458.35","1,482.20","1,457.00","1,460.60","1,462.75","1,470.07","9,05,854","1,33,16,72,988.40","62,850","5,67,940","62.70"
"CIPLA","EQ","11-Mar-2025","1,462.75","1,448.00","1,459.00","1,438.00","1,448.50","1,445.75","1,448.12","12,31,247","1,78,29,88,152.20","60,429","8,39,288","68.17"
"CIPLA","EQ","12-Mar-2025","1,445.75","1,442.00","1,457.00","1,437.75","1,453.80","1,454.30","1,447.21","12,54,797","1,81,59,59,199.85","52,955","8,09,660","64.53"
"CIPLA","EQ","13-Mar-2025","1,454.30","1,456.40","1,465.70","1,445.65","1,460.05","1,461.90","1,460.85","8,04,032","1,17,45,66,411.10","49,958","5,09,141","63.32"
"CIPLA","EQ","17-Mar-2025","1,461.90","1,459.85","1,496.95","1,455.70","1,491.70","1,492.60","1,490.23","13,29,904","1,98,18,66,318.70","1,01,217","6,55,901","49.32"
"CIPLA","EQ","18-Mar-2025","1,492.60","1,499.10","1,512.00","1,496.80","1,509.05","1,508.65","1,506.36","15,71,087","2,36,66,20,582.85","71,601","10,13,249","64.49"
"CIPLA","EQ","19-Mar-2025","1,508.65","1,515.00","1,515.00","1,496.50","1,499.45","1,499.15","1,501.29","10,15,731","1,52,49,03,990.30","48,442","6,64,329","65.40"
"CIPLA","EQ","20-Mar-2025","1,499.15","1,499.65","1,517.60","1,495.45","1,508.25","1,512.05","1,510.19","9,84,355","1,48,65,61,382.85","50,285","4,89,484","49.73"
"CIPLA","EQ","21-Mar-2025","1,512.05","1,513.90","1,528.90","1,510.00","1,515.75","1,523.85","1,523.21","28,46,648","4,33,60,50,913.75","66,099","19,88,137","69.84"
"CIPLA","EQ","24-Mar-2025","1,523.85","1,525.05","1,535.00","1,515.20","1,524.45","1,524.05","1,525.11","8,26,040","1,25,97,97,757.75","59,616","4,41,632","53.46"
