"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"COALINDIA","EQ","07-Mar-2025","382.60","382.60","389.60","379.40","380.90","380.65","383.71","83,21,771","3,19,31,59,133.05","98,371","30,51,839","36.67"
"COALINDIA","EQ","10-Mar-2025","380.65","380.70","386.60","374.05","374.65","375.15","379.49","55,41,001","2,10,27,75,121.80","68,931","24,19,768","43.67"
"COALINDIA","EQ","11-Mar-2025","375.15","371.00","380.00","368.00","378.60","379.05","375.22","53,40,552","2,00,39,05,013.15","64,573","22,40,890","41.96"
"COALINDIA","EQ","12-Mar-2025","379.05","379.55","382.85","373.80","380.05","380.70","378.79","39,51,912","1,49,69,49,294.05","51,879","17,55,556","44.42"
"COALINDIA","EQ","13-Mar-2025","380.70","381.50","383.00","377.35","378.75","378.30","379.97","39,18,004","1,48,87,14,285.55","59,836","18,03,867","46.04"
"COALINDIA","EQ","17-Mar-2025","378.30","380.20","387.05","379.05","385.55","385.75","384.30","54,56,631","2,09,69,99,767.55","76,319","26,29,826","48.20"
"COALINDIA","EQ","18-Mar-2025","385.75","387.45","393.15","386.45","388.80","389.30","389.88","62,11,943","2,42,18,89,532.55","74,255","32,85,144","52.88"
"COALINDIA","EQ","19-Mar-2025","389.30","390.05","398.05","388.80","395.75","395.85","394.95","58,27,114","2,30,13,90,498.05","1,20,003","32,73,305","56.17"
"COALINDIA","EQ","20-Mar-2025","395.85","397.70","398.10","392.05","398.00","396.40","395.81","70,25,398","2,78,07,25,352.60","76,297","44,35,004","63.13"
"COALINDIA","EQ","21-Mar-2025","396.40","396.40","411.10","395.10","405.85","405.40","406.14","1,65,64,019","6,72,72,38,795.70","1,15,822","99,71,435","60.20"
"COALINDIA","EQ","24-Mar-2025","405.40","407.95","411.80","405.05","405.65","406.00","407.28","52,60,300","2,14,24,28,737.75","80,607","27,57,588","52.42"
"COALINDIA","EQ","25-Mar-2025","406.00","408.00","408.25","397.10","397.90","398.30","400.80","56,36,291","2,25,90,14,010.05","82,080","26,52,299","47.06"
"COALINDIA","EQ","26-Mar-2025","398.30","398.50","402.45","393.15","394.00","394.80","397.47","50,25,274","1,99,73,80,043.85","98,740","26,93,133","53.59"
"COALINDIA","EQ","27-Mar-2025","394.80","393.25","399.65","392.05","396.70","396.85","397.49","76,97,174","3,05,95,71,875.05","96,216","45,00,721","58.47"
"COALINDIA","EQ","28-Mar-2025","396.85","397.00","401.90","393.50","397.30","398.20","398.46","69,23,988","2,75,89,20,900.55","80,108","36,25,925","52.37"
"COALINDIA","EQ","01-Apr-2025","398.20","397.80","402.55","395.05","398.00","397.65","399.08","43,32,950","1,72,92,09,903.45","56,235","19,50,091","45.01"
"COALINDIA","EQ","02-Apr-2025","397.65","401.60","401.60","391.50","398.15","397.50","395.73","41,97,123","1,66,09,12,213.60","52,849","16,23,488","38.68"
"COALINDIA","EQ","03-Apr-2025","397.50","395.00","400.00","393.20","396.80","397.05","397.29","49,70,602","1,97,47,87,645.45","78,446","21,80,492","43.87"
"COALINDIA","EQ","04-Apr-2025","397.05","396.00","396.00","382.60","385.50","385.05","386.45","67,18,760","2,59,64,45,865.25","1,13,957","38,13,001","56.75"
"COALINDIA","EQ","07-Apr-2025","385.05","358.85","379.40","356.00","378.90","377.50","370.26","1,02,02,400","3,77,74,97,296.40","1,38,083","43,39,386","42.53"
"COALINDIA","EQ","08-Apr-2025","377.50","385.00","385.50","376.65","382.70","382.85","380.92","35,77,328","1,36,26,77,098.45","73,491","16,70,180","46.69"
"COALINDIA","EQ","09-Apr-2025","382.85","382.30","382.70","373.10","375.25","374.60","376.91","57,81,453","2,17,90,58,690.80","76,973","30,73,485","53.16"
"COALINDIA","EQ","11-Apr-2025","374.60","389.95","392.80","382.15","391.85","392.10","389.24","61,85,984","2,40,78,57,259.45","77,309","25,81,179","41.73"
"COALINDIA","EQ","15-Apr-2025","392.10","399.00","399.00","393.50","395.20","395.25","396.03","43,71,156","1,73,10,98,433.50","61,357","24,49,665","56.04"
"COALINDIA","EQ","16-Apr-2025","395.25","395.25","400.10","392.50","399.80","399.25","396.91","49,92,290","1,98,14,80,262.50","81,985","23,90,698","47.89"
"COALINDIA","EQ","17-Apr-2025","399.25","396.90","399.55","388.30","399.00","398.85","395.08","83,64,450","3,30,46,28,345.60","1,14,556","31,86,262","38.09"
"COALINDIA","EQ","21-Apr-2025","398.85","399.25","406.00","395.65","400.70","400.50","402.15","89,87,570","3,61,43,07,643.95","1,44,005","53,93,530","60.01"
"COALINDIA","EQ","22-Apr-2025","400.50","403.50","405.80","394.30","399.40","398.60","401.61","75,58,174","3,03,54,20,915.90","73,532","30,37,190","40.18"
"COALINDIA","EQ","23-Apr-2025","398.60","400.00","401.60","394.00","398.20","398.95","398.69","74,29,142","2,96,18,88,102.75","85,047","36,34,585","48.92"
"COALINDIA","EQ","24-Apr-2025","398.95","398.90","401.30","396.85","399.80","399.85","399.51","57,62,303","2,30,20,78,510.45","93,435","32,10,059","55.71"
"COALINDIA","EQ","25-Apr-2025","399.85","400.30","404.00","389.65","392.65","393.15","394.39","73,37,588","2,89,38,90,342.45","85,539","32,59,166","44.42"
"COALINDIA","EQ","28-Apr-2025","393.15","393.15","398.80","391.55","397.05","397.15","396.60","34,58,518","1,37,16,41,450.90","54,186","18,21,397","52.66"
"COALINDIA","EQ","29-Apr-2025","397.15","397.15","400.35","388.45","388.70","389.10","391.54","62,74,213","2,45,66,27,006.15","86,558","31,82,487","50.72"
"COALINDIA","EQ","30-Apr-2025","389.10","389.10","390.35","383.10","384.10","385.30","386.49","45,59,122","1,76,20,47,258.40","68,225","26,03,078","57.10"
