"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"COFORGE","EQ","07-Mar-2025","7,625.15","7,595.00","7,740.00","7,460.35","7,714.70","7,707.25","7,645.03","7,07,188","5,40,64,72,387.10","69,769","3,33,225","47.12"
"COFORGE","EQ","10-Mar-2025","7,707.25","7,692.00","7,707.10","7,480.80","7,525.00","7,534.55","7,583.05","2,65,029","2,00,97,28,655.95","40,910","93,564","35.30"
"COFORGE","EQ","11-Mar-2025","7,534.55","7,449.85","7,663.95","7,200.00","7,630.90","7,632.10","7,475.31","5,92,284","4,42,75,07,512.00","87,237","2,39,931","40.51"
"COFORGE","EQ","12-Mar-2025","7,632.10","7,690.00","7,740.05","7,279.05","7,385.00","7,400.30","7,418.31","7,63,898","5,66,68,29,844.25","1,08,049","3,53,342","46.26"
"COFORGE","EQ","13-Mar-2025","7,400.30","7,425.00","7,460.00","7,275.00","7,300.00","7,292.25","7,342.40","2,91,054","2,13,70,34,832.65","57,903","95,214","32.71"
"COFORGE","EQ","17-Mar-2025","7,292.25","7,314.10","7,398.85","7,230.95","7,345.00","7,365.05","7,306.37","4,14,046","3,02,51,74,259.35","59,204","1,60,178","38.69"
"COFORGE","EQ","18-Mar-2025","7,365.05","7,390.00","7,599.15","7,340.00","7,570.00","7,566.00","7,518.35","3,03,561","2,28,22,78,980.05","48,496","76,396","25.17"
"COFORGE","EQ","19-Mar-2025","7,566.00","7,570.00","7,597.65","7,364.40","7,522.80","7,550.45","7,473.84","3,93,449","2,94,05,75,954.15","58,629","1,15,846","29.44"
"COFORGE","EQ","20-Mar-2025","7,550.45","7,650.00","7,780.00","7,552.00","7,557.90","7,578.30","7,642.37","3,59,935","2,75,07,55,430.50","55,798","90,535","25.15"
"COFORGE","EQ","21-Mar-2025","7,578.30","7,461.55","7,810.00","7,370.10","7,742.10","7,746.80","7,700.61","11,47,945","8,83,98,79,801.00","94,450","6,00,521","52.31"
"COFORGE","EQ","24-Mar-2025","7,746.80","7,785.50","7,868.80","7,625.00","7,760.00","7,769.55","7,759.58","5,61,194","4,35,46,28,164.05","69,467","2,70,829","48.26"
"COFORGE","EQ","25-Mar-2025","7,769.55","7,870.00","8,082.50","7,810.00","7,945.00","7,958.20","7,966.73","9,08,179","7,23,52,13,874.15","1,22,438","2,71,918","29.94"
"COFORGE","EQ","26-Mar-2025","7,958.20","7,992.35","8,125.50","7,958.20","8,016.25","8,027.20","8,047.29","6,61,963","5,32,70,07,367.85","79,566","2,87,690","43.46"
"COFORGE","EQ","27-Mar-2025","8,027.20","7,935.00","8,165.00","7,935.00","8,119.35","8,107.60","8,067.26","5,42,683","4,37,79,62,483.85","73,111","2,27,277","41.88"
"COFORGE","EQ","28-Mar-2025","8,107.60","8,172.45","8,250.00","8,024.50","8,069.95","8,109.20","8,152.56","5,03,633","4,10,58,98,363.40","61,113","2,42,092","48.07"
