"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"COLPAL","EQ","07-Mar-2025","2,452.10","2,435.00","2,486.05","2,423.45","2,477.00","2,474.15","2,466.37","2,86,553","70,67,44,669.50","32,490","1,52,825","53.33"
"COLPAL","EQ","10-Mar-2025","2,474.15","2,490.00","2,524.95","2,430.00","2,436.00","2,440.45","2,472.05","4,68,995","1,15,93,80,732.15","45,594","2,02,456","43.17"
"COLPAL","EQ","11-Mar-2025","2,440.45","2,430.05","2,475.70","2,415.00","2,466.95","2,458.40","2,458.84","2,94,333","72,37,16,345.80","37,386","1,66,188","56.46"
"COLPAL","EQ","12-Mar-2025","2,458.40","2,475.40","2,478.90","2,409.60","2,428.00","2,432.50","2,435.50","2,59,045","63,09,03,140.10","41,145","1,58,239","61.09"
"COLPAL","EQ","13-Mar-2025","2,432.50","2,449.95","2,452.50","2,400.00","2,415.00","2,411.70","2,417.35","4,54,119","1,09,77,62,398.20","27,115","3,44,611","75.89"
"COLPAL","EQ","17-Mar-2025","2,411.70","2,415.00","2,427.35","2,351.00","2,389.50","2,383.50","2,377.05","4,65,223","1,10,58,58,816.40","43,998","2,70,150","58.07"
"COLPAL","EQ","18-Mar-2025","2,383.50","2,400.00","2,449.90","2,390.15","2,435.00","2,431.30","2,430.99","2,24,698","54,62,39,637.30","27,672","1,08,507","48.29"
"COLPAL","EQ","19-Mar-2025","2,431.30","2,435.00","2,437.85","2,376.80","2,415.00","2,413.85","2,399.58","4,23,270","1,01,56,70,970.60","43,523","2,32,607","54.95"
"COLPAL","EQ","20-Mar-2025","2,413.85","2,420.00","2,444.00","2,412.55","2,423.00","2,418.30","2,425.02","2,08,116","50,46,85,048.50","30,707","1,20,747","58.02"
"COLPAL","EQ","21-Mar-2025","2,418.30","2,418.30","2,426.50","2,385.00","2,402.00","2,401.10","2,399.08","10,30,473","2,47,21,89,097.95","45,834","6,82,748","66.26"
"COLPAL","EQ","24-Mar-2025","2,401.10","2,416.70","2,438.45","2,392.65","2,429.85","2,426.30","2,419.78","4,64,577","1,12,41,75,381.40","38,259","2,70,917","58.31"
"COLPAL","EQ","25-Mar-2025","2,426.30","2,375.25","2,414.95","2,341.40","2,390.00","2,378.40","2,361.42","13,54,361","3,19,82,20,037.90","83,876","6,06,766","44.80"
"COLPAL","EQ","26-Mar-2025","2,378.40","2,389.45","2,405.00","2,362.20","2,394.00","2,392.85","2,388.13","5,08,577","1,21,45,47,079.55","47,414","2,88,317","56.69"
"COLPAL","EQ","27-Mar-2025","2,392.85","2,390.35","2,409.00","2,356.00","2,406.30","2,394.30","2,380.87","8,03,990","1,91,41,98,505.10","44,035","4,49,601","55.92"
"COLPAL","EQ","28-Mar-2025","2,394.30","2,409.85","2,442.00","2,370.10","2,399.00","2,389.80","2,403.61","7,13,552","1,71,51,00,246.60","50,803","3,83,710","53.77"
"COLPAL","EQ","01-Apr-2025","2,389.80","2,389.80","2,411.70","2,346.80","2,350.00","2,350.50","2,367.74","3,30,923","78,35,38,929.40","36,236","1,77,266","53.57"
"COLPAL","EQ","02-Apr-2025","2,350.50","2,350.00","2,370.05","2,325.80","2,368.00","2,364.60","2,351.74","3,49,700","82,24,03,759.70","38,065","1,87,106","53.50"
"COLPAL","EQ","03-Apr-2025","2,364.60","2,360.00","2,413.85","2,340.00","2,407.00","2,409.85","2,379.11","3,45,546","82,20,90,999.75","27,836","2,24,150","64.87"
"COLPAL","EQ","04-Apr-2025","2,409.85","2,400.00","2,444.80","2,390.85","2,428.00","2,423.35","2,422.80","3,49,346","84,63,94,095.40","28,697","1,57,049","44.96"
"COLPAL","EQ","07-Apr-2025","2,423.35","2,318.05","2,402.70","2,311.50","2,389.45","2,388.25","2,377.57","6,47,807","1,54,02,06,466.50","39,357","4,60,012","71.01"
"COLPAL","EQ","08-Apr-2025","2,388.25","2,404.85","2,450.00","2,400.00","2,442.95","2,439.90","2,432.42","3,19,178","77,63,74,446.90","28,155","1,31,780","41.29"
"COLPAL","EQ","09-Apr-2025","2,439.90","2,450.10","2,519.00","2,442.95","2,506.00","2,508.10","2,491.15","5,89,111","1,46,75,63,800.20","52,139","2,89,133","49.08"
"COLPAL","EQ","11-Apr-2025","2,508.10","2,509.25","2,523.95","2,471.40","2,492.00","2,491.65","2,493.46","5,28,021","1,31,65,97,163.90","39,735","3,03,001","57.38"
"COLPAL","EQ","15-Apr-2025","2,491.65","2,540.00","2,540.00","2,472.10","2,514.00","2,513.70","2,503.12","5,44,832","1,36,37,80,733.00","47,121","3,30,603","60.68"
"COLPAL","EQ","16-Apr-2025","2,513.70","2,515.00","2,557.00","2,510.30","2,534.90","2,551.60","2,544.85","2,75,642","70,14,67,263.00","25,757","96,889","35.15"
"COLPAL","EQ","17-Apr-2025","2,551.60","2,577.00","2,601.10","2,531.20","2,567.00","2,570.50","2,573.55","4,13,204","1,06,33,99,789.40","34,123","1,65,454","40.04"
"COLPAL","EQ","21-Apr-2025","2,570.50","2,575.00","2,587.80","2,539.00","2,545.00","2,544.00","2,561.41","2,77,896","71,18,05,592.50","28,766","98,197","35.34"
"COLPAL","EQ","22-Apr-2025","2,544.00","2,546.00","2,674.20","2,534.10","2,661.00","2,658.80","2,629.99","7,47,000","1,96,46,03,720.20","63,446","2,46,238","32.96"
"COLPAL","EQ","23-Apr-2025","2,658.80","2,659.00","2,714.00","2,651.00","2,671.40","2,688.60","2,681.07","7,13,125","1,91,19,41,549.90","52,485","2,82,928","39.67"
"COLPAL","EQ","24-Apr-2025","2,688.60","2,675.80","2,744.00","2,662.60","2,730.00","2,732.00","2,706.00","7,12,805","1,92,88,50,524.50","65,603","3,19,362","44.80"
"COLPAL","EQ","25-Apr-2025","2,732.00","2,732.00","2,735.90","2,650.50","2,665.00","2,671.40","2,683.34","4,37,084","1,17,28,43,758.10","42,097","2,00,941","45.97"
"COLPAL","EQ","28-Apr-2025","2,671.40","2,668.00","2,702.50","2,637.30","2,698.00","2,694.50","2,681.12","3,91,090","1,04,85,58,828.40","32,812","2,23,904","57.25"
"COLPAL","EQ","29-Apr-2025","2,694.50","2,682.00","2,698.00","2,638.60","2,648.60","2,644.20","2,668.49","5,56,023","1,48,37,44,477.30","57,574","3,45,164","62.08"
"COLPAL","EQ","30-Apr-2025","2,644.20","2,644.20","2,653.30","2,574.10","2,577.30","2,587.40","2,603.84","5,70,830","1,48,63,50,472.90","34,997","3,94,245","69.07"
"COLPAL","EQ","02-May-2025","2,587.40","2,570.00","2,579.80","2,531.00","2,540.50","2,543.40","2,551.30","6,35,347","1,62,09,59,828.00","41,336","4,26,452","67.12"
"COLPAL","EQ","05-May-2025","2,543.40","2,549.00","2,629.00","2,549.00","2,625.00","2,621.00","2,586.62","4,79,629","1,24,06,18,863.60","36,400","2,57,717","53.73"
"COLPAL","EQ","06-May-2025","2,621.00","2,610.00","2,639.00","2,591.00","2,625.00","2,621.40","2,615.32","3,45,419","90,33,79,524.90","31,889","1,81,522","52.55"
"COLPAL","EQ","07-May-2025","2,621.40","2,606.00","2,646.80","2,573.00","2,636.00","2,634.80","2,616.53","4,38,715","1,14,79,12,144.40","34,678","2,17,803","49.65"
"COLPAL","EQ","08-May-2025","2,634.80","2,634.70","2,639.90","2,529.50","2,544.40","2,550.60","2,567.54","5,55,347","1,42,58,77,072.30","52,427","2,55,930","46.08"
"COLPAL","EQ","09-May-2025","2,550.60","2,500.00","2,554.80","2,494.70","2,550.60","2,550.50","2,527.17","2,54,167","64,23,22,847.30","40,557","1,23,163","48.46"
"COLPAL","EQ","12-May-2025","2,550.50","2,582.00","2,625.40","2,577.00","2,606.90","2,611.60","2,603.74","3,33,871","86,93,12,721.20","23,060","1,84,606","55.29"
"COLPAL","EQ","13-May-2025","2,611.60","2,611.60","2,634.70","2,591.90","2,599.90","2,598.90","2,606.83","2,26,099","58,94,01,622.90","35,639","1,41,935","62.78"
"COLPAL","EQ","14-May-2025","2,598.90","2,597.20","2,615.00","2,570.10","2,615.00","2,607.80","2,593.65","3,00,928","78,05,02,471.80","31,882","1,47,369","48.97"
"COLPAL","EQ","15-May-2025","2,607.80","2,607.80","2,660.00","2,595.50","2,660.00","2,655.40","2,632.84","2,83,082","74,53,10,476.70","27,291","1,32,482","46.80"
"COLPAL","EQ","16-May-2025","2,655.40","2,661.00","2,698.00","2,617.50","2,689.20","2,689.70","2,675.48","4,55,396","1,21,84,04,399.40","38,194","1,86,323","40.91"
"COLPAL","EQ","19-May-2025","2,689.70","2,700.00","2,747.40","2,674.00","2,711.40","2,711.50","2,715.31","3,24,331","88,06,60,564.20","33,056","1,58,734","48.94"
"COLPAL","EQ","20-May-2025","2,711.50","2,718.00","2,718.00","2,625.50","2,640.00","2,629.40","2,664.58","4,03,620","1,07,54,77,281.80","39,112","2,23,367","55.34"
"COLPAL","EQ","21-May-2025","2,629.40","2,647.50","2,676.90","2,631.50","2,660.00","2,659.30","2,656.13","3,37,502","89,64,50,774.60","26,048","1,79,234","53.11"
