"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"CROMPTON","EQ","07-Mar-2025","343.15","343.00","350.55","341.30","344.00","344.45","346.56","25,24,809","87,50,08,909.90","32,839","12,13,523","48.06"
"CROMPTON","EQ","10-Mar-2025","344.45","344.10","349.25","339.65","343.00","345.00","346.08","22,40,893","77,55,25,795.60","33,062","12,93,035","57.70"
"CROMPTON","EQ","11-Mar-2025","345.00","339.95","348.00","337.30","347.00","346.00","343.93","17,40,068","59,84,53,075.60","25,621","10,35,572","59.51"
"CROMPTON","EQ","12-Mar-2025","346.00","349.65","359.40","347.95","358.30","357.65","353.60","34,96,657","1,23,64,21,374.05","50,209","16,67,316","47.68"
"CROMPTON","EQ","13-Mar-2025","357.65","359.00","359.40","342.55","344.00","344.25","349.65","24,15,616","84,46,19,716.75","32,219","13,31,207","55.11"
"CROMPTON","EQ","17-Mar-2025","344.25","347.00","354.30","345.95","352.60","352.90","351.04","37,04,090","1,30,02,96,748.10","37,178","23,10,350","62.37"
"CROMPTON","EQ","18-Mar-2025","352.90","353.80","358.00","352.95","356.90","356.75","355.01","28,43,298","1,00,93,98,452.80","32,611","20,38,776","71.70"
"CROMPTON","EQ","19-Mar-2025","356.75","358.55","364.30","354.05","360.35","360.45","358.43","30,63,001","1,09,78,62,357.60","29,324","20,29,908","66.27"
"CROMPTON","EQ","20-Mar-2025","360.45","360.90","362.50","356.35","359.00","357.50","358.49","14,09,489","50,52,82,853.35","24,557","7,34,590","52.12"
"CROMPTON","EQ","21-Mar-2025","357.50","357.50","366.25","356.00","362.15","362.85","362.88","11,34,168","41,15,67,512.45","18,193","5,92,062","52.20"
"CROMPTON","EQ","24-Mar-2025","362.85","363.00","364.95","356.95","363.45","362.20","360.88","9,53,758","34,41,90,719.55","18,438","3,58,214","37.56"
"CROMPTON","EQ","25-Mar-2025","362.20","363.45","364.00","356.30","357.90","358.80","359.07","9,81,855","35,25,55,114.85","22,074","4,60,484","46.90"
"CROMPTON","EQ","26-Mar-2025","358.80","358.00","367.50","354.55","359.35","360.10","362.69","14,92,943","54,14,76,661.15","22,170","5,92,107","39.66"
"CROMPTON","EQ","27-Mar-2025","360.10","359.80","360.25","350.00","354.65","354.75","354.08","26,30,637","93,14,50,044.10","40,852","12,83,832","48.80"
"CROMPTON","EQ","28-Mar-2025","354.75","356.95","357.75","351.25","353.80","353.95","354.12","16,94,266","59,99,74,388.75","30,397","9,97,148","58.85"
"CROMPTON","EQ","01-Apr-2025","353.95","356.90","359.45","344.25","345.80","345.60","350.11","8,92,954","31,26,28,770.30","22,017","3,85,917","43.22"
"CROMPTON","EQ","02-Apr-2025","345.60","345.60","347.30","338.20","339.00","339.30","340.38","35,90,929","1,22,22,80,938.55","28,130","24,53,879","68.34"
"CROMPTON","EQ","03-Apr-2025","339.30","337.10","340.15","333.25","335.45","335.55","336.09","17,76,844","59,71,72,102.55","21,905","10,12,766","57.00"
"CROMPTON","EQ","04-Apr-2025","335.55","336.85","336.85","325.60","329.35","329.30","329.18","15,06,674","49,59,70,561.40","22,156","7,79,192","51.72"
"CROMPTON","EQ","07-Apr-2025","329.30","305.00","331.90","301.00","330.90","330.30","325.75","27,38,907","89,22,05,855.15","55,589","12,06,525","44.05"
"CROMPTON","EQ","08-Apr-2025","330.30","345.60","345.60","331.10","332.50","332.65","334.39","20,86,692","69,77,72,100.20","37,942","9,11,669","43.69"
"CROMPTON","EQ","09-Apr-2025","332.65","330.10","333.60","325.60","328.85","328.80","328.94","14,03,719","46,17,42,300.55","38,738","8,47,602","60.38"
"CROMPTON","EQ","11-Apr-2025","328.80","340.95","340.95","331.10","333.60","334.10","334.03","8,83,608","29,51,47,951.25","18,427","5,28,023","59.76"
"CROMPTON","EQ","15-Apr-2025","334.10","336.00","339.70","333.55","337.25","335.60","336.32","35,06,868","1,17,94,27,514.30","30,574","26,94,552","76.84"
"CROMPTON","EQ","16-Apr-2025","335.60","337.40","338.00","332.45","335.00","335.10","334.87","10,37,134","34,73,10,031.85","15,553","5,19,779","50.12"
"CROMPTON","EQ","17-Apr-2025","335.10","335.00","338.65","331.80","332.20","332.20","335.25","27,10,533","90,87,01,182.45","48,637","16,41,375","60.56"
"CROMPTON","EQ","21-Apr-2025","332.20","332.50","340.30","329.85","340.00","339.45","335.34","33,98,288","1,13,95,91,824.00","44,529","19,01,748","55.96"
"CROMPTON","EQ","22-Apr-2025","339.45","342.85","355.50","340.35","352.90","353.15","350.66","32,90,230","1,15,37,48,232.70","43,941","14,44,655","43.91"
"CROMPTON","EQ","23-Apr-2025","353.15","354.50","354.50","339.15","344.40","343.80","343.19","39,69,521","1,36,22,82,797.90","56,975","16,81,654","42.36"
"CROMPTON","EQ","24-Apr-2025","343.80","344.80","345.20","337.10","342.15","342.90","340.97","25,30,400","86,27,98,948.45","82,768","13,99,202","55.30"
"CROMPTON","EQ","25-Apr-2025","342.90","344.00","345.20","328.65","334.50","334.85","334.05","25,61,400","85,56,27,700.80","53,628","12,20,364","47.64"
"CROMPTON","EQ","28-Apr-2025","334.85","334.50","337.65","331.45","332.95","332.85","333.90","41,71,642","1,39,29,03,287.50","33,497","28,88,446","69.24"
"CROMPTON","EQ","29-Apr-2025","332.85","335.50","341.70","333.00","337.30","336.70","336.55","45,68,829","1,53,76,33,051.15","27,305","28,48,155","62.34"
"CROMPTON","EQ","30-Apr-2025","336.70","341.00","343.15","335.00","336.85","337.30","338.86","34,08,678","1,15,50,66,705.20","37,981","19,18,864","56.29"
"CROMPTON","EQ","02-May-2025","337.30","335.55","337.85","321.00","322.00","322.80","327.96","57,79,883","1,89,55,95,233.20","61,404","29,11,313","50.37"
