"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CUMMINSIND","EQ","07-Mar-2025","2,973.10","2,983.70","2,990.30","2,891.60","2,910.00","2,899.05","2,934.95","2,80,406","82,29,78,117.25","40,408","1,39,191","49.64"
"CUMMINSIND","EQ","10-Mar-2025","2,899.05","2,893.00","2,934.95","2,842.55","2,846.30","2,864.45","2,882.53","4,34,718","1,25,30,87,654.45","35,922","2,68,426","61.75"
"CUMMINSIND","EQ","11-Mar-2025","2,864.45","2,842.00","2,890.00","2,808.95","2,876.85","2,875.25","2,847.81","3,44,048","97,97,82,769.15","35,972","1,97,555","57.42"
"CUMMINSIND","EQ","12-Mar-2025","2,875.25","2,875.25","2,892.15","2,781.00","2,816.00","2,818.75","2,816.36","3,01,503","84,91,40,421.05","31,999","1,36,272","45.20"
"CUMMINSIND","EQ","13-Mar-2025","2,818.75","2,819.75","2,890.50","2,808.95","2,828.85","2,835.25","2,852.45","3,82,212","1,09,02,42,213.25","43,071","2,06,127","53.93"
"CUMMINSIND","EQ","17-Mar-2025","2,835.25","2,831.00","2,872.45","2,817.10","2,865.00","2,862.10","2,849.83","2,05,971","58,69,83,356.80","37,161","1,00,447","48.77"
"CUMMINSIND","EQ","18-Mar-2025","2,862.10","2,884.00","2,939.00","2,870.00","2,930.25","2,929.65","2,915.01","2,47,269","72,07,90,580.90","37,755","1,15,863","46.86"
"CUMMINSIND","EQ","19-Mar-2025","2,929.65","2,939.05","3,014.10","2,930.30","3,004.55","3,002.20","2,984.81","2,56,853","76,66,56,124.80","34,451","1,23,029","47.90"
"CUMMINSIND","EQ","20-Mar-2025","3,002.20","3,025.20","3,028.95","2,948.00","2,985.00","2,990.60","2,988.57","2,49,139","74,45,68,114.60","30,450","1,24,527","49.98"
"CUMMINSIND","EQ","21-Mar-2025","2,990.60","2,990.00","3,029.90","2,924.00","2,945.00","2,937.75","2,954.07","7,64,045","2,25,70,44,913.70","54,049","5,05,175","66.12"
"CUMMINSIND","EQ","24-Mar-2025","2,937.75","2,945.00","3,078.95","2,945.00","3,065.00","3,056.25","3,051.46","6,30,555","1,92,41,12,637.85","61,638","2,51,900","39.95"
"CUMMINSIND","EQ","25-Mar-2025","3,056.25","3,080.00","3,085.00","2,946.55","2,960.95","2,962.50","2,993.99","3,49,961","1,04,77,80,776.85","51,873","1,83,607","52.46"
"CUMMINSIND","EQ","26-Mar-2025","2,962.50","2,974.00","3,070.00","2,950.55","3,000.00","3,004.95","3,024.67","6,20,642","1,87,72,34,352.45","56,237","2,84,972","45.92"
"CUMMINSIND","EQ","27-Mar-2025","3,004.95","3,004.95","3,056.00","2,976.80","2,988.55","3,004.35","3,017.12","7,31,950","2,20,83,83,424.55","67,508","3,76,838","51.48"
