"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DABUR","EQ","07-Mar-2025","495.00","495.00","499.10","491.80","494.60","495.80","495.09","19,13,893","94,75,42,741.70","33,549","11,09,332","57.96"
"DABUR","EQ","10-Mar-2025","495.80","495.00","501.40","492.00","493.00","493.35","497.54","25,26,521","1,25,70,46,659.05","28,479","17,29,034","68.44"
"DABUR","EQ","11-Mar-2025","493.35","490.00","500.50","489.55","497.80","497.55","496.86","18,30,398","90,94,44,830.85","27,064","8,48,031","46.33"
"DABUR","EQ","12-Mar-2025","497.55","496.20","500.90","491.75","499.60","499.95","497.10","14,50,825","72,12,09,443.85","17,566","9,94,162","68.52"
"DABUR","EQ","13-Mar-2025","499.95","500.50","504.00","498.90","501.10","500.95","501.00","12,88,721","64,56,50,723.40","21,832","8,65,290","67.14"
"DABUR","EQ","17-Mar-2025","500.95","498.40","502.50","490.10","495.30","494.75","494.37","16,46,821","81,41,34,722.15","31,375","8,71,972","52.95"
"DABUR","EQ","18-Mar-2025","494.75","496.00","501.50","495.05","498.00","498.75","497.78","24,64,037","1,22,65,59,300.80","28,209","18,13,866","73.61"
"DABUR","EQ","19-Mar-2025","498.75","501.60","502.25","492.85","495.20","495.45","495.91","26,52,053","1,31,51,92,734.70","38,048","18,24,574","68.80"
"DABUR","EQ","20-Mar-2025","495.45","497.00","499.75","493.00","497.55","499.00","497.21","36,51,974","1,81,57,91,363.00","26,119","28,54,801","78.17"
"DABUR","EQ","21-Mar-2025","499.00","500.00","507.90","497.90","507.00","506.80","505.65","20,13,377","1,01,80,54,584.90","36,978","12,76,886","63.42"
"DABUR","EQ","24-Mar-2025","506.80","507.45","509.05","502.20","508.60","507.20","505.69","22,99,229","1,16,26,92,536.10","46,703","13,57,479","59.04"
"DABUR","EQ","25-Mar-2025","507.20","507.20","512.00","505.05","508.80","509.25","509.52","27,82,397","1,41,76,86,586.75","48,992","16,19,620","58.21"
"DABUR","EQ","26-Mar-2025","509.25","509.00","510.95","505.05","508.80","508.85","508.63","25,17,374","1,28,04,16,601.80","37,780","16,47,242","65.43"
"DABUR","EQ","27-Mar-2025","508.85","507.60","514.95","503.85","512.50","512.85","510.52","16,49,107","84,18,95,157.05","45,082","10,67,791","64.75"
"DABUR","EQ","28-Mar-2025","512.85","513.00","519.45","503.80","506.80","506.50","510.13","17,59,182","89,74,20,172.75","38,446","9,67,037","54.97"
"DABUR","EQ","01-Apr-2025","506.50","505.85","512.55","496.55","497.60","497.50","501.51","19,74,802","99,03,74,671.85","29,611","12,66,919","64.15"
"DABUR","EQ","02-Apr-2025","497.50","496.15","497.60","484.45","496.00","495.75","492.85","28,35,760","1,39,75,99,537.80","43,531","15,10,238","53.26"
"DABUR","EQ","03-Apr-2025","495.75","473.95","483.75","458.20","465.80","465.40","464.44","1,23,56,973","5,73,90,33,711.55","1,55,912","50,50,333","40.87"
"DABUR","EQ","04-Apr-2025","465.40","466.90","467.25","458.50","462.00","461.75","461.86","38,50,303","1,77,82,84,642.20","45,413","24,88,019","64.62"
"DABUR","EQ","07-Apr-2025","461.75","435.00","454.15","433.30","452.45","451.40","447.81","45,71,485","2,04,71,58,821.05","69,202","25,98,833","56.85"
"DABUR","EQ","08-Apr-2025","451.40","454.90","464.05","453.00","460.00","459.00","460.23","16,40,063","75,48,03,309.80","47,651","8,84,959","53.96"
