"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DALBHARAT","EQ","07-Mar-2025","1,713.90","1,705.50","1,715.90","1,680.50","1,696.30","1,696.35","1,696.60","1,80,503","30,62,42,268.00","16,593","96,304","53.35"
"DALBHARAT","EQ","10-Mar-2025","1,696.35","1,696.30","1,706.25","1,661.10","1,669.00","1,673.70","1,683.88","1,55,288","26,14,86,695.50","17,739","54,292","34.96"
"DALBHARAT","EQ","11-Mar-2025","1,673.70","1,673.70","1,694.95","1,638.50","1,693.40","1,686.45","1,671.76","1,96,953","32,92,58,296.80","17,233","1,04,745","53.18"
"DALBHARAT","EQ","12-Mar-2025","1,686.45","1,694.85","1,696.95","1,601.00","1,639.00","1,641.10","1,634.00","4,15,246","67,85,12,533.30","32,944","1,55,245","37.39"
"DALBHARAT","EQ","13-Mar-2025","1,641.10","1,640.05","1,641.10","1,601.15","1,610.05","1,607.10","1,617.63","2,98,402","48,27,03,552.80","24,404","1,57,461","52.77"
"DALBHARAT","EQ","17-Mar-2025","1,607.10","1,625.95","1,671.00","1,602.40","1,660.25","1,663.35","1,646.09","3,28,818","54,12,62,852.70","25,744","1,49,176","45.37"
"DALBHARAT","EQ","18-Mar-2025","1,663.35","1,665.00","1,720.00","1,658.20","1,715.05","1,714.40","1,698.57","2,23,778","38,01,01,842.20","26,615","81,351","36.35"
"DALBHARAT","EQ","19-Mar-2025","1,714.40","1,714.40","1,755.15","1,704.20","1,724.00","1,726.25","1,732.23","4,21,205","72,96,23,827.25","19,540","2,90,497","68.97"
"DALBHARAT","EQ","20-Mar-2025","1,726.25","1,721.00","1,726.50","1,692.30","1,694.00","1,696.25","1,702.60","1,66,015","28,26,57,372.15","14,508","88,048","53.04"
"DALBHARAT","EQ","21-Mar-2025","1,696.25","1,705.00","1,760.55","1,680.00","1,748.00","1,747.40","1,725.80","4,19,609","72,41,62,915.10","31,417","2,48,093","59.12"
"DALBHARAT","EQ","24-Mar-2025","1,747.40","1,772.95","1,772.95","1,725.00","1,746.85","1,744.75","1,746.34","2,41,482","42,17,10,642.85","12,457","1,70,302","70.52"
"DALBHARAT","EQ","25-Mar-2025","1,744.75","1,780.00","1,786.95","1,742.00","1,744.00","1,745.70","1,762.88","4,58,140","80,76,46,397.65","39,685","1,69,041","36.90"
"DALBHARAT","EQ","26-Mar-2025","1,745.70","1,747.00","1,785.00","1,742.35","1,754.55","1,760.75","1,768.40","1,82,659","32,30,14,927.80","22,472","69,463","38.03"
"DALBHARAT","EQ","27-Mar-2025","1,760.75","1,755.00","1,821.45","1,743.15","1,810.00","1,813.55","1,795.73","2,87,706","51,66,42,494.50","20,356","1,54,876","53.83"
"DALBHARAT","EQ","28-Mar-2025","1,813.55","1,813.55","1,859.60","1,804.30","1,810.00","1,821.55","1,828.89","2,69,181","49,23,02,968.25","25,181","1,26,756","47.09"
"DALBHARAT","EQ","01-Apr-2025","1,821.55","1,821.95","1,839.60","1,781.80","1,782.15","1,786.45","1,804.05","2,37,790","42,89,84,243.30","14,713","1,29,315","54.38"
"DALBHARAT","EQ","02-Apr-2025","1,786.45","1,782.15","1,829.70","1,767.75","1,818.40","1,817.15","1,805.94","2,81,329","50,80,62,066.40","22,357","1,48,324","52.72"
"DALBHARAT","EQ","03-Apr-2025","1,817.15","1,816.90","1,883.35","1,807.00","1,858.75","1,857.15","1,860.18","4,33,610","80,65,92,063.05","25,729","2,59,866","59.93"
"DALBHARAT","EQ","04-Apr-2025","1,857.15","1,863.95","1,870.00","1,832.10","1,846.10","1,845.45","1,848.58","1,28,337","23,72,40,656.35","17,008","44,856","34.95"
"DALBHARAT","EQ","07-Apr-2025","1,845.45","1,700.00","1,812.05","1,700.00","1,803.55","1,786.25","1,781.16","3,77,911","67,31,20,749.55","21,021","1,99,757","52.86"
"DALBHARAT","EQ","08-Apr-2025","1,786.25","1,820.00","1,847.00","1,803.20","1,808.05","1,808.35","1,822.68","2,46,636","44,95,38,753.40","13,338","1,76,757","71.67"
"DALBHARAT","EQ","09-Apr-2025","1,808.35","1,800.00","1,835.00","1,776.85","1,825.00","1,825.90","1,808.33","2,27,521","41,14,33,583.15","17,940","1,11,865","49.17"
"DALBHARAT","EQ","11-Apr-2025","1,825.90","1,839.95","1,849.00","1,798.50","1,811.35","1,811.65","1,812.96","1,58,264","28,69,26,192.80","16,102","74,652","47.17"
"DALBHARAT","EQ","15-Apr-2025","1,811.65","1,849.00","1,885.40","1,821.10","1,872.10","1,869.20","1,856.64","3,09,767","57,51,24,448.10","19,282","1,87,639","60.57"
"DALBHARAT","EQ","16-Apr-2025","1,869.20","1,855.50","1,889.90","1,831.30","1,846.20","1,846.40","1,855.61","2,10,173","38,99,99,897.20","16,481","1,04,544","49.74"
"DALBHARAT","EQ","17-Apr-2025","1,846.40","1,826.20","1,864.90","1,795.70","1,858.50","1,851.60","1,846.12","5,13,508","94,79,96,719.90","31,492","2,21,415","43.12"
"DALBHARAT","EQ","21-Apr-2025","1,851.60","1,851.00","1,932.00","1,851.00","1,920.00","1,922.50","1,905.92","4,26,318","81,25,29,960.90","33,701","2,58,927","60.74"
"DALBHARAT","EQ","22-Apr-2025","1,922.50","1,908.10","1,948.00","1,898.00","1,905.60","1,903.50","1,921.36","2,88,255","55,38,40,919.50","17,623","1,60,371","55.64"
"DALBHARAT","EQ","23-Apr-2025","1,903.50","1,909.80","1,916.30","1,870.10","1,903.80","1,889.40","1,884.41","5,52,113","1,04,04,07,678.70","67,783","3,46,037","62.68"
"DALBHARAT","EQ","24-Apr-2025","1,889.40","1,950.00","1,980.00","1,922.80","1,973.50","1,974.10","1,958.46","25,13,060","4,92,17,38,722.80","1,49,049","11,40,309","45.38"
"DALBHARAT","EQ","25-Apr-2025","1,974.10","1,984.00","2,019.10","1,946.30","1,968.30","1,965.90","1,981.64","12,18,246","2,41,41,27,907.10","71,922","6,49,658","53.33"
"DALBHARAT","EQ","28-Apr-2025","1,965.90","1,965.90","2,002.50","1,961.20","1,979.00","1,983.70","1,985.61","3,29,279","65,38,19,726.70","26,943","1,83,977","55.87"
"DALBHARAT","EQ","29-Apr-2025","1,983.70","1,971.20","1,993.90","1,946.80","1,955.90","1,954.80","1,963.04","2,55,102","50,07,76,308.20","24,369","1,40,077","54.91"
"DALBHARAT","EQ","30-Apr-2025","1,954.80","1,950.10","1,969.00","1,934.40","1,937.90","1,942.70","1,949.48","3,60,446","70,26,80,900.80","19,767","2,12,449","58.94"
