"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"DELHIVERY","EQ","07-Mar-2025","260.99","260.98","263.43","254.55","255.90","255.45","259.00","12,03,015","31,15,86,163.17","20,092","5,76,167","47.89"
"DELHIVERY","EQ","10-Mar-2025","255.45","255.65","259.61","250.25","251.01","250.82","253.95","12,33,134","31,31,55,698.28","17,620","5,53,219","44.86"
"DELHIVERY","EQ","11-Mar-2025","250.82","247.01","253.93","246.11","249.17","248.38","249.80","10,98,020","27,42,83,983.47","14,852","4,90,448","44.67"
"DELHIVERY","EQ","12-Mar-2025","248.38","250.99","251.09","237.65","239.40","240.29","241.10","23,09,916","55,69,23,711.42","25,045","9,66,263","41.83"
"DELHIVERY","EQ","13-Mar-2025","240.29","242.00","242.95","236.53","242.11","241.76","241.22","23,72,240","57,22,22,256.29","22,549","12,23,324","51.57"
"DELHIVERY","EQ","17-Mar-2025","241.76","242.50","249.75","241.77","242.94","242.40","246.10","17,86,577","43,96,73,309.11","23,642","7,58,587","42.46"
"DELHIVERY","EQ","18-Mar-2025","242.40","242.90","252.45","242.89","252.45","251.80","249.35","13,74,789","34,27,99,031.09","20,393","5,98,800","43.56"
"DELHIVERY","EQ","19-Mar-2025","251.80","252.90","261.90","252.50","261.00","260.96","258.59","35,71,575","92,35,68,891.74","29,423","21,52,101","60.26"
"DELHIVERY","EQ","20-Mar-2025","260.96","262.05","263.10","255.00","257.45","257.07","258.03","21,53,817","55,57,55,614.21","25,556","13,26,516","61.59"
"DELHIVERY","EQ","21-Mar-2025","257.07","259.60","265.82","257.93","264.00","263.62","262.97","25,96,901","68,29,03,589.55","33,485","12,55,838","48.36"
"DELHIVERY","EQ","24-Mar-2025","263.62","265.01","269.50","259.01","259.75","259.82","263.28","16,16,963","42,57,08,225.27","21,147","8,19,114","50.66"
"DELHIVERY","EQ","25-Mar-2025","259.82","261.45","262.89","250.70","258.00","257.20","254.71","36,01,892","91,74,21,948.91","32,406","19,60,622","54.43"
"DELHIVERY","EQ","26-Mar-2025","257.20","258.10","259.85","253.01","253.63","254.69","256.07","15,25,361","39,06,04,817.06","21,324","7,53,938","49.43"
"DELHIVERY","EQ","27-Mar-2025","254.69","253.75","256.00","249.85","253.28","252.92","252.64","59,91,936","1,51,37,75,609.63","58,912","38,32,171","63.96"
"DELHIVERY","EQ","28-Mar-2025","252.92","252.49","263.80","252.15","253.60","255.10","258.17","33,13,968","85,55,50,739.70","42,175","13,70,008","41.34"
"DELHIVERY","EQ","01-Apr-2025","255.10","255.10","263.95","253.35","261.00","260.75","260.52","30,35,758","79,08,67,267.40","29,787","13,84,832","45.62"
"DELHIVERY","EQ","02-Apr-2025","260.75","260.35","261.65","252.70","260.15","259.00","257.36","26,26,407","67,59,31,483.65","19,491","16,08,389","61.24"
"DELHIVERY","EQ","03-Apr-2025","259.00","257.65","265.30","256.50","263.50","263.55","263.50","24,28,693","63,99,57,854.85","19,686","10,58,852","43.60"
"DELHIVERY","EQ","04-Apr-2025","263.55","262.25","263.20","249.65","261.00","258.80","256.21","24,25,014","62,13,01,265.45","28,244","8,66,757","35.74"
"DELHIVERY","EQ","07-Apr-2025","258.80","244.60","271.30","238.50","269.35","268.35","263.28","2,48,94,586","6,55,43,44,094.00","1,81,539","82,69,322","33.22"
"DELHIVERY","EQ","08-Apr-2025","268.35","275.00","276.25","247.15","249.45","248.90","253.42","2,40,61,856","6,09,78,35,815.10","1,61,423","64,16,061","26.66"
"DELHIVERY","EQ","09-Apr-2025","248.90","252.00","252.00","239.55","243.15","243.35","244.05","94,10,341","2,29,65,93,945.65","79,878","26,94,737","28.64"
"DELHIVERY","EQ","11-Apr-2025","243.35","249.45","249.45","242.05","246.90","246.95","244.87","53,51,397","1,31,03,94,999.65","84,229","23,37,631","43.68"
