"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"DIXON","EQ","07-Mar-2025","14,256.25","14,262.15","14,335.75","13,860.00","13,888.00","13,911.25","14,042.28","2,01,480","2,82,92,38,182.10","46,741","71,830","35.65"
"DIXON","EQ","10-Mar-2025","13,911.25","13,911.25","14,087.95","13,053.00","13,087.70","13,131.15","13,408.74","4,48,512","6,01,39,79,900.65","93,099","1,87,369","41.78"
"DIXON","EQ","11-Mar-2025","13,131.15","12,925.10","13,375.70","12,750.10","13,348.00","13,298.90","13,079.73","4,34,133","5,67,83,43,826.55","92,184","1,51,758","34.96"
"DIXON","EQ","12-Mar-2025","13,298.90","13,240.00","13,385.20","12,762.00","13,040.05","13,078.95","12,977.66","3,49,680","4,53,80,28,037.95","67,639","1,50,510","43.04"
"DIXON","EQ","13-Mar-2025","13,078.95","13,144.95","13,598.00","12,992.25","13,300.00","13,324.05","13,355.58","3,68,138","4,91,66,95,316.90","76,444","1,47,212","39.99"
"DIXON","EQ","17-Mar-2025","13,324.05","13,144.85","13,510.00","13,054.60","13,075.05","13,098.20","13,250.20","2,81,188","3,72,57,98,040.25","56,001","1,05,611","37.56"
"DIXON","EQ","18-Mar-2025","13,098.20","13,185.00","13,540.00","13,090.00","13,539.00","13,470.15","13,348.82","2,35,530","3,14,40,47,815.00","53,030","93,827","39.84"
"DIXON","EQ","19-Mar-2025","13,470.15","13,524.00","13,989.65","13,420.00","13,805.00","13,875.60","13,769.56","2,49,370","3,43,37,14,905.25","52,587","87,424","35.06"
"DIXON","EQ","20-Mar-2025","13,875.60","13,875.60","14,085.00","13,754.30","13,880.00","13,905.70","13,927.12","2,11,223","2,94,17,27,858.50","46,187","76,709","36.32"
"DIXON","EQ","21-Mar-2025","13,905.70","13,880.00","14,122.95","13,834.45","14,025.40","14,056.80","14,040.01","2,56,973","3,60,79,02,294.65","48,887","1,46,594","57.05"
"DIXON","EQ","24-Mar-2025","14,056.80","14,122.00","14,720.00","14,121.00","14,600.00","14,608.35","14,503.97","2,84,541","4,12,69,74,198.10","59,137","95,828","33.68"
"DIXON","EQ","25-Mar-2025","14,608.35","14,676.65","14,740.00","13,495.00","13,568.00","13,624.50","13,906.69","8,35,339","11,61,68,02,340.70","1,25,845","3,73,289","44.69"
"DIXON","EQ","26-Mar-2025","13,624.50","13,651.05","13,691.05","13,216.00","13,260.05","13,260.40","13,416.86","4,52,537","6,07,16,23,623.45","90,096","1,48,825","32.89"
"DIXON","EQ","27-Mar-2025","13,260.40","13,300.00","13,673.95","13,100.00","13,470.00","13,510.80","13,491.30","5,38,219","7,26,12,75,484.55","80,751","2,14,041","39.77"
"DIXON","EQ","28-Mar-2025","13,510.80","13,516.00","13,680.80","13,009.40","13,175.00","13,179.50","13,306.85","4,30,635","5,73,03,94,296.00","80,778","1,28,318","29.80"
"DIXON","EQ","01-Apr-2025","13,179.50","13,199.00","13,450.00","12,880.00","12,924.80","12,923.90","13,117.53","3,05,230","4,00,38,63,431.25","70,073","90,203","29.55"
"DIXON","EQ","02-Apr-2025","12,923.90","12,950.00","13,485.00","12,899.75","13,435.00","13,450.70","13,249.28","3,90,817","5,17,80,42,346.40","76,492","95,784","24.51"
"DIXON","EQ","03-Apr-2025","13,450.70","13,303.20","13,567.45","13,095.00","13,470.00","13,487.95","13,353.30","3,43,363","4,58,50,28,763.00","68,070","79,469","23.14"
"DIXON","EQ","04-Apr-2025","13,487.95","13,450.05","13,472.75","13,038.00","13,153.95","13,137.55","13,172.77","2,79,276","3,67,88,38,053.90","54,693","81,496","29.18"
"DIXON","EQ","07-Apr-2025","13,137.55","12,202.20","12,897.00","12,202.20","12,635.00","12,556.05","12,579.76","4,66,181","5,86,44,45,860.35","96,321","1,50,149","32.21"
"DIXON","EQ","08-Apr-2025","12,556.05","13,000.00","13,239.95","12,751.00","13,050.00","12,991.80","12,974.31","3,56,876","4,63,02,20,370.05","67,850","1,13,529","31.81"
"DIXON","EQ","09-Apr-2025","12,991.80","13,130.00","13,313.90","12,755.00","13,251.05","13,282.45","13,074.18","4,47,582","5,85,17,69,158.45","88,711","1,23,720","27.64"
"DIXON","EQ","11-Apr-2025","13,282.45","13,946.55","14,339.00","13,560.45","14,260.00","14,301.90","14,128.19","10,21,318","14,42,93,78,845.95","1,89,060","3,16,584","31.00"
