"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DLF","EQ","07-Mar-2025","665.30","672.00","679.30","661.70","664.85","667.05","670.02","53,71,744","3,59,91,80,252.40","85,783","23,36,023","43.49"
"DLF","EQ","10-Mar-2025","667.05","666.85","671.00","643.00","643.00","647.10","657.79","23,79,990","1,56,55,30,148.05","39,804","10,96,770","46.08"
"DLF","EQ","11-Mar-2025","647.10","641.00","674.95","636.05","674.00","674.10","663.49","39,58,044","2,62,61,36,548.45","82,359","12,87,694","32.53"
"DLF","EQ","12-Mar-2025","674.10","678.95","683.00","659.15","669.20","668.70","671.77","40,82,620","2,74,26,00,482.05","61,275","20,22,500","49.54"
"DLF","EQ","13-Mar-2025","668.70","670.95","675.05","656.70","658.00","658.10","666.47","29,11,477","1,94,04,25,970.75","49,664","15,41,904","52.96"
"DLF","EQ","17-Mar-2025","658.10","661.80","662.30","651.95","656.20","655.55","657.17","18,05,199","1,18,63,28,716.05","44,168","6,85,859","37.99"
"DLF","EQ","18-Mar-2025","655.55","660.50","682.90","660.50","676.75","674.80","674.47","36,86,355","2,48,63,46,479.30","69,816","10,48,651","28.45"
"DLF","EQ","19-Mar-2025","674.80","677.00","698.70","675.80","696.50","697.55","689.28","33,98,422","2,34,24,72,512.15","70,694","17,31,168","50.94"
"DLF","EQ","20-Mar-2025","697.55","698.00","706.50","689.05","693.00","694.30","696.28","46,35,864","3,22,78,81,868.00","53,006","27,46,989","59.26"
"DLF","EQ","21-Mar-2025","694.30","694.90","717.50","694.30","697.80","695.90","702.88","71,45,524","5,02,24,31,813.95","86,576","36,66,690","51.31"
"DLF","EQ","24-Mar-2025","695.90","710.05","714.00","691.40","706.50","706.00","704.54","62,47,058","4,40,12,82,712.70","1,04,850","24,00,415","38.42"
"DLF","EQ","25-Mar-2025","706.00","710.05","713.70","691.60","693.80","695.20","700.05","29,89,679","2,09,29,34,109.10","61,857","13,29,789","44.48"
"DLF","EQ","26-Mar-2025","695.20","695.55","703.80","678.25","679.35","680.45","687.05","55,91,317","3,84,15,35,448.50","74,360","35,47,983","63.46"
"DLF","EQ","27-Mar-2025","680.45","680.00","692.55","672.00","691.00","688.50","683.41","26,34,496","1,80,04,53,754.10","51,265","11,87,521","45.08"
"DLF","EQ","28-Mar-2025","688.50","693.10","695.00","678.15","680.25","680.50","685.27","27,97,361","1,91,69,61,525.60","72,095","13,75,074","49.16"
"DLF","EQ","01-Apr-2025","680.50","678.35","678.85","653.35","662.50","663.10","664.14","35,28,179","2,34,32,05,002.60","78,879","15,70,031","44.50"
"DLF","EQ","02-Apr-2025","663.10","662.50","685.00","658.05","681.25","683.15","675.66","36,07,433","2,43,74,09,821.75","66,355","13,39,663","37.14"
"DLF","EQ","03-Apr-2025","683.15","677.05","691.70","675.55","680.05","680.05","683.67","19,79,635","1,35,34,16,137.20","54,659","6,72,677","33.98"
"DLF","EQ","04-Apr-2025","680.05","678.00","679.70","648.75","654.00","653.95","659.15","28,60,941","1,88,57,80,189.30","86,762","13,06,663","45.67"
"DLF","EQ","07-Apr-2025","653.95","615.00","627.45","601.20","608.00","608.05","611.39","43,77,794","2,67,65,57,890.90","1,13,479","19,20,546","43.87"
"DLF","EQ","08-Apr-2025","608.05","621.05","632.90","611.25","624.00","621.55","620.95","36,88,073","2,29,01,03,033.55","64,070","16,68,876","45.25"
"DLF","EQ","09-Apr-2025","621.55","620.00","624.35","607.05","613.00","612.85","615.47","24,05,075","1,48,02,59,446.00","64,510","9,72,302","40.43"
"DLF","EQ","11-Apr-2025","612.85","625.00","632.50","618.00","623.20","623.60","625.43","27,43,770","1,71,60,48,025.00","68,481","11,86,929","43.26"
"DLF","EQ","15-Apr-2025","623.60","635.00","663.80","630.40","662.50","662.80","655.98","52,55,187","3,44,73,07,835.90","81,306","20,15,990","38.36"
"DLF","EQ","16-Apr-2025","662.80","662.80","665.65","652.00","656.00","656.25","656.22","21,66,202","1,42,15,10,532.05","48,706","8,12,738","37.52"
"DLF","EQ","17-Apr-2025","656.25","660.00","673.20","656.50","670.70","669.40","665.69","34,23,114","2,27,87,18,918.25","60,965","10,93,841","31.95"
"DLF","EQ","21-Apr-2025","669.40","690.00","690.00","667.05","675.00","675.90","675.87","34,81,313","2,35,29,08,790.25","58,865","9,22,825","26.51"
"DLF","EQ","22-Apr-2025","675.90","678.00","693.00","668.20","685.00","685.00","683.29","37,17,001","2,53,98,07,393.50","75,950","13,94,874","37.53"
"DLF","EQ","23-Apr-2025","685.00","690.00","695.90","679.30","687.00","687.70","687.64","31,13,518","2,14,09,88,130.45","70,313","9,85,266","31.64"
"DLF","EQ","24-Apr-2025","687.70","689.00","689.55","678.25","680.05","680.50","682.53","19,68,312","1,34,34,41,011.20","44,079","6,90,013","35.06"
"DLF","EQ","25-Apr-2025","680.50","681.00","685.90","648.95","652.05","653.55","661.15","44,96,994","2,97,32,00,507.35","1,32,105","20,15,143","44.81"
"DLF","EQ","28-Apr-2025","653.55","655.00","665.00","653.00","663.35","663.90","661.54","25,45,802","1,68,41,46,837.20","64,604","11,98,381","47.07"
"DLF","EQ","29-Apr-2025","663.90","667.20","670.90","655.35","660.00","658.85","661.17","31,45,915","2,07,99,74,791.40","51,629","15,89,430","50.52"
"DLF","EQ","30-Apr-2025","658.85","658.85","684.90","655.70","670.25","674.30","676.22","73,39,914","4,96,33,64,609.00","1,20,885","29,34,377","39.98"
"DLF","EQ","02-May-2025","674.30","675.95","692.50","672.00","689.05","687.05","685.66","38,48,999","2,63,91,07,129.55","66,387","16,25,916","42.24"
"DLF","EQ","05-May-2025","687.05","692.70","699.00","683.50","692.95","693.75","692.76","26,34,868","1,82,53,26,377.80","47,045","9,91,241","37.62"
"DLF","EQ","06-May-2025","693.75","693.75","698.60","672.00","673.00","677.15","682.55","33,46,141","2,28,39,12,398.05","49,164","17,11,223","51.14"
"DLF","EQ","07-May-2025","677.15","668.70","681.40","665.55","679.25","679.25","674.82","28,55,850","1,92,71,81,116.30","58,715","14,11,715","49.43"
"DLF","EQ","08-May-2025","679.25","679.25","687.25","647.50","650.00","655.05","669.67","28,24,149","1,89,12,52,966.55","56,974","15,03,282","53.23"
"DLF","EQ","09-May-2025","655.05","644.95","651.00","617.90","637.40","631.70","630.89","97,89,600","6,17,62,06,175.55","1,26,010","53,11,915","54.26"
"DLF","EQ","12-May-2025","631.70","658.00","682.40","655.00","680.00","680.50","672.34","49,80,754","3,34,87,43,950.35","71,362","19,22,142","38.59"
"DLF","EQ","13-May-2025","680.50","677.05","684.90","675.00","679.00","677.85","679.50","20,28,681","1,37,84,95,797.75","44,789","6,80,326","33.54"
"DLF","EQ","14-May-2025","677.85","681.15","699.20","677.30","689.40","688.70","690.56","40,41,177","2,79,06,55,576.65","66,625","20,67,857","51.17"
"DLF","EQ","15-May-2025","688.70","690.00","711.95","686.55","708.55","709.05","702.36","35,45,961","2,49,05,39,208.00","67,227","12,93,510","36.48"
"DLF","EQ","16-May-2025","709.05","711.00","723.20","705.05","716.50","715.90","715.44","40,44,539","2,89,36,12,894.25","83,169","16,42,718","40.62"
"DLF","EQ","19-May-2025","715.90","719.00","739.00","713.25","738.15","737.65","731.91","50,36,812","3,68,65,13,286.70","87,428","20,33,280","40.37"
"DLF","EQ","20-May-2025","737.65","770.00","782.90","742.85","757.50","753.50","764.47","2,29,21,338","17,52,27,62,937.60","2,82,955","52,88,585","23.07"
"DLF","EQ","21-May-2025","753.50","764.60","778.60","748.45","772.60","775.15","767.39","84,36,181","6,47,38,59,947.65","1,20,045","21,84,233","25.89"
"DLF","EQ","22-May-2025","775.15","772.60","779.40","765.65","776.55","775.80","773.67","35,24,173","2,72,65,58,296.65","60,779","15,73,085","44.64"
"DLF","EQ","23-May-2025","775.80","776.00","779.00","770.15","773.90","776.50","774.96","26,52,923","2,05,58,99,763.90","46,616","14,33,600","54.04"
"DLF","EQ","26-May-2025","776.50","780.00","790.50","775.00","775.80","777.80","780.39","37,57,056","2,93,19,81,757.90","69,530","17,33,831","46.15"
"DLF","EQ","27-May-2025","777.80","778.00","783.00","770.25","773.00","774.05","777.53","42,13,811","3,27,63,84,922.85","72,522","24,76,162","58.76"
"DLF","EQ","28-May-2025","774.05","774.05","780.70","767.70","775.05","772.00","774.11","24,74,259","1,91,53,45,220.85","33,483","11,93,742","48.25"
"DLF","EQ","29-May-2025","772.00","780.00","799.45","777.20","796.00","793.75","789.99","53,39,086","4,21,78,03,134.80","87,659","15,76,208","29.52"
"DLF","EQ","30-May-2025","793.75","794.90","802.75","790.00","796.80","797.85","797.23","66,55,557","5,30,59,94,523.60","90,016","40,59,396","60.99"
"DLF","EQ","02-Jun-2025","797.85","797.00","814.60","789.65","809.00","810.70","804.96","35,75,806","2,87,83,98,356.05","62,695","17,03,447","47.64"
"DLF","EQ","03-Jun-2025","810.70","813.95","816.75","801.00","803.90","804.55","807.80","34,47,783","2,78,51,30,869.80","59,828","14,55,792","42.22"
"DLF","EQ","04-Jun-2025","804.55","809.00","809.80","795.70","804.80","803.40","802.54","22,05,496","1,76,99,91,067.25","49,446","10,04,579","45.55"
"DLF","EQ","05-Jun-2025","803.40","807.00","830.30","805.20","824.70","825.70","819.20","54,96,684","4,50,28,66,525.75","87,090","29,97,178","54.53"
"DLF","EQ","06-Jun-2025","825.70","826.00","884.45","822.15","879.75","880.35","864.73","1,37,17,251","11,86,16,83,422.60","2,32,450","48,57,600","35.41"
"DLF","EQ","09-Jun-2025","880.35","886.45","886.80","874.55","875.20","878.60","878.97","30,12,214","2,64,76,35,926.95","60,917","14,08,339","46.75"
"DLF","EQ","10-Jun-2025","878.60","879.00","882.70","864.90","867.85","868.00","870.54","23,93,636","2,08,37,55,626.10","56,285","10,66,414","44.55"
