"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DMART","EQ","07-Mar-2025","3,540.50","3,568.00","3,636.30","3,549.95","3,585.00","3,593.60","3,599.70","6,81,832","2,45,43,92,006.85","45,301","3,92,769","57.60"
"DMART","EQ","10-Mar-2025","3,593.60","3,600.00","3,624.95","3,548.20","3,601.00","3,603.75","3,599.79","3,27,825","1,18,01,01,821.15","35,096","1,99,805","60.95"
"DMART","EQ","11-Mar-2025","3,603.75","3,586.95","3,639.90","3,551.55","3,639.90","3,631.65","3,603.07","2,55,758","92,15,14,483.60","30,365","1,13,522","44.39"
"DMART","EQ","12-Mar-2025","3,631.65","3,655.25","3,685.00","3,622.45","3,664.85","3,674.20","3,661.86","2,65,757","97,31,63,963.70","36,026","1,23,524","46.48"
"DMART","EQ","13-Mar-2025","3,674.20","3,681.00","3,877.05","3,670.00","3,794.10","3,797.10","3,822.08","23,25,270","8,88,73,61,347.70","1,57,947","5,74,339","24.70"
"DMART","EQ","17-Mar-2025","3,797.10","3,797.10","3,832.35","3,788.10","3,824.00","3,825.30","3,816.78","4,25,089","1,62,24,69,978.95","33,715","2,34,012","55.05"
"DMART","EQ","18-Mar-2025","3,825.30","3,843.75","3,868.40","3,783.00","3,829.00","3,833.85","3,826.42","2,96,518","1,13,46,01,705.30","33,289","1,34,034","45.20"
"DMART","EQ","19-Mar-2025","3,833.85","3,850.00","3,860.00","3,795.00","3,842.00","3,845.20","3,831.18","2,85,707","1,09,45,94,178.70","24,703","1,32,800","46.48"
"DMART","EQ","20-Mar-2025","3,845.20","3,864.40","3,904.75","3,831.15","3,874.15","3,884.40","3,874.66","2,67,764","1,03,74,94,385.45","31,216","1,03,875","38.79"
"DMART","EQ","21-Mar-2025","3,884.40","3,890.00","3,948.80","3,871.85","3,910.00","3,892.20","3,908.75","4,31,562","1,68,68,66,028.45","39,425","2,23,018","51.68"
"DMART","EQ","24-Mar-2025","3,892.20","3,900.00","3,948.95","3,890.00","3,905.30","3,905.10","3,922.15","2,09,015","81,97,87,802.20","30,279","1,03,445","49.49"
"DMART","EQ","25-Mar-2025","3,905.10","3,935.00","4,033.95","3,883.95","3,988.00","3,998.80","3,979.78","7,04,455","2,80,35,73,601.40","71,048","2,73,183","38.78"
"DMART","EQ","26-Mar-2025","3,998.80","4,010.00","4,018.10","3,917.30","3,936.00","3,945.70","3,956.43","3,84,630","1,52,17,62,522.95","57,742","1,96,740","51.15"
"DMART","EQ","27-Mar-2025","3,945.70","3,940.00","4,085.00","3,932.45","4,070.00","4,065.00","4,025.40","7,35,787","2,96,18,38,320.80","61,671","4,52,731","61.53"
"DMART","EQ","28-Mar-2025","4,065.00","4,065.00","4,190.00","4,055.05","4,071.00","4,083.20","4,131.94","8,86,798","3,66,41,94,046.70","91,669","3,78,748","42.71"
"DMART","EQ","01-Apr-2025","4,083.20","4,109.75","4,163.40","3,994.60","4,016.00","4,003.60","4,073.08","4,01,323","1,63,46,20,412.80","42,130","1,54,467","38.49"
"DMART","EQ","02-Apr-2025","4,003.60","4,045.00","4,131.70","3,996.00","4,104.00","4,121.45","4,073.53","3,90,709","1,59,15,66,466.05","38,694","1,74,889","44.76"
"DMART","EQ","03-Apr-2025","4,121.45","4,121.45","4,195.50","4,077.05","4,155.00","4,157.80","4,148.12","4,26,311","1,76,83,90,740.90","55,294","1,80,052","42.23"
"DMART","EQ","04-Apr-2025","4,157.80","4,155.00","4,155.00","3,943.00","4,039.95","4,039.90","4,019.24","8,18,952","3,29,15,67,531.90","81,013","2,11,572","25.83"
"DMART","EQ","07-Apr-2025","4,039.90","3,761.20","4,037.10","3,761.20","4,033.00","4,023.15","3,958.25","4,72,568","1,87,05,40,794.45","63,382","1,43,130","30.29"
"DMART","EQ","08-Apr-2025","4,023.15","4,079.00","4,100.00","4,020.00","4,055.00","4,053.85","4,063.00","5,52,578","2,24,51,24,553.30","54,313","3,11,986","56.46"
"DMART","EQ","09-Apr-2025","4,053.85","4,053.85","4,151.85","4,014.00","4,133.00","4,139.30","4,114.79","6,63,300","2,72,93,38,927.90","68,088","3,64,273","54.92"
"DMART","EQ","11-Apr-2025","4,139.30","4,157.00","4,192.00","4,113.05","4,125.00","4,131.50","4,152.40","5,70,955","2,37,08,36,320.25","53,598","3,42,950","60.07"
"DMART","EQ","15-Apr-2025","4,131.50","4,200.00","4,227.00","4,088.00","4,216.00","4,212.70","4,167.91","5,69,335","2,37,29,37,451.10","47,128","2,72,829","47.92"
"DMART","EQ","16-Apr-2025","4,212.70","4,240.00","4,265.00","4,200.20","4,224.90","4,221.50","4,227.27","3,31,624","1,40,18,64,086.10","42,636","1,35,811","40.95"
"DMART","EQ","17-Apr-2025","4,221.50","4,221.00","4,397.00","4,192.20","4,354.00","4,357.10","4,324.32","10,20,665","4,41,36,81,894.20","98,065","6,37,093","62.42"
"DMART","EQ","21-Apr-2025","4,357.10","4,357.00","4,429.00","4,321.60","4,324.50","4,342.30","4,369.63","5,61,592","2,45,39,50,329.80","46,404","3,23,412","57.59"
"DMART","EQ","22-Apr-2025","4,342.30","4,363.00","4,497.00","4,315.00","4,436.00","4,435.60","4,431.95","9,98,024","4,42,31,89,838.70","86,646","5,79,003","58.01"
"DMART","EQ","23-Apr-2025","4,435.60","4,455.50","4,533.80","4,434.00","4,506.30","4,508.10","4,471.17","12,23,678","5,47,12,72,170.20","73,207","7,78,094","63.59"
"DMART","EQ","24-Apr-2025","4,508.10","4,509.80","4,557.70","4,452.00","4,505.00","4,498.80","4,507.38","16,98,949","7,65,78,07,867.60","65,938","12,75,674","75.09"
