"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","07-Mar-2025","1,140.10","1,140.10","1,145.20","1,130.00","1,133.20","1,133.25","1,137.13","7,90,599","89,90,16,658.45","59,286","4,13,310","52.28"
"DRREDDY","EQ","10-Mar-2025","1,133.25","1,134.95","1,137.15","1,115.40","1,120.00","1,120.20","1,127.02","9,50,503","1,07,12,39,552.55","63,406","5,18,219","54.52"
"DRREDDY","EQ","11-Mar-2025","1,120.20","1,117.00","1,126.95","1,110.65","1,117.40","1,116.65","1,119.09","8,84,438","98,97,67,086.20","51,801","5,19,837","58.78"
"DRREDDY","EQ","12-Mar-2025","1,116.65","1,116.60","1,116.65","1,092.45","1,107.25","1,105.15","1,101.33","19,14,579","2,10,85,84,700.55","84,955","13,74,302","71.78"
"DRREDDY","EQ","13-Mar-2025","1,105.15","1,105.15","1,110.25","1,095.05","1,106.35","1,107.95","1,104.66","12,99,174","1,43,51,45,064.45","52,788","8,07,239","62.13"
"DRREDDY","EQ","17-Mar-2025","1,107.95","1,107.90","1,154.10","1,101.50","1,151.50","1,150.70","1,142.59","27,14,559","3,10,16,22,486.70","88,380","13,78,600","50.79"
"DRREDDY","EQ","18-Mar-2025","1,150.70","1,157.80","1,169.40","1,149.00","1,163.00","1,163.70","1,161.70","17,34,982","2,01,55,21,876.80","67,683","10,83,881","62.47"
"DRREDDY","EQ","19-Mar-2025","1,163.70","1,174.00","1,177.70","1,158.10","1,171.00","1,172.10","1,167.17","15,07,415","1,75,94,05,481.55","58,947","8,33,466","55.29"
"DRREDDY","EQ","20-Mar-2025","1,172.10","1,178.95","1,190.75","1,165.30","1,186.00","1,187.20","1,180.35","15,21,677","1,79,61,07,267.85","90,571","9,24,119","60.73"
"DRREDDY","EQ","21-Mar-2025","1,187.20","1,190.20","1,204.65","1,177.05","1,202.25","1,200.15","1,195.13","23,13,824","2,76,53,19,297.85","90,859","15,66,969","67.72"
"DRREDDY","EQ","24-Mar-2025","1,200.15","1,205.00","1,216.35","1,190.25","1,208.00","1,210.30","1,204.27","16,60,669","1,99,98,88,358.55","64,032","10,20,627","61.46"
"DRREDDY","EQ","25-Mar-2025","1,210.30","1,210.30","1,215.95","1,167.95","1,173.50","1,177.90","1,178.26","28,60,907","3,37,09,01,737.45","98,645","15,36,638","53.71"
"DRREDDY","EQ","26-Mar-2025","1,177.90","1,177.90","1,179.80","1,152.65","1,161.40","1,164.60","1,163.85","28,64,505","3,33,38,49,572.85","1,34,793","16,24,386","56.71"
"DRREDDY","EQ","27-Mar-2025","1,164.60","1,160.00","1,172.40","1,144.00","1,161.40","1,162.20","1,154.04","44,60,409","5,14,74,81,095.40","1,41,276","31,11,148","69.75"
"DRREDDY","EQ","28-Mar-2025","1,162.20","1,159.25","1,159.25","1,140.75","1,145.00","1,144.20","1,148.00","27,62,934","3,17,18,38,628.35","95,730","18,14,211","65.66"
"DRREDDY","EQ","01-Apr-2025","1,144.20","1,144.20","1,164.40","1,136.05","1,150.00","1,152.20","1,153.13","41,58,012","4,79,47,16,300.25","98,563","28,88,867","69.48"
"DRREDDY","EQ","02-Apr-2025","1,152.20","1,150.00","1,152.70","1,135.00","1,151.65","1,150.00","1,143.53","20,71,245","2,36,85,26,047.90","60,874","14,08,219","67.99"
