"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"ZOMATO","EQ","07-Mar-2025","225.43","223.89","224.65","216.00","217.10","216.83","219.76","4,38,64,788","9,63,96,73,208.20","2,24,254","2,15,69,926","49.17"
"ZOMATO","EQ","10-Mar-2025","216.83","217.41","219.09","210.55","211.51","211.28","213.37","6,27,86,821","13,39,67,32,461.19","2,93,972","3,92,11,457","62.45"
"ZOMATO","EQ","11-Mar-2025","211.28","205.01","210.42","199.80","208.50","208.07","204.61","12,23,91,053","25,04,20,91,435.90","6,55,855","6,63,71,341","54.23"
"ZOMATO","EQ","12-Mar-2025","208.07","209.09","212.50","201.20","205.80","205.46","205.12","8,00,10,768","16,41,16,13,880.98","3,20,372","4,41,81,450","55.22"
"ZOMATO","EQ","13-Mar-2025","205.46","208.20","208.60","200.20","202.50","201.43","203.98","6,07,80,855","12,39,83,80,094.37","2,78,069","3,63,00,210","59.72"
"ZOMATO","EQ","17-Mar-2025","201.43","200.00","207.20","199.17","204.28","203.69","203.89","4,87,29,405","9,93,53,25,477.68","3,12,138","2,04,90,884","42.05"
"ZOMATO","EQ","18-Mar-2025","203.69","204.28","219.10","204.28","218.91","218.19","213.74","7,92,01,906","16,92,85,73,546.83","3,67,430","3,40,96,080","43.05"
"ZOMATO","EQ","19-Mar-2025","218.19","218.50","227.50","218.50","223.80","223.53","224.39","6,55,19,150","14,70,16,55,217.63","3,81,459","2,60,85,129","39.81"
"ZOMATO","EQ","20-Mar-2025","223.53","226.00","228.00","221.87","224.00","224.47","224.74","6,13,76,776","13,79,38,10,551.36","1,88,392","3,83,24,426","62.44"
"ZOMATO","EQ","21-Mar-2025","224.47","220.00","228.85","220.00","227.50","227.52","225.92","11,33,28,549","25,60,27,36,121.47","2,57,104","7,24,04,969","63.89"
"ZOMATO","EQ","24-Mar-2025","227.52","228.80","230.20","222.20","222.84","222.80","225.05","4,19,20,679","9,43,43,93,719.25","2,46,715","2,16,08,461","51.55"
"ZOMATO","EQ","25-Mar-2025","222.80","223.80","225.10","209.00","210.20","209.81","213.41","8,41,84,995","17,96,62,20,990.50","4,22,009","3,92,83,322","46.66"
"ZOMATO","EQ","26-Mar-2025","209.81","202.35","206.90","199.92","204.47","203.29","203.89","11,43,42,130","23,31,28,57,118.08","4,78,755","5,19,65,097","45.45"
"ZOMATO","EQ","27-Mar-2025","203.29","204.47","208.75","200.37","203.00","206.28","205.79","40,04,14,753","82,40,01,47,801.58","5,39,248","30,28,31,227","75.63"
"ZOMATO","EQ","28-Mar-2025","206.28","204.24","209.90","200.50","201.20","201.70","204.43","7,48,42,762","15,29,97,65,438.29","3,34,406","3,08,73,273","41.25"
"ZOMATO","EQ","01-Apr-2025","201.70","201.70","205.00","198.85","203.35","202.01","201.89","6,33,69,467","12,79,35,74,019.85","3,61,222","2,39,99,881","37.87"
"ZOMATO","EQ","02-Apr-2025","202.01","203.50","212.60","202.00","211.70","212.03","207.87","5,94,41,448","12,35,59,07,874.91","2,77,483","2,38,87,878","40.19"
"ZOMATO","EQ","03-Apr-2025","212.03","208.15","214.00","208.00","211.00","210.90","211.51","4,44,47,473","9,40,11,28,837.48","2,98,707","1,81,68,031","40.88"
"ZOMATO","EQ","04-Apr-2025","210.90","211.84","212.58","205.67","210.46","210.53","209.49","4,82,96,676","10,11,74,71,819.20","2,48,714","2,05,37,066","42.52"
"ZOMATO","EQ","07-Apr-2025","210.53","196.00","211.00","194.80","211.00","209.63","205.47","6,49,32,923","13,34,18,95,638.20","3,34,420","2,79,14,525","42.99"
"ZOMATO","EQ","08-Apr-2025","209.63","213.19","219.19","210.81","214.55","215.19","215.33","6,20,02,510","13,35,11,93,760.76","3,62,486","2,48,30,259","40.05"
"ETERNAL","EQ","09-Apr-2025","215.19","216.00","216.00","209.86","211.15","211.39","211.64","2,53,59,931","5,36,71,59,351.21","1,62,551","1,32,70,151","52.33"
"ETERNAL","EQ","11-Apr-2025","211.39","216.00","218.31","214.10","216.00","217.20","216.93","2,89,17,549","6,27,30,38,370.64","1,79,516","1,63,43,363","56.52"
"ETERNAL","EQ","15-Apr-2025","217.20","224.25","224.25","220.10","222.90","222.23","221.95","4,50,34,496","9,99,54,55,680.55","1,94,207","3,21,56,178","71.40"
"ETERNAL","EQ","16-Apr-2025","222.23","220.51","222.64","218.40","221.85","222.08","221.00","2,61,55,875","5,78,03,29,675.67","1,30,093","1,34,80,029","51.54"
"ETERNAL","EQ","17-Apr-2025","222.08","220.60","236.14","220.38","232.00","231.60","230.19","7,01,25,937","16,14,22,93,627.55","3,02,980","2,96,53,537","42.29"
"ETERNAL","EQ","21-Apr-2025","231.60","229.00","235.30","227.10","234.22","234.24","232.13","6,60,28,533","15,32,69,76,502.55","3,18,929","3,32,47,183","50.35"
"ETERNAL","EQ","22-Apr-2025","234.24","236.00","243.45","235.00","236.57","237.47","238.74","5,96,67,380","14,24,52,60,298.96","3,20,284","2,87,57,840","48.20"
"ETERNAL","EQ","23-Apr-2025","237.47","237.48","240.25","233.05","238.15","239.24","237.42","4,22,94,685","10,04,16,69,791.04","2,80,063","2,02,03,691","47.77"
"ETERNAL","EQ","24-Apr-2025","239.24","237.00","241.37","235.00","236.80","236.38","237.78","4,61,03,369","10,96,22,63,425.59","1,86,390","2,13,27,573","46.26"
"ETERNAL","EQ","25-Apr-2025","236.38","235.90","239.00","227.31","227.71","228.81","231.73","3,24,37,650","7,51,66,17,504.34","1,65,167","1,57,01,800","48.41"
"ETERNAL","EQ","28-Apr-2025","228.81","226.00","231.99","225.06","226.70","227.21","227.58","2,93,27,020","6,67,43,31,221.86","1,46,990","1,32,00,305","45.01"
"ETERNAL","EQ","29-Apr-2025","227.21","228.37","234.24","226.60","231.16","231.11","230.59","3,27,61,971","7,55,47,10,474.34","1,77,098","1,22,35,973","37.35"
"ETERNAL","EQ","30-Apr-2025","231.11","232.00","234.75","226.10","231.43","232.52","231.06","4,58,31,746","10,59,00,29,248.45","2,13,328","2,19,42,884","47.88"
"ETERNAL","EQ","02-May-2025","232.52","220.05","239.50","220.05","234.41","234.29","234.13","10,49,10,316","24,56,24,71,038.55","6,97,809","4,79,55,003","45.71"
"ETERNAL","EQ","05-May-2025","234.29","234.50","240.97","232.93","240.10","239.90","238.94","3,79,48,115","9,06,71,75,346.83","2,40,824","1,72,46,110","45.45"
"ETERNAL","EQ","06-May-2025","239.90","240.00","241.50","231.85","232.70","232.64","235.04","2,53,27,712","5,95,30,28,751.27","2,13,490","1,04,81,139","41.38"
"ETERNAL","EQ","07-May-2025","232.64","228.60","237.67","228.60","236.48","236.90","234.26","3,16,14,852","7,40,60,83,012.83","1,37,963","1,56,65,951","49.55"
"ETERNAL","EQ","08-May-2025","236.90","235.25","236.45","226.60","227.00","229.81","230.27","4,98,88,442","11,48,76,18,942.17","2,22,882","2,60,59,150","52.23"
"ETERNAL","EQ","09-May-2025","229.81","222.00","229.00","222.00","228.15","227.14","226.20","2,44,15,321","5,52,28,55,143.34","2,55,926","1,10,20,064","45.14"
"ETERNAL","EQ","12-May-2025","227.14","232.00","240.00","232.00","239.05","239.50","236.98","3,17,57,003","7,52,56,50,379.98","1,63,171","1,64,13,459","51.68"
"ETERNAL","EQ","13-May-2025","239.50","238.00","239.47","231.05","231.50","231.65","233.74","4,48,37,486","10,48,03,81,213.75","3,09,388","2,35,44,000","52.51"
"ETERNAL","EQ","14-May-2025","231.65","232.00","237.44","232.00","236.27","236.86","235.44","2,31,58,211","5,45,24,65,594.33","1,44,650","1,01,08,304","43.65"
"ETERNAL","EQ","15-May-2025","236.86","236.20","245.30","233.75","242.18","242.59","240.41","4,03,35,990","9,69,71,92,437.11","1,91,729","1,45,11,128","35.98"
"ETERNAL","EQ","16-May-2025","242.59","242.60","246.94","242.00","244.90","245.76","245.02","3,08,54,384","7,55,98,35,500.94","1,52,112","1,42,94,651","46.33"
"ETERNAL","EQ","19-May-2025","245.76","245.84","246.59","237.43","238.25","238.03","240.81","2,18,17,610","5,25,39,18,642.58","1,46,711","93,95,439","43.06"
"ETERNAL","EQ","20-May-2025","238.03","240.00","240.00","227.88","228.00","228.28","231.14","4,58,91,392","10,60,74,70,387.34","2,72,306","2,35,04,655","51.22"
"ETERNAL","EQ","21-May-2025","228.28","227.00","230.30","224.18","230.01","229.97","227.80","4,71,66,136","10,74,43,71,950.20","2,31,624","2,39,43,231","50.76"
"ETERNAL","EQ","22-May-2025","229.97","228.97","230.88","227.03","229.87","229.02","228.81","2,87,95,944","6,58,87,57,102.25","1,36,959","1,32,72,977","46.09"
"ETERNAL","EQ","23-May-2025","229.02","229.12","240.70","228.87","237.34","237.55","237.11","4,21,80,098","10,00,11,15,997.08","2,11,199","1,36,08,362","32.26"
"ETERNAL","EQ","26-May-2025","237.55","232.80","232.80","225.65","226.65","226.80","228.18","8,91,47,299","20,34,12,45,171.57","4,74,027","5,41,72,485","60.77"
"ETERNAL","EQ","27-May-2025","226.80","226.40","227.47","221.10","224.95","224.79","224.77","22,46,59,198","50,49,60,52,593.93","6,83,691","15,11,70,427","67.29"
"ETERNAL","EQ","28-May-2025","224.79","225.90","225.90","223.20","224.29","224.18","224.29","4,35,25,027","9,76,22,41,974.66","2,06,525","2,81,41,568","64.66"
"ETERNAL","EQ","29-May-2025","224.18","224.50","229.35","224.03","228.20","228.37","227.48","5,45,74,822","12,41,45,72,055.90","2,17,480","3,16,50,146","57.99"
"ETERNAL","EQ","30-May-2025","228.37","226.56","243.00","226.56","239.75","238.31","237.45","46,75,74,032","1,11,02,72,13,033.15","5,24,106","28,46,91,482","60.89"
"ETERNAL","EQ","02-Jun-2025","238.31","237.31","243.00","236.11","240.92","241.20","240.69","5,56,90,205","13,40,40,94,238.63","2,44,435","3,06,52,281","55.04"
"ETERNAL","EQ","03-Jun-2025","241.20","245.00","245.83","236.75","238.35","237.70","240.67","9,18,75,218","22,11,19,46,213.07","2,49,498","5,76,79,984","62.78"
"ETERNAL","EQ","04-Jun-2025","237.70","237.10","248.00","237.10","245.33","245.68","243.19","7,06,26,622","17,17,55,38,040.66","2,24,934","3,66,37,865","51.88"
"ETERNAL","EQ","05-Jun-2025","245.68","248.00","260.22","247.99","256.80","256.56","256.57","12,77,95,264","32,78,86,97,450.43","4,56,005","6,09,47,583","47.69"
"ETERNAL","EQ","06-Jun-2025","256.56","256.56","264.00","256.01","261.90","261.86","260.78","6,62,34,457","17,27,27,87,135.68","3,86,010","3,51,21,297","53.03"
"ETERNAL","EQ","09-Jun-2025","261.86","261.90","262.98","255.35","256.99","256.84","258.97","3,36,60,854","8,71,71,87,542.18","2,69,951","1,48,86,998","44.23"
"ETERNAL","EQ","10-Jun-2025","256.84","256.80","256.80","252.35","255.30","255.68","255.01","3,66,62,941","9,34,95,80,606.65","1,89,051","2,00,24,960","54.62"
"ETERNAL","EQ","11-Jun-2025","255.68","255.68","260.19","255.30","257.10","257.07","257.67","4,05,54,764","10,44,98,29,999.15","1,75,660","2,22,35,158","54.83"
"ETERNAL","EQ","12-Jun-2025","257.07","257.07","257.10","250.35","251.00","251.56","253.33","2,42,98,795","6,15,55,42,669.01","1,93,599","1,17,96,437","48.55"
"ETERNAL","EQ","13-Jun-2025","251.56","243.26","250.24","243.26","249.50","249.08","248.46","3,05,12,913","7,58,13,05,375.25","1,48,350","1,78,58,200","58.53"
"ETERNAL","EQ","16-Jun-2025","249.08","249.00","253.52","248.71","252.50","252.15","250.95","2,64,81,959","6,64,56,98,708.80","1,66,559","1,50,77,022","56.93"
"ETERNAL","EQ","17-Jun-2025","252.15","251.30","252.00","246.85","246.96","247.25","248.68","2,06,51,969","5,13,56,80,091.09","1,28,623","1,17,88,330","57.08"
"ETERNAL","EQ","18-Jun-2025","247.25","247.30","250.21","247.16","247.87","248.41","248.68","1,72,97,196","4,30,14,85,975.26","1,27,500","87,71,894","50.71"
"ETERNAL","EQ","19-Jun-2025","248.41","247.99","254.80","247.21","248.25","249.42","250.26","3,23,47,921","8,09,55,01,336.45","1,85,404","1,47,75,498","45.68"
"ETERNAL","EQ","20-Jun-2025","249.42","249.01","254.15","249.01","253.00","253.33","252.26","5,02,01,710","12,66,41,09,713.42","1,96,519","2,97,23,500","59.21"
"ETERNAL","EQ","23-Jun-2025","253.33","250.15","255.80","250.05","254.50","254.64","253.88","2,15,23,144","5,46,43,08,213.70","1,37,482","1,08,60,709","50.46"
"ETERNAL","EQ","24-Jun-2025","254.64","257.00","260.00","254.22","255.07","255.07","257.19","3,56,38,629","9,16,58,51,891.72","1,99,324","1,90,65,735","53.50"
