"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FORTIS","EQ","07-Mar-2025","648.65","644.20","654.10","627.00","630.45","629.50","640.36","11,97,982","76,71,35,162.50","54,052","5,98,109","49.93"
"FORTIS","EQ","10-Mar-2025","629.50","631.10","635.80","611.25","619.95","621.30","624.08","9,72,185","60,67,16,394.15","55,592","4,43,526","45.62"
"FORTIS","EQ","11-Mar-2025","621.30","614.20","632.20","614.15","625.00","626.30","627.64","10,12,887","63,57,23,580.75","48,241","5,15,839","50.93"
"FORTIS","EQ","12-Mar-2025","626.30","629.95","629.95","613.25","614.95","615.55","617.42","7,74,758","47,83,48,239.50","38,686","3,83,220","49.46"
"FORTIS","EQ","13-Mar-2025","615.55","616.75","620.00","599.60","605.65","605.45","607.07","16,62,890","1,00,94,97,654.05","51,688","9,78,172","58.82"
"FORTIS","EQ","17-Mar-2025","605.45","603.10","609.00","595.60","599.40","598.30","601.19","10,42,443","62,67,09,190.75","48,007","5,91,965","56.79"
"FORTIS","EQ","18-Mar-2025","598.30","600.00","619.80","600.00","612.10","615.15","614.89","14,24,203","87,57,27,447.90","58,505","8,50,238","59.70"
"FORTIS","EQ","19-Mar-2025","615.15","614.00","618.65","604.20","611.95","609.85","610.14","15,55,187","94,88,81,278.85","57,078","8,55,451","55.01"
"FORTIS","EQ","20-Mar-2025","609.85","618.00","630.95","612.85","626.05","627.35","625.73","14,96,370","93,63,17,900.65","64,638","7,86,183","52.54"
"FORTIS","EQ","21-Mar-2025","627.35","632.00","644.40","614.90","629.90","628.25","629.43","1,03,75,675","6,53,07,25,050.35","1,26,124","41,96,887","40.45"
"FORTIS","EQ","24-Mar-2025","628.25","637.90","656.70","633.50","653.00","653.20","644.48","12,62,762","81,38,21,280.25","47,196","5,87,640","46.54"
"FORTIS","EQ","25-Mar-2025","653.20","660.00","661.70","640.00","646.00","647.65","646.63","16,13,266","1,04,31,78,334.55","64,182","9,52,294","59.03"
"FORTIS","EQ","26-Mar-2025","647.65","650.00","653.85","638.70","644.00","645.70","644.04","9,05,883","58,34,21,855.35","29,901","5,97,594","65.97"
"FORTIS","EQ","27-Mar-2025","645.70","639.70","677.90","630.65","665.15","671.80","658.22","23,53,906","1,54,93,94,011.70","88,994","13,62,161","57.87"
"FORTIS","EQ","28-Mar-2025","671.80","671.00","724.95","666.05","694.00","698.35","702.03","60,70,165","4,26,14,58,555.45","1,71,609","22,14,450","36.48"
"FORTIS","EQ","01-Apr-2025","698.35","699.80","721.90","680.15","683.20","688.65","697.26","21,36,107","1,48,94,20,958.40","71,159","10,70,785","50.13"
"FORTIS","EQ","02-Apr-2025","688.65","685.65","686.95","652.65","660.00","662.60","662.58","17,91,342","1,18,69,02,146.90","62,577","8,53,075","47.62"
"FORTIS","EQ","03-Apr-2025","662.60","663.45","672.45","652.80","659.00","659.70","661.87","10,53,691","69,74,04,797.15","46,353","4,23,840","40.22"
"FORTIS","EQ","04-Apr-2025","659.70","659.00","661.10","639.90","648.60","649.45","649.00","10,80,116","70,09,91,620.55","33,638","4,89,627","45.33"
"FORTIS","EQ","07-Apr-2025","649.45","606.00","640.00","595.80","635.95","633.35","623.43","14,89,123","92,83,67,130.15","64,961","5,93,197","39.84"
"FORTIS","EQ","08-Apr-2025","633.35","644.45","661.90","641.00","648.00","648.85","653.29","22,44,532","1,46,63,36,288.80","63,692","11,23,986","50.08"
"FORTIS","EQ","09-Apr-2025","648.85","648.90","660.60","642.25","651.40","654.00","653.77","11,91,181","77,87,59,868.40","45,739","5,46,953","45.92"
"FORTIS","EQ","11-Apr-2025","654.00","668.50","671.85","635.20","650.30","649.55","651.99","30,42,575","1,98,37,13,633.35","96,308","15,96,485","52.47"
"FORTIS","EQ","15-Apr-2025","649.55","663.00","699.70","656.60","670.30","669.25","677.54","41,15,812","2,78,86,20,867.75","1,38,732","22,54,967","54.79"
"FORTIS","EQ","16-Apr-2025","669.25","671.30","687.95","645.60","649.75","649.95","657.05","37,59,757","2,47,03,53,902.35","76,026","22,83,104","60.72"
"FORTIS","EQ","17-Apr-2025","649.95","651.15","667.00","645.40","661.70","664.55","658.55","17,37,247","1,14,40,56,610.45","68,874","10,13,039","58.31"
"FORTIS","EQ","21-Apr-2025","664.55","664.55","667.85","654.55","656.65","656.30","657.64","10,53,508","69,28,32,106.25","43,524","6,51,873","61.88"
"FORTIS","EQ","22-Apr-2025","656.30","656.65","674.50","655.70","664.30","664.60","664.45","13,22,108","87,84,68,053.35","51,580","8,15,294","61.67"
"FORTIS","EQ","23-Apr-2025","664.60","664.60","678.95","656.00","676.50","676.65","668.15","20,27,535","1,35,47,04,412.50","71,454","11,91,235","58.75"
"FORTIS","EQ","24-Apr-2025","676.65","679.00","683.00","664.35","666.50","668.40","668.96","8,68,517","58,10,02,983.45","35,218","4,87,713","56.15"
"FORTIS","EQ","25-Apr-2025","668.40","671.50","671.50","638.00","653.00","654.65","653.01","23,67,728","1,54,61,40,668.35","61,221","10,96,461","46.31"
"FORTIS","EQ","28-Apr-2025","654.65","650.00","677.80","647.65","676.00","675.20","670.70","11,49,511","77,09,81,619.70","38,657","6,30,503","54.85"
"FORTIS","EQ","29-Apr-2025","675.20","677.85","679.00","662.30","666.00","667.20","668.99","7,38,560","49,40,85,727.20","30,611","4,02,566","54.51"
"FORTIS","EQ","30-Apr-2025","667.20","667.20","701.00","663.25","680.15","685.55","690.03","47,91,505","3,30,62,60,646.35","1,22,534","20,76,249","43.33"
