"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GLAND","EQ","07-Mar-2025","1,629.95","1,628.00","1,672.45","1,623.65","1,627.35","1,641.55","1,657.56","1,66,390","27,58,00,802.75","17,419","64,939","39.03"
"GLAND","EQ","10-Mar-2025","1,641.55","1,632.55","1,667.00","1,630.00","1,642.00","1,654.70","1,653.37","1,25,785","20,79,69,282.25","12,347","54,688","43.48"
"GLAND","EQ","11-Mar-2025","1,654.70","1,642.00","1,667.95","1,601.70","1,604.10","1,609.55","1,624.44","1,26,636","20,57,12,394.45","15,795","56,957","44.98"
"GLAND","EQ","12-Mar-2025","1,609.55","1,600.00","1,619.70","1,552.55","1,579.95","1,579.10","1,580.97","1,61,603","25,54,90,103.60","22,371","72,154","44.65"
"GLAND","EQ","13-Mar-2025","1,579.10","1,585.00","1,595.00","1,545.75","1,555.00","1,554.85","1,561.38","1,41,236","22,05,23,514.30","14,551","70,555","49.96"
"GLAND","EQ","17-Mar-2025","1,554.85","1,554.85","1,585.90","1,542.60","1,544.40","1,556.75","1,564.65","1,05,464","16,50,14,020.15","14,676","40,713","38.60"
"GLAND","EQ","18-Mar-2025","1,556.75","1,564.90","1,587.90","1,540.05","1,580.00","1,579.40","1,575.39","1,21,636","19,16,23,549.35","15,157","55,629","45.73"
"GLAND","EQ","19-Mar-2025","1,579.40","1,594.00","1,604.75","1,556.65","1,586.35","1,582.50","1,577.83","1,49,477","23,58,49,109.60","18,741","77,551","51.88"
"GLAND","EQ","20-Mar-2025","1,582.50","1,598.00","1,600.00","1,564.45","1,599.00","1,591.65","1,579.24","3,31,371","52,33,13,417.35","22,830","2,62,563","79.24"
"GLAND","EQ","21-Mar-2025","1,591.65","1,606.25","1,684.90","1,512.30","1,684.00","1,585.40","1,587.94","39,76,802","6,31,49,29,594.45","1,15,255","29,48,216","74.14"
"GLAND","EQ","24-Mar-2025","1,585.40","1,641.05","1,660.00","1,602.00","1,612.50","1,610.20","1,625.71","1,56,702","25,47,51,684.35","19,138","46,809","29.87"
"GLAND","EQ","25-Mar-2025","1,610.20","1,623.95","1,642.00","1,617.40","1,632.00","1,634.00","1,626.70","7,28,952","1,18,57,88,551.50","19,077","6,55,028","89.86"
"GLAND","EQ","26-Mar-2025","1,634.00","1,633.65","1,648.00","1,607.40","1,616.00","1,623.10","1,634.01","97,701","15,96,44,678.85","11,779","50,862","52.06"
"GLAND","EQ","27-Mar-2025","1,623.10","1,605.00","1,632.90","1,585.00","1,600.95","1,604.85","1,612.42","1,08,429","17,48,32,809.50","15,519","57,268","52.82"
"GLAND","EQ","28-Mar-2025","1,604.85","1,615.90","1,633.95","1,580.30","1,619.00","1,592.40","1,600.57","60,089","9,61,76,353.35","11,599","24,473","40.73"
