"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"GLENMARK","EQ","07-Mar-2025","1,396.70","1,396.70","1,415.00","1,380.00","1,401.20","1,404.40","1,398.65","3,43,691","48,07,02,929.75","27,984","1,51,780","44.16"
"GLENMARK","EQ","10-Mar-2025","1,404.40","1,404.00","1,414.85","1,386.75","1,400.90","1,403.10","1,397.90","6,78,733","94,88,04,032.40","36,990","4,52,143","66.62"
"GLENMARK","EQ","11-Mar-2025","1,403.10","1,385.15","1,428.00","1,385.10","1,401.20","1,400.20","1,406.45","4,14,940","58,35,91,668.65","29,023","1,73,085","41.71"
"GLENMARK","EQ","12-Mar-2025","1,400.20","1,400.10","1,426.65","1,368.00","1,421.00","1,422.30","1,391.39","7,15,462","99,54,89,036.10","38,462","3,83,028","53.54"
"GLENMARK","EQ","13-Mar-2025","1,422.30","1,422.30","1,422.30","1,398.60","1,405.85","1,405.15","1,403.54","3,33,781","46,84,76,220.60","14,304","1,97,816","59.27"
"GLENMARK","EQ","17-Mar-2025","1,405.15","1,405.10","1,439.95","1,401.05","1,430.00","1,429.60","1,429.25","5,40,553","77,25,82,955.95","22,300","3,54,772","65.63"
"GLENMARK","EQ","18-Mar-2025","1,429.60","1,434.05","1,460.00","1,434.05","1,460.00","1,456.35","1,448.82","2,91,327","42,20,81,012.10","21,034","1,19,326","40.96"
"GLENMARK","EQ","19-Mar-2025","1,456.35","1,465.00","1,489.85","1,445.00","1,488.70","1,486.70","1,469.77","2,92,493","42,98,97,299.05","26,387","1,20,817","41.31"
"GLENMARK","EQ","20-Mar-2025","1,486.70","1,495.00","1,500.60","1,474.05","1,480.75","1,478.80","1,483.54","3,02,126","44,82,15,973.90","22,064","1,58,375","52.42"
"GLENMARK","EQ","21-Mar-2025","1,478.80","1,490.00","1,518.85","1,486.50","1,507.55","1,514.75","1,504.41","8,46,570","1,27,35,89,368.90","35,200","5,18,459","61.24"
"GLENMARK","EQ","24-Mar-2025","1,514.75","1,512.90","1,513.55","1,480.00","1,493.80","1,492.65","1,489.75","9,95,343","1,48,28,10,886.55","36,453","6,32,158","63.51"
"GLENMARK","EQ","25-Mar-2025","1,492.65","1,493.10","1,499.60","1,470.25","1,483.00","1,480.75","1,481.10","3,93,547","58,28,82,874.15","22,711","1,62,125","41.20"
