"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GMRAIRPORT","EQ","07-Mar-2025","73.71","73.06","74.52","72.25","72.62","72.82","73.24","72,58,727","53,16,29,137.91","23,207","39,10,034","53.87"
"GMRAIRPORT","EQ","10-Mar-2025","72.82","72.90","74.18","71.35","71.50","71.79","72.79","55,52,361","40,41,77,812.26","25,536","22,28,136","40.13"
"GMRAIRPORT","EQ","11-Mar-2025","71.79","71.35","74.70","70.54","74.20","74.11","73.35","1,17,41,836","86,12,10,955.42","33,373","55,36,049","47.15"
"GMRAIRPORT","EQ","12-Mar-2025","74.11","74.15","74.64","72.57","73.60","73.62","73.52","55,29,681","40,65,61,312.49","25,097","22,25,601","40.25"
"GMRAIRPORT","EQ","13-Mar-2025","73.62","73.99","74.69","73.00","74.20","74.33","74.06","82,34,957","60,98,98,441.87","40,500","48,83,953","59.31"
"GMRAIRPORT","EQ","17-Mar-2025","74.33","74.80","75.19","73.80","74.11","74.17","74.47","83,10,284","61,88,46,487.52","27,355","41,77,088","50.26"
"GMRAIRPORT","EQ","18-Mar-2025","74.17","74.74","75.30","74.35","74.92","74.95","74.99","68,09,908","51,06,85,643.86","22,164","41,25,335","60.58"
"GMRAIRPORT","EQ","19-Mar-2025","74.95","75.50","76.98","74.79","76.60","76.68","76.21","67,98,346","51,81,08,631.79","24,374","32,36,635","47.61"
"GMRAIRPORT","EQ","20-Mar-2025","76.68","77.00","77.49","75.91","76.70","76.65","76.67","96,65,287","74,09,99,122.82","22,291","65,99,570","68.28"
"GMRAIRPORT","EQ","21-Mar-2025","76.65","76.70","77.75","76.35","77.36","77.36","77.22","98,77,735","76,27,22,843.94","29,936","60,98,344","61.74"
"GMRAIRPORT","EQ","24-Mar-2025","77.36","78.00","78.75","77.56","77.80","77.92","78.08","76,52,689","59,75,58,271.01","26,061","39,93,624","52.19"
"GMRAIRPORT","EQ","25-Mar-2025","77.92","78.60","78.60","75.39","75.39","75.68","76.56","50,77,844","38,87,71,314.36","18,853","22,95,520","45.21"
"GMRAIRPORT","EQ","26-Mar-2025","75.68","75.69","77.25","75.40","76.20","76.24","76.44","2,07,18,143","1,58,37,45,315.20","26,497","1,19,56,329","57.71"
"GMRAIRPORT","EQ","27-Mar-2025","76.24","75.90","76.74","74.96","76.15","75.94","75.42","2,79,95,886","2,11,15,15,733.80","34,205","1,50,98,070","53.93"
