"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GODREJCP","EQ","07-Mar-2025","1,030.30","1,020.10","1,053.40","1,017.20","1,043.40","1,045.30","1,041.03","6,07,186","63,21,00,498.45","33,778","2,95,589","48.68"
"GODREJCP","EQ","10-Mar-2025","1,045.30","1,042.00","1,063.20","1,036.90","1,044.95","1,044.00","1,050.83","7,93,821","83,41,72,359.10","44,651","4,62,863","58.31"
"GODREJCP","EQ","11-Mar-2025","1,044.00","1,025.00","1,050.00","1,025.00","1,039.35","1,039.15","1,043.46","7,21,342","75,26,93,447.15","56,996","4,14,586","57.47"
"GODREJCP","EQ","12-Mar-2025","1,039.15","1,039.25","1,046.90","1,028.85","1,044.00","1,043.40","1,039.47","4,36,216","45,34,32,961.65","30,299","2,46,952","56.61"
"GODREJCP","EQ","13-Mar-2025","1,043.40","1,045.00","1,045.00","1,020.35","1,030.55","1,025.80","1,028.08","6,31,099","64,88,20,822.05","33,973","4,00,806","63.51"
"GODREJCP","EQ","17-Mar-2025","1,025.80","1,025.10","1,061.40","1,024.65","1,056.00","1,052.30","1,049.42","12,66,047","1,32,86,17,408.40","54,351","7,25,534","57.31"
"GODREJCP","EQ","18-Mar-2025","1,052.30","1,064.55","1,090.75","1,064.55","1,084.00","1,083.65","1,082.53","25,84,183","2,79,74,68,059.35","65,740","16,42,675","63.57"
"GODREJCP","EQ","19-Mar-2025","1,083.65","1,085.10","1,087.00","1,064.35","1,074.90","1,074.30","1,073.99","12,74,199","1,36,84,75,556.70","64,332","8,70,969","68.35"
"GODREJCP","EQ","20-Mar-2025","1,074.30","1,074.95","1,104.70","1,074.95","1,099.25","1,101.50","1,095.04","14,22,712","1,55,79,29,723.50","81,274","9,56,114","67.20"
"GODREJCP","EQ","21-Mar-2025","1,101.50","1,105.50","1,120.55","1,094.00","1,110.00","1,111.95","1,111.33","17,75,108","1,97,27,26,900.00","72,346","12,85,444","72.41"
"GODREJCP","EQ","24-Mar-2025","1,111.95","1,116.00","1,120.10","1,098.50","1,111.00","1,106.30","1,107.40","8,80,326","97,48,75,862.40","69,664","5,59,926","63.60"
"GODREJCP","EQ","25-Mar-2025","1,106.30","1,111.85","1,134.90","1,097.60","1,128.45","1,129.85","1,127.15","23,39,818","2,63,73,14,414.35","80,809","16,01,511","68.45"
"GODREJCP","EQ","26-Mar-2025","1,129.85","1,129.95","1,138.85","1,103.25","1,127.60","1,130.30","1,124.64","20,80,701","2,34,00,33,450.10","1,01,599","14,76,794","70.98"
"GODREJCP","EQ","27-Mar-2025","1,130.30","1,133.95","1,150.00","1,115.55","1,142.00","1,144.55","1,142.66","35,71,049","4,08,04,95,461.20","61,299","27,51,069","77.04"
"GODREJCP","EQ","28-Mar-2025","1,144.55","1,054.05","1,169.65","1,054.05","1,160.00","1,159.25","1,156.87","14,94,348","1,72,87,63,404.45","54,943","9,19,575","61.54"
"GODREJCP","EQ","01-Apr-2025","1,159.25","1,150.70","1,163.60","1,141.50","1,146.80","1,143.60","1,149.51","6,37,877","73,32,43,334.25","36,144","3,62,308","56.80"
