"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GRASIM","EQ","07-Mar-2025","2,393.65","2,380.00","2,415.00","2,380.00","2,405.00","2,407.25","2,405.39","3,17,388","76,34,43,343.45","35,322","1,72,937","54.49"
"GRASIM","EQ","10-Mar-2025","2,407.25","2,407.25","2,425.00","2,373.30","2,386.20","2,383.95","2,402.60","6,50,796","1,56,36,01,436.10","53,695","3,76,527","57.86"
"GRASIM","EQ","11-Mar-2025","2,383.95","2,372.00","2,425.00","2,363.95","2,415.90","2,413.55","2,401.36","4,45,250","1,06,92,04,286.65","43,939","2,62,256","58.90"
"GRASIM","EQ","12-Mar-2025","2,413.55","2,413.55","2,438.90","2,367.60","2,398.70","2,398.90","2,398.94","5,61,893","1,34,79,46,048.55","39,218","3,30,820","58.88"
"GRASIM","EQ","13-Mar-2025","2,398.90","2,402.00","2,411.80","2,363.30","2,368.00","2,370.20","2,377.60","4,79,648","1,14,04,11,961.50","39,490","2,84,961","59.41"
"GRASIM","EQ","17-Mar-2025","2,370.20","2,381.75","2,404.50","2,370.85","2,400.00","2,399.35","2,390.57","6,46,728","1,54,60,45,618.80","37,957","4,49,426","69.49"
"GRASIM","EQ","18-Mar-2025","2,399.35","2,402.35","2,428.00","2,397.00","2,424.90","2,421.65","2,418.97","4,23,611","1,02,47,00,231.40","36,681","2,77,196","65.44"
"GRASIM","EQ","19-Mar-2025","2,421.65","2,426.00","2,464.60","2,426.00","2,460.00","2,458.20","2,451.96","4,15,476","1,01,87,32,389.60","31,153","2,47,167","59.49"
"GRASIM","EQ","20-Mar-2025","2,458.20","2,464.80","2,477.20","2,448.10","2,461.85","2,468.15","2,470.89","3,17,002","78,32,77,849.95","34,728","1,72,935","54.55"
"GRASIM","EQ","21-Mar-2025","2,468.15","2,479.90","2,514.75","2,459.45","2,478.65","2,469.40","2,476.50","13,72,022","3,39,78,11,593.35","66,480","10,39,027","75.73"
"GRASIM","EQ","24-Mar-2025","2,469.40","2,478.65","2,544.00","2,475.00","2,511.00","2,513.20","2,518.04","5,94,207","1,49,62,35,743.20","50,743","2,85,298","48.01"
"GRASIM","EQ","25-Mar-2025","2,513.20","2,529.75","2,595.90","2,520.00","2,566.50","2,569.45","2,560.17","9,93,289","2,54,29,88,078.60","78,530","3,87,452","39.01"
"GRASIM","EQ","26-Mar-2025","2,569.45","2,582.95","2,602.90","2,560.00","2,585.00","2,581.60","2,582.06","5,55,486","1,43,42,99,135.70","45,628","3,00,873","54.16"
"GRASIM","EQ","27-Mar-2025","2,581.60","2,584.00","2,628.95","2,575.00","2,596.10","2,618.70","2,613.91","12,46,219","3,25,75,09,688.40","69,464","6,74,266","54.10"
"GRASIM","EQ","28-Mar-2025","2,618.70","2,614.95","2,637.65","2,599.35","2,605.50","2,611.15","2,617.30","4,35,022","1,13,85,81,008.10","43,441","2,05,667","47.28"
"GRASIM","EQ","01-Apr-2025","2,611.15","2,611.40","2,632.00","2,596.20","2,612.05","2,619.00","2,613.77","3,17,974","83,11,11,157.55","30,190","1,84,575","58.05"
"GRASIM","EQ","02-Apr-2025","2,619.00","2,619.00","2,633.40","2,601.05","2,612.05","2,616.50","2,617.43","4,13,523","1,08,23,65,984.95","40,620","2,58,681","62.56"
"GRASIM","EQ","03-Apr-2025","2,616.50","2,595.10","2,664.00","2,595.10","2,652.00","2,651.90","2,643.47","2,98,330","78,86,26,604.15","36,091","1,15,871","38.84"
"GRASIM","EQ","04-Apr-2025","2,651.90","2,635.10","2,651.90","2,610.10","2,623.75","2,616.90","2,629.13","2,90,533","76,38,49,778.40","26,976","1,57,231","54.12"
