"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"HCLTECH","EQ","07-Mar-2025","1,585.45","1,582.65","1,587.00","1,555.60","1,558.60","1,557.95","1,564.26","20,91,986","3,27,24,06,893.85","1,17,645","13,66,548","65.32"
"HCLTECH","EQ","10-Mar-2025","1,557.95","1,557.00","1,572.45","1,547.00","1,549.80","1,549.30","1,558.35","18,55,766","2,89,19,26,346.10","1,11,573","11,28,126","60.79"
"HCLTECH","EQ","11-Mar-2025","1,549.30","1,529.95","1,573.95","1,522.60","1,567.00","1,567.85","1,553.21","18,46,190","2,86,75,23,976.00","1,16,653","11,70,180","63.38"
"HCLTECH","EQ","12-Mar-2025","1,567.85","1,556.00","1,565.00","1,507.10","1,537.60","1,540.60","1,526.42","31,13,860","4,75,30,43,277.90","1,27,422","18,03,672","57.92"
"HCLTECH","EQ","13-Mar-2025","1,540.60","1,540.60","1,547.95","1,529.15","1,532.00","1,534.75","1,536.04","19,83,351","3,04,65,09,090.20","1,09,012","11,39,537","57.46"
"HCLTECH","EQ","17-Mar-2025","1,534.75","1,528.00","1,547.55","1,519.05","1,545.00","1,545.15","1,532.81","20,29,100","3,11,02,21,525.20","1,02,852","10,10,711","49.81"
"HCLTECH","EQ","18-Mar-2025","1,545.15","1,545.15","1,560.95","1,530.65","1,560.95","1,558.20","1,553.11","29,30,865","4,55,19,48,771.15","1,10,392","18,13,788","61.89"
"HCLTECH","EQ","19-Mar-2025","1,558.20","1,558.50","1,561.35","1,525.10","1,547.00","1,544.45","1,536.19","45,22,829","6,94,79,16,763.10","1,63,793","32,01,717","70.79"
"HCLTECH","EQ","20-Mar-2025","1,544.45","1,547.85","1,582.10","1,547.05","1,555.00","1,562.00","1,568.78","46,08,677","7,22,99,82,395.50","1,83,935","31,03,344","67.34"
"HCLTECH","EQ","21-Mar-2025","1,562.00","1,535.10","1,592.05","1,521.50","1,565.00","1,566.70","1,567.64","81,09,210","12,71,23,07,970.70","1,57,465","57,57,983","71.01"
"HCLTECH","EQ","24-Mar-2025","1,566.70","1,591.00","1,610.90","1,560.00","1,602.85","1,604.15","1,590.29","24,87,843","3,95,63,91,435.80","1,00,840","15,63,534","62.85"
"HCLTECH","EQ","25-Mar-2025","1,604.15","1,622.00","1,658.95","1,618.95","1,621.05","1,624.90","1,633.44","49,06,013","8,01,36,90,211.65","1,75,718","22,47,553","45.81"
"HCLTECH","EQ","26-Mar-2025","1,624.90","1,624.90","1,644.95","1,622.00","1,625.65","1,633.40","1,634.48","30,96,513","5,06,11,83,927.45","1,06,271","19,91,362","64.31"
"HCLTECH","EQ","27-Mar-2025","1,633.40","1,625.65","1,645.00","1,613.55","1,637.25","1,630.15","1,626.44","33,83,080","5,50,23,69,601.75","1,12,017","22,83,013","67.48"
"HCLTECH","EQ","28-Mar-2025","1,630.15","1,616.10","1,625.55","1,581.60","1,591.00","1,592.50","1,603.17","22,11,077","3,54,47,37,955.45","80,891","13,99,939","63.31"
"HCLTECH","EQ","01-Apr-2025","1,592.50","1,577.00","1,585.00","1,526.10","1,534.50","1,530.35","1,549.26","41,26,827","6,39,35,17,652.35","1,91,916","26,02,484","63.06"
"HCLTECH","EQ","02-Apr-2025","1,530.35","1,515.00","1,538.55","1,506.40","1,531.00","1,527.55","1,524.27","31,67,863","4,82,86,63,976.40","1,08,710","19,16,205","60.49"
"HCLTECH","EQ","03-Apr-2025","1,527.55","1,500.00","1,500.00","1,465.00","1,468.40","1,470.10","1,477.26","39,66,161","5,85,90,47,298.70","2,14,252","26,44,416","66.67"
"HCLTECH","EQ","04-Apr-2025","1,470.10","1,449.00","1,456.20","1,419.10","1,427.00","1,422.10","1,433.64","44,21,312","6,33,85,87,669.20","1,96,195","30,17,389","68.25"
"HCLTECH","EQ","07-Apr-2025","1,422.10","1,345.00","1,383.75","1,302.75","1,377.95","1,374.10","1,341.53","64,84,139","8,69,86,42,588.85","2,66,089","39,08,703","60.28"
"HCLTECH","EQ","08-Apr-2025","1,374.10","1,380.00","1,424.25","1,372.00","1,402.90","1,403.35","1,396.09","39,38,359","5,49,82,93,565.60","1,47,712","18,43,790","46.82"
"HCLTECH","EQ","09-Apr-2025","1,403.35","1,380.65","1,388.70","1,357.05","1,380.70","1,380.00","1,377.67","33,06,801","4,55,56,85,085.35","1,35,840","20,36,176","61.58"
"HCLTECH","EQ","11-Apr-2025","1,380.00","1,360.00","1,425.00","1,360.00","1,393.50","1,390.55","1,399.73","48,59,622","6,80,21,45,997.60","1,85,045","30,35,049","62.45"
"HCLTECH","EQ","15-Apr-2025","1,390.55","1,420.00","1,428.80","1,406.00","1,426.00","1,426.50","1,420.09","32,65,147","4,63,67,87,070.10","94,027","21,76,695","66.66"
"HCLTECH","EQ","16-Apr-2025","1,426.50","1,415.00","1,436.10","1,405.50","1,434.00","1,431.70","1,424.34","25,53,111","3,63,64,87,592.80","93,892","16,30,935","63.88"
"HCLTECH","EQ","17-Apr-2025","1,431.70","1,420.00","1,442.10","1,384.00","1,439.00","1,438.00","1,409.58","35,49,969","5,00,39,73,557.20","1,68,356","12,98,225","36.57"
"HCLTECH","EQ","21-Apr-2025","1,438.00","1,435.00","1,499.00","1,430.00","1,478.00","1,482.00","1,473.95","28,40,104","4,18,61,73,438.60","97,809","13,12,655","46.22"
"HCLTECH","EQ","22-Apr-2025","1,482.00","1,490.00","1,499.90","1,464.50","1,485.90","1,479.90","1,480.59","26,08,145","3,86,15,96,452.80","95,264","11,01,800","42.24"
