"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCAMC","EQ","07-Mar-2025","3,842.05","3,842.05","3,907.10","3,820.55","3,826.15","3,834.20","3,863.86","3,56,115","1,37,59,79,265.35","41,000","2,25,595","63.35"
"HDFCAMC","EQ","10-Mar-2025","3,834.20","3,826.15","3,857.20","3,732.20","3,735.00","3,750.10","3,767.92","4,43,880","1,67,25,04,984.40","60,153","2,98,016","67.14"
"HDFCAMC","EQ","11-Mar-2025","3,750.10","3,722.00","3,794.00","3,679.00","3,786.40","3,779.30","3,740.27","2,63,827","98,67,83,817.85","40,359","1,31,076","49.68"
"HDFCAMC","EQ","12-Mar-2025","3,779.30","3,770.00","3,815.00","3,668.30","3,758.30","3,767.65","3,755.87","2,99,570","1,12,51,47,089.10","45,986","1,26,090","42.09"
"HDFCAMC","EQ","13-Mar-2025","3,767.65","3,760.20","3,772.50","3,660.00","3,724.00","3,725.10","3,712.12","4,29,672","1,59,49,94,887.30","70,601","2,19,511","51.09"
"HDFCAMC","EQ","17-Mar-2025","3,725.10","3,726.10","3,793.95","3,718.40","3,743.65","3,746.65","3,748.12","2,42,200","90,77,95,871.80","42,468","1,50,549","62.16"
"HDFCAMC","EQ","18-Mar-2025","3,746.65","3,752.40","3,839.00","3,743.65","3,832.95","3,827.60","3,807.27","4,16,479","1,58,56,46,018.65","40,365","2,79,145","67.02"
"HDFCAMC","EQ","19-Mar-2025","3,827.60","3,800.00","3,985.10","3,800.00","3,979.00","3,975.75","3,923.81","4,06,540","1,59,51,86,920.00","50,757","2,40,087","59.06"
"HDFCAMC","EQ","20-Mar-2025","3,975.75","3,995.60","4,043.25","3,945.15","3,960.00","3,967.80","3,981.00","4,18,160","1,66,46,96,851.00","52,978","2,55,750","61.16"
"HDFCAMC","EQ","21-Mar-2025","3,967.80","3,955.40","4,074.00","3,940.20","4,005.00","3,994.55","4,003.27","8,54,935","3,42,25,38,531.85","60,187","5,88,615","68.85"
"HDFCAMC","EQ","24-Mar-2025","3,994.55","4,010.00","4,129.90","3,992.50","4,108.05","4,100.45","4,065.20","2,96,918","1,20,70,32,325.05","36,215","1,87,679","63.21"
"HDFCAMC","EQ","25-Mar-2025","4,100.45","4,130.00","4,140.00","4,052.25","4,097.05","4,112.30","4,085.29","6,16,824","2,51,99,02,504.10","82,844","4,42,714","71.77"
"HDFCAMC","EQ","26-Mar-2025","4,112.30","4,115.00","4,188.40","4,060.00","4,066.00","4,071.35","4,113.87","5,56,289","2,28,85,02,038.75","57,848","3,00,560","54.03"
"HDFCAMC","EQ","27-Mar-2025","4,071.35","4,071.35","4,138.85","4,055.70","4,083.00","4,073.30","4,093.65","9,62,441","3,93,98,97,984.50","50,748","6,71,789","69.80"
"HDFCAMC","EQ","28-Mar-2025","4,073.30","4,094.95","4,126.00","3,994.40","4,009.00","4,013.90","4,062.07","2,62,465","1,06,61,51,414.45","24,967","1,31,042","49.93"
"HDFCAMC","EQ","01-Apr-2025","4,013.90","4,013.90","4,070.00","3,922.10","3,980.00","3,976.55","3,983.11","3,11,030","1,23,88,67,119.25","31,156","1,74,347","56.05"
