"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCLIFE","EQ","07-Mar-2025","618.25","618.30","633.00","618.15","625.30","625.20","627.31","31,69,440","1,98,82,18,355.65","92,283","17,01,153","53.67"
"HDFCLIFE","EQ","10-Mar-2025","625.20","625.05","633.00","623.00","623.20","625.90","628.92","23,16,148","1,45,66,62,884.80","92,941","15,22,926","65.75"
"HDFCLIFE","EQ","11-Mar-2025","625.90","623.00","637.55","614.65","636.25","636.95","631.31","26,77,293","1,69,02,06,684.65","78,008","18,27,870","68.27"
"HDFCLIFE","EQ","12-Mar-2025","636.95","636.95","639.75","627.10","631.80","632.00","632.20","27,04,337","1,70,96,93,815.15","75,264","18,59,244","68.75"
"HDFCLIFE","EQ","13-Mar-2025","632.00","631.00","632.30","619.45","620.65","622.40","625.60","22,11,232","1,38,33,52,066.90","71,075","14,92,879","67.51"
"HDFCLIFE","EQ","17-Mar-2025","622.40","622.40","631.35","622.40","629.30","629.80","628.80","10,75,113","67,60,29,490.55","37,055","5,98,234","55.64"
"HDFCLIFE","EQ","18-Mar-2025","629.80","631.15","641.65","629.15","640.00","640.55","636.90","20,94,678","1,33,41,06,015.25","52,360","14,09,444","67.29"
"HDFCLIFE","EQ","19-Mar-2025","640.55","642.00","665.90","640.65","665.10","664.55","656.96","24,70,532","1,62,30,38,078.25","59,848","14,89,801","60.30"
"HDFCLIFE","EQ","20-Mar-2025","664.55","665.00","678.35","659.10","672.10","674.35","671.85","44,25,855","2,97,35,17,514.30","96,913","30,40,027","68.69"
"HDFCLIFE","EQ","21-Mar-2025","674.35","677.80","681.10","669.05","680.95","679.60","676.08","37,25,271","2,51,85,80,001.55","80,959","25,23,987","67.75"
"HDFCLIFE","EQ","24-Mar-2025","679.60","679.60","687.45","675.60","681.00","679.90","682.13","14,01,023","95,56,81,887.70","49,932","7,00,911","50.03"
"HDFCLIFE","EQ","25-Mar-2025","679.90","683.00","686.00","671.35","672.90","673.10","677.16","20,19,661","1,36,76,28,532.35","56,290","10,52,481","52.11"
"HDFCLIFE","EQ","26-Mar-2025","673.10","673.10","680.40","664.85","671.15","668.40","670.79","22,31,203","1,49,66,65,170.75","1,02,998","13,29,303","59.58"
"HDFCLIFE","EQ","27-Mar-2025","668.40","668.40","684.60","667.05","682.00","681.90","680.10","59,51,034","4,04,73,00,943.05","1,34,010","38,89,492","65.36"
"HDFCLIFE","EQ","28-Mar-2025","681.90","683.90","688.25","677.95","684.00","685.70","684.18","31,16,601","2,13,23,12,224.20","84,133","21,04,309","67.52"
"HDFCLIFE","EQ","01-Apr-2025","685.70","683.00","698.05","680.00","693.00","692.90","693.01","46,20,146","3,20,18,22,205.05","1,00,236","32,06,820","69.41"
"HDFCLIFE","EQ","02-Apr-2025","692.90","693.30","701.75","690.20","694.05","696.15","696.51","30,47,499","2,12,26,10,852.75","1,05,788","20,29,221","66.59"
"HDFCLIFE","EQ","03-Apr-2025","696.15","688.50","697.80","675.00","692.45","692.90","692.36","13,53,987","93,74,48,218.50","47,622","6,36,568","47.01"
"HDFCLIFE","EQ","04-Apr-2025","692.90","687.00","695.00","684.15","685.90","689.05","689.93","38,67,188","2,66,80,99,430.95","65,940","23,18,878","59.96"
"HDFCLIFE","EQ","07-Apr-2025","689.05","663.75","680.00","651.70","667.25","665.95","667.39","38,61,746","2,57,72,73,166.45","1,24,294","20,60,550","53.36"
"HDFCLIFE","EQ","08-Apr-2025","665.95","674.50","689.75","668.30","685.00","685.75","679.67","32,79,965","2,22,92,88,756.55","81,267","18,35,187","55.95"
"HDFCLIFE","EQ","09-Apr-2025","685.75","685.50","691.60","679.15","685.50","684.80","685.38","30,54,715","2,09,36,50,603.50","85,553","19,56,684","64.05"
"HDFCLIFE","EQ","11-Apr-2025","684.80","683.40","690.40","682.15","684.80","685.55","685.42","32,64,303","2,23,74,23,483.25","96,854","25,00,888","76.61"
"HDFCLIFE","EQ","15-Apr-2025","685.55","691.15","707.50","690.30","705.35","704.70","701.60","23,06,442","1,61,82,01,766.35","92,660","13,91,517","60.33"
"HDFCLIFE","EQ","16-Apr-2025","704.70","700.20","721.35","700.20","717.00","716.05","715.49","34,52,538","2,47,02,72,573.65","94,375","15,53,698","45.00"
"HDFCLIFE","EQ","17-Apr-2025","716.05","716.05","723.75","709.55","719.00","720.05","716.77","31,05,731","2,22,60,95,329.60","1,10,298","18,06,651","58.17"
"HDFCLIFE","EQ","21-Apr-2025","720.05","725.00","725.00","703.60","712.00","712.20","710.05","61,68,127","4,37,96,53,534.15","1,22,923","39,96,081","64.79"
"HDFCLIFE","EQ","22-Apr-2025","712.20","718.00","721.85","708.55","708.60","712.55","714.71","26,69,384","1,90,78,47,566.00","75,038","15,09,144","56.54"
"HDFCLIFE","EQ","23-Apr-2025","712.55","715.40","715.90","705.10","708.20","709.10","710.23","20,91,384","1,48,53,71,450.60","67,663","13,42,872","64.21"
"HDFCLIFE","EQ","24-Apr-2025","709.10","713.00","716.00","705.00","705.00","708.40","710.53","38,14,638","2,71,04,31,595.60","89,289","24,29,853","63.70"
"HDFCLIFE","EQ","25-Apr-2025","708.40","711.45","733.50","692.65","702.70","704.55","709.82","37,14,671","2,63,67,52,251.65","83,753","12,24,018","32.95"
"HDFCLIFE","EQ","28-Apr-2025","704.55","702.70","714.50","698.10","707.65","710.85","706.36","19,44,250","1,37,33,43,024.05","62,876","8,89,728","45.76"
"HDFCLIFE","EQ","29-Apr-2025","710.85","715.90","719.00","707.00","715.00","715.05","712.82","25,45,118","1,81,42,04,893.05","73,402","14,71,865","57.83"
"HDFCLIFE","EQ","30-Apr-2025","715.05","712.10","749.80","712.10","745.00","743.70","738.47","87,32,964","6,44,90,03,032.70","1,85,049","52,83,400","60.50"
"HDFCLIFE","EQ","02-May-2025","743.70","743.70","749.35","726.45","726.50","727.75","736.24","32,86,801","2,41,98,65,594.55","1,03,466","18,54,870","56.43"
"HDFCLIFE","EQ","05-May-2025","727.75","730.10","741.35","727.30","738.00","738.90","738.48","27,61,798","2,03,95,32,914.15","50,082","18,85,205","68.26"
"HDFCLIFE","EQ","06-May-2025","738.90","738.90","742.65","718.80","723.00","722.60","728.13","14,98,360","1,09,10,05,418.45","63,756","7,07,267","47.20"
"HDFCLIFE","EQ","07-May-2025","722.60","719.00","728.85","718.00","721.40","723.90","724.40","16,57,343","1,20,05,71,996.80","58,325","9,87,116","59.56"
"HDFCLIFE","EQ","08-May-2025","723.90","718.50","726.20","715.50","718.05","722.95","722.68","30,57,761","2,20,97,91,856.45","81,929","18,08,034","59.13"
"HDFCLIFE","EQ","09-May-2025","722.95","709.00","717.00","708.40","716.45","713.60","712.88","32,10,705","2,28,88,35,041.60","80,101","24,94,080","77.68"
"HDFCLIFE","EQ","12-May-2025","713.60","720.00","737.00","720.00","733.65","734.60","733.41","14,88,045","1,09,13,40,645.65","55,032","6,74,598","45.33"
"HDFCLIFE","EQ","13-May-2025","734.60","735.40","742.40","732.15","735.30","735.05","737.00","14,45,358","1,06,52,22,692.25","72,517","7,72,895","53.47"
"HDFCLIFE","EQ","14-May-2025","735.05","740.00","750.00","734.15","741.00","741.70","743.52","20,58,831","1,53,07,83,673.35","62,944","9,84,393","47.81"
"HDFCLIFE","EQ","15-May-2025","741.70","743.05","753.60","734.00","748.65","751.20","745.11","33,38,741","2,48,77,31,783.90","1,05,170","15,01,945","44.99"
"HDFCLIFE","EQ","16-May-2025","751.20","750.00","754.00","747.05","748.65","750.55","750.09","14,26,234","1,06,98,07,267.10","43,247","8,74,297","61.30"
"HDFCLIFE","EQ","19-May-2025","750.55","747.00","756.00","746.35","749.45","750.95","752.58","11,87,450","89,36,57,039.45","38,696","6,84,928","57.68"
"HDFCLIFE","EQ","20-May-2025","750.95","748.55","757.65","745.75","747.25","747.05","751.68","21,91,829","1,64,75,44,687.70","64,451","14,35,193","65.48"
"HDFCLIFE","EQ","21-May-2025","747.05","748.00","761.00","746.00","758.00","759.70","757.09","19,28,533","1,46,00,69,224.40","51,619","10,10,829","52.41"
"HDFCLIFE","EQ","22-May-2025","759.70","759.70","762.05","752.20","757.60","755.85","755.57","23,91,952","1,80,72,93,921.90","67,897","15,88,175","66.40"
"HDFCLIFE","EQ","23-May-2025","755.85","755.80","781.35","752.05","780.65","780.40","774.40","45,11,523","3,49,37,38,200.85","82,131","26,41,848","58.56"
"HDFCLIFE","EQ","26-May-2025","780.40","784.30","786.15","777.70","780.00","780.00","782.25","23,43,463","1,83,31,84,669.85","58,425","12,24,898","52.27"
"HDFCLIFE","EQ","27-May-2025","780.00","780.00","781.20","769.70","776.00","775.80","774.52","34,72,288","2,68,93,55,150.10","67,184","25,97,789","74.81"
"HDFCLIFE","EQ","28-May-2025","775.80","779.80","790.75","776.05","787.55","789.45","786.15","41,63,057","3,27,27,89,463.15","75,055","27,40,039","65.82"
"HDFCLIFE","EQ","29-May-2025","789.45","788.00","791.10","778.65","781.00","780.90","782.85","29,16,417","2,28,31,25,746.20","66,108","13,56,334","46.51"
"HDFCLIFE","EQ","30-May-2025","780.90","780.90","786.75","775.35","776.25","776.85","777.81","31,84,086","2,47,66,24,501.20","63,349","22,52,920","70.76"
"HDFCLIFE","EQ","02-Jun-2025","776.85","771.75","782.50","762.50","765.00","766.70","767.93","34,56,222","2,65,41,34,385.00","86,317","21,23,557","61.44"
