"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"HINDALCO","EQ","07-Mar-2025","681.95","678.60","694.60","678.60","689.95","691.35","688.35","81,42,832","5,60,51,18,732.05","1,20,043","49,61,168","60.93"
"HINDALCO","EQ","10-Mar-2025","691.35","689.80","709.30","686.50","690.05","689.15","697.75","1,07,07,412","7,47,11,43,706.15","1,67,288","60,58,881","56.59"
"HINDALCO","EQ","11-Mar-2025","689.15","684.00","699.00","676.80","699.00","695.50","689.93","52,62,297","3,63,06,25,226.85","85,450","25,66,429","48.77"
"HINDALCO","EQ","12-Mar-2025","695.50","700.00","702.00","683.80","690.05","689.85","691.02","52,19,333","3,60,66,85,960.70","92,382","30,24,325","57.94"
"HINDALCO","EQ","13-Mar-2025","689.85","690.20","692.95","673.25","678.05","677.35","678.67","48,77,884","3,31,04,88,806.10","93,778","26,98,117","55.31"
"HINDALCO","EQ","17-Mar-2025","677.35","678.25","687.50","677.85","681.90","680.75","681.33","40,33,133","2,74,78,92,242.50","64,277","25,73,772","63.82"
"HINDALCO","EQ","18-Mar-2025","680.75","689.25","701.00","685.95","696.80","697.85","697.23","59,54,283","4,15,15,06,834.45","1,11,584","32,56,789","54.70"
"HINDALCO","EQ","19-Mar-2025","697.85","703.00","703.00","690.50","697.00","698.55","697.71","54,62,686","3,81,13,76,910.40","98,652","32,91,580","60.26"
"HINDALCO","EQ","20-Mar-2025","698.55","702.50","709.85","697.60","706.00","705.95","704.68","46,70,064","3,29,09,06,195.20","1,18,809","28,14,723","60.27"
"HINDALCO","EQ","21-Mar-2025","705.95","715.00","715.00","694.20","697.00","695.35","699.93","75,95,841","5,31,65,39,121.25","1,03,691","42,44,376","55.88"
"HINDALCO","EQ","24-Mar-2025","695.35","704.85","705.75","695.10","702.35","701.50","700.73","42,96,847","3,01,09,42,069.35","1,13,449","27,06,924","63.00"
"HINDALCO","EQ","25-Mar-2025","701.50","700.45","704.35","683.25","692.00","693.45","691.22","45,52,278","3,14,66,20,883.65","81,042","20,31,168","44.62"
"HINDALCO","EQ","26-Mar-2025","693.45","695.00","702.40","690.50","691.00","691.30","695.14","36,46,226","2,53,46,19,800.70","64,325","21,07,772","57.81"
"HINDALCO","EQ","27-Mar-2025","691.30","690.95","697.90","689.20","691.55","693.35","693.55","50,02,247","3,46,92,99,136.90","82,861","32,00,346","63.98"
"HINDALCO","EQ","28-Mar-2025","693.35","690.50","697.45","679.30","682.00","682.45","684.09","43,62,212","2,98,41,46,404.60","1,00,592","21,92,442","50.26"
"HINDALCO","EQ","01-Apr-2025","682.45","672.00","683.10","661.95","663.50","663.75","668.86","51,31,883","3,43,25,06,539.45","76,650","25,65,415","49.99"
"HINDALCO","EQ","02-Apr-2025","663.75","668.70","669.00","652.75","661.45","661.20","658.01","83,57,384","5,49,92,05,624.15","1,00,908","52,94,089","63.35"
"HINDALCO","EQ","03-Apr-2025","661.20","658.00","658.00","647.60","653.10","652.65","653.22","56,46,497","3,68,84,00,318.20","1,00,577","31,96,193","56.60"
"HINDALCO","EQ","04-Apr-2025","652.65","645.00","645.00","596.55","600.00","599.95","611.52","93,93,865","5,74,45,51,627.40","1,50,679","40,07,487","42.66"
"HINDALCO","EQ","07-Apr-2025","599.95","559.00","570.00","546.45","564.45","561.80","559.73","1,31,17,998","7,34,25,45,664.20","2,66,862","65,25,866","49.75"
"HINDALCO","EQ","08-Apr-2025","561.80","575.00","584.35","555.95","569.25","568.35","565.17","88,31,753","4,99,14,85,540.25","1,55,654","39,91,958","45.20"
"HINDALCO","EQ","09-Apr-2025","568.35","567.75","567.75","552.20","564.25","564.00","561.03","70,09,318","3,93,24,36,468.85","1,29,782","33,09,770","47.22"
