"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HUDCO","EQ","07-Mar-2025","182.84","182.59","185.85","180.60","182.00","182.27","183.47","53,14,444","97,50,29,289.24","45,852","14,34,181","26.99"
"HUDCO","EQ","10-Mar-2025","182.27","183.50","185.37","178.00","178.10","178.88","181.10","57,45,943","1,04,05,68,206.03","46,277","21,16,850","36.84"
"HUDCO","EQ","11-Mar-2025","178.88","176.00","182.85","175.05","182.35","181.31","180.19","58,10,654","1,04,70,38,166.90","44,679","16,53,121","28.45"
"HUDCO","EQ","12-Mar-2025","181.31","182.50","185.49","178.05","181.59","181.19","181.53","52,39,025","95,10,14,590.96","38,520","19,70,888","37.62"
"HUDCO","EQ","13-Mar-2025","181.19","182.00","184.25","179.33","180.66","180.76","181.91","35,82,902","65,17,64,955.50","31,570","14,20,340","39.64"
"HUDCO","EQ","17-Mar-2025","180.76","181.39","190.69","181.39","190.00","188.08","186.78","1,38,61,075","2,58,89,70,950.15","86,555","40,12,568","28.95"
"HUDCO","EQ","18-Mar-2025","188.08","190.10","191.18","186.60","188.35","188.62","188.35","60,43,840","1,13,83,68,468.88","42,106","20,92,613","34.62"
"HUDCO","EQ","19-Mar-2025","188.62","189.50","201.66","188.00","200.62","201.08","196.16","1,19,39,748","2,34,21,48,466.84","68,835","36,34,305","30.44"
"HUDCO","EQ","20-Mar-2025","201.08","202.68","203.70","196.60","198.59","199.03","199.87","85,19,547","1,70,28,26,882.20","54,184","28,81,687","33.82"
"HUDCO","EQ","21-Mar-2025","199.03","198.81","204.75","197.85","202.25","202.80","202.58","70,46,857","1,42,75,43,765.69","46,019","24,16,660","34.29"
"HUDCO","EQ","24-Mar-2025","202.80","203.50","212.40","202.72","208.95","209.11","207.78","89,83,826","1,86,66,16,129.92","67,101","23,72,803","26.41"
"HUDCO","EQ","25-Mar-2025","209.11","210.24","211.10","201.27","202.75","204.03","205.58","1,02,07,000","2,09,84,05,256.71","62,335","36,39,730","35.66"
"HUDCO","EQ","26-Mar-2025","204.03","203.69","205.50","196.01","196.63","196.72","200.09","71,71,267","1,43,49,17,884.19","46,588","30,24,514","42.18"
"HUDCO","EQ","27-Mar-2025","196.72","196.45","203.69","196.00","201.01","200.18","201.09","1,34,38,621","2,70,24,22,807.37","70,516","65,25,434","48.56"
"HUDCO","EQ","28-Mar-2025","200.18","201.28","204.99","198.80","198.85","199.45","201.83","87,26,435","1,76,12,99,692.88","54,124","40,70,727","46.65"
"HUDCO","EQ","01-Apr-2025","199.45","198.00","207.75","195.45","206.53","206.41","204.80","1,19,19,727","2,44,11,75,378.08","72,224","38,99,245","32.71"
"HUDCO","EQ","02-Apr-2025","206.41","206.40","206.67","201.10","205.58","205.83","204.41","46,98,443","96,03,85,922.69","34,294","12,53,854","26.69"
"HUDCO","EQ","03-Apr-2025","205.83","202.25","210.75","202.25","210.18","209.93","208.76","73,40,693","1,53,24,46,923.01","44,596","21,87,078","29.79"
"HUDCO","EQ","04-Apr-2025","209.93","209.00","209.93","200.61","204.00","203.47","204.07","57,68,084","1,17,70,67,030.14","39,340","17,84,687","30.94"
"HUDCO","EQ","07-Apr-2025","203.47","184.00","196.84","184.00","196.84","194.89","191.99","62,21,712","1,19,44,81,658.65","51,043","17,06,776","27.43"
"HUDCO","EQ","08-Apr-2025","194.89","200.69","207.80","198.38","207.73","207.01","204.02","1,13,14,642","2,30,83,92,469.94","72,588","22,49,531","19.88"
