"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","07-Mar-2025","1,218.05","1,211.10","1,217.85","1,206.30","1,213.40","1,214.55","1,213.63","66,20,284","8,03,45,43,520.35","1,18,643","43,45,177","65.63"
"ICICIBANK","EQ","10-Mar-2025","1,214.55","1,208.00","1,225.80","1,208.00","1,212.90","1,214.85","1,218.50","73,63,437","8,97,23,40,771.15","1,52,261","49,88,564","67.75"
"ICICIBANK","EQ","11-Mar-2025","1,214.85","1,217.20","1,248.00","1,217.20","1,244.15","1,245.40","1,238.81","1,09,27,950","13,53,76,05,281.45","2,38,907","64,76,305","59.26"
"ICICIBANK","EQ","12-Mar-2025","1,245.40","1,246.95","1,251.95","1,235.30","1,244.45","1,243.95","1,243.37","1,15,48,372","14,35,88,54,881.85","1,97,340","87,66,966","75.92"
"ICICIBANK","EQ","13-Mar-2025","1,243.95","1,251.05","1,255.60","1,245.30","1,248.65","1,250.05","1,250.96","81,32,940","10,17,39,84,588.65","1,90,526","51,69,165","63.56"
"ICICIBANK","EQ","17-Mar-2025","1,250.05","1,257.05","1,273.95","1,254.75","1,268.65","1,269.00","1,267.47","1,11,64,882","14,15,11,49,490.55","2,26,414","76,29,505","68.33"
"ICICIBANK","EQ","18-Mar-2025","1,269.00","1,285.50","1,313.85","1,280.65","1,311.50","1,309.85","1,299.54","1,56,45,427","20,33,18,86,817.15","3,37,230","98,19,575","62.76"
"ICICIBANK","EQ","19-Mar-2025","1,309.85","1,305.60","1,318.30","1,302.15","1,316.00","1,313.10","1,311.61","1,12,78,014","14,79,23,32,058.70","2,44,205","81,48,226","72.25"
"ICICIBANK","EQ","20-Mar-2025","1,313.10","1,320.00","1,324.25","1,311.05","1,318.55","1,321.70","1,319.08","1,08,86,735","14,36,04,81,637.45","2,52,535","86,48,648","79.44"
"ICICIBANK","EQ","21-Mar-2025","1,321.70","1,316.00","1,349.00","1,311.60","1,337.95","1,343.10","1,341.59","6,04,94,318","81,15,85,65,386.50","3,44,744","4,91,06,116","81.17"
"ICICIBANK","EQ","24-Mar-2025","1,343.10","1,355.95","1,373.00","1,345.05","1,361.20","1,358.15","1,358.95","93,52,280","12,70,92,78,600.90","2,03,054","62,62,107","66.96"
"ICICIBANK","EQ","25-Mar-2025","1,358.15","1,359.00","1,363.80","1,330.05","1,341.95","1,343.70","1,345.81","1,64,19,207","22,09,70,82,282.10","3,26,362","96,62,194","58.85"
"ICICIBANK","EQ","26-Mar-2025","1,343.70","1,344.05","1,358.00","1,331.50","1,335.45","1,335.90","1,341.51","1,08,59,639","14,56,83,52,861.70","1,97,579","63,86,435","58.81"
"ICICIBANK","EQ","27-Mar-2025","1,335.90","1,333.15","1,351.50","1,333.15","1,339.00","1,336.65","1,340.70","1,51,09,614","20,25,74,03,852.90","1,87,305","97,79,521","64.72"
"ICICIBANK","EQ","28-Mar-2025","1,336.65","1,336.00","1,357.95","1,327.20","1,348.00","1,348.35","1,345.90","82,66,544","11,12,59,00,933.90","1,42,133","54,24,044","65.61"
"ICICIBANK","EQ","01-Apr-2025","1,348.35","1,340.00","1,352.35","1,315.40","1,318.15","1,318.45","1,326.83","1,42,88,024","18,95,77,34,985.95","2,06,118","97,51,637","68.25"
"ICICIBANK","EQ","02-Apr-2025","1,318.45","1,322.15","1,337.95","1,322.15","1,330.85","1,331.25","1,330.74","80,42,214","10,70,21,34,959.60","1,27,734","58,47,254","72.71"
"ICICIBANK","EQ","03-Apr-2025","1,331.25","1,321.95","1,333.00","1,321.25","1,328.95","1,329.55","1,328.60","45,91,008","6,09,96,29,464.80","1,27,085","29,00,720","63.18"
"ICICIBANK","EQ","04-Apr-2025","1,329.55","1,329.55","1,338.55","1,322.10","1,335.00","1,335.30","1,331.60","86,48,542","11,51,64,14,124.30","1,66,068","57,68,811","66.70"
"ICICIBANK","EQ","07-Apr-2025","1,335.30","1,295.25","1,325.00","1,265.00","1,294.10","1,287.55","1,290.47","1,91,85,012","24,75,76,11,797.90","5,15,573","1,20,55,212","62.84"
"ICICIBANK","EQ","08-Apr-2025","1,287.55","1,299.85","1,310.05","1,287.35","1,300.05","1,299.90","1,298.35","1,30,85,762","16,98,99,34,735.70","1,71,223","62,42,577","47.71"
"ICICIBANK","EQ","09-Apr-2025","1,299.90","1,304.95","1,305.10","1,284.50","1,304.00","1,300.80","1,296.12","1,30,05,622","16,85,69,03,289.70","2,37,174","87,58,800","67.35"
