"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIGI","EQ","07-Mar-2025","1,702.30","1,702.95","1,704.90","1,665.70","1,689.25","1,686.95","1,684.96","6,17,116","1,03,98,17,601.75","53,774","3,89,450","63.11"
"ICICIGI","EQ","10-Mar-2025","1,686.95","1,681.15","1,715.00","1,662.20","1,705.00","1,699.60","1,681.56","9,76,837","1,64,26,11,837.65","57,535","6,97,292","71.38"
"ICICIGI","EQ","11-Mar-2025","1,699.60","1,699.60","1,714.95","1,675.05","1,704.85","1,700.45","1,694.83","11,14,944","1,88,96,37,529.35","59,388","8,38,105","75.17"
"ICICIGI","EQ","12-Mar-2025","1,700.45","1,700.45","1,701.90","1,658.00","1,666.80","1,665.70","1,674.62","8,83,972","1,48,03,18,602.40","63,442","6,17,201","69.82"
"ICICIGI","EQ","13-Mar-2025","1,665.70","1,683.00","1,683.00","1,659.00","1,680.50","1,678.75","1,672.48","8,07,125","1,34,98,99,385.55","83,184","6,43,858","79.77"
"ICICIGI","EQ","17-Mar-2025","1,678.75","1,682.00","1,733.45","1,670.40","1,727.00","1,725.35","1,711.73","8,78,122","1,50,31,04,719.05","86,217","6,28,631","71.59"
"ICICIGI","EQ","18-Mar-2025","1,725.35","1,726.00","1,757.10","1,726.00","1,754.85","1,752.10","1,741.35","8,18,998","1,42,61,64,252.70","90,936","5,83,204","71.21"
"ICICIGI","EQ","19-Mar-2025","1,752.10","1,742.00","1,760.90","1,732.00","1,757.00","1,756.50","1,750.67","5,19,456","90,93,93,966.50","50,173","3,52,128","67.79"
"ICICIGI","EQ","20-Mar-2025","1,756.50","1,745.15","1,766.05","1,719.45","1,725.00","1,724.75","1,733.63","4,84,811","84,04,81,483.60","40,026","2,81,374","58.04"
"ICICIGI","EQ","21-Mar-2025","1,724.75","1,734.50","1,740.00","1,701.30","1,725.20","1,723.20","1,717.59","7,40,178","1,27,13,25,645.00","49,194","4,91,262","66.37"
"ICICIGI","EQ","24-Mar-2025","1,723.20","1,733.00","1,796.50","1,718.05","1,781.50","1,785.05","1,767.62","7,41,272","1,31,02,84,223.35","75,448","5,08,979","68.66"
"ICICIGI","EQ","25-Mar-2025","1,785.05","1,800.00","1,849.00","1,771.60","1,779.95","1,779.50","1,793.52","7,68,343","1,37,80,35,209.45","74,665","4,65,224","60.55"
"ICICIGI","EQ","26-Mar-2025","1,779.50","1,780.95","1,805.85","1,759.65","1,769.90","1,772.45","1,778.24","3,81,027","67,75,58,589.85","36,472","2,33,674","61.33"
"ICICIGI","EQ","27-Mar-2025","1,772.45","1,773.00","1,798.00","1,761.65","1,781.70","1,794.25","1,783.96","4,54,624","81,10,31,466.00","42,574","2,78,030","61.16"
"ICICIGI","EQ","28-Mar-2025","1,794.25","1,799.95","1,805.00","1,773.00","1,782.50","1,792.85","1,793.79","7,91,304","1,41,94,35,943.65","50,621","4,69,269","59.30"
"ICICIGI","EQ","01-Apr-2025","1,792.85","1,772.50","1,808.70","1,768.05","1,796.00","1,791.90","1,791.44","5,35,773","95,98,05,525.05","47,370","3,37,872","63.06"
"ICICIGI","EQ","02-Apr-2025","1,791.90","1,794.00","1,832.85","1,786.00","1,827.20","1,829.95","1,817.32","3,68,137","66,90,21,365.75","27,123","2,07,691","56.42"
"ICICIGI","EQ","03-Apr-2025","1,829.95","1,814.00","1,837.00","1,813.25","1,835.00","1,831.50","1,827.96","2,05,636","37,58,94,483.55","30,167","1,21,013","58.85"
"ICICIGI","EQ","04-Apr-2025","1,831.50","1,831.50","1,848.90","1,811.50","1,828.50","1,829.55","1,823.86","5,02,850","91,71,25,993.40","49,458","3,31,044","65.83"
"ICICIGI","EQ","07-Apr-2025","1,829.55","1,731.15","1,802.70","1,722.00","1,741.50","1,744.40","1,749.27","8,76,983","1,53,40,79,339.25","71,858","4,60,318","52.49"
"ICICIGI","EQ","08-Apr-2025","1,744.40","1,750.80","1,786.45","1,742.85","1,775.80","1,776.85","1,769.29","3,82,513","67,67,75,153.55","41,844","2,05,811","53.80"
"ICICIGI","EQ","09-Apr-2025","1,776.85","1,787.90","1,800.70","1,761.95","1,783.80","1,786.50","1,788.50","3,85,780","68,99,68,049.30","48,925","2,06,695","53.58"
"ICICIGI","EQ","11-Apr-2025","1,786.50","1,808.95","1,808.95","1,702.00","1,706.00","1,718.55","1,739.64","11,56,595","2,01,20,57,763.55","67,073","6,51,616","56.34"
"ICICIGI","EQ","15-Apr-2025","1,718.55","1,760.00","1,833.30","1,736.00","1,832.00","1,822.60","1,794.57","8,90,911","1,59,88,05,297.30","59,819","4,69,603","52.71"
"ICICIGI","EQ","16-Apr-2025","1,822.60","1,759.40","1,817.90","1,745.60","1,813.00","1,811.80","1,787.05","22,60,312","4,03,92,94,195.90","1,50,286","11,83,387","52.36"
"ICICIGI","EQ","17-Apr-2025","1,811.80","1,815.00","1,823.90","1,773.00","1,789.80","1,793.40","1,791.50","8,64,906","1,54,94,75,238.70","47,418","6,36,167","73.55"
"ICICIGI","EQ","21-Apr-2025","1,793.40","1,799.00","1,846.00","1,783.00","1,845.00","1,841.10","1,826.67","5,46,537","99,83,44,085.60","44,470","2,91,700","53.37"
"ICICIGI","EQ","22-Apr-2025","1,841.10","1,850.00","1,857.50","1,834.80","1,850.00","1,845.20","1,844.42","4,10,889","75,78,50,983.30","32,906","2,49,700","60.77"
"ICICIGI","EQ","23-Apr-2025","1,845.20","1,851.00","1,883.00","1,842.40","1,880.00","1,880.00","1,865.14","7,34,624","1,37,01,73,747.80","61,185","4,60,115","62.63"
"ICICIGI","EQ","24-Apr-2025","1,880.00","1,870.00","1,891.30","1,860.00","1,880.00","1,880.30","1,875.84","7,34,678","1,37,81,40,703.10","59,824","4,69,462","63.90"
"ICICIGI","EQ","25-Apr-2025","1,880.30","1,886.70","1,908.70","1,832.20","1,855.00","1,854.10","1,857.85","9,34,598","1,73,63,45,598.40","86,534","5,64,724","60.42"
"ICICIGI","EQ","28-Apr-2025","1,854.10","1,845.00","1,875.70","1,836.50","1,847.60","1,850.20","1,852.64","6,37,011","1,18,01,52,347.40","35,789","4,32,698","67.93"
"ICICIGI","EQ","29-Apr-2025","1,850.20","1,851.00","1,874.00","1,843.60","1,852.60","1,856.10","1,855.44","7,44,701","1,38,17,50,555.60","50,896","5,43,606","73.00"
"ICICIGI","EQ","30-Apr-2025","1,856.10","1,860.00","1,890.70","1,847.20","1,875.10","1,876.50","1,875.78","9,06,449","1,70,03,00,608.40","53,120","6,11,716","67.48"
"ICICIGI","EQ","02-May-2025","1,876.50","1,876.50","1,895.00","1,850.50","1,870.00","1,867.90","1,882.03","11,04,076","2,07,79,01,384.60","48,860","7,59,088","68.75"
"ICICIGI","EQ","05-May-2025","1,867.90","1,872.10","1,879.90","1,841.10","1,850.00","1,852.30","1,864.50","4,79,826","89,46,36,424.90","29,751","3,50,877","73.13"
