"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"ICICIPRULI","EQ","07-Mar-2025","550.15","550.10","554.70","545.00","549.35","549.55","548.88","10,63,618","58,37,99,524.25","32,498","5,45,006","51.24"
"ICICIPRULI","EQ","10-Mar-2025","549.55","552.40","554.05","542.00","542.00","544.65","548.67","8,83,327","48,46,56,834.70","51,091","5,35,602","60.63"
"ICICIPRULI","EQ","11-Mar-2025","544.65","542.00","548.80","535.10","545.85","546.15","543.07","10,49,509","56,99,56,536.70","45,058","6,41,017","61.08"
"ICICIPRULI","EQ","12-Mar-2025","546.15","544.00","547.70","535.25","545.00","544.90","542.19","13,72,563","74,41,95,690.90","29,812","9,37,709","68.32"
"ICICIPRULI","EQ","13-Mar-2025","544.90","550.00","550.00","535.00","536.00","536.60","540.03","4,29,559","23,19,75,088.75","19,178","2,19,315","51.06"
"ICICIPRULI","EQ","17-Mar-2025","536.60","537.05","550.80","537.00","548.80","548.65","546.36","7,01,993","38,35,39,616.25","60,545","4,23,162","60.28"
"ICICIPRULI","EQ","18-Mar-2025","548.65","550.80","556.65","549.20","553.00","552.85","553.30","8,34,611","46,17,90,354.70","26,201","5,52,403","66.19"
"ICICIPRULI","EQ","19-Mar-2025","552.85","553.20","565.75","552.25","564.60","563.00","559.91","14,49,130","81,13,77,502.40","49,948","10,13,418","69.93"
"ICICIPRULI","EQ","20-Mar-2025","563.00","565.00","581.85","565.00","579.05","578.20","576.04","8,63,268","49,72,79,478.35","29,829","4,02,590","46.64"
"ICICIPRULI","EQ","21-Mar-2025","578.20","579.65","584.40","576.60","582.00","581.40","580.47","11,22,260","65,14,38,995.40","24,692","7,62,927","67.98"
"ICICIPRULI","EQ","24-Mar-2025","581.40","582.10","600.90","580.80","598.85","596.85","595.39","14,34,961","85,43,66,253.60","42,552","7,26,140","50.60"
"ICICIPRULI","EQ","25-Mar-2025","596.85","601.00","606.25","587.60","591.90","592.25","595.12","11,62,392","69,17,63,310.30","39,119","5,95,917","51.27"
"ICICIPRULI","EQ","26-Mar-2025","592.25","592.25","599.50","583.20","589.00","588.75","589.18","8,89,494","52,40,68,749.65","33,477","4,97,060","55.88"
"ICICIPRULI","EQ","27-Mar-2025","588.75","585.00","594.45","580.40","590.00","591.40","586.99","27,78,093","1,63,07,03,305.50","45,545","21,04,982","75.77"
