"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price ","Total Traded Quantity","Turnover ₹","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty  "
"IGL","EQ","07-Mar-2025","188.09","189.00","191.50","186.00","188.00","188.49","188.17","51,19,736","96,33,89,573.63","64,367","28,43,934","55.55"
"IGL","EQ","10-Mar-2025","188.49","188.00","190.73","182.16","183.00","183.02","186.06","17,65,266","32,84,54,058.34","29,202","6,33,484","35.89"
"IGL","EQ","11-Mar-2025","183.02","181.51","187.60","181.40","187.40","187.16","184.98","17,33,905","32,07,38,087.06","28,212","7,18,692","41.45"
"IGL","EQ","12-Mar-2025","187.16","188.03","190.00","183.46","187.70","188.32","186.61","25,33,846","47,28,49,547.34","23,170","11,63,419","45.92"
"IGL","EQ","13-Mar-2025","188.32","189.95","189.95","184.50","185.01","184.88","186.08","19,95,244","37,12,79,876.29","19,762","9,62,924","48.26"
"IGL","EQ","17-Mar-2025","184.88","184.90","189.76","183.82","188.00","187.61","186.74","23,05,551","43,05,36,864.91","26,356","10,28,911","44.63"
"IGL","EQ","18-Mar-2025","187.61","188.85","191.30","187.71","191.20","190.53","189.26","18,22,842","34,49,87,981.26","14,009","6,83,002","37.47"
"IGL","EQ","19-Mar-2025","190.53","191.50","194.36","190.61","193.48","193.29","193.00","21,48,744","41,47,06,721.09","13,749","10,85,022","50.50"
"IGL","EQ","20-Mar-2025","193.29","199.40","201.64","195.00","197.32","197.60","199.14","53,90,824","1,07,35,03,728.28","45,833","12,07,331","22.40"
"IGL","EQ","21-Mar-2025","197.60","197.79","200.40","194.00","198.30","198.14","197.18","63,96,200","1,26,12,22,359.96","37,057","37,64,627","58.86"
"IGL","EQ","24-Mar-2025","198.14","202.50","208.88","201.75","203.39","203.47","204.90","54,02,881","1,10,70,36,604.60","36,816","11,15,899","20.65"
"IGL","EQ","25-Mar-2025","203.47","205.00","205.00","198.01","198.80","199.40","200.64","30,52,789","61,25,23,123.48","21,608","13,14,766","43.07"
"IGL","EQ","26-Mar-2025","199.40","199.70","201.12","194.49","195.34","195.06","196.78","21,26,431","41,84,35,064.55","20,170","8,37,515","39.39"
"IGL","EQ","27-Mar-2025","195.06","195.00","199.45","193.47","195.56","195.50","196.35","33,02,639","64,84,85,628.27","25,285","11,28,254","34.16"
"IGL","EQ","28-Mar-2025","195.50","197.99","204.36","193.85","203.78","203.12","201.98","68,62,377","1,38,60,52,832.46","58,771","17,73,838","25.85"
"IGL","EQ","01-Apr-2025","203.12","201.00","204.88","200.15","201.95","201.41","202.09","39,96,981","80,77,55,822.66","32,494","11,99,207","30.00"
"IGL","EQ","02-Apr-2025","201.41","202.70","203.99","197.55","202.25","202.94","201.45","24,94,891","50,25,97,702.58","19,156","11,27,085","45.18"
"IGL","EQ","03-Apr-2025","202.94","201.71","209.65","200.01","207.21","207.84","205.81","29,62,942","60,98,16,381.83","24,035","12,59,434","42.51"
"IGL","EQ","04-Apr-2025","207.84","206.90","207.21","196.00","198.45","198.06","200.51","41,89,696","84,00,69,903.47","29,424","20,69,430","49.39"
"IGL","EQ","07-Apr-2025","198.06","183.00","191.59","182.06","187.95","187.82","187.57","53,42,913","1,00,21,71,151.90","55,118","24,04,827","45.01"
"IGL","EQ","08-Apr-2025","187.82","192.00","193.67","178.36","181.25","180.16","183.87","92,13,181","1,69,40,34,218.38","71,670","21,75,118","23.61"
"IGL","EQ","09-Apr-2025","180.16","181.00","181.45","172.15","175.08","174.88","174.96","62,95,410","1,10,14,72,197.40","54,112","17,53,142","27.85"
"IGL","EQ","11-Apr-2025","174.88","180.55","180.55","172.84","174.40","174.76","175.28","69,13,671","1,21,18,02,342.87","53,864","30,54,124","44.18"
"IGL","EQ","15-Apr-2025","174.76","175.84","179.84","175.84","178.70","178.97","178.43","44,78,858","79,91,53,549.20","53,309","18,81,355","42.01"
"IGL","EQ","16-Apr-2025","178.97","174.75","177.00","172.00","176.34","176.53","175.07","1,01,95,223","1,78,49,16,511.09","73,925","21,47,078","21.06"
"IGL","EQ","17-Apr-2025","176.53","177.95","178.25","175.11","177.01","176.95","176.86","38,94,397","68,87,70,659.70","34,319","13,27,589","34.09"
"IGL","EQ","21-Apr-2025","176.95","179.89","182.99","178.66","182.60","182.57","181.50","58,24,941","1,05,72,18,660.96","32,105","24,36,780","41.83"
"IGL","EQ","22-Apr-2025","182.57","183.49","190.45","182.00","187.70","188.15","186.57","65,27,555","1,21,78,50,579.05","47,839","22,24,457","34.08"
"IGL","EQ","23-Apr-2025","188.15","188.87","189.71","182.80","185.03","185.51","185.25","46,30,489","85,78,17,535.15","44,861","18,12,332","39.14"
